Test: Fixtures update  certificates,2020-01-09,Closed,1153,160,47,key t ,5
PATH-routing: url was not escaped correctly,2019-12-20,Merged,1150,88,2,lua t ,2
Merge 3.7 CHANGELOG to master.,2019-12-16,Merged,1149,27,7,,0
added {} to the regexp that matches the URI parameters,2019-12-18,Closed,1146,1,1,,1
Openresty: Update base executor to custom Openresty package,2020-01-09,Merged,1145,466,95,md Makefile gateway/cpanfile ,3
release: 3.7.0,2019-12-16,Merged,1144,6,1,,0
http_proxy: set Host domain correctly,2020-01-10,Merged,1143,109,18,lua t ,5
OIDC: Using caching to retrieve issuer configs.,2019-12-20,Merged,1141,235,21,lua t ,4
Proxy: Format usage,2019-11-12,Merged,1140,47,37,,4
Release 3.7-Stable CR2,2019-11-07,Merged,1138,43,1,lua t ,3
Upstream: return error if the value given is cjson.null,2019-11-07,Merged,1136,40,1,lua t ,3
Configuration: Lazy mode issue with SSL certificate.,2019-11-05,Merged,1135,4,1,lua ,1
Release 3.7-CR1,2019-11-05,Merged,1134,96,5,lua json t ,7
Policy: TLS termination changed name.,2019-11-04,Merged,1133,2,2,,1
Build: Bump argparse version to 0.6.0,2019-11-04,Merged,1132,1,1,,1
Return 404 to client if no upstream defined.,2019-11-04,Merged,1129,89,1,lua t ,4
Feature: Add HTTP2 support.,2020-01-13,Merged,1128,655,32,gateway/Roverfile lock conf liquid lua json t ,15
3.7 Beta-2 release,2019-10-18,Merged,1127,848,40,liquid lua json ,14
Logging: adds usage statistic on log.,2019-10-16,Merged,1126,3,0,lua ,1
Routing: Fix issues with invalid metric update on routing policy.,2019-10-17,Merged,1125,672,39,lua json ,12
APIcast: Updated list of TLS protocols that are available.,2019-10-09,Merged,1124,1,1,,1
Mapping Rule: Use unescaped rule,2019-10-15,Merged,1123,162,1,lua t ,5
Routing Policy: Fix upstream selector base path,2019-10-02,Merged,1122,90,7,lua t ,5
Routing: Fix query args on replace_path,2019-10-01,Merged,1121,106,41,lua t ,4
Routing policy: Add a way to replace the path on routing policy,2019-09-19,Merged,1120,243,2,json lua t ,6
Changelog: Update 3.6 items,2019-09-19,Merged,1119,16,2,json ,1
3.6 stable,2019-09-16,Closed,1118,19,3,json lua ,2
Release v3.6.0 stable,2019-09-16,Merged,1117,6,1,,0
Logging: Added target host on logging policy.,2019-09-16,Merged,1116,55,13,lua t ,4
RELEASE 3.7-beta1,2019-10-02,Merged,1115,504,58,lua json ,9
