Github action CI badge,2020-01-04,Merged,3030,1,1,,0
Typo,2020-01-04,Merged,3020,1,1,,0
#3006: Less Fatal SessionManager State Checking,2019-12-10,Merged,3010,45,21,,4
Response test host error fix,2019-11-30,Merged,3003,13,9,,2
Fixed unit test that failed with the incorrect URLError result,2019-11-19,Closed,3002,8,8,,1
Fix the crash issue on example,2019-11-17,Merged,3000,2,1,,1
The Client Certificate Support,2019-11-17,Merged,2993,1,3,,1
Update README.md,2019-11-17,Closed,2989,1,1,,0
Prepare 5.0.0-rc.3,2019-10-27,Merged,2988,"1,057",556,podspec md lock swift html ,14
Prepare 4.9.1,2019-10-26,Merged,2987,"1,132",846,podspec pbxproj md lock swift plist html ,10
New branch to work with razer,2019-10-25,Closed,2986,973,622,podspec pbxproj xcscheme md ,8
Fix SecTrust Catalyst Deprecation Warning - Alamofire 4,2019-10-21,Merged,2979,76,70,swift ,3
Fix Catalyst SecTrust API Deprecation Warning,2019-10-21,Merged,2977,139,34,,5
feat (Response) : update debugDescription,2019-10-21,Merged,2976,28,21,,1
Accept NTLM and Negotiate as valid authentication methods,2019-10-21,Merged,2975,5,5,,1
Remove Dynamic Bundle Identifier - v4,2019-10-19,Merged,2967,4,2,,1
Remove Dynamic Bundle Identifier,2019-10-19,Merged,2966,4,6,,1
Move Automatic Resume Behavior to After the First Response Handler is Added,2019-10-19,Merged,2965,41,35,,10
Stable encoded parameter order for URLEncodedFormEncoder,2019-10-19,Merged,2961,150,171,xcscheme md swift ,6
feat (Response) : update debugDescription,2019-10-19,Merged,2953,52,23,,1
wrong method used in Documentation Usage.md#manual-authentication,2019-09-27,Merged,2952,1,1,,0
Fixed crash in Demo app,2019-09-26,Closed,2949,2,1,,1
Prepare RC2.,2019-09-08,Merged,2940,400,254,md swift html ,25
Fix non-generic Error usage in RC1,2019-09-08,Merged,2937,35,16,swift ,7
Prepare rc1,2019-09-04,Merged,2934,"15,859","5,126",md lock swift html ,7
Prepare 4.9.0,2019-09-04,Merged,2932,57,38,pbxproj md lock swift plist ,6
Fix Reachability behavior regression from 4.8.1.,2019-09-04,Merged,2931,60,20,pbxproj xcscheme swift ,10
Make bundle id per platform,2019-09-03,Merged,2930,2,8,,1
Usage Documentation Updates - cnoon Edits,2019-09-03,Merged,2929,24,19,,0
Make bundle id per platform,2019-09-03,Merged,2928,2,2,,1
"Add AF*Response, AFResult types, update tests to use AFError",2019-09-03,Merged,2921,568,909,swift ,5
Add SwiftFormat,2019-08-29,Merged,2918,"1,457","1,909",pbxproj xcscheme swift ,7
Ensure Alamofire Can't Be Used With Background Sessions,2019-08-29,Merged,2917,27,7,swift ,6
Refactor Reachability,2019-08-25,Merged,2915,226,162,xcscheme ,4
change in appdelegate,2019-08-19,Closed,2911,2,1,,1
Add Internal URLRequest Validation API,2019-08-14,Merged,2905,143,49,,6
Add DataPreprocessor API,2019-08-14,Merged,2903,254,80,,2
Update README.md,2019-09-06,Closed,2902,3,3,,0
Unfreeze HTTPMethod,2019-08-13,Merged,2901,19,12,,2
Allow FileManager to be passed to UploadRequest.,2019-08-11,Merged,2898,253,176,,0
Ubiquitous AFError,2019-08-25,Merged,2897,583,351,,7
Update Usage.md Documentation,2019-09-03,Merged,2895,515,396,,0
Add failure constraint to *Response,2019-08-22,Merged,2893,205,205,,2
Rename internal `flatMap` to `tryMap`,2019-08-11,Merged,2892,80,72,,3
"Replace all internal references to AFResult<T> with Result<T, Error>",2019-08-09,Merged,2891,281,271,swift ,12
Add cancelAllRequests API,2019-08-07,Merged,2890,245,19,,4
throw error while JSONEncoding without POST method,2019-08-13,Closed,2887,10,0,,2
Fix thread-safety issue for serialization queue usage.,2019-07-31,Merged,2885,222,146,json plist pbxproj ,6
Prepare Beta 7.,2019-07-30,Merged,2882,"14,915","7,191",md lock html ,5
Update README.md Usage,2019-08-08,Closed,2880,47,47,,0
Feature/enable request subclasses,2019-07-15,Closed,2871,"9,023","7,550",swift-version yml podspec pbxproj xcscheme swift ,11
Fix memory rebinding in NetworkReachabilityManager,2019-08-21,Closed,2870,3,4,,1
Remove AFResult and add a failure constraint to Response,2019-08-22,Closed,2864,445,527,swift ,3
Update cURL support for async request creation.,2019-07-15,Merged,2863,"1,364",864,swift ,3
Feature - Appending Response Serializers,2019-07-09,Merged,2862,39,18,,4
Add DataEncoding and KeyEncoding.,2019-07-08,Merged,2858,"1,063",736,,1
progressQueue and responseQueue,2019-06-29,Closed,2856,34,26,,2
Add option to not create resume data on cancel for DownloadRequest,2019-09-03,Merged,2851,47,2,,2
Ss18/pr0,2019-07-07,Merged,2848,11,11,swift ,6
[Alamofire 5]: Update all inline API documentation.,2019-06-29,Merged,2845,"1,644",655,lock swift ,4
Update handling of os_unfair_lock to manage the buffer.,2019-06-14,Merged,2836,13,3,,1
Improve query(_ parameters: ) func syntax,2019-05-07,Closed,2821,7,5,,1
Add syntax for Alamofire 5.x,2019-05-06,Closed,2819,2,0,,0
Fix an issue where empty Encodable Parameters resulted in a non-nil query string.,2019-05-06,Merged,2818,14,1,,2
Release - Prep for 5.0.0-beta.6,2019-04-24,Merged,2815,"1,075","1,385",md html ,25
[AF5 Refactor]: Lock Request.state access,2019-04-23,Merged,2814,89,105,,4
Date encoding strategies for URLEncodedFormEncoder,2019-05-07,Merged,2813,210,23,,1
Feature - Terminal Response Serializers,2019-04-23,Merged,2810,126,22,,8
[WIP] Feature - Request State Queue,2019-04-23,Closed,2809,148,137,,4
Bugfix - Dropping Pre-Release Version from CFBundleShortVersionString,2019-04-16,Merged,2808,1,1,,1
Bugfix: DownloadRequest event duplication and missing events.,2019-04-16,Merged,2807,310,26,,6
Prepare beta 5,2019-04-13,Merged,2806,"2,068","2,375",md lock plist html ,5
Audit - MultipartUpload ACL,2019-04-12,Merged,2805,11,11,,4
Audit - Request ACL,2019-04-12,Merged,2804,20,20,,1
Audit - Notification Names,2019-04-12,Merged,2803,81,16,,2
Audit - HTTP Headers Refactor,2019-04-13,Merged,2802,27,27,,11
Audit - SessionStateProvider ACL,2019-04-12,Merged,2801,12,12,swift ,2
Remove obsolete casting,2019-04-16,Merged,2800,2,2,,1
Bugfix - Info.plist TestFlight Validation,2019-04-12,Merged,2799,1,1,,1
Refactor Request Event Management,2019-04-12,Merged,2796,413,144,swift ,7
Casting to AnyObject makes life hard for Swift type checker.,2019-04-16,Closed,2794,3,3,,1
Update Readme with current release version,2019-05-06,Closed,2787,1,1,,0
Bugfix - Project Settings and Example App,2019-04-06,Merged,2786,79,21,swift ,3
Bugfix - Session Delegate Precondition,2019-04-06,Merged,2783,0,2,,1
Bugfix - Resumed Request State,2019-04-11,Closed,2779,74,2,,2
Bugfix - Cancellation Loop,2019-04-01,Merged,2778,52,3,swift ,3
Prep 5.0.0-beta.4 Release,2019-03-29,Merged,2776,"7,738","3,799",md plist html ,5
AFResult,2019-03-29,Merged,2774,412,"1,022",md swift ,8
[#2270]: Fix emptyResponseAllowed logic.,2019-03-29,Merged,2772,184,77,swift data ,7
Swift 5!!!,2019-03-27,Merged,2771,50,37,yml podspec pbxproj xcscheme Gemfile lock swift ,17
Feature/swift result,2019-03-29,Closed,2769,529,577,md swift ,3
Version to 4.8.2.,2019-03-27,Merged,2768,542,404,pbxproj md Gemfile lock plist html ,16
[AF4]: Hotfix project updates for Xcode 10.2,2019-03-27,Merged,2767,53,36,xcscheme swift ,12
Refactor - Condensing MultipartFormData Data APIs,2019-03-27,Merged,2766,1,39,,1
Refactor - Switches and Queues,2019-03-27,Merged,2765,64,156,,2
Refactor - Upload MultipartFormData with Custom Boundary,2019-03-27,Merged,2764,53,19,,5
Hotfix: Support for swift package manager 5 in Alamofire 4.8.x,2019-03-26,Merged,2762,1,1,,1
[Alamofire 5]: AlamofireExtended extension point.,2019-03-27,Merged,2758,234,114,swift ,2
Mark RequestInterceptor closure callback arguments escaping,2019-03-24,Merged,2747,121,2,,2
Delay to adapt request,2019-03-26,Closed,2746,8,5,,1
Prepare 5.0.0-beta.3.,2019-03-08,Merged,2741,"29,919","1,500",md lock plist ,3
Fix crash when casting to *Response<Any>,2019-03-07,Merged,2740,0,14,,1
Make RetryPolicy a RequestInterceptor.,2019-03-07,Merged,2739,1,1,,1
Create version specific manifest for Swift 4.2 and update Package.swift to swift-tools-version:5.0,2019-03-07,Merged,2737,49,2,,2
Update swiftLanguageVersions to swift-tools-version:4.2,2019-03-06,Merged,2736,1,1,,1
Removing syntax typo in readme.md,2019-03-06,Merged,2729,1,1,,0
Fix #2682: Cancel all requests on session invalidation or deinit.,2019-03-07,Merged,2728,190,78,,5
Crash fix #2138,2019-03-04,Closed,2727,5,4,,2
TYPO: Changed 'you' to 'your',2019-02-21,Merged,2725,1,1,,0
Changed array to range,2019-03-08,Merged,2720,1,1,,1
"Merge and cleanup append(_ fileURL, …) functions",2019-03-27,Closed,2718,9,68,,1
Feature - Response Serializer Retry Support,2019-03-27,Merged,2716,515,134,,1
Fix typo SessionManager.swift -> Session.swift,2019-02-11,Merged,2715,1,1,,1
Overriding RetryPolicy Logic,2019-02-15,Merged,2713,1,5,,1
Allow changing boundary string in upload:multipartFormData callback,2019-03-26,Closed,2705,1,1,,1
Feature - Retry Redesign,2019-02-07,Merged,2704,"2,163",385,swift ,2
Feature - Cached Responses,2019-02-07,Merged,2701,373,2,swift ,5
Add info for debugDescription,2019-03-07,Merged,2700,8,0,,1
Feature - Redirect Handlers,2019-02-07,Merged,2699,378,13,swift ,4
fixed syntax for swift build command,2019-03-06,Closed,2697,1,1,,0
Use the hash(into:) API for hashing.,2019-02-07,Merged,2696,2,2,,1
🐷 Feature - Retry Policies,2019-02-07,Closed,2694,"1,228",126,swift ,6
Feature - Interceptors Per Request,2019-02-07,Closed,2693,441,278,,1
Simplify and refactor,2019-03-26,Closed,2691,76,148,,3
Pulls AF 4.8.1 changes into master for AF 5,2019-01-29,Merged,2689,166,111,md ,1
Bugfix - Network Reachability,2019-01-15,Merged,2688,141,100,,0
Fixed the problem with Swift version detection,2019-01-20,Closed,2687,1,1,podspec ,2
Alamofire5,2019-01-10,Closed,2686,"87,770","36,550",yml podspec pbxproj xcscheme md swift ,13
remove PropertyListSerialization on documentation,2019-01-03,Closed,2675,0,11,,0
Implementing protocol EmptyResponse so that an empty response value can be returned when an empty http status code is encountered,2019-03-07,Merged,2664,81,2,,3
Implemented protocol EmptyResponse so that an empty response value ca…,2018-12-12,Closed,2662,172,1,,3
Prepare for Alamofire 5.0.0.beta.1,2018-12-07,Merged,2660,"78,632","28,914",lock ,1
Fix #2658: default empty response values non-public,2018-12-04,Merged,2659,27,2,,2
Alamofire 5: Abstract decoders for decodable response serialization,2018-12-05,Merged,2657,62,49,swift ,8
Alamofire 5: Project Cleanup and Unification,2018-12-03,Merged,2655,51,123,swift ,2
