Update GPLv3 image URL in GH pages,2017-04-18,Merged,927,1,1,,1
call-out,2017-03-01,Closed,913,"1,870",742,yml gradle xml java ,10
Fixing #852 - Removing duplicate icons on the map viewer and defaulti…,2017-01-14,Merged,906,118,84,,1
Update translateable_strings.xml,2016-11-26,Closed,905,1,1,,1
Import OCID data from cell_towers.csv,2017-01-14,Merged,894,520,49,,6
Fix issue #888 NullPointerException by checking possible nulls.,2016-07-06,Merged,889,8,2,,1
Merge pull request #1 from CellularPrivacy/development,2016-06-24,Closed,887,0,0,,0
Merge pull request #1 from CellularPrivacy/development,2016-06-22,Closed,885,0,0,,0
Merge pull request #868 from CellularPrivacy/development,2017-01-14,Closed,883,0,0,,0
Fix #876,2016-05-25,Merged,878,239,129,xml ,2
Fixed empty neighbor cells list detection,2016-05-09,Merged,874,31,19,xml ,2
Unchaining WIP-Release v0.1.43-alpha,2016-05-01,Merged,868,"3,111","5,810",gradle xml sql db ,6
Consistent spelling of neighboring to fix #865,2016-04-26,Merged,866,131,127,,10
Unchaining WIP-Release v0.1.42-alpha,2016-04-03,Merged,834,"1,679","2,130",yml gradle xml java ,6
Fix for crash when downloading OCID data in airplane mode,2016-04-03,Merged,833,1,1,,1
SMS Detection fixup,2016-03-31,Merged,830,1,1,,1
Fix issue when requesting an OpenCellId key.,2016-03-31,Merged,829,1,1,,1
Feature/realm,2016-04-23,Merged,827,"2,394","5,611",gradle xml sql db ,6
Use Lombok,2016-03-29,Merged,825,708,"1,635",java ,4
MapFragment.loadEntries: Return null if not attached,2016-03-29,Merged,824,3,3,,1
Check current cell against OCID after download,2016-03-26,Merged,823,89,15,xml ,8
Fix #816,2016-03-25,Merged,821,3,3,,1
Set targetSdk to 22 and use a white notification icon,2016-03-21,Merged,818,61,17,xml java ,6
Unchaining WIP-Release v0.1.41-alpha,2016-03-13,Merged,815,"2,144","1,777",yml gradle xml java ,5
Fix invalid LAC and CID values causing false alerts and adding trash to the database,2016-03-06,Closed,813,27,13,,3
Rename java packages to lowercase,2016-03-06,Merged,812,391,388,xml java ,17
Switch to IDLE when attack detection is turned off,2016-03-02,Merged,809,71,65,,1
Display RAT in map marker details populated by DBi_bts,2016-02-29,Merged,807,18,7,,3
Refactor RAT/Network Type into one place,2016-03-06,Merged,806,7,123,,4
null-guard service before driving menu options,2016-02-28,Merged,805,39,2,,1
Credits dialog bug fix,2016-02-28,Merged,804,89,70,xml ,2
CellInfoFragment refresh button changed to swiperefreshlayout,2016-02-27,Merged,799,76,85,xml ,3
Fixed #794,2016-02-27,Merged,798,5,5,,1
783 all current cell details bugfix,2016-02-27,Merged,797,718,708,,4
Recheck cell after OCID download,2016-03-25,Closed,793,20,0,,1
Don't truncate MNC integer after 2 chars in OCID download,2016-02-26,Merged,792,2,2,,1
Fix link to CONTRIBUTING,2016-02-26,Merged,791,2,2,,0
Animated credits dialog,2016-02-26,Merged,787,48,4,xml ,2
Added credits dialog animation file,2016-02-24,Closed,786,7,0,,1
Animated credits dialog,2016-02-23,Closed,785,47,5,,1
Unchaining WIP-Release v0.1.40.1-alpha,2016-02-21,Closed,780,7,4,md ,1
Unchaining WIP-Release v0.1.40-alpha,2016-02-21,Merged,779,"1,444",587,gradle xml ,3
UX refactoring,2016-02-21,Merged,776,"1,394",567,xml java ,11
UX refactoring,2016-02-20,Closed,775,698,754,xml java ,6
CellTowerMarker: Show PSC and RAT,2016-02-28,Merged,772,210,28,,7
Unchaining WIP-Release v0.1.39.1-alpha,2016-02-16,Merged,770,792,728,xml AIMSICD/src/main/assets/CREDITS ,4
Unchaining WIP-Release v0.1.39-alpha,2016-02-14,Merged,768,"1,582",735,yml gradle xml txt java ,9
