fix bug,2019-12-08,Merged,1109,70,17,,2
fix bug,2019-12-06,Closed,1106,112,45,groovy json kt java md ,15
feat: FileUtils.getFileCharsetSimple()区分UTF-8无BOM和GBK编码,2019-11-24,Merged,1094,96,80,txt ,1
feat: FileUtils.getFileCharsetSimple()区分UTF-8无BOM和GBK编码,2019-11-24,Closed,1087,96,2,txt ,2
20191112,2019-11-24,Closed,1082,0,0,,0
Update README.md,2019-11-24,Closed,1065,1,0,,0
Update SpanUtils.java,2019-07-19,Closed,986,0,1,,1
1、新增一个可以动态为Activity添加遮罩层及悬浮窗等的一个工具类,2019-07-31,Closed,976,545,39,java ,3
1.24.5,2019-06-27,Merged,969,384,"1,139,738",png bin/JSONStream bin/atob bin/bunyan bin/esparse bin/esvalidate bin/hexo bin/js-yaml bin/md2html bin/mime bin/mkdirp bin/ncp bin/nopt bin/npm bin/npx bin/nunjucks-precompile bin/rimraf bin/swig bin/to-title-case bin/uglifyjs bin/which bin/window-size yml APACHE2 MIT js ,28
Merge pull request #1 from Blankj/master,2019-06-27,Closed,963,0,0,,0
Merge pull request #1 from Blankj/master,2019-06-27,Closed,962,0,0,,0
Merge pull request #1 from Blankj/master,2019-06-27,Closed,942,0,0,,0
1.24.0,2019-06-03,Merged,936,"6,675","3,717",yml md gradle class properties groovy ,9
Merge pull request #1 from Blankj/master,2019-03-21,Closed,872,0,0,,0
see 03/08 log,2019-03-08,Merged,860,110,79,gradle java kt ,4
Update TimeUtils.java,2019-02-28,Closed,850,1,1,,1
1.23.6,2019-02-28,Merged,849,41,28,gradle java ,4
1.23.5,2019-02-25,Merged,843,"1,140,955",919,gradle kt xml java ,14
see 01/31 log,2019-01-30,Merged,827,1,0,,0
"Revert ""1.23.4""",2019-01-30,Merged,826,228,505,gradle java ,3
1.23.4,2019-01-30,Merged,825,525,248,gradle java ,3
Merge pull request #1 from Blankj/master,2019-01-29,Closed,824,0,0,,0
Merge pull request #1 from Blankj/master,2019-01-29,Closed,823,0,0,,0
1.23.3,2019-01-28,Merged,822,538,435,gradle kt java ,9
修复getNetworkType()方法在一体机判断以太网无效的问题,2019-01-27,Merged,819,23,1,,1
see 01/26 log,2019-01-25,Merged,817,2,12,md json ,4
1.23.2,2019-01-25,Merged,816,"1,520","1,671",gradle json kt xml ,13
1.23.1,2019-01-23,Merged,812,"3,053","4,383",gradle json kt java ,12
see 01/18 log,2019-01-18,Merged,806,118,127,md java kt xml ,9
1.23.0,2019-01-18,Merged,805,"7,181","3,064",groovy java gradle kt xml ,8
增加Android 网络工具类 HttpsUtil,2019-01-15,Merged,800,127,0,,1
Add annotation,2019-01-15,Closed,795,4,4,,1
1.22.10,2019-01-03,Merged,786,349,323,gradle kt java ,12
"fix bug when get IMEI on CDMA phones,add getIMEI(int slotId) method",2018-12-31,Merged,779,49,2,,1
1.22.9,2018-12-29,Merged,778,451,127,properties gradle kt java ,10
1.22.7,2018-12-24,Merged,768,20,16,gradle java ,4
see 12/22 log,2018-12-22,Merged,767,73,11,gradle java ,4
1.22.5,2018-12-22,Merged,766,80,17,,3
enhanced object to string in LogUtils,2018-12-22,Merged,765,61,1,,1
add map2String/object2String in LogUtils...,2018-12-22,Closed,764,61,1,,1
1.22.5,2018-12-19,Merged,761,121,27,gradle java ,4
1.22.4,2018-12-18,Merged,759,47,34,gradle java xml ,9
see 12/17 log,2018-12-17,Merged,752,33,28,gradle xml java ,5
1.22.3,2018-12-17,Merged,750,86,62,,0
1.22.2,2018-12-16,Merged,748,645,536,gradle groovy xml java kt ,21
Merge pull request #737 from Blankj/1.22.2,2018-12-13,Closed,740,0,0,,0
1.22.2,2018-12-09,Merged,737,"2,703","7,604",md json gradle pro xml java ,6
optimization for loop,2018-12-22,Closed,729,1,1,,1
Update SizeUtils.java,2018-11-15,Closed,710,4,0,,1
optimize PermissionConstants,2018-11-15,Merged,707,20,10,,1
Merge pull request #1 from Blankj/master,2018-11-15,Closed,705,0,0,,0
Added binary encoding,2018-11-01,Merged,690,36,0,,2
add get string method support,2018-11-01,Merged,687,57,0,,1
Merge pull request #1 from Blankj/master,2018-10-25,Closed,680,0,0,,0
SpanUtils appendImage 兼容问题,2018-10-24,Merged,678,15,2,,1
Update BarUtils.java,2018-09-30,Closed,651,12,0,,1
Update README-CN.md,2018-08-14,Closed,594,1,1,,0
Merge pull request #1 from Blankj/master,2018-08-12,Closed,590,0,0,,0
Merge pull request #1 from Blankj/master,2018-04-24,Closed,470,0,0,,0
Merge pull request #1 from Blankj/master,2018-04-24,Closed,469,0,0,,0
PhoneUtils add listABIs(),2018-04-20,Closed,463,21,0,,2
Fix memory leak in ToastUtils. Add a method to set the text size.,2018-04-17,Merged,456,44,25,,1
Merge pull request #1 from Blankj/master,2018-04-14,Closed,451,0,0,,0
Update README.md,2018-04-05,Merged,447,2,2,,0
translate Process utils,2018-03-13,Closed,427,1,1,,1
add readFromStreamToString,2018-03-03,Closed,418,1,0,,0
add readFromStreamToString method,2018-03-03,Closed,417,26,0,,1
Merge pull request #1 from Blankj/master,2018-02-18,Closed,412,0,0,,0
兼容部分低版本手机软键盘显示隐藏事件,2018-02-07,Merged,406,1,1,,1
Merge pull request #1 from Blankj/master,2018-02-06,Closed,404,0,0,,0
将Application改成Context,2018-02-12,Closed,403,18,14,,2
reflect utils change final field on android 6.0 7.0,2018-02-02,Closed,392,88,1,xml ,5
utils for get activity icon/logo,2018-01-10,Closed,368,51,1,java ,3
Merge pull request #1 from Blankj/master,2017-12-26,Closed,359,0,0,,0
Update subutil context retrieval,2017-12-19,Merged,350,111,23,,3
Merge pull request #1 from Blankj/master,2017-12-15,Closed,347,0,0,,0
Null-checks for @NonNull method arguments,2017-12-17,Merged,337,22,0,,4
ImageUtils添加一个给图片增加图层颜色的方法,2018-03-21,Closed,321,17,0,,1
master,2017-11-24,Closed,320,16,0,,1
添加软键盘弹出/隐藏动作监听工具,2018-01-10,Closed,316,65,0,,1
在输出的日志文件顶部添加设备信息,2017-11-09,Merged,308,56,5,,1
Merge pull request #1 from Blankj/master,2017-11-01,Closed,304,0,0,,0
误删 successMsg.append(s);,2017-11-01,Closed,303,2,2,,1
添加shell返回换行,2017-10-31,Merged,302,3,1,,1
Merge pull request #1 from Blankj/master,2017-10-28,Closed,299,0,0,,0
增加路径工具类,2018-09-07,Closed,289,337,0,,1
bug fig 其实这里的isSpace方法 应该改成 hasSpace,2017-09-07,Closed,269,429,382,xml java ,9
解决ToastUtils.java使用ApplicationContext导致字体无法更改的问题 #259,2017-08-31,Closed,260,58,28,,3
解决ToastUtils.java使用ApplicationContext导致字体无法更改的问题,2017-08-28,Closed,259,58,28,,3
add AndroidDemo utils,2017-08-07,Closed,236,"6,016","6,016",gradle pro xml ,5
Fix FileIOUtils.readFile2String() method,2017-08-02,Closed,229,5,2,,1
Add isTablet method,2017-07-21,Merged,222,11,0,,1
fix #218,2017-07-21,Merged,221,8,4,,2
update TimeUtils,2017-07-07,Merged,216,18,4,,1
Update ScreenUtils,2017-07-07,Closed,199,2,8,,1
"优化SPUtils,",2017-05-30,Closed,195,149,73,,0
添加坐标转换工具类 CoordinateConvertUtils，并且所有方法均经过单元测试通过,2018-04-08,Closed,189,346,0,,2
添加坐标转换工具类 CoordinateConvertUtils，并且所有方法均经过单元测试通过,2018-04-08,Closed,188,344,0,,2
update README.md,2017-07-07,Closed,187,1,0,,0
Update LocationUtils.java,2017-07-07,Closed,186,63,0,,1
兼容7.0下安装app,2017-05-12,Closed,183,36,2,,2
Update README.md,2017-05-08,Closed,181,1,0,,0
update TimeUtils.java,2017-05-08,Closed,180,17,1,,1
update README.md,2017-05-07,Merged,179,2,0,,0
update LocationUtils.java,2017-05-07,Merged,178,56,1,,1
fix typos and fix bug in StringUtils.equalsIgnoreCase method,2017-04-24,Closed,170,15,14,,7
添加获取指定时间间隔后的日期,2017-04-17,Merged,162,94,0,,1
Merge pull request #1 from Blankj/master,2017-04-08,Closed,160,0,0,,0
Merge pull request #1 from Blankj/master,2017-04-08,Closed,159,0,0,,0
Merge pull request #1 from Blankj/master,2017-04-08,Closed,158,0,0,,0
Merge pull request #1 from Blankj/master,2017-04-08,Closed,157,0,0,,0
remove repeat phoneUtils,2017-04-08,Closed,152,1,8,,1
Update README-CN.md,2017-03-22,Closed,148,12,0,,0
1.更换SPUtils，及测试,2017-03-31,Closed,144,516,108,,0
在系统相册中显示图片,2017-02-27,Closed,140,19,0,,1
SPUtils put方法修改为重载，开发者无需关心put是什么类型,2017-07-07,Closed,132,163,20,,7
fix demo bugs,2017-01-17,Closed,122,4,1,,2
update README to reflect change in method name,2017-01-08,Merged,116,2,2,,0
ImageUtil methods should all be static by convention,2017-01-08,Merged,115,3,3,,1
