Mesosphere: Implement KernelLdr (8.0.0+),2019-12-31,Merged,770,"3,843",50,s fusee/fusee-secondary/Makefile ld c h libraries/Makefile mk ,13
pm: fix busy loop on <5.0.0 when processes exit,2019-12-13,Closed,761,14,1,hpp ,3
loader: fix ECS after new-ipc rewrite,2019-12-13,Merged,760,37,12,,1
Vapourware,2019-12-10,Merged,744,649,"1,103",Makefile h ini txt ips exosphere/Makefile exosphere/lp0fw/Makefile c fusee/fusee-secondary/Makefile s gitignore gitmodules gitrepo stratosphere/libstratosphere/LICENSE → libraries/LICENSE libraries/Makefile md mk ,48
New IPC,2019-12-07,Merged,707,"24,504","20,919",ini h c stratosphere/Makefile ,9
"Allow system, application and applet memory to be set manually",2019-11-14,Closed,697,42,5,cpp ,2
dmnt_cheat_vm: Correct register Restore and ClearRegs behavior,2019-12-07,Merged,683,2,2,,1
Changed reboot logic,2019-09-19,Closed,669,6,64,,1
dmnt: refactor to use sts namespace,2019-09-18,Merged,665,"3,689","4,306",json cpp hpp ,4
Implement support for 9.0.0.,2019-09-14,Merged,658,841,132,ips h md gitrepo c ,13
Enable ccache,2019-07-21,Closed,634,48,14,exosphere/Makefile exosphere/lp0fw/Makefile exosphere/rebootstub/Makefile exosphere/sc7fw/Makefile fusee/fusee-primary/Makefile fusee/fusee-secondary/Makefile sept/sept-primary/Makefile sept/sept-secondary/Makefile sept/sept-secondary/key_derivation/Makefile stratosphere/ams_mitm/Makefile stratosphere/boot/Makefile stratosphere/creport/Makefile stratosphere/dmnt/Makefile stub/Makefile stratosphere/fatal/Makefile stratosphere/libstratosphere/Makefile stratosphere/loader/Makefile stratosphere/pm/Makefile stratosphere/ro/Makefile stratosphere/sm/Makefile stratosphere/spl/Makefile thermosphere/Makefile troposphere/reboot_to_payload/Makefile ,24
Fatal: refactor into sts namespace.,2019-07-23,Merged,633,"2,068","1,818",json inc hpp ,5
defaults: disable screenshot verification by capsrv,2019-07-17,Closed,630,4,1,,1
creport: refactor to use sts:: namespace.,2019-07-15,Merged,628,"1,194","1,201",hpp ,2
Fix compilation with latest libnx master,2019-07-08,Merged,625,2,2,,1
Fix for 4.X units (new strato rework broke a method in spl),2019-07-01,Merged,616,95,93,,6
pm: complete rewrite,2019-07-12,Merged,606,"2,758","2,205",hpp ,12
loader: completely rewrite.,2019-06-28,Merged,603,"2,447","5,755",stratosphere/libstratosphere c ,3
ro: refactor/rewrite into sts:: namespace,2019-06-24,Merged,598,"1,030","1,415",stratosphere/ro/Makefile cpp hpp ,8
Refactor boot sysmodule to use sts::boot namespace.,2019-06-24,Merged,592,"5,522","6,851",,1
spl: refactor into sts namespace,2019-06-22,Merged,587,"2,234","2,156",hpp ,5
Completely re-write sm.,2019-06-22,Merged,585,"1,010",936,stratosphere/sm/Makefile cpp hpp ,7
sept: use python2 in Makefile,2019-06-20,Closed,584,1,1,,1
