Develop,2020-01-13,Merged,1952,30,9,,3
Add MIDI Processor AU loading,2020-01-09,Merged,1949,79,0,,2
Updated Logging system,2020-01-04,Merged,1947,372,328,,10
Start to replacing print based AKLog with os_log based one,2020-01-04,Closed,1946,251,201,swift hpp ,11
"Core FunctionTable: one bug fix, one enhancement",2019-12-23,Merged,1942,15,1,hpp ,2
AKConverter update,2019-12-11,Merged,1936,32,24,,2
Basics playground typo fix,2019-12-09,Merged,1935,1,1,,1
AKMicrophone fix per #1851,2019-12-02,Merged,1929,1,17,,1
"AKPlayer processingFormat, AKConverter improvements",2019-11-24,Merged,1925,57,27,,3
AKPlayer: fallback processingFormat,2019-11-24,Closed,1924,7,1,,1
Fix: Make AKMIDIEvent handle MIDI Clock messages,2019-11-21,Merged,1923,1,1,,1
Create main.ymlkj,2019-11-20,Closed,1922,17,0,,1
Core ADSR envelopes: improve handling of zero-length segments,2019-11-06,Merged,1917,1,1,,1
Fix AKWaveTable MIDI Response,2019-11-02,Merged,1914,10,2,h mm swift ,4
Cleanup: Remove EZAudioPlotGL from other Platform Projects,2019-11-01,Merged,1913,0,8,,2
Remove EZAudioPlotGL from all Platforms,2019-11-01,Merged,1912,0,809,,2
AKPlayer update,2019-10-29,Merged,1906,76,39,,6
Publicises sequencer functions,2019-10-23,Merged,1904,4,4,,1
made deviceSampleRate public,2019-10-16,Merged,1901,2,2,,1
Inter-App Audio is not available in Catalyst,2019-10-15,Merged,1900,3,0,,1
add reset calls on akapplesampler load functions,2019-10-15,Merged,1899,7,0,,1
Add CaseIterable Conformance to AKTable,2019-10-13,Merged,1897,1,1,,1
AKSampler: clamp loop endpoints to valid range,2019-10-11,Merged,1896,8,0,,1
sequencer remove note,2019-10-10,Merged,1893,26,0,h mm swift ,4
AKSampler+SFZ method for loading files using file URL,2019-10-09,Merged,1892,16,6,,1
AKSampler+SFZ looping bugfix and extended API,2019-10-09,Closed,1891,0,0,,0
remove from .h,2019-10-08,Merged,1887,14,17,,1
Make swiftlint part of xcode builds,2019-10-07,Merged,1886,66,2,,3
aksequencer fixes,2019-10-07,Merged,1885,12,3,swift ,2
AKWAvetable + Sequencer improvements,2019-10-07,Merged,1884,50,1,hpp ,3
