More Arms tweaks & fixed a typo in Items.lua,2020-01-13,Merged,839,163,362,,0
Tweaks,2020-01-12,Merged,838,3,3,,1
Added essences support and Tweaked profile,2020-01-11,Merged,837,206,120,,0
Added essences support and Tweaked profile,2020-01-11,Closed,836,186,93,,0
Adjustments for opener on Bosses,2020-01-10,Merged,835,12,12,,1
Here we go again,2020-01-10,Closed,834,6,6,,1
Fix autoStealth,2020-01-10,Merged,833,4,3,,1
S0ul3r assa fixes,2020-01-10,Merged,832,16,10,,2
adding slowFall buff,2020-01-10,Merged,831,1,0,,1
Added missing cast for tricks using trickUnit,2020-01-10,Merged,830,5,0,,1
Bf fix,2020-01-07,Merged,829,4,4,,1
"Fixed ""Starsurge"" spell name & Unholy Tweaks",2020-01-06,Merged,828,105,22,,2
Delete UnholyCuteOne.lua,2019-12-18,Closed,827,0,937,,0
"Added Azshara's Font of Power to Pre-pull, trinket and fixed RazorCoral trinket logic typo",2019-12-18,Closed,826,28,5,,1
Auto Beacon Toggle,2019-12-17,Merged,825,62,16,,1
Added Beacon toggle based on Boss Target,2019-12-16,Closed,824,61,16,,1
"Added Azshara's Font of Power to Pre-pull, trinkets and fixed RazorCor…",2019-12-16,Merged,823,937,0,,0
"Essence tweaks, added more essences and UI (Outlaw rog), GoA a for boss (Fury warr)",2019-12-13,Merged,822,57,28,,2
Moar essences,2019-12-13,Closed,821,43,22,,1
"Essence tweaking, added some more, UI",2019-12-13,Closed,820,43,22,,1
Tweaking and adding essences,2019-12-12,Closed,819,89,63,,1
Don't break stealth for pre pull regrowth,2019-11-24,Merged,818,1,1,,1
"Fire - Ability to turn off meteor, FS cancel cast from panglo",2019-11-15,Merged,817,36,32,,1
Assa opener razorfix,2019-11-13,Merged,816,9,5,,1
Coral prevent usage,2019-11-03,Closed,815,48,51,,2
Fixes for immy's outlaw,2019-11-07,Merged,814,46,41,,1
Fire - Code logic tweaks,2019-11-02,Merged,813,22,10,,1
"Fire - Check on Ice Block CD, trinket tweaks",2019-10-27,Merged,812,44,21,,1
"UI, new BotE logic, flurry additional logic",2019-10-23,Merged,811,22,6,,1
"UI, new BotE logic, flurry additional logic",2019-10-23,Closed,810,60,14,,1
Immy outlaw fixes 2,2019-10-23,Closed,809,30,10,,1
Fire - More Tweaking,2019-10-23,Merged,808,30,19,,1
Further fixes for coral/essences,2019-10-23,Merged,807,8,6,,1
"Coral logic, dismount fix, Blood essence logic",2019-10-22,Merged,806,35,9,,1
Meteor/Font Fix,2019-10-21,Merged,805,22,17,,1
Fire - Check for Flame On talent,2019-10-16,Merged,804,8,8,,1
Fire - Remains() not remains,2019-10-15,Merged,803,4,4,,1
FirePsy - FIre mage profile,2019-10-15,Merged,802,680,0,,0
Typo fix,2019-10-14,Merged,801,1,1,,1
end_me,2019-10-14,Merged,800,1,0,,1
Shadow Crash toggle + code cleanup,2019-09-15,Closed,798,684,776,,0
Logic for Razor Coral with Dribbing Ink,2019-10-13,Merged,797,31,20,,1
Font of Azshara,2019-09-02,Merged,795,22,1,,1
"Added logic for essences, new prepots",2019-08-28,Merged,794,15,8,,2
Assa fiskee essences prepots,2019-08-28,Closed,793,42,42,,3
"New essence logic, added new potions",2019-08-28,Closed,792,39,40,,3
"Logic for essences, new potions",2019-08-28,Closed,791,"8,509","1,819",md lua ,4
Panglo spriest edits for lulz,2019-08-23,Merged,790,29,16,,1
Frost Mage - GoA,2019-08-19,Merged,789,3,1,,2
Items - typo fix,2019-08-18,Merged,787,1,1,,1
Feral - Range check for Berserk,2019-08-08,Merged,786,1,1,,1
Added Spriest Buffs,2019-09-10,Closed,785,29,6,,2
Dungeon Magic Purge Update,2019-08-06,Merged,784,49,3,,2
Feral - Potions better readability,2019-07-31,Merged,782,1,1,,1
updates updates updates,2019-07-30,Merged,781,396,206,,0
"Feral - Shadowmeld Fix, Rake Fix, Snapshotting",2019-07-31,Closed,780,11,5,,1
Feral - Regrowth tweak for AoE,2019-07-29,Merged,779,2,1,,1
Feral - Update Trinkets,2019-07-31,Closed,778,24,14,,1
Feral - Rake improvements,2019-07-29,Closed,777,4,3,,1
Feral - Added Option for Ashvane's Razor Coral,2019-07-26,Closed,776,4,1,,1
Feral - Improvement to Tiger's Fury usage,2019-07-26,Merged,775,2,1,,1
Feral - Fix for Shadowmeld,2019-07-29,Closed,774,3,3,,1
Feral - Fix for Regrowth,2019-07-26,Merged,773,2,1,,1
Feral -  Will now always use Ashvanes Razor Coral if Trinkets is checked,2019-07-26,Closed,772,1,1,,1
Assa_potionsUpdate,2019-07-26,Closed,771,0,0,,0
fix typo,2019-07-25,Merged,770,1,1,,1
Items - Update,2019-07-25,Merged,769,11,2,,1
Feral - Potion Update,2019-07-26,Merged,768,22,15,,1
Feral Druid Update,2019-07-23,Merged,767,35,15,,1
Update Items.lua,2019-07-23,Merged,766,1,0,,1
Actual fix to pocket-sized comp device,2019-07-14,Closed,765,"1,066",0,,0
Priority to Computation Device,2019-07-13,Merged,764,14,2,,1
yello,2019-07-09,Merged,763,87,62,,0
parenthesis fix,2019-07-06,Merged,762,1,1,,1
new firemage cr based on 8.2,2019-07-06,Merged,761,"1,136",11,,0
optim'd timings,2019-06-27,Merged,760,12,4,,1
added Lucis Dreams,2019-06-27,Merged,759,39,16,,1
firemage/spriest fixes,2019-06-25,Merged,758,28,17,,2
debug removal ..,2019-06-20,Merged,757,2,2,,1
Interrupt fix!,2019-06-20,Merged,756,44,69,,1
flamestrike fix,2019-06-18,Merged,755,42,43,,1
AoE/ST fix,2019-06-17,Merged,754,9,7,,1
bug fixes!!!,2019-06-09,Merged,753,19,20,,1
updates,2019-06-08,Merged,752,"1,175",27,,0
System - In flight remain,2019-06-08,Merged,751,7,0,,1
firemage inflight spells,2019-06-04,Merged,749,5,0,,1
Stop ToggleToValue() and Show()/Hide() spam.,2019-06-03,Merged,748,7,6,,1
System - Queue Casted Fix.,2019-06-02,Merged,747,7,8,,1
Perfect commits xD,2019-06-01,Merged,746,21,3,,1
"Redo last cast, add buff.react, fix key pause error, better ground su…",2019-06-01,Merged,745,"1,201",75,lua ,9
Bad debuff update,2019-05-29,Merged,744,4,1,,2
"System - in flight tracking, queue adjustment and prediction",2019-05-28,Merged,743,84,9,lua ,9
Add polymorph to spells,2019-05-25,Merged,741,58,276,,0
Warlock - Pet glyphs,2019-05-25,Merged,740,36,51,,3
Outlaw - Adjust hook M2 condition,2019-05-25,Merged,739,2,2,,1
Outlaw - Better hooker and auto combat option,2019-05-25,Merged,738,32,23,,1
Fixed trinket + ironfur.,2019-05-25,Closed,737,4,3,,1
Trinket + Ironfur fix.,2019-05-24,Closed,736,2,2,,1
master,2019-05-24,Closed,735,228,172,,0
"Assa - Garrote change, maybe explodes",2019-05-23,Merged,734,22,5,,1
Sub - Remains->Remain,2019-05-09,Merged,733,1,1,,1
Holy Paladin - CS fix,2019-05-09,Merged,732,1,1,,1
Sub - Stealth spam be gone,2019-05-08,Merged,731,2,2,,1
System - Make encounter id global,2019-05-05,Merged,730,3,2,,1
Ret - BoF fix,2019-05-04,Merged,729,4,4,,1
Demo - Maybe EP works now?,2019-05-04,Merged,728,28,3,,2
Support KR language in BR menu,2019-05-04,Merged,727,9,1,,1
System - Added new spell queue function,2019-05-04,Merged,726,188,0,lua ,4
Assa - Distance check for vendetta,2019-05-03,Merged,725,2,2,,1
Ret - Wake target setting,2019-05-01,Merged,724,54,22,,1
Some fixes for low lvl and non-meta talents.,2019-05-08,Closed,723,"4,798","2,063",,2
*Restealth if enemy in combat. *Blindside conditions.,2019-04-27,Merged,721,2,2,,1
shadow + vengeance dh changes,2019-04-22,Merged,720,45,26,,3
Assa - yea broke,2019-04-21,Merged,719,5,5,,1
Assa - Unit is a unit,2019-04-20,Merged,718,1,1,,1
"Assa - Maybe breaks, yolo",2019-04-20,Merged,717,14,13,,1
Assa - Use name for stealth check,2019-04-18,Merged,716,1,1,,1
"Assa - Oops, ty deNoor",2019-04-18,Merged,715,1,1,,1
"""Auto stealth"" means enter stealth, not enter-cancel spam.",2019-04-18,Closed,712,1,1,,1
Assa - Maybe this works (Evasion Severing Axe),2019-04-16,Merged,711,14,0,,1
Assa - Option to dot player targets,2019-04-13,Merged,710,2,1,,1
One more just to be safe,2019-04-12,Merged,709,1,1,,1
One more to to be safe,2019-04-12,Closed,708,1,1,,1
Assa - Stop attacking friends,2019-04-12,Merged,707,2,2,,1
Assa - No so fast sir,2019-04-11,Merged,706,5,2,,1
Assa - Just some explosive stuff,2019-04-11,Merged,705,29,3,,2
Assa - Yoinked some explosive code,2019-04-10,Merged,704,42,3,,1
Assa - Still stun outside interruprs,2019-04-08,Merged,703,2,2,,1
Assa - Energy regen maybe better?,2019-04-07,Merged,702,1,2,,1
Assa - FH defensive fixes,2019-04-07,Merged,701,18,6,,1
Stealth spellid corrected,2019-04-06,Merged,700,4,5,,2
Assa - Pool for FH boss feint,2019-04-06,Merged,699,10,6,,1
Assa - Vendetta setting for vanish sync,2019-04-04,Merged,698,8,2,,1
Assassination Pool Party,2019-04-03,Merged,697,10,7,,1
