Fix Lua error calling UnitGroupRolesAssigned(),2019-12-05,Merged,731,2,2,,1
ruRU update,2019-12-05,Merged,728,2,2,,1
Update zhTW.lua,2019-09-14,Merged,714,1,1,,1
update zhCN.,2019-09-08,Merged,713,1,1,,1
Update zhTW.lua,2019-08-29,Merged,710,7,7,,1
Update deDE.lua,2019-08-25,Merged,709,6,6,,1
Update zhCN.lua,2019-08-21,Merged,708,6,6,,1
deDE fix,2019-08-20,Merged,707,2,2,,1
Update deDE.lua,2019-08-15,Merged,705,13,13,,1
Update zhTW/zhCN,2019-08-14,Merged,704,25,25,,9
Update zhTW.lua,2019-08-14,Closed,703,12,12,,1
Adds missing Dread timer reset,2019-07-31,Closed,699,3,1,,1
EternalPalace/AbyssalCommander: Do not show Inversion bar on LFR,2019-07-27,Merged,697,3,1,,1
Update deDE.lua,2019-07-24,Merged,693,6,6,,1
Locale updates,2019-08-14,Merged,687,190,6,lua xml ,14
Update zhCN.lua,2019-06-23,Merged,682,3,3,,1
Update BigWigs_EternalPalace.toc,2019-06-23,Merged,681,4,4,,1
ruRU update,2019-06-02,Merged,680,2,2,,1
ruRU update,2019-06-02,Merged,679,2,2,,1
ruRU update,2019-06-02,Merged,678,2,2,,1
ruRU update,2019-06-02,Merged,677,2,2,,1
ruRU update,2019-06-02,Merged,676,2,2,,1
update zhCN.,2019-06-02,Merged,675,1,1,,1
Core/BossPrototype: Add warlock felhunter purge and interrupt,2019-05-31,Merged,673,19,7,,1
Plugins/BossBlock: Fix errors when engaging/killing boss while in combat,2019-05-31,Closed,672,12,4,,1
Update zhTW.lua,2019-05-31,Merged,671,7,7,,1
Fix #617  bigwigs local bars disappear on changing zones,2019-05-31,Closed,669,1,1,,1
update zhCN.,2019-05-31,Merged,668,6,6,,1
Loader: Add Operation: Mechagon,2019-05-20,Merged,667,1,0,,1
Update deDE.lua,2019-05-11,Merged,665,2,2,,1
update zhCN.,2019-05-11,Merged,664,2,3,,1
Update zhTW.lua,2019-05-06,Merged,663,2,2,,1
Update zhTW.lua (Plugins),2019-05-06,Merged,662,6,6,,1
Update common.zhTW.lua,2019-05-06,Merged,661,1,1,,1
Update zhTW.lua,2019-05-06,Merged,660,4,4,,1
update zhCN.,2019-04-24,Merged,654,10,15,,2
Update zhTW,2019-04-24,Merged,653,3,3,,1
Update zhTW.lua,2019-04-23,Merged,652,9,9,,1
Update deDE.lua,2019-04-22,Merged,651,9,9,,1
Show icons next to option name indicating extra option flags,2019-04-20,Merged,650,135,52,lua ,3
Update zhTW.lua,2019-04-22,Closed,649,2,2,,1
Update deDE.lua,2019-04-22,Closed,648,3,3,,1
Update zhTW.lua,2019-04-19,Closed,646,2,2,,1
Update zhCN.lua,2019-04-23,Merged,645,6,0,,1
CrucibleOfStorms/Uunat: Add markers for Primordial Mindbender,2019-04-18,Closed,644,39,4,,10
Update zhTW.lua,2019-04-18,Merged,643,8,8,,2
Uunat: Add Primordial Mindbender marker,2019-04-18,Closed,642,23,4,,1
Update deDE.lua,2019-04-17,Merged,641,2,2,,1
CrucibleOfStorms: Add locale files,2019-04-17,Merged,640,69,1,xml ,11
Add checkbox to disable emphasizing bars of abilities,2019-08-14,Closed,639,29,5,,14
Update zhTW,2019-04-17,Merged,638,2,2,,1
BattleOfDazaralor/Blockade: Add Sea Storm say message and targets message,2019-03-31,Merged,636,18,6,,2
Core/BossPrototype: Fix GetBossId for units other than boss1 with mob id,2019-03-29,Merged,635,3,1,,1
update zhCN.,2019-03-29,Merged,634,1,1,,1
Update deDE.lua,2019-03-29,Merged,632,1,1,,1
Update deDE.lua,2019-03-29,Merged,631,1,1,,1
Core/BossPrototype: Replace GetBossIdByGUID with GetBossId,2019-03-25,Merged,630,13,4,,1
BattleOfDazaralor/Conclave: Updates Wrath timers,2019-03-22,Merged,629,83,16,,1
Update esES.lua,2019-03-19,Merged,628,12,12,,1
BattleOfDazaralor/Mekkatorque: Add timer for 5th Blast Off in stage 3 on mythic,2019-03-18,Merged,627,1,1,,1
update zhCN.,2019-03-16,Merged,623,1,1,,1
Updated Locales esES,2019-03-16,Merged,622,5,5,,2
Update BattleOfDazaralor esEs Locales,2019-03-15,Merged,621,42,42,,1
deDE update,2019-03-04,Merged,615,5,5,,2
update zhCN.,2019-02-25,Merged,612,2,2,,1
"BattleOfDazaralor/Rastakhan: Add target message for Meteor Leap, hide InfoBox on LFR, throttle Plague of Fire",2019-02-25,Merged,611,34,14,,2
BattleOfDazaralor/Conclave: Add raptor fixate icons to nameplates,2019-02-24,Merged,609,42,2,,10
Update zhCN,2019-02-20,Merged,608,2,2,,1
update zhCN.,2019-02-15,Merged,607,3,3,,1
Update frFR,2019-02-14,Merged,606,44,44,,2
Update ruRU,2019-02-13,Merged,605,6,6,,3
Update zhTW.lua,2019-02-13,Merged,604,3,3,,1
Update zhTW,2019-02-13,Merged,603,2,2,,1
Update ruRU,2019-02-13,Merged,602,97,97,,5
Update frFR.lua,2019-02-13,Merged,601,6,6,,1
