Make collectionView(_: numberOfItemsInSection:) open on CollectionViewBinderDataSource,2019-12-17,Merged,670,1,1,,1
Fix Retain Cycle in Swift `KeyPath` KVO,2019-12-15,Merged,669,18,4,,2
Added MainBlockDisposable to tvOS and macOS targets,2019-12-13,Merged,668,4,0,,1
Introducing MainBlockDisposable,2019-12-12,Merged,667,68,59,swift ,8
Create Bond+RAGTextField.swift,2019-12-17,Closed,664,46,0,,1
Make collectionView(_: numberOfItemsInSection:) open on CollectionViewBinderDataSource,2019-12-13,Closed,663,0,0,,0
Update to use new Combine-inspired API in ReactiveKit 3.14,2019-11-13,Merged,662,27,27,Cartfile resolved swift ,14
Add methods to allow sorting sections in a mutable tree change set,2019-08-05,Merged,652,22,0,,1
Fix missing NSGestureRecognizer extensions,2019-08-05,Merged,647,6,2,swift ,2
Update to replace deprecated ReactiveKit API use,2019-06-30,Merged,646,62,62,swift ,11
"Revert ""Compatible with devices prior to iOS 11.""",2019-12-17,Closed,642,0,10,,1
Fixed typo,2019-06-30,Merged,639,1,1,,0
Update README.md,2019-06-30,Merged,638,1,1,,0
Introduce reload state to Diff in order to omit extra calling reloadData,2019-07-15,Closed,637,177,54,,15
Add support for NSCollectionView data source bindings,2019-04-27,Merged,627,313,4,resolved swift ,3
[README] Document installation via Accio,2019-04-12,Merged,621,100,200,gitmodules pbxproj resolved Carthage/Checkouts/Differ Carthage/Checkouts/ReactiveKit swift md ,7
selectedItemIndexPath is made public.,2019-04-02,Merged,616,1,1,,1
Update to Swift 5,2019-03-31,Merged,613,237,226,yml podspec pbxproj plist xcscheme Cartfile resolved Carthage/Checkouts/Differ Carthage/Checkouts/ReactiveKit swift xcplayground ,21
Fix compiler warnings when building with Xcode 10.2 (#607),2019-03-26,Merged,608,11,2,,1
[WIP]: Refactoring of Tree protocols,2019-03-16,Merged,601,"1,019",608,pbxproj plist swift xcplayground ,11
UITableView bind to custom xib UITableViewCell,2019-02-24,Merged,595,34,6,,2
"Property ""numberOfAllElements"" added to extension for Property class",2019-02-24,Closed,594,9,5,resolved swift ,5
Add data source binding extensions to UIPickerView,2019-02-17,Merged,590,271,0,swift ,4
Xcode 10.2 and Swift 5.0 compatibility,2019-03-31,Merged,582,231,226,swift-version yml pbxproj Cartfile resolved Carthage/Checkouts/Differ Carthage/Checkouts/ReactiveKit swift ,13
#fix : DynamicSubject did not notify it’s subject when changed via bi-binding,2019-12-17,Closed,581,32,7,md swift ,2
Remove `createCell` parameter from inline docs,2018-12-16,Merged,576,0,2,,2
Compatible with devices prior to iOS 11.,2018-12-16,Merged,575,10,0,,1
Fix typo chageset to changeset,2018-11-27,Merged,572,12,12,,3
Bond 7 TreeNodeProtocol additions,2018-11-11,Merged,566,73,10,,2
Add support for creating AppKit row views from the binders,2018-10-13,Merged,563,16,174,swift ,4
AppKit changes for Bond 7,2018-10-11,Merged,562,344,383,xcworkspacedata swift ,3
[WIP] Bond 7,2018-11-11,Merged,560,"6,020","4,208",podspec pbxproj plist xcworkspacedata xcsettings md ,8
bump Differ to v1.3.0,2018-09-26,Merged,559,3,3,Cartfile swift ,3
Minor syntax changes,2018-09-18,Merged,553,5,5,,0
"Tell Travis CI to use Xcode 10, and break the script down into stages",2018-09-16,Merged,550,10,7,,1
Add support for NSGestureRecognizer on macOS,2018-09-16,Merged,549,139,0,swift ,2
Add support for NSGestureRecognizer on macOS,2018-09-13,Closed,548,127,0,swift ,2
Replace KVO with controlEvent for NSControl.reactive.objectValue derived properties,2018-08-30,Merged,547,6,6,,1
Bump Travis CI to use Xcode 9.4,2018-06-21,Merged,537,2,12,,1
Swift 4.2 support,2018-09-18,Merged,535,45,11,,6
Update DataSourceSignals.md,2018-05-20,Merged,531,1,1,,0
PR 526 - Changed macOS version number,2018-05-04,Merged,527,2,0,,1
Return tableView also in selectedRowIndexPath,2018-10-07,Closed,525,4,3,,1
[WIP] Observable Tree,2018-04-27,Merged,524,958,199,pbxproj swift ,6
[WIP] Observable Tree,2018-04-24,Merged,518,903,0,swift ,5
Ensure NSTableColumn is available to cell creation closure on TableViewBinder,2018-04-08,Merged,517,11,7,swift ,2
📦 Bump Differ to v1.2.0 in ObservableCollection branch,2018-04-08,Merged,516,16,14,pbxproj Cartfile resolved Carthage/Checkouts/Differ swift md ,7
[WIP] Update syntax to Swift 4.1.,2018-04-14,Merged,515,37,31,podspec pbxproj xcscheme plist Cartfile resolved Carthage/Checkouts/Differ Carthage/Checkouts/ReactiveKit swift ,15
[WIP] ObservableCollection implementation,2018-10-07,Closed,514,"4,021",75,podspec pbxproj xcsettings resolved swift xcplayground md ,11
[WIP] ObservableCollection implementation,2018-04-02,Merged,513,587,58,pbxproj ,2
Add UISearchBar text extension and unit test,2018-03-25,Merged,511,74,0,swift ,3
Adjust ObservableArray move to index before inserting new value,2018-03-15,Closed,506,2,1,,1
Replace ReferenceWritableKeyPath with KeyPath in observe method,2018-02-04,Merged,498,1,1,,1
Export ReactiveKit,2018-02-04,Closed,497,1,1,,1
Fixed UICollectionView test and binding functionality,2018-03-03,Merged,496,13,5,,2
Updated README.md,2017-10-23,Merged,485,4,4,,0
Include all Swift source files in all targets,2017-10-23,Merged,484,6,0,,1
Fix for CStructs in ProtocolProxy,2017-10-16,Merged,483,2,0,,1
Add UIView extension to provide reactive UIGestureRecognizers,2017-10-16,Merged,482,92,0,,1
Bump ReactiveKit to v3.7.3,2017-10-08,Merged,478,8,18,Carthage/Checkouts/ReactiveKit swift ,4
Fix Swift Package Manager tests,2017-10-06,Merged,477,23,3,,2
Fixes a crash in the new protocol proxy code,2017-10-06,Merged,476,5,5,Carthage/Checkouts/ReactiveKit swift ,4
Dependency updates,2017-10-05,Merged,475,10,28,resolved Carthage/Checkouts/Differ Carthage/Checkouts/ReactiveKit ,5
Fix a example typo in README.md,2017-09-25,Merged,469,1,1,,0
"📦 Bump ReactiveKit to use a proper Swift 4.0 compatible release, and update Differ to 1.0.1",2017-09-22,Merged,466,16,16,Cartfile resolved Carthage/Checkouts/Differ Carthage/Checkouts/ReactiveKit swift ,7
Use Differ in place of Diff.swift,2017-09-19,Merged,465,151,104,podspec pbxproj xcscheme Cartfile resolved swift Carthage/Checkouts/Differ ,12
Make a number of NSControl objectValue derivative properties DynamicSubjects rather than Bonds,2017-09-15,Merged,463,73,21,,6
Update Bond.podspec,2017-08-18,Merged,455,1,1,,1
Update documentation (dynamic -> keyPath),2017-08-18,Merged,452,27,23,md ,2
Fixed crash on binding to NSTableView,2017-09-30,Closed,442,1,1,,1
"Update to use Diff.swift's Swift 4 branch, and update SwiftPM format",2017-08-09,Merged,440,79,73,Cartfile resolved pins swift md ,16
Bump simulator versions on TravisCI to 10.3,2017-07-07,Merged,436,4,3,swift ,2
Update Swift 4 branch to include recent changes to patches and diffs,2017-07-07,Merged,435,316,51,pbxproj swift ,4
Address two issues with batched updates and array replacement,2017-07-04,Closed,434,9,8,,1
Add NSLayoutConstraint to iOS and tvOS targets,2017-07-07,Merged,433,4,0,,1
Fix spelling of backgroundImage,2017-07-07,Merged,432,2,2,,2
Sorry accidentally created,2017-06-09,Closed,426,"1,097",7,storyboard ,2
New button's properties,2017-05-03,Merged,420,17,0,,2
Adjust project source layout to support Swift Package Manager,2017-04-02,Merged,408,827,506,yml podspec pbxproj pins swift m h ,41
Prep release of Bond 6.2.2,2017-03-30,Merged,405,3,3,plist ,2
Update Diff.swift dependency to 0.5.3,2017-03-17,Merged,399,2,2,swift ,2
Provide default values for ObservableDictionary and ObservableSet initializers,2017-02-17,Merged,388,2,2,,2
Update Diff.swift to version 0.5.2,2017-02-16,Merged,387,2,2,swift ,2
"Send batched NSTableView inserts, deletes and reloads",2017-02-16,Merged,386,7,22,,1
Makes the Diff.swift framework an explicit dependency,2017-02-16,Merged,385,39,24,,1
Fix Swift 3.1 beta warnings,2017-02-12,Merged,383,4,6,,2
set flag: APPLICATION_EXTENSION_API_ONLY = YES,2017-02-08,Merged,381,6,0,,1
`NSTableView` binding improvements,2017-01-26,Merged,374,145,59,,1
Fix NSTableViewDataSource method signature,2017-01-20,Merged,373,2,2,,1
"Add `item(at index:Int)` method to DataSource, in order to satisfy NSTableViewDataSource",2017-01-20,Merged,372,74,6,swift ,6
Expose NSPopUpButton’s reactive extensions as DynamicSubjects,2017-01-19,Merged,369,24,8,,1
Fix KVODeallocate crash with NSColorWell’s color property,2017-01-19,Merged,368,1,1,,1
Update to ReactiveKit 3.2.2,2017-01-20,Merged,367,2,2,Carthage/Checkouts/ReactiveKit ,2
"Change NSControl.reactive.controlEvent to emit the sender, rather than objectValue",2017-01-17,Merged,365,23,10,,3
Fix issues with array diff,2017-01-17,Merged,364,6,6,,1
replace2D API for MutableObservable2DArray,2017-01-17,Merged,363,228,5,swift ,4
UIActivityIndicatorView.animating -> UIActivityIndicatorView.isAnimating,2017-01-14,Merged,361,2,2,,1
Further AppKit additions,2017-01-16,Merged,358,212,24,,9
Update Diff.swift to v0.5.1,2017-01-12,Merged,357,12,6,Cartfile resolved swift ,4
Add more AppKit properties and bindings,2017-01-12,Merged,356,144,8,swift ,5
Updated to use ReactiveExtensions in ProtocolProxy example,2017-01-12,Merged,355,4,4,,0
Fix mismatched base vs self in get/set associatedObject,2017-01-11,Merged,354,1,1,,1
"MutableObservableSet add update, removeAll, and indices.",2017-01-17,Merged,351,120,0,swift ,3
Swift3,2016-12-26,Closed,347,"1,104",0,,1
Use Diff.swift to calculate diffs and patches,2016-12-28,Merged,346,98,101,podspec pbxproj Cartfile resolved swift ,9
MutableObserval2DArray replace apis extension,2016-12-15,Merged,339,55,0,,1
"Fix observation of NotificationCenter subclasses, such as DistributedNotificationCenter",2016-11-13,Merged,329,10,10,swift ,2
Fix enabled -> isEnabled,2016-11-03,Merged,325,1,1,,1
