Implement GraphQL Endpoint,2020-01-04,Closed,1830,"1,401",1,,5
New Crowdin translations,2019-12-27,Merged,1824,876,390,,11
update translation,2019-12-27,Merged,1819,3,3,,1
added port for bookstack-test,2019-12-07,Closed,1808,1,0,,1
Update of polish language,2019-12-27,Merged,1804,155,142,,5
Modify Chinese language pack,2019-12-27,Merged,1797,103,103,,5
add ar_alt local,2019-12-27,Closed,1796,"1,003",35,,9
BookStack-Install-Script-Debian-10.sh,2019-12-27,Closed,1795,129,0,,1
Fix An Exception,2019-12-27,Merged,1793,1,1,,1
Simplified Chinese Translation Update,2019-12-27,Merged,1791,107,107,,4
SAML2 Authentication,2019-11-17,Merged,1787,"1,628",414,php ,3
Update Italian translation,2019-12-27,Merged,1762,18,11,,3
Feature: Move a page directly into a chapter of another book,2019-10-29,Merged,1752,6,1,,1
Add ability to override translations with custom text,2019-10-26,Merged,1749,95,2,,4
Bugfix - download and assign avatar when creating LDAP user in database,2019-10-29,Merged,1746,1,0,,1
Bugfix - takes APP_URL on redirect after login into account. Fixes issue #1377,2019-10-27,Closed,1743,5,1,,1
Bugfix - Bookshelf cover was not assigned,2019-10-27,Merged,1735,1,0,,1
Update Korean translation,2019-12-27,Merged,1734,664,662,php ,5
New Crowdin translations,2019-12-27,Closed,1733,"1,892",426,,10
New Crowdin translations,2019-10-18,Merged,1732,58,79,,24
New Crowdin translations,2019-10-18,Merged,1731,"4,545","2,667",,4
Added support for Pascal language,2019-12-27,Merged,1730,3,0,php ,2
New Crowdin translations,2019-10-18,Closed,1729,"4,599","2,635",,4
New Crowdin translations,2019-10-18,Closed,1728,"28,819","7,901",,4
New Crowdin translations,2019-10-18,Closed,1727,"19,761",0,,4
Inherit book permission from shelf when assigning book,2019-10-17,Closed,1724,33,2,php ,5
Customize colors in settings,2019-12-07,Merged,1723,132,6,js ,7
Add feature to send test e-mails,2019-10-23,Merged,1719,58,1,,5
Enable pasting base64 images to the editor,2019-10-03,Closed,1699,1,1,,1
Fixing composer install inside docker `app` container,2019-10-05,Merged,1698,1,1,,1
French translation update,2019-10-17,Merged,1695,101,42,,5
WIP: Entity Repo & Controller Refactor,2019-10-05,Merged,1690,"2,686","2,732",,6
Fix Book form (create) returning to the full books list on cancel,2019-10-27,Merged,1687,36,1,,2
Updated 'Spanish Argentina' translation.,2019-10-17,Merged,1681,30,1,,1
Turkish Language Support,2019-10-17,Closed,1674,975,2,md ,7
Add support for INI format in code editor,2019-10-17,Merged,1667,4,0,php ,2
Turkish Translations,2019-10-17,Merged,1660,852,0,,4
Add testing via GitHub actions,2019-09-12,Merged,1657,27,1,md ,1
Update settings.php,2019-10-17,Merged,1646,4,4,,1
Upgrade laravel to v6,2019-09-14,Merged,1641,"2,561","1,349",gitignore yml php ,13
Update validation.php,2019-09-07,Merged,1637,12,34,,1
Update passwords.php,2019-09-07,Merged,1636,9,16,,1
Update pagination.php,2019-09-07,Merged,1635,5,12,,1
Updated Spanish translation,2019-09-07,Merged,1633,32,2,,5
Update errors.php,2019-09-07,Merged,1630,7,5,,1
Update entities.php,2019-09-07,Merged,1629,73,69,,1
Update components.php,2019-09-07,Merged,1628,5,6,,1
Update common.php,2019-09-07,Merged,1627,16,18,,1
Update auth.php,2019-09-07,Merged,1626,23,22,,1
Update Spanish translation,2019-09-04,Closed,1625,32,2,,5
Update settings.php,2019-09-07,Merged,1624,6,2,,1
Updated 'Spanish Argentina' translation.,2019-09-07,Merged,1623,175,158,,3
Fix 1575,2019-10-17,Merged,1587,6,5,scss ,2
Adds autofocus on the email field of the standard login page.,2019-10-17,Merged,1584,3,2,,2
SAML Auth Provider,2019-11-17,Merged,1576,802,79,,3
Typo fix,2019-08-26,Merged,1573,2,2,,1
German translation extended,2019-08-04,Merged,1561,65,10,,7
Hungarian translation,2019-08-04,Merged,1554,882,1,,5
Fix pt_BR translations,2019-07-15,Merged,1534,156,206,,4
Page Templates Implementation,2019-08-11,Merged,1527,628,128,svg js ,9
Fix missing word in users_social_accounts_info string,2019-07-03,Merged,1517,1,1,,1
Hide permissions table unless custom permissions are enabled,2019-06-25,Merged,1505,24,2,php ,3
Add docker development environment,2019-08-26,Merged,1504,656,51,yml dev/docker/Dockerfile sh ,5
add missing translations to german language file,2019-12-27,Closed,1503,4,0,,2
"fix translate for ""actions""",2019-12-27,Closed,1502,1,1,,1
Added locale and text direction to html templates,2019-08-18,Merged,1486,18,6,,6
Updated the french lang files,2019-07-15,Merged,1485,50,8,,5
Update maintenance.php to link to Github release page & minor style tweak,2019-10-17,Merged,1462,3,2,,1
Update common.php,2019-05-19,Merged,1446,11,1,,1
Update entities.php,2019-05-19,Merged,1445,2,0,,1
Update settings.php,2019-05-19,Merged,1444,54,52,,1
Update common.php,2019-05-19,Merged,1443,1,0,,1
