Update PULL_REQUEST_TEMPLATE.md to use checkboxes,2020-01-09,Closed,3417,10,10,,0
Update readme,2020-01-06,Merged,3415,2,3,,0
remove redundant conditions of macOS in main-menu,2019-12-23,Merged,3390,7,7,,1
Add Ok button to export confirmation box,2019-12-23,Merged,3386,13,1,json ,11
Fix emoji render on notes list,2019-12-23,Merged,3385,30,3,json lock ,3
minor changes,2019-11-21,Merged,3371,4,2,,0
"Delete Dialog: typo for the ""type"" property",2019-11-21,Merged,3369,2,2,,2
Insert Date ISO 8601 Style #3064,2019-11-28,Closed,3363,2,2,,1
feature state diagram: add state diagram to markdown preview,2019-11-21,Merged,3354,346,146,,1
Adding TOC UI,2019-12-23,Merged,3352,83,45,js md snap ,3
Bump lodash from 4.17.10 to 4.17.13,2019-11-21,Merged,3324,7,11,lock ,2
Bump js-yaml from 3.12.0 to 3.13.1,2019-11-21,Merged,3323,5,11,lock ,2
Upgrade electron to v4,2019-10-29,Merged,3322,11,9,lock ,2
TOC: Scrolling: Fixed TOC links and scrolling,2019-11-21,Merged,3318,9,6,,1
Export: uses markdown preview dom. Supports diagrams,2019-12-23,Merged,3317,2,2,,1
"Add error handling to ""New note from URL"" dialog",2019-10-28,Merged,3313,9,2,,1
Admonition,2019-11-21,Merged,3297,5,2,js ,2
"Fix preview-window's scroll behavior, #3289",2019-10-28,Merged,3294,23,6,,2
Fixed #3287 - Fixed to work TOC links,2019-10-27,Closed,3293,3,1,,1
Added link to downloads,2019-12-28,Merged,3290,4,0,,0
Fix/fix to work markdownlint#3147,2019-10-28,Merged,3285,11,6,html ,2
Custom background - Editor,2019-11-18,Closed,3280,52,5,styl json ,10
Updated the readme,2019-10-14,Merged,3274,2,3,png ,1
npm 'test' script should contain jest tests,2019-10-15,Merged,3272,2,2,json ,2
Added Czech translation,2019-11-04,Merged,3264,217,0,json ,22
[Issue-3160] Add ability to sort lines with hotkey combination,2019-10-10,Merged,3257,12,1,js ,3
Used the same hot-key pattern as the one already in use,2019-10-10,Closed,3256,1,1,,1
"[Feature] Add support for plantUML mindmap, wbs, gantt",2019-10-10,Merged,3249,173,23,md snap ,4
Fix throwing of exception on multiple instances,2019-10-10,Merged,3243,11,12,,1
Add sidebar collapse button to sidebar while viewing the tags list,2019-09-14,Merged,3239,1,0,,1
Dracula theme buttons in storage settings fix,2019-09-14,Merged,3238,18,1,,2
fix: Can't open external browser in Markdown Preview with external link containing '#',2019-10-10,Merged,3233,19,13,,1
Fix #888 - Wrong word count due splitting,2019-09-02,Merged,3226,1,1,,1
Add option to disable the automiatic deletion of un-referenced attach…,2019-08-30,Merged,3225,270,12,styl ,9
Update Chinese translation,2019-09-02,Merged,3219,"3,530","3,509",,20
Fix 2636,2019-08-11,Merged,3206,23,13,js html ,13
Fix JavaScript hello world example,2019-08-24,Merged,3204,1,1,,1
Add `CodeEditor::setLineContent` method to manipulate line contents,2019-08-24,Merged,3197,19,6,,3
Fix #3174: Enable dragging of notes,2019-08-24,Merged,3195,17,9,,3
"fix: HotkeyTab accidentally set incomplete hotkey, related #3190",2019-09-02,Merged,3194,2,2,,1
Fix #3190 - App blanks out after setting HotKey,2019-09-02,Merged,3193,5,1,,1
Fix XSS vulnerability after PDF export (issue #3178),2019-08-24,Merged,3192,1,1,,1
Fix routing for tag filtering (issue #3157),2019-08-24,Merged,3191,11,8,,3
"Only show context menu if ""switch preview"" is not set to ""on right click""",2019-08-24,Merged,3186,4,1,,1
"Stricter regex pattern in pathname matching, fix #3183",2019-10-10,Merged,3184,2,4,,1
Fix 3060,2019-08-24,Merged,3181,1,1,,1
fix #2935,2019-10-10,Merged,3180,9,0,,1
fix #3159,2019-08-24,Merged,3179,4,0,,1
"MarkdownPreview should scroll to top after selecting another note, also fix #3023",2019-08-24,Merged,3177,13,4,,1
"optimize: should highlight any non-empty search query, fix #3164",2019-08-24,Merged,3175,1,1,,1
Suppport auto generating toc content for the [TOC] tag,2019-10-15,Merged,3173,104,0,json md snap lock ,6
Fix themes,2019-07-26,Merged,3166,13,14,,4
Discard warnings,2019-07-26,Merged,3165,31,30,html ,20
MarkdownEditor and MarkdownSplitEditor always wrap lines,2019-07-25,Merged,3150,2,0,,2
fix issue 3123,2019-07-25,Merged,3149,30,2,md snap ,4
Fixed permissions,2019-07-25,Merged,3148,0,0,,2
tweak MarkdownPreview style to optimize overflow scrollbar display,2019-09-02,Merged,3136,34,15,,1
Improvement: fix several propType errors raised by 'react.development.js',2019-07-26,Merged,3133,8,9,,5
Dont highlight search term if search field is emptied,2019-07-22,Merged,3112,1,0,,1
Debounce deletion of un-referenced attachments --> don't fixes but mi…,2019-07-10,Merged,3107,2,8,,2
Html to md feature,2019-09-02,Merged,3099,590,12,styl ,9
Feat run prettier on markdown,2019-08-24,Merged,3093,88,5,json config lock ,8
null,2019-06-16,Closed,3081,"18,955",1,,1
"Add menu item ""About"" to ""Help""",2019-07-08,Merged,3079,23,0,,1
"Changed ""insert date & time"" hotkey on mac from Shift-Cmd-/ to Alt-Cmd-/",2019-07-08,Merged,3076,24,14,,3
Update lock/unlock icons in editor #1760,2019-07-08,Merged,3070,1,1,,1
Fix export to PDF exporting corrupted images,2019-07-08,Merged,3068,4,0,,1
feat: Added Context Menu for markdown preview mode and copy url when …,2019-07-22,Merged,3066,78,32,,4
Fix Custom CSS Disappears After Saving,2019-07-08,Merged,3065,8,3,,2
Fix 2892: Line wrapping,2019-07-22,Merged,3063,94,21,json ,24
fix chinese language new note tab style,2019-07-08,Merged,3062,1,0,,1
Update FUNDING.yml,2019-06-06,Merged,3059,1,1,,1
apply theme color to slider in MarkdownSplitEditor,2019-07-08,Merged,3055,21,0,,1
Fix #2540,2019-06-03,Merged,3050,1,0,,1
Fix theme path issue,2019-07-17,Merged,3048,21,17,,8
Simplified search input & fixed chinese character input,2019-06-28,Merged,3037,52,67,json lock ,4
Enable Markdown lint option,2019-05-26,Merged,3034,184,48,html json ,8
Fixed formatting,2019-05-26,Merged,3032,4,3,,1
Fix 3007,2019-07-27,Merged,3028,43,5,json ,27
fix gallery on windows,2019-07-19,Merged,3027,23,11,,3
Create FUNDING.yml,2019-05-24,Merged,3026,1,0,,1
Capitalize md filenames,2019-05-24,Closed,3016,0,0,,0
Capitalize MD filenames,2019-05-22,Closed,3015,0,0,,0
Make buttons undraggable,2019-05-29,Merged,3013,9,1,,1
"[Feature] Add support for plantUML mindmap, wbs, gantt",2019-09-16,Closed,3010,157,1,md snap ,4
Fix regular expression related checkbox logic,2019-05-29,Merged,3001,19,12,,4
Add React hooks section to code style guide,2019-05-13,Merged,3000,8,1,,0
Fix #2922,2019-06-03,Merged,2998,12,10,md snap lock ,3
Fix #2959,2019-05-09,Merged,2997,2,2,,1
Fixes that TOC hasn't id attribute when the title is all 2-byte characters,2019-06-28,Merged,2994,79,21,,4
Upgrade React & React-DOM & React-Router + adding DevTools,2019-05-29,Merged,2990,847,275,js ,12
Fix empty link 2,2019-05-06,Merged,2986,1,1,,1
Add markdownlint rules form,2019-05-26,Closed,2983,107,42,html json ,8
Fix empty link,2019-04-24,Merged,2978,3,1,,1
Upgrade project to Electron 4,2019-07-04,Closed,2971,23,20,json lock ,3
Fixed typo on string 137,2019-05-13,Merged,2966,4,4,,1
Increase arrow size on sidebar,2019-04-15,Merged,2963,3,3,styl ,2
"Add ""Ctrl + /"" and ""Shift + Ctrl + /"" to insert today's date and time",2019-04-12,Merged,2962,20,0,,1
Issue 2858 - Will no longer attempt to redraw images that are already of the correct rotation,2019-04-15,Merged,2961,32,14,,1
Update productDescription in gruntfile.js to fix grammatical error,2019-04-12,Merged,2956,2,2,,1
Issue 2950 - clicking on elements when in full page preview toggles the mode back to split.,2019-04-12,Merged,2952,6,12,,1
Merge pull request #1 from BoostIO/master,2019-03-27,Closed,2951,0,0,,0
"Fix locale json format, add some translations for ja",2019-04-02,Merged,2946,267,227,json ,6
Removed erroneous parameter resulting in PlantUML server URL not being used,2019-04-12,Merged,2945,1,1,,1
Fixes search input dropping key input,2019-07-22,Closed,2942,5,3,,1
Click a note link will now select the right folder note and not /home,2019-03-25,Merged,2941,10,1,,1
Fix wrong binding,2019-03-22,Merged,2940,1,1,,1
Fixed bug 2931,2019-09-23,Closed,2939,4,0,,1
Upgrade Travis CI node and npm versions,2019-03-25,Merged,2929,2,2,,1
Spellcheck dropdown fix,2019-04-15,Merged,2926,0,1,,1
"Chinese, Japanese, Korean are now available on search box. (fix for #2885)",2019-07-23,Closed,2919,5,1,,1
Fix copy button,2019-03-20,Merged,2914,2,0,,1
Sorting notes alphabetically now sort starting numbers in titles right,2019-05-09,Merged,2910,18,0,,1
Fetch page title when paste valid markdown title with one valid URL,2019-04-15,Merged,2908,42,7,,3
README: removed mobile app mention (#2828),2019-03-25,Merged,2900,1,1,,0
Initialize storage ignores now tags from skipped notes,2019-04-15,Merged,2898,3,1,,1
