"Add ""supports"" relationships to recommendations screen",2020-01-10,Merged,2960,159,89,resx ,14
Don't check ZIP health in ModuleInstaller.GetModuleContentsList(),2020-01-09,Merged,2959,12,7,,2
Workaround to launch URLs,2020-01-08,Merged,2958,68,48,,9
Memoize lazily evaluated sequences,2020-01-08,Merged,2953,164,36,,8
Make provides a list of identifiers in the schema,2020-01-06,Merged,2952,3,1,,1
Request fewer GitHub releases and cache string URLs in Netkan,2019-12-24,Merged,2950,82,37,,2
Catch nested GameData folders in Netkan,2020-01-06,Merged,2948,22,4,,5
Only stage auto-epoch when creating new file,2020-01-07,Merged,2947,25,5,,3
Coerce GitHub URLs into the authenticated API in Netkan,2019-12-17,Merged,2946,141,38,,11
Pause Inflator if its output queue fills up,2019-12-17,Closed,2944,21,2,,1
"Get org members as authors, time-sort authors, sort tags to middle",2019-12-15,Merged,2942,35,10,,5
Return failure on failed commands for headless prompt,2019-12-11,Merged,2941,7,1,,1
"Retain URL hash cache, cache file hashes",2019-12-09,Merged,2940,133,37,,6
Better parsing errors for version files,2019-12-07,Merged,2939,12,1,,1
Obey system colors for dark theme support,2020-01-08,Merged,2937,135,68,cs ,3
"Custom mod labels, favorites, hiding",2020-01-07,Merged,2936,"1,920",52,csproj ,6
Notify on Deployment Success,2019-11-30,Merged,2934,5,0,,1
Handle multiple errors in same ErrorDialog,2019-11-25,Merged,2933,49,23,resx ,4
Don't send notification to Discord if build succeeds,2019-11-25,Merged,2932,0,4,,1
Don't launch KSP 1.8 with -single-instance,2019-11-25,Merged,2931,35,0,,1
"Multiple manual downloads, uncached filter, purge option",2019-11-25,Merged,2930,192,244,resx ,4
Bump nuget to 5.3.1 on Windows,2019-11-24,Merged,2929,1,1,,1
Eliminate duplicate network calls in Netkan,2019-11-22,Merged,2928,20,24,,4
Disable Upgrade All ConsoleUI menu option when nothing to upgrade,2019-11-22,Merged,2927,30,4,,3
Ignore CurseForge tests,2019-11-22,Merged,2926,1,0,,1
Add language selection option to settings,2019-11-22,Merged,2925,134,20,resx ,11
Add owners of parent GitHub repos to authors,2019-11-15,Merged,2922,64,9,,5
Update dependencies,2019-11-22,Merged,2921,154,116,config cs ,24
Force redraw of recommendation listview headers on Mono,2019-11-13,Merged,2920,6,0,,1
Apply netkan validators to ckans,2019-11-07,Merged,2915,1,0,,1
Merge resources and include metanetkan,2019-11-10,Merged,2913,54,1,cs md ,5
Default to consoleui on MacOSX Catalina,2019-11-02,Merged,2911,33,1,,1
Restructure Net.Download and Net.DownloadText,2019-11-20,Merged,2904,167,65,,7
Replace temp filename with URL in netkan ZIP error,2019-10-25,Merged,2903,4,1,,1
Force logical name for generated resources,2019-10-26,Merged,2899,3,0,,1
Fix minor errors in registry updating,2019-10-21,Merged,2896,2,1,,2
[macOS] Only run Mono in 32bit mode when the GUI is launched,2019-10-21,Merged,2893,14,1,,1
Notify when falling back to archive.org URL,2019-10-19,Merged,2892,6,1,,1
Redeploy Inflator after builds,2019-10-17,Merged,2889,21,0,cake ,2
Show target version for upgrades in change set,2019-10-31,Merged,2888,121,81,,9
Normalize install paths,2019-10-14,Merged,2887,84,46,,4
Use current metadata for installed module compatibility,2019-10-19,Merged,2886,31,32,,10
Fail on http status codes >=300 for cURL downloads,2019-10-04,Merged,2879,24,24,,1
Set 'MessageId' attribute for batch delete,2019-09-27,Merged,2877,1,1,,1
Batch inflator responses,2019-09-26,Merged,2875,70,46,,1
Remove base64 encoded CKAN icon from resources,2019-09-25,Merged,2872,0,"6,807",,0
Add Missing libcurl Dependency for NetKAN,2019-09-15,Merged,2870,1,0,,1
Allow totally incompatible modules in changeset,2019-09-15,Merged,2869,14,16,,2
Fix NRE on failed queue inflate,2019-09-11,Merged,2866,7,4,,1
Add libcurl dependency to RPM,2019-09-01,Merged,2858,1,0,,1
Fixes for KSP in Windows drive root,2019-10-16,Merged,2857,53,23,,7
Find portable installs when enforcing cache limits,2019-08-31,Merged,2856,5,1,,1
Speed up autoremove search,2019-08-27,Merged,2855,46,33,,3
Don't invalidate invisible rows,2019-08-27,Merged,2854,8,2,,1
Use Debian machine-readable copyright format,2019-08-25,Merged,2853,15,14,,1
Switch to new Travis xvfb syntax,2019-08-15,Merged,2845,3,6,,1
Put Dockerfile.netkan in build context,2019-08-09,Merged,2840,4,1,,1
Replace bash script with Cake.Docker task,2019-08-08,Merged,2839,26,6,sh cake ,3
Add Dockerfile + Deployment for NetKAN Inflator,2019-08-08,Merged,2838,47,0,netkan cake ,3
Send staging reason to SQS queue,2019-07-26,Merged,2835,41,7,md ,2
Fix for building with VS 2019,2019-07-21,Merged,2834,1,1,,1
Fix clearing of changeset after install,2019-07-07,Merged,2829,5,7,,3
Improve focus interactions of GUI filters and mod list,2019-07-06,Merged,2827,77,34,,0
Fix Curse API download URLs,2019-07-03,Merged,2825,1,1,,1
Auto-epoch based on queue message attribute,2019-11-29,Merged,2824,150,30,md ,19
Override V to v with x_netkan_force_v,2019-07-01,Merged,2823,2,1,,1
Queue module version changes in change set,2019-07-06,Merged,2821,245,115,,4
Use New JSON Config File; Add .NET Standard 2.0 Target to CKAN-core,2019-08-11,Closed,2820,"1,547",642,sln cs csproj ,10
Netkan option to validate .ckan file,2019-07-01,Merged,2819,26,5,,4
Support newlines in GUI description field,2019-06-28,Merged,2818,2,1,,1
Fix comparison of 1.0.0 to 1.0,2019-06-28,Merged,2817,10,6,,2
Fix Netkan localization parser performance,2019-06-28,Merged,2816,7,7,,2
Fix Netkan schema resource name on Windows,2019-06-28,Merged,2815,3,1,,1
"Open ZIP button, instance name in status bar, description scroll bar",2019-06-27,Merged,2813,61,6,cs ,9
Use embedded buildmap in Netkan,2019-06-27,Merged,2812,27,28,,3
Fix http kref validation,2019-06-26,Merged,2811,1,1,,1
Refresh builds.json when validating netkans,2019-06-26,Merged,2808,10,2,,1
Ignore locales with no strings,2019-06-25,Merged,2805,2,1,,1
Add menu option to report issues in the CKAN repo,2019-06-24,Merged,2801,29,12,cs ,4
Refactor Netkan for SQS mode,2019-06-25,Merged,2798,"1,609",178,csproj cs ,5
Fix UK spelling of licence,2019-06-22,Merged,2794,251,2,csproj ,5
Mark auto-install correctly when installing from .ckan file,2019-06-22,Merged,2793,11,22,,1
Migrate Perl validation checks into netkan.exe,2019-06-25,Merged,2788,"1,106",20,csproj cs ,14
Fix 'ManageKspInstances' dialog logic,2019-07-23,Merged,2787,131,63,cs ,10
Only react to Localization keyword at start of line,2019-06-17,Merged,2786,1,1,,1
Only list each locale once,2019-06-15,Merged,2784,2,1,,1
Skip comments and allow capital letters in locale extractor,2019-06-14,Merged,2783,39,22,,1
Fix ZipValid test on non-English Windows systems,2019-06-12,Merged,2781,11,1,,1
Fix fake/clone tests on Windows,2019-06-11,Merged,2778,4,3,,1
Update issue templates,2019-06-12,Merged,2777,337,112,,0
Suppress autostart warning,2019-06-10,Merged,2776,18,27,,9
Update packages,2019-06-10,Merged,2775,78,55,csproj config cs build cake ps1 ,19
Support BreakingGround-DLC in instance faking,2019-06-27,Merged,2773,456,184,,7
Unignore version controlled folders,2019-06-06,Merged,2772,3,1,,1
Detect Breaking Ground DLC,2019-05-31,Merged,2768,103,52,cs ,5
Don't warn that a raw URL is non-raw,2019-05-24,Merged,2767,6,0,,1
Don't throw exceptions for dependency conflicts,2019-06-01,Merged,2766,36,21,,2
Don't assume string params to Install are identifiers,2019-05-21,Merged,2764,36,1,,2
