FindDLLTOOL: add find module for dlltool.,2019-07-17,Closed,331,75,0,,1
Handle case sensitive system,2019-06-05,Closed,330,1,1,,1
"Add support for Visual Studio 2019, msvc toolset 14.2+",2019-04-12,Closed,329,3,1,,1
FindProtobuf: Search src-root/bin for protoc,2019-04-04,Closed,328,1,0,,1
Generates Eclipse CDT9 project,2019-03-22,Closed,327,"1,188",0,,0
Set minimum R2018a --> R2017b for C++API,2019-02-27,Closed,326,5,5,,1
Element StyleSheet has been added to CPack IFW,2019-02-13,Closed,325,24,0,cxx h ,3
Use a proper way to set FLAGS in UseEcos module,2018-11-28,Closed,324,2,2,,1
Dev/paulmay/jmc,2018-11-13,Closed,323,"1,907",356,rst cmake txt ,6
CheckCXXCompilerFlag: Add alternative check that actually runs an executable,2018-07-20,Closed,322,37,1,,2
[FindCUDA] add option to blacklist host flags in propagation,2018-06-22,Closed,321,27,6,,1
Fix for bug at FindwxWidgets.cmake:928 file failed to open for reading (No such file or directory),2018-04-11,Closed,320,1,0,,1
Fix FindBLAS for Intel MKL 2017 - lib folder doesn't contain either l…,2018-02-02,Closed,319,7,1,,1
Use as dependency file <objectDir/SourceName>.d if needed.,2018-01-29,Closed,318,18,2,,1
cmSystemTools: use GetRealPath in FindCMakeResources on Windows to resolve symbolic links,2018-01-22,Closed,317,6,2,,1
Suggesting changes for source.rst,2018-01-22,Closed,316,26,0,,1
accept 8.6 libraries with suffix t,2018-01-16,Closed,315,2,0,,1
Help update for MSVC_VERSION equal to 1911,2017-09-25,Closed,314,1,0,,1
Update select_compute_arch.cmake,2017-08-10,Closed,313,1,1,,1
CUDA9 added,2017-08-10,Closed,312,10,2,,1
"Fix assertion error of std::string, in testValue",2017-08-02,Closed,311,3,1,,1
Corrected little error in manual,2017-08-02,Closed,310,1,1,,1
Source group regex tweaks.,2017-07-05,Closed,309,7,4,h ,2
Add -dllimport if has not already been specified,2017-06-12,Closed,308,6,3,,1
Shorten output for failed package in config mode,2017-05-15,Closed,307,102,174,txt ,1
Added missing path to Windows-Gnu.cmake platform file,2017-05-16,Closed,306,2,0,,1
Fix missing PATHS keyword in FindOpenCL.cmake,2017-05-05,Closed,305,1,0,,1
Nag version fix,2017-05-05,Closed,304,79,97,in gitattributes txt clang-tidy cxx h l y c bootstrap ,32
Orzuk modify,2017-04-26,Closed,303,32,0,,2
Master,2017-04-21,Closed,302,"28,189","13,796",txt rst cmake ,11
Add note about cmake -E copy not supporting wildcards,2017-04-11,Closed,301,1,1,,1
Small fix in 64-bit path for FindVulkan.cmake,2017-04-11,Closed,300,1,0,,1
FindwxWidgets: link with the new required libs under MSW,2017-04-07,Closed,299,1,1,,1
fix(FindBoost): Use list APPEND instead of set,2017-04-06,Closed,298,1,1,,1
Extend Visual Studio sln generator to accept MAP_IMPORTED_CONFIG_*.,2017-04-04,Closed,297,62,17,cxx h cmake ,14
Operation CR - hackers.mu,2017-03-20,Closed,296,1,1,,1
CodeLite - splitting files into folders,2017-03-20,Closed,295,94,20,h ,2
Updated MSVC_VERSION for Visual Studio 2017,2017-03-08,Closed,294,2,1,,1
Additional paths for finding the Vulkan link lib,2017-03-02,Closed,293,4,2,,1
message,2017-02-24,Closed,292,0,27,,1
Cache the list of xaml and resx headers to speedup VS project generation,2017-02-17,Closed,291,17,7,,1
Add in another name combo for libcrypto that matches libssl.,2017-02-16,Closed,290,1,0,,1
Added module for finding SDL2.,2017-02-08,Closed,289,186,0,,1
Fix usage with Protobuf static libraries on Unix,2017-02-06,Closed,288,27,0,,1
allow override (OPENCL_ROOT) for where comes from,2017-02-06,Closed,287,3,0,,1
Force generation of folders for Express editions of VS10 and earlier,2017-02-06,Closed,286,6,1,,1
Xcode schemes,2017-01-18,Closed,285,260,0,cxx h ,4
added lib64 to find_library search PATH_SUFFIXES,2017-01-10,Closed,284,2,2,,1
Add support for boost 1.63.0.,2017-01-09,Closed,283,16,1,,1
Update cmExtraSublimeTextGenerator.cxx,2016-12-16,Closed,282,2,6,,1
FindPNG.cmake : small typo fix in module help,2016-12-15,Merged,281,1,1,,1
Allow FindZLIB to find static libraries made by the zlib project (v1.2.8) cmake build,2016-11-30,Closed,280,9,2,,1
"Help: Improve documentation (execute_process, file(REMOVE))",2016-11-01,Merged,279,6,2,,2
add support for CMAKE_SWIG_ODIR to specific output dir for wrap file,2016-10-18,Closed,278,9,1,,1
CheckFunctionExists.c: avoid gcc warnings with -Wstrict-prototypes,2016-10-18,Merged,277,1,1,,1
"FindSDL: Add -mwindows to link flags for MinGW, correct wording",2016-10-12,Closed,276,3,4,,1
Addes the default for protobuf_DEBUG_POSTFIX when find debug library,2016-10-10,Closed,275,1,1,,1
FindProtobuf: Fix protobuf_generate_*() to handle subdirs,2016-10-07,Closed,274,10,6,,1
[CPack] Generate checksum file with selected algorithm,2016-09-13,Closed,273,167,1,cxx txt in cpp ,11
Minor editorial changes,2016-09-12,Closed,272,5,5,,1
"Adding support for FIND_PACKAGE_SORT_{ORDER, DIRECTION} when multiple…",2016-09-07,Closed,271,236,13,h ,2
Buffer overrun of NsightTegraVersion,2016-08-26,Closed,270,4,5,,1
Fixing bug in regex not accepting 2.1(2.0) notation,2016-08-23,Closed,269,4,4,,1
"fix: Uses Matlab's pre-build libraries for MinGW, if needed.",2016-08-15,Closed,268,6,1,,1
Fixed grep flag for MinGW with LANG != C,2016-08-08,Closed,267,1,1,,1
cmake-mode.el: Fix Compilation warning,2016-07-26,Closed,266,9,8,,1
CPack-STGZ: use correct sub directory,2016-07-18,Closed,265,3,3,,1
j/k scrolling and spacebar toggeling for ccmake,2016-08-02,Closed,264,33,19,,3
regression: fix broken space detection after -D on command line,2016-07-14,Closed,263,11,1,,1
Add missed fallback variable for CPACK_RPM_FILE_NAME,2016-07-11,Closed,262,1,0,,1
Make it possible to find `Boost::python` w/ various version suffixes,2016-07-11,Closed,261,26,0,,1
FindJNI: Fix support for Ubuntu,2016-07-05,Closed,260,10,6,,1
Add missed libraries' check headers.,2016-07-05,Closed,259,4,0,,1
ninja: Have the bundle resources be a dependency of their target,2016-06-23,Closed,258,5,2,h ,2
ninja: Have the bundle resources be a dependency of their target,2016-06-22,Closed,257,27,3,h ,4
[AIX][Clang] Add Clang on AIX support,2016-06-20,Closed,256,2,0,,2
"The ""/Os"" compiler flag does not map to ""<Optimization>MinSize</Optimization>""",2016-06-17,Closed,255,0,1,,1
add debug glew to FindGLEW,2016-06-17,Closed,254,1,1,,1
Add an option to control what files needs to be traced.,2016-06-17,Closed,253,54,1,cxx h cmake txt ,8
FindProtobuf: make protobuf_generate_*() work with subdirectories.,2016-06-10,Merged,252,8,0,,1
Modules: don't assume that FindOpenSSL version regex finds something.,2016-06-09,Closed,251,4,4,,1
added OpenProject Button,2016-09-14,Closed,250,47,0,h ui ,3
Added support for user-configurable PBXBuildFile attributes and mig files.,2016-06-17,Closed,249,65,22,cxx h ,4
Append a library search path found in official Windows prebuilt binaries (#2),2016-06-03,Closed,248,56,19,,1
Append a library search path found in official Windows prebuilt binaries,2016-06-03,Closed,247,56,19,,1
Add feature to DragNDrop CPack generator to disable /Applications sym…,2016-05-25,Closed,246,14,4,cxx ,2
Add support for finding cublas_device library,2016-05-25,Closed,245,4,2,,1
"ExternalProject: Fix git stash not using ""--all"" option",2016-05-24,Merged,244,2,0,,1
update FindGLEW.cmake in order to be able to find glew from a custom directory,2016-05-16,Closed,243,11,2,,1
output all cxx flags for CodeBlocks generator,2016-06-23,Closed,242,29,0,,1
Added FP16 detection,2016-05-19,Closed,241,7,0,,1
Make find_package(Lua 5.3) work on homebrew.,2016-05-09,Closed,240,2,0,,1
Set of debian package generator improvements,2016-05-16,Closed,239,244,20,,1
fix FindHDF5: add new debug suffix,2016-05-02,Closed,238,2,2,,1
Refactored Android(Tegra) support.,2016-06-09,Closed,237,290,49,,1
Updated findgit to match latest github version,2016-04-15,Closed,236,2,2,,1
Update FindGit.cmake to match latest GitHub,2016-04-15,Closed,235,1,1,,1
GetPrerequisites: add path of visual studio 10 to 14 in order to find dumpbin.exe.,2016-04-08,Closed,234,4,0,,1
UseJava: use CMAKE_COMMAND instead of direct cmake call,2016-04-06,Closed,233,1,1,,1
Use response files to compile obj files with Ninja,2016-04-07,Closed,232,38,11,h ,5
Update FindGSL.cmake,2016-04-05,Closed,231,1,1,,1
Minor style nitpics,2016-03-28,Closed,230,355,355,h ,11
Added support for IBM XL compiler,2016-03-23,Closed,229,2,0,,1
Better detection of K&R compilers.,2016-03-23,Closed,228,65,53,in cmake txt bootstrap ,20
Typo fixed.,2016-03-21,Closed,227,1,1,,1
CMakePackageConfigHelpers: allow to specify a relative CMAKE_INSTALL_PREFIX,2016-03-22,Closed,226,5,0,,1
Support for Bruce C Compiler (BCC) added.,2016-03-21,Closed,225,29,9,cmake ,6
Reworked arch detection file. Added new architectures.,2016-04-22,Closed,224,296,54,,1
Created modules for Cygwin-Clang,2016-03-10,Closed,223,4,0,,2
Add support for Ubuntu 15.10,2016-03-09,Closed,222,15,2,,1
Add support for Ubuntu 15.10,2016-03-08,Closed,221,32,13,,1
Added functionality to set RemoteDirectory in DeploymentTool and Debu…,2016-03-15,Closed,220,52,0,cxx h ,4
find more binutils -- CMakeFindBinUtils.cmake,2016-03-08,Closed,219,30,8,,1
"Android/NVPACK detection fixes, new helper file",2016-03-18,Closed,218,254,42,,1
Imported working dependency fix from hughperkins,2016-02-25,Closed,217,8,2,,1
[PATCH] Create DEBIAN directory for dpkg-shlibdeps,2016-02-19,Closed,216,3,0,,1
