Merge pull request #1 from CRYTEK/release,2019-09-20,Closed,681,0,0,,0
Stabilisation,2019-09-05,Closed,653,"1,412,897","502,999",json ,1
!B (CryRender) Compilation fails for restrict on reference,2019-07-05,Closed,634,3,3,,1
!B (Animation) Bad check for loading causing heap corruption,2019-06-21,Merged,631,1,3,,1
!B (System) Logging frame ID on server without Renderer,2019-06-25,Merged,630,8,4,,1
!T Ignore qpOASES warnings to build physics,2019-07-05,Closed,629,9,1,,1
!B Several more memory bugs with undefined behavior,2019-07-05,Closed,628,13,10,,7
!B (Networking) Dedicated server assert for existing sub-mtl shaders,2019-07-05,Closed,627,1,1,,1
!F Improved comment syntax on XXX.cfg & .cryproject files,2019-07-05,Closed,626,47,35,py exe ,5
!ER (CMake) (Alvaro D. Acosta) Replace `file(DOWNLOAD` by the `FetchContent` CMake module.,2019-07-05,Closed,624,14,17,md cmake ,2
Replace `file(DOWNLOAD` by the `FetchContent` CMake module.,2019-06-11,Closed,623,12,15,cmake ,1
Fix unordered_map call to lower_bound with find.,2019-05-29,Closed,621,1,1,,1
!XI Integrating CL 1711615 !B (Sandbox) (CE-16303) Now Asset Browser …,2019-06-25,Closed,618,4,3,,1
!BF Refactor of the python script that download the sdk,2019-05-06,Closed,616,116,0,,1
Merge pull request #2 from CRYTEK/release,2019-03-24,Closed,610,0,0,,0
!B (Renderer) AABB Tree not initialized,2019-07-05,Closed,600,5,0,,2
Added Comments to `CSampleActorComponent`,2019-02-06,Merged,594,83,5,,1
!B (Physics) Variable used before initialization,2019-07-05,Closed,590,1,1,,1
!T (CMake) Updated AUTOMOC syntax,2019-07-05,Closed,587,4,3,,2
!RF CMake version upgrade and improvement.,2019-07-05,Closed,584,"80,816","55,705",txt cmake dll exe conf 12/cmliblzma/COPYING in ,19
!BT Extensive cleanup of common Warnings/Errors,2019-07-05,Closed,583,86,71,,20
!B Removed hardcoded logging/monitoring/icon paths,2019-07-05,Closed,582,61,35,,14
!B GetProjectFolder() returned wrong path,2019-07-05,Closed,581,6,11,,1
!TF (Sandbox) FBX Management improvements,2019-07-05,Closed,580,103,37,cpp h cmake ,7
!B (CrySystem) Removed m_lBaseTime adjustment and improved logging.,2019-07-05,Closed,579,7,7,,3
!F Improved cry_select.exe setup,2019-06-15,Closed,569,126,18,h cmake bat ,7
!F Improved comment syntax on XXX.cfg & .cryproject files,2019-06-15,Closed,568,148,46,cpp h cmake py exe ,12
!AF Improved SDK handling,2019-06-15,Closed,567,325,15,txt cmake json exe py spec bat ,9
!T Updated InstallEngine.bat pathing,2019-06-24,Merged,565,8,3,,1
!FT (CMake) Updated VStudio debug-cli macro,2019-07-05,Closed,564,10,10,,1
!F (CMake) Added option to build release RC in a debug-solution,2019-02-01,Merged,563,10,1,,1
!FB Improved cry_cmake.exe,2019-06-15,Closed,561,189,45,py spec bat exe ,6
!B (DefaultComponents) Matrix isn't orthonormal,2019-02-01,Merged,557,3,1,,1
!B (Sandbox) Corrupt string error,2019-07-05,Closed,556,1,1,,1
!B (Renderer) RenderNode invalid iterators,2019-07-05,Closed,555,4,5,,1
!B Won't build - missing headers,2019-06-25,Merged,554,4,0,cpp ,2
!B (Sandbox) Mannequin fragment viewer dying,2018-12-19,Merged,553,3,2,,1
!B (Sandbox) Crash on exiting sandbox,2019-06-24,Closed,552,5,0,,1
!B (Sandbox) Improper file monitoring fixed,2019-06-15,Closed,551,62,34,,14
"!B (CMake) Missing RC commits, probably important?",2019-07-05,Closed,550,6,0,,1
!BT (Networking) Syntax typo fix,2019-06-24,Merged,549,3,3,,1
!B (Networking) Dedicated server assert for existing sub-mtl shaders,2019-02-01,Merged,548,1,1,,1
!B Relative path not converted to absolute when -project passed,2019-06-15,Closed,547,6,11,,1
!B (FMOD) No banks caused FMod to kill project on launch.,2018-12-17,Closed,546,6,3,,1
!B (Sandbox) Switching from mannequin layout to default view crash,2018-12-19,Merged,545,1,1,,1
!B (Renderer) Floating point error in camera plane frustrums.,2019-07-05,Closed,544,28,0,,1
!B (Renderer) Shader reset did not clear reflected buffer,2019-01-31,Closed,543,4,0,,1
"!B Fixed vsprintf ""unexpected input value""",2018-12-19,Merged,542,32,1,,2
!B (Sandbox) Edits to get main-branch Sandbox built,2019-07-05,Closed,541,24,19,h ,12
!B (RC) Fixed improper SZip library handling,2019-07-05,Closed,540,8,5,h ,1
!B (Sample Templates) Fixed permanent turning animation,2018-12-19,Merged,539,3,3,,1
Main,2018-11-22,Closed,535,"14,805","14,287",h ,23
Improvement and refactoring of core Timer API and times,2019-07-05,Closed,517,"108,070","72,850",gitignore h cpp ,4
Improvement and refactoring of core Timer API and times,2018-10-25,Closed,511,"30,404","16,797",cpp h ,12
