Bump aws/aws-sdk-php from 3.112.28 to 3.130.2,2020-01-06,Closed,3909,9,8,,1
Updated color_contrast using hexdec deperecated,2019-12-24,Merged,3906,3,3,,1
Bump aws/aws-sdk-php from 3.112.28 to 3.130.1,2019-12-30,Closed,3905,7,6,,1
Bump aws/aws-sdk-php from 3.112.28 to 3.129.0,2019-12-23,Closed,3895,7,6,,1
Bump phpunit/phpunit from 7.5.14 to 7.5.18,2020-01-13,Closed,3887,68,71,,1
Bump aws/aws-sdk-php from 3.112.28 to 3.128.0,2019-12-16,Closed,3886,7,6,,1
Bump aws/aws-sdk-php from 3.112.28 to 3.123.0,2019-12-09,Closed,3881,5,5,,1
[Security] Bump symfony/mime from 4.3.2 to 4.4.1,2019-12-23,Closed,3879,27,24,,1
[Security] Bump symfony/http-foundation from 4.3.2 to 4.4.1,2019-12-23,Closed,3877,35,32,,1
Bump sortablejs from 1.9.0 to 1.10.1,2020-01-01,Closed,3876,10,5,lock ,2
Bump sweetalert2 from 6.11.5 to 9.4.0,2020-01-01,Closed,3875,10,5,lock ,2
Bump aws/aws-sdk-php from 3.112.28 to 3.121.1,2019-12-02,Closed,3869,5,5,,1
Bump mockery/mockery from 1.2.3 to 1.3.0,2019-12-30,Closed,3868,8,7,,1
[Security] Bump symfony/mime from 4.3.2 to 4.4.0,2019-12-02,Closed,3867,21,18,,1
[Security] Bump symfony/http-foundation from 4.3.2 to 4.4.0,2019-12-02,Closed,3866,29,26,,1
Laravel 6.x Shift,2019-11-19,Merged,3861,"4,040","4,663",,12
Laravel 5.8 Shift,2019-11-18,Merged,3860,198,112,php ,5
Bump aws/aws-sdk-php from 3.112.28 to 3.117.2,2019-11-25,Closed,3859,5,5,,1
Bump twig/twig from 2.12.1 to 2.12.2,2019-12-30,Closed,3858,5,5,,1
Bump fzaninotto/faker from 1.8.0 to 1.9.0,2019-12-16,Closed,3857,7,9,,1
[Security] Bump symfony/http-foundation from 4.3.2 to 4.3.8,2019-11-25,Closed,3853,21,21,,1
[Security] Bump symfony/mime from 4.3.2 to 4.3.8,2019-11-25,Closed,3852,16,16,,1
[Security] Bump symfony/http-kernel from 4.3.2 to 4.3.8,2019-12-02,Closed,3851,47,47,,1
Bump aws/aws-sdk-php from 3.112.28 to 3.115.1,2019-11-18,Closed,3850,5,5,,1
Fixing some typos,2019-11-09,Merged,3848,6,6,,0
"add is_object check for feed result, fixes #3844",2019-11-05,Merged,3845,3,1,,1
Bump aws/aws-sdk-php from 3.112.28 to 3.112.34,2019-11-11,Closed,3840,5,5,,1
Bump phpunit/phpunit from 7.5.14 to 7.5.17,2019-12-09,Closed,3839,49,50,,1
Bump aws/aws-sdk-php from 3.112.15 to 3.112.28,2019-11-02,Merged,3834,5,5,,1
Bump guzzlehttp/guzzle from 6.3.3 to 6.4.1,2019-11-02,Merged,3833,12,11,,1
Bump pragmarx/google2fa from 5.0.0 to 7.0.0,2019-11-02,Closed,3832,20,20,lock ,2
Bump aws/aws-sdk-php from 3.112.15 to 3.112.25,2019-10-28,Closed,3829,5,5,,1
Bump twig/twig from 2.12.0 to 2.12.1,2019-11-02,Merged,3828,5,5,,1
Sign internal redirects and routes for subscribe.manage,2019-11-02,Merged,3826,4,4,,3
Generate a signed url for the verify redirect,2019-10-18,Merged,3823,2,1,,1
Update threshold input name to match model,2019-10-18,Merged,3822,2,2,,1
[Docs] Fix chmod command for writable files and directories,2019-11-04,Merged,3821,3,3,,0
