Fix typo in Acknowledgements.md,2020-01-03,Merged,477,2,2,,0
Create de.json,2020-01-03,Merged,476,216,0,,1
New Crowdin translations,2020-01-03,Merged,464,143,143,,2
Use External Editor for Images,2019-11-06,Merged,453,29,"2,504",,12
Separate AppVeyor code from cake script,2019-10-17,Merged,446,75,187,cake md cs ,6
Migrate WPF project to the new SDK format,2019-10-16,Merged,445,37,645,,4
New Crowdin translations,2019-10-14,Merged,444,160,0,,1
Fix dependency properties registration,2019-09-15,Merged,441,2,2,,1
Audio subsystem redesign,2019-06-08,Merged,420,448,"1,186",yml cake txt csproj cs ,18
Post-processing video converters,2019-06-02,Merged,418,312,240,,12
Screen picker dialog,2019-05-30,Merged,417,183,14,csproj xaml ,7
Update Hebrew language,2019-05-29,Merged,415,70,70,,1
Fix: Negative Window handles not supported by CLI,2019-05-28,Merged,413,2,2,,1
Convert from RGB to NV12 on GPU before sending frames to FFmpeg,2019-06-02,Merged,411,681,50,cs csproj ,18
Move to .Net 4.7.2,2019-05-22,Merged,403,23,16,config csproj ,12
Using Direct2DEditor with GDI capture,2019-04-17,Merged,397,240,92,,6
Using MediaFoundation for Webcams,2019-04-19,Closed,396,275,17,csproj ,8
MediaFoundation SinkWriter,2019-04-15,Merged,395,509,10,xaml csproj ,17
Around Mouse Recording,2019-04-15,Merged,393,298,3,xaml ,8
Steps Recorder,2019-10-08,Merged,391,"1,230",88,txt cs ,17
New Crowdin translations,2019-06-02,Merged,388,27,27,,2
Using FFmpeg as a library,2019-04-19,Closed,387,835,0,cs ,9
New Crowdin translations,2019-03-31,Merged,386,38,38,,1
Rolling Recording (Capture last N seconds),2019-03-23,Merged,385,277,9,json ,13
Font setting for Overlays,2019-03-21,Merged,384,204,40,csproj xaml ,15
Developer Documentation,2019-06-22,Merged,383,879,69,,0
New Crowdin translations,2019-03-21,Merged,382,75,75,,2
New Crowdin translations,2019-03-11,Merged,379,177,177,,3
Support %CAPTURA_PATH%,2019-02-24,Merged,372,92,70,xaml ,12
Webcam only mode,2019-02-23,Merged,371,190,22,xaml ,9
New Crowdin translations,2019-03-02,Merged,366,296,136,,15
Added Cake test action (Experimenting),2019-01-28,Closed,362,12,0,,1
New Crowdin translations,2019-01-22,Merged,360,64,64,,1
New Crowdin translations,2019-01-17,Merged,359,39,39,,1
New Crowdin translations,2019-01-16,Merged,355,32,32,,3
New Crowdin translations,2018-12-31,Merged,354,77,77,,1
Direct2D Editor,2018-12-26,Merged,351,747,170,,12
New Crowdin translations,2018-12-22,Merged,348,6,6,,1
New Crowdin translations,2018-12-17,Merged,346,63,63,,1
New Crowdin translations,2018-12-12,Merged,343,8,8,,1
[+] Setting for NVenc FFMpeg encoder,2019-04-19,Closed,342,76,0,,3
New Crowdin translations,2018-12-09,Merged,340,65,65,,2
New Crowdin translations,2018-12-07,Merged,339,25,25,,2
