Clarify the contribution licensing,2019-12-05,Merged,2914,2,0,,0
[CI] GitHub actions,2019-12-15,Closed,2904,54,36,bats zip ,7
"Revert ""[CI] Use GitHub Actions (#2884)""",2019-11-07,Merged,2903,32,50,,3
Consider module stability when building frameworks,2019-11-05,Closed,2901,8,1,,1
Release for 0.34.0,2019-10-21,Merged,2893,336,261,bats Makefile resolved swift ,14
Update ikesyo/CarthageCopyFrameworksFixture for compatibility with Xcode 10.2 or above,2019-10-03,Merged,2886,1,1,,1
[CI] Use GitHub Actions,2019-10-07,Merged,2884,54,36,bats zip ,7
FIX: Colon cause the build to fail #2879,2019-11-24,Closed,2880,7,1,,2
Fixup `cleanup` command,2019-09-25,Merged,2878,42,2,zip ,3
Add alternative content type for zip archives,2019-09-26,Merged,2877,1,1,,1
Fix typo in README.md,2019-09-24,Merged,2875,1,1,,0
Add `carthage cleanup` command again,2019-09-24,Merged,2872,308,18,Source/Scripts/carthage-bash-completion Source/Scripts/carthage-fish-completion Source/Scripts/carthage-zsh-completion ,13
"Revert ""For users named «travis» (case-insensitively), return early in `RemoteVersionSpec` rather than expose tests to the flakey interference currently seen""",2019-09-15,Merged,2869,0,1,,1
Gaustin/mac catalyst,2019-12-27,Closed,2868,219,37,,5
Fall back to dSYM Swift version parsing,2019-09-11,Merged,2865,20,8,,3
Swift Package Manager: Suppress `sandbox-exec` under Homebrew.,2019-09-10,Merged,2864,4,8,Makefile ,2
Remove — as a library dependency — `SwiftPM` and `llbuild` and reinstate `struct Carthage.SemanticVersion`,2019-09-10,Merged,2863,268,204,resolved swift ,11
"For users named «travis» (case-insensitively), return early in `RemoteVersionSpec` rather than expose tests to the flakey interference currently seen",2019-09-15,Merged,2862,1,0,,1
Add workaround for Swift 5.1 compiler crash,2019-09-07,Merged,2859,6,1,,1
Use libSwiftPM 0.4.0 and Xcode 10.2 to avoid build errors,2019-09-10,Closed,2854,19,19,bats Makefile resolved swift zip ,9
Refer to SWIFTPM_BOOTSTRAP in CONTRIBUTING.md,2019-09-15,Closed,2853,1,1,,0
Improve submodule performance when --use-submodule,2019-10-12,Closed,2842,38,24,,2
Update swift-package-manager dependency,2019-08-02,Closed,2838,19,19,swift ,17
Fix fetching race condition,2019-07-31,Merged,2832,56,40,,1
Remove pipe in carthage outdated step,2019-07-24,Merged,2830,1,1,,0
Fix building with SPM,2019-07-25,Merged,2823,14,9,Makefile resolved swift ,4
How to get github for termux,2019-07-15,Closed,2822,0,0,,1
Delete step01.png,2019-07-15,Closed,2821,0,0,,1
WIP - Create single XCFramework for all platforms,2019-12-29,Closed,2820,832,102,,5
Bugfix/concurrent dsym stripping,2019-06-17,Merged,2809,27,12,,2
Add w character to asciiAlphabeth,2019-06-07,Merged,2806,1,1,,1
Feature/skip archive and custom cartfile,2019-06-05,Closed,2802,68,29,,9
Update code to be Swift 5.1 compatible,2019-06-04,Merged,2800,8,8,,7
Add .xcfilelist documentation,2019-06-05,Merged,2798,7,2,,0
Update Swift version to 4.2 with necessary dependency updates,2019-06-04,Merged,2797,23,24,Makefile resolved swift ,4
Bugfix 2788,2019-05-28,Merged,2796,72,4,,2
Improve submodule performance when --use-submodules is not used,2019-07-26,Merged,2795,140,60,,2
Reject invalid archives - Fix,2019-05-20,Merged,2791,24,3,swift ,2
Modify packages atomically,2019-05-21,Closed,2789,47,4,,2
Address SwiftLint violations,2019-05-14,Merged,2785,12,13,,4
[SwiftLint] Add a custom rule to detect possible Carthage typos,2019-05-14,Merged,2784,14,8,,1
Resolves #2780 - Resolve build failures in ProjectSpec tests due to SWIFT_VERSION,2019-05-13,Merged,2781,0,0,,2
"Readme: ""If you're building for OS X""",2019-04-30,Merged,2778,3,3,,0
Copy dSYMs that are incomplete,2019-05-13,Merged,2776,4,3,,1
Installing module manually only,2019-05-13,Closed,2770,53,4,swift ,2
Update to README. Pipe `carthage outdated` errors to dev/null,2019-05-13,Merged,2766,1,1,,0
Reject archives containing duplicated framework names,2019-05-14,Merged,2765,120,22,swift ,3
Avoid warnings on Xcode 10.2 in CarthageKit,2019-04-07,Merged,2761,16,16,,5
"Swift Package Manager: Under Homebrew, pass `--disable-sandbox` flag.",2019-04-01,Merged,2754,4,0,,1
Fix merging Swift header files for Xcode 10.2,2019-04-01,Merged,2748,8,1,,1
Revert passing authorization headers for redirected URLSession requests,2019-04-01,Merged,2741,1,58,,2
Swift Package Manager: Accommodate any swift toolchain without a `swift_static` directory for the standard library,2019-03-25,Merged,2740,8,2,,1
Update resolved PrettyColors and Curry,2019-03-25,Merged,2739,6,6,swift ,2
Use ssh batch mode so git doesn't attempt to prompt the user and hang.,2019-03-20,Merged,2734,3,0,,1
Fix issue where `carthage build` does not download binaries for dependencies in a specific situation,2019-06-29,Closed,2725,26,2,swift ,2
Add functionality to merge Swift header files,2019-03-24,Merged,2723,47,0,,1
Use specific SwiftPM tag,2019-03-15,Merged,2720,34,34,swift ,21
Pass the Authorization header across to the redirected request,2019-02-26,Merged,2713,58,1,,2
"Add ""skip-simulators"" option",2019-02-20,Closed,2712,13,2,,3
Make swiftToolchainVersion Optional,2019-03-29,Closed,2708,29,20,,1
Make swiftToolchainVersion optional for ObjC only frameworks,2019-02-27,Merged,2707,40,3,,4
Add Allow HTTP Flag,2019-04-29,Closed,2706,143,61,swift ,8
Mention MacPorts in README,2019-02-17,Merged,2704,2,0,,0
Fix issue where Carthage cannot find simulators when using Xcode 10.1 after installing 10.2 beta,2019-02-01,Merged,2696,565,0,,1
Fix CONTRIBUTING “make bootstrap” instructions,2019-01-28,Merged,2695,13,6,Makefile ,1
Add Xcode 10.2 beta simulator support,2019-01-29,Merged,2693,263,79,json ,6
