[OSG 24291502] Support new byte code layout in serializer,2019-12-21,Merged,6360,1,0,,1
Fixing ARM64 build issue,2019-12-20,Merged,6359,4,1,h ,2
[OSG 24291502] Support new byte code layout in serializer,2019-12-20,Closed,6358,1,0,,1
[OSG 24291889] Protect against bad call to AsBranchInstr,2019-12-20,Merged,6357,1,1,,1
Port CFG enabling changes to release 1.11,2019-12-17,Merged,6355,229,253,manifest vcxproj cpp h txt ,12
"Make GlobOpt handle new class construction ops, shorten some names for clarity",2019-12-06,Merged,6350,48,34,h ,13
Update byte code version for class definition change,2019-12-05,Merged,6348,2,2,,1
Error improvements,2019-12-06,Merged,6347,53,52,h js baseline ,14
"Show ""Module code"" in stack trace for ESM",2019-11-21,Merged,6334,16,6,h ,5
Fix build errors related to literals in assembly while using Clang 8.0.,2019-11-14,Merged,6331,81,81,sh ,7
ChakraCore servicing update for 19-11,2019-11-12,Merged,6328,14,4,cpp h ,5
Allow for the possibility of no profile info for an inline call target,2019-11-20,Merged,6327,21,1,js xml ,3
Correctly use VarIs in native array methods,2019-11-25,Merged,6326,33,33,h js xml ,4
Detect Apple clang 11 in native test script,2019-11-06,Merged,6324,1,1,,1
Reimplement class definitions to limit type creation,2019-12-03,Merged,6319,"21,370","20,526",h ,3
ChakraCore servicing update for 19-10,2019-10-08,Merged,6302,105,25,cpp h js xml ,9
Menyumbang,2019-10-04,Closed,6298,"5,976","4,078",cpp h ,19
Fix module evaluation order,2019-10-09,Merged,6295,32,3,js ,2
Fix for the array inline segment assert.,2019-10-01,Closed,6294,38,1,js xml ,3
Rework how captured values are written to GeneratorBailInInstrs,2019-10-18,Merged,6293,67,83,h js xml ,10
Rework how captured values are written to GeneratorBailInInstrs,2019-09-23,Closed,6292,144,135,h ,5
[test262] Class names should be parsed in strict mode,2019-09-23,Merged,6288,10,5,js ,3
[test262] Enable function name inference flag by default,2019-09-23,Merged,6287,9,21,baseline ,4
"[test262] Allow ""in"" in the middle operand of ternaries",2019-09-23,Merged,6286,7,1,js ,2
[test262] Contextual keywords cannot have unicode escape sequences,2019-09-23,Merged,6285,81,45,h js ,7
Throw invalid LHS errors at parse time,2019-09-12,Merged,6281,40,14,js ,3
September 2019 Security Update,2019-09-11,Merged,6279,"1,529","1,438",pack-version cpp h js ,13
ModuleEvaluation should return undefined,2019-09-10,Merged,6272,1,0,,1
Prevent a use after free in memop,2019-09-05,Merged,6267,5,4,,1
Prevent a use after free in memop,2019-09-05,Closed,6265,5,4,,1
Fix and Enable Jitting Generators,2019-10-29,Closed,6264,154,31,h ,14
[Wasm SIMD] Don't use view type for v128 alignment,2019-09-19,Merged,6260,107,74,h js wasm wast ,10
Fix value propagation on loop back-edge with aggressive value transfers,2019-09-19,Merged,6257,66,15,h js xml baseline ,5
Enable defer parse for class members including constructors,2019-09-05,Merged,6253,"23,678","23,405",h ,5
Insert a ByteCodeUses instr for arguments when inlining apply target,2019-08-16,Merged,6247,43,2,js xml ,4
Merge branch 'release/1.11',2019-08-14,Closed,6246,"1,137","1,022",h ,10
Move signing for ChakraCore.dll and ch.exe to use a SHA2 cert,2019-08-13,Merged,6244,2,2,,2
"ChakraCore servicing update for August, 2019",2019-08-13,Merged,6243,888,771,cpp h ,12
Fix environment calculation for symbol captured in the param scope,2019-10-09,Closed,6242,31,1,js xml ,4
Fix null dereference in BindPidRefsInScope,2019-08-13,Merged,6241,32,2,js xml ,3
Don't unwrap a with object outside of a with scope.,2019-08-09,Merged,6240,0,1,,1
Correctly set flag indicating a function has references to `this` symbol,2019-08-09,Merged,6234,"18,095","18,133",h ,8
Enable dynamic import by default,2019-08-05,Merged,6233,1,1,,1
Change the way the JIT renumbers byte code temps,2019-09-12,Merged,6232,"23,966","23,741",,4
Give JavascriptRegExpConstructor the correct ConstructorCache,2019-08-05,Merged,6230,15,4,h js ,4
Fixes #6053: stop boxing stack function from continually recursing into itself,2019-08-06,Closed,6229,40,4,js xml ,3
Do not attempt to reuse Utf8SourceInfo if asmjs parse fails,2019-09-23,Merged,6227,12,23,h ,2
Enable globopt for generator functions,2019-08-12,Merged,6226,763,279,cpp ,7
Fix incorrect assertions when testing for undefined in string methods,2019-08-01,Merged,6225,12,12,,1
Fix assertion in ArrayBuffer slice,2019-08-05,Merged,6224,1,1,,1
Loosen assertion for arrays with non-writable length,2019-08-01,Merged,6223,7,1,,1
"Stop passing ActivationObject as 'this' in dynamic-binding cases, eliminate StrictLdThis",2019-07-30,Merged,6217,"21,078","21,260",h inl ,14
fix bug where try block swallows yield,2019-08-01,Merged,6216,16,0,cpp js ,3
Refactor byte code emission for BrOnNoProperty family of cases,2019-07-30,Merged,6215,"1,414","1,459",h inl ,9
don't record call site info until call completes,2019-08-05,Merged,6214,30,6,js xml ,3
Fix bugs with InlineArgsOpt,2019-08-09,Merged,6213,435,140,h ,9
Implement JSON ⊂ ECMAScript,2019-08-05,Merged,6211,28,14,baseline js xml ,5
Set hasBailedOutBitPtr correctly for nested finally blocks,2019-07-29,Merged,6210,74,18,h js xml ,5
Better fix for #5950: only update ByteCodeUpwardExposedUsed when instr branches to its own bc offset when branch is also to a different block,2019-07-26,Merged,6208,80,4,js xml ,3
updated ADO badges,2019-07-22,Merged,6207,4,4,,0
Implement well-formed JSON.stringify,2019-07-22,Merged,6206,133,42,h xml js ,7
updated ADO badges,2019-07-19,Closed,6205,17,7,cpp ,2
Proxy [[Construct]] trap confuses super call flag,2019-08-05,Merged,6201,166,1,js xml ,3
only tell OOP JIT about modules that have initialized localExportSlots,2019-07-10,Merged,6199,14,8,,1
Fix missing logic in UpdateImplicitCallBailOutKind due to bad merge,2019-07-11,Merged,6198,7,59,h ,2
"ChakraCore servicing update for July, 2019",2019-07-09,Merged,6196,81,27,cpp h ,16
globalThis needs to load the host global object,2019-07-19,Merged,6194,13,3,,2
Correctly handle named function expressions when saving ScopeInfo,2019-08-01,Merged,6193,180,30,h js xml ,8
Fixed ADO badge url,2019-07-02,Merged,6192,4,4,,0
Move type transitions above def processing in backward pass,2019-07-01,Merged,6190,27,5,js xml ,3
Don't copy object directly if internal properties are set,2019-07-29,Merged,6189,73,42,h baseline js ,8
Fixed ADO badge url,2019-07-02,Closed,6188,4,4,,0
