Add OPPO A33 (#348),2019-11-24,Merged,349,2,0,txt ,1
Add some new agents that were not detected,2019-11-15,Merged,347,9,1,txt ,1
Apply fixes from StyleCI,2019-11-07,Merged,346,2,2,,1
Add Amazon Simple Notification Service Agent user-agent (#343),2019-11-06,Merged,344,5,2,txt php ,2
Add two Google users-agents,2019-10-15,Merged,341,9,2,txt php ,2
Facebook link preview bot added,2019-10-08,Merged,340,3,1,txt ,1
Add 5 crawlers,2019-10-05,Merged,339,17,2,txt php ,2
"Add ""AdsBot-Google""",2019-08-19,Closed,336,3,1,php ,1
Update README.md - added Python version,2019-08-16,Merged,335,3,0,,0
Add 7 users agents,2019-06-14,Merged,333,22,1,txt php ,2
"Add ""worldping-api""",2019-06-04,Merged,331,14,11,txt php ,2
Add 7 useragents,2019-05-21,Merged,329,20,2,txt php ,2
Feature: Extend Crawlers data array,2019-05-19,Closed,328,66,3,,3
Add netEstate crawler,2019-05-20,Closed,327,3,1,txt ,1
Add 5 user agents,2019-04-23,Merged,325,16,2,txt php ,2
Fix false positives and new add new bot,2019-04-05,Merged,324,11,4,txt php ,4
Apply fixes from StyleCI,2019-03-19,Merged,321,1,1,,1
Apply fixes from StyleCI,2019-03-19,Closed,320,1,1,,1
Issue #318,2019-03-19,Merged,319,2,0,txt ,1
Add 12 useragents,2019-03-04,Merged,317,40,2,txt php ,2
Add bots,2019-01-15,Merged,314,23,4,txt php ,2
Add 4 user agents,2019-01-12,Merged,313,14,3,txt php ,2
Performance and general clean up,2019-01-07,Merged,312,237,323,,1
Add 3 User Agents & Clean up regexs,2018-12-17,Merged,311,33,24,txt php ,2
Add Sendsay bot.,2018-12-10,Merged,310,3,1,txt ,1
Apply fixes from StyleCI,2018-12-06,Closed,308,3,4,,1
Add 7 new user agents,2018-11-21,Merged,306,22,3,txt php ,2
Add TrensmapResolver,2018-10-31,Merged,305,3,2,txt ,1
New Facebook and Twitter users agents,2018-10-31,Closed,304,11,1,,0
Add two user agents. Remove some duplicate regexs,2018-10-31,Merged,302,8,10,txt php ,2
PR #300 fixes,2018-10-26,Merged,301,11,3,txt php ,2
adding 40 bots,2018-10-26,Closed,300,45,0,,1
Add 10 new useragents,2018-10-23,Merged,299,33,6,txt php ,2
Fix incorrect results. Close issues #289 and #272,2018-10-16,Merged,298,12,56,txt php ,4
add tracemyfile rule,2018-10-12,Merged,297,2,0,txt ,1
Add a load more bots,2018-10-10,Merged,295,185,96,,1
Add 27 new user agents,2018-10-03,Merged,294,83,5,txt php ,2
Added 2 crawlers,2018-10-01,Merged,293,5,1,txt ,1
Add PingAdmin.Ru,2018-09-23,Merged,292,3,1,txt ,1
Monit and generic New relic,2018-09-04,Merged,290,2,1,,1
#276 fix setUserAgent does not setter,2018-10-31,Merged,288,1,1,,1
Add Ruby crawler_detect gem,2018-08-18,Merged,286,4,0,,0
Fix false positives - fixes #283,2018-07-30,Merged,284,27,3,txt php ,3
#271 adding SpamExperts into bots list,2018-07-30,Merged,282,5,2,txt php ,2
Add SPDYCheck crawler,2018-07-24,Merged,279,5,2,txt php ,2
Add Microsoft Outlook and macOS Mail useragents,2018-07-18,Merged,278,15,233,txt php ,2
Add Zombie.js detection,2018-07-10,Merged,277,7,3,txt php ,2
Add 3 crawlers,2018-07-04,Merged,275,6,0,txt ,1
Add 10 bots,2018-06-22,Merged,274,37,15,txt php ,2
New crawler: Arukereso,2018-06-21,Merged,273,3,1,txt ,1
Add new bot,2018-06-04,Merged,270,3,1,txt ,1
Huge number of bots added,2018-05-21,Merged,268,"145,292",97,,1
New crawler: Trendsmap Resolver/0.0.1,2018-05-03,Merged,267,3,1,txt ,1
Add Nette extension link,2018-04-11,Merged,265,3,0,,0
Test enhancement,2018-04-06,Merged,263,6,6,,1
Update phpunit,2018-04-05,Merged,262,3,2,php ,2
Add 4 User Agents,2018-03-27,Merged,261,14,2,,0
Add 8 crawlers,2018-03-19,Merged,259,23,1,,0
Add bot,2018-03-05,Merged,257,8,3,txt php ,3
Add dataminr.com,2018-03-05,Merged,256,3,1,txt ,1
Remove negative lookbehind,2018-02-26,Merged,254,2,1,,2
Add 5 more useragents,2018-02-22,Merged,252,17,1,,0
adscanner,2018-02-22,Merged,251,3,1,txt ,1
Add five more user agents,2018-02-09,Merged,249,16,9,,0
Add 5 more user agents,2018-02-03,Merged,248,17,1,,0
Add new bot,2018-02-01,Merged,246,3,1,txt ,1
Self-serving shout out to NetCrawlerDetect,2018-01-31,Merged,245,3,0,,0
New bots,2018-01-31,Merged,244,20,2,,0
Add 15 new useragents,2018-01-05,Merged,243,46,1,,0
Add New Relic Pinger detection,2018-01-03,Merged,242,4,1,,0
Added a new crawler 'HubSpot Page Screenshot Service',2018-01-03,Merged,241,3,1,txt ,1
Added UA APIs-Google,2018-01-03,Merged,240,1,0,,1
symfony 4 support,2017-12-03,Merged,237,1,1,,0
Add ES6 library link,2017-11-02,Merged,236,3,0,,0
Update raw crawler list,2017-10-28,Merged,235,59,3,txt php ,2
Add 18 user agents,2017-10-28,Merged,234,40,2,txt ,1
? The preceding token is not quantifiable,2018-02-26,Closed,233,1,1,,0
New bots,2017-10-17,Merged,232,8,2,,0
Add bots,2017-09-07,Merged,226,21,7,json txt php ,3
Update Crawlers.php,2017-09-04,Closed,225,1,0,,1
Add wpif and imgsizer as crawlers,2017-08-07,Merged,223,5,2,txt ,1
Add Jobg8 URL Monitor,2017-08-03,Merged,221,3,1,txt ,1
Apply fixes from StyleCI,2017-07-24,Merged,220,28,17,,1
Export raw data,2017-07-24,Merged,219,898,0,json ,2
Implement prefetch header checking,2017-10-17,Closed,218,56,3,,3
Apply fixes from StyleCI,2017-07-24,Merged,217,1,1,,1
Apply fixes from StyleCI,2017-07-03,Merged,215,2,2,,1
4 bots,2017-07-03,Merged,214,8,0,txt ,1
Added Clarsentia,2017-07-03,Merged,213,17,15,txt ,1
Four more user agents,2017-06-30,Merged,210,8,0,txt ,1
Tweak Yandex - closes #207,2017-06-28,Merged,209,13,6,json php txt ,3
Check HTTP_X_SCANNER,2017-06-28,Merged,208,4,1,txt ,2
Add bots,2017-06-26,Merged,206,21,2,txt ,1
Add lots of bot user agents,2017-06-19,Merged,205,42,1,txt ,1
Add bot - closes #202,2017-06-07,Merged,203,2,0,txt ,1
Fix HHVM tests and add more user agents and tests,2017-06-03,Merged,201,36,2,php txt ,2
Add bot - closes #198,2017-05-29,Merged,199,3,1,txt ,1
Apply fixes from StyleCI,2017-05-18,Merged,197,1,1,,1
Added echocrawl bot,2017-05-18,Merged,196,2,0,txt ,1
Code cleanup,2017-05-15,Merged,195,9,12,,1
add SeznamBot,2017-05-09,Closed,194,1,0,,1
Add b0t - closes #187,2017-05-09,Merged,193,2,0,txt ,1
Add bots,2017-05-04,Merged,192,16,0,txt ,1
Apply fixes from StyleCI,2017-04-24,Merged,191,12,12,,2
Apply fixes from StyleCI,2017-04-24,Merged,190,42,23,,3
Proof of concept for IP checking,2017-10-17,Closed,189,343,215,,2
Apply fixes from StyleCI,2017-04-24,Merged,188,43,40,,1
Added QQDownload Bot,2017-04-20,Merged,186,5,1,txt ,1
Add ping.blo.gs - closes #184,2017-04-14,Merged,185,3,1,txt ,1
Add the Google-Youtube-Links bot,2017-04-03,Merged,182,3,1,txt ,1
5 new bots,2017-03-21,Merged,181,13,1,txt ,1
Add bot - closes #178 and closes #179,2017-03-03,Merged,180,3,1,txt ,1
New crawler,2017-03-03,Closed,179,16,8,php txt ,2
Add 2 new bots,2017-02-14,Merged,177,5,2,txt ,1
Added NextGenSearchBot,2017-02-14,Closed,176,17,15,txt ,1
Apply fixes from StyleCI,2017-02-08,Merged,175,1,1,,1
Apply fixes from StyleCI,2017-02-08,Merged,174,1,1,,1
Apply fixes from StyleCI,2017-02-08,Closed,173,1,1,,1
Apply fixes from StyleCI,2017-02-03,Merged,172,0,1,,1
Performance improvements,2017-02-03,Merged,171,32,23,,2
New bots,2017-01-31,Merged,170,165,2,txt ,1
Add 5 User Agents,2017-01-30,Merged,169,11,0,txt ,1
Remove unnecessary regexes,2017-01-26,Merged,168,3,15,txt ,1
Add 4 bots,2017-01-26,Merged,167,8,0,txt ,1
Add bot,2017-01-23,Merged,166,2,0,txt ,1
Apply fixes from StyleCI,2017-01-17,Merged,165,2,2,,1
Dev,2017-01-17,Merged,164,475,4,,2
Added new bot,2017-01-11,Merged,163,1,0,,1
Apply fixes from StyleCI,2017-01-11,Merged,162,1,1,,1
Eliminate false positive for Pinterest iOS/Android apps,2017-01-11,Merged,161,7,2,txt ,1
New bots,2017-01-10,Merged,160,9,1,txt ,1
New bot,2016-12-28,Merged,159,2,0,txt ,1
Additional bots,2016-12-27,Merged,158,12,0,txt ,1
Added bot,2016-12-19,Merged,157,2,0,txt ,1
Add three user agents,2016-12-15,Merged,155,6,0,txt ,1
new crawler,2016-12-15,Merged,154,2,0,txt ,1
New bots,2016-12-07,Merged,151,9,0,txt ,1
Add 12 user agents,2016-11-25,Merged,148,27,2,txt ,1
Symfony Bundle,2016-11-24,Merged,147,3,0,,0
Applied fixes from StyleCI,2016-11-22,Merged,146,2,2,,1
Applied fixes from StyleCI,2016-11-22,Merged,145,3,3,,2
Tweak StyleCI settings,2016-11-23,Merged,144,89,19,php ,5
Create a PHP 7.1 version,2018-02-22,Closed,143,29,31,json php ,9
Applied fixes from StyleCI,2016-11-22,Merged,142,12,10,,3
Add Alibaba.Security.Heimdall user agent,2016-11-19,Merged,141,3,1,txt ,1
Add more test data,2016-11-11,Merged,140,2,1,,0
3 new bot regexes,2016-11-07,Merged,136,9,1,txt ,1
Added a lot of new crawler test data,2016-10-18,Merged,134,"2,339","1,752",,0
29 new bot regexes,2016-10-18,Merged,133,75,9,txt ,1
Add fetcher and validator to generic regex,2016-10-11,Merged,132,2,17,,1
Add 3 bots,2016-10-11,Merged,131,6,1,txt ,1
Added Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots),2016-10-09,Closed,130,2,0,txt ,1
Add 9 Useragents,2016-09-26,Merged,129,21,4,txt ,2
Add 6 bots,2016-09-16,Merged,128,14,1,txt ,1
Applied fixes from StyleCI,2016-09-07,Merged,125,2,2,,1
New batch of bots,2016-09-05,Merged,124,108,6,txt ,1
Add 9 Bots,2016-09-01,Merged,123,18,0,txt ,1
Added a load of new bot regexes,2016-08-19,Merged,120,149,23,,1
Typo,2016-08-19,Merged,119,1,1,,0
Fix false positive for sogou closes #117,2016-08-09,Merged,118,2,1,txt ,1
Add 3 bots,2016-08-06,Merged,116,68,60,,1
Test against PHP 7.1,2016-08-02,Merged,115,1,0,,1
Add 9 bots,2016-07-29,Merged,114,25,8,txt ,1
Tweak regexes to avoid false positives - fixes #111,2016-07-20,Merged,113,92,73,,2
Added check_http/nagios to crawlers,2016-07-20,Merged,110,3,1,txt ,1
Applied fixes from StyleCI,2016-07-18,Merged,109,2,1,,2
Applied fixes from StyleCI,2016-07-18,Closed,108,1,0,,1
"add a check in getMatches that prevents an ""Undefined index"" error",2016-07-18,Merged,107,1,1,,1
Add Bots and remove redundant regexs,2016-07-15,Merged,105,31,19,txt ,2
Add bot,2016-07-13,Merged,104,2,0,txt ,1
Added www.uptimedoctor.com to crawlers,2016-07-11,Merged,103,2,0,txt ,1
Add 20 bots,2016-07-09,Merged,102,114,90,,1
Added over 50 new bot regexes!!!,2016-07-01,Merged,101,403,70,,0
Add Slack-ImgProxy,2016-06-18,Closed,100,1,0,,1
Add sistrix optimizer crawler,2016-06-16,Merged,99,2,0,txt ,1
Add 19 Bots,2016-06-08,Merged,98,61,24,txt ,1
Add lots more bots to tests and 20 new bot regexs,2016-05-19,Merged,97,259,2,,1
Add lots of bots,2016-05-05,Merged,96,36,4,txt ,1
Test against PHP nightly,2016-05-04,Merged,95,12,7,,1
Check against HTTP_FROM header - fixes #25,2016-04-27,Merged,94,11,0,,2
Applied fixes from StyleCI,2016-04-25,Merged,93,1,1,,1
Applied fixes from StyleCI,2016-04-25,Merged,92,1,1,,1
Add coveralls.io,2016-04-25,Merged,91,29,2,php ,4
Applied fixes from StyleCI,2016-04-23,Merged,90,5,5,,2
Separate fixtures into their own classes,2016-04-24,Merged,89,451,382,,0
Applied fixes from StyleCI,2016-04-22,Merged,88,34,6,,4
Add bots & improve collisions test,2016-04-22,Merged,87,7,4,txt ,2
Add bots & improve collisions test,2016-04-22,Closed,86,7,4,txt ,2
Add more bots,2016-04-21,Merged,85,13,2,txt ,1
Add Readability,2016-04-18,Merged,84,2,0,txt ,1
Add bots and group bots,2016-04-15,Merged,83,7,9,txt ,1
Add lots of bots,2016-04-12,Merged,82,126,75,,3
Applied fixes from StyleCI,2016-04-12,Merged,81,27,0,,3
Applied fixes from StyleCI,2016-04-12,Closed,80,27,0,,3
Standardise escaping to a single backslash,2016-04-06,Merged,79,7,7,,1
