Fix TensorFlow dataset test,2020-01-10,Merged,1641,21,18,,1
Improved Reshape,2020-01-10,Merged,1634,246,61,h ,3
Also check tensor argument to determine if resampling is needed.,2020-01-07,Merged,1630,1,1,,1
Update CUDA version detection for Conda,2020-01-07,Merged,1629,1,1,,1
Temporary fix due to missing PILLOW_VERSION symbol when using torchvision,2020-01-07,Merged,1626,14,9,,7
Fix Transpose operator for batch size 1 as well as 1 channel images,2020-01-02,Merged,1624,26,26,py ,2
Name the dataloader shuffling seed,2020-01-02,Merged,1621,7,5,,5
Add data source info to error message in TFRecord and Caffe parsers,2020-01-02,Merged,1620,10,9,,3
Fixing numpy version to 1.17.0 in SSD test,2019-12-27,Merged,1618,2,1,,1
"Update VideoReader testcase, use nvmlSystemGetDriverVersion",2019-12-30,Merged,1617,39,4,h ,3
Erase CPU operator,2020-01-09,Merged,1609,"1,735",4,h ,2
Bump protobuf version to 3.11 in conda build,2019-12-23,Merged,1606,3,3,yaml ,2
Allow Crop and CropMirrorNormalize to crop sequences as if they were volumetric images,2020-01-08,Merged,1605,122,6,py ,4
Remove the need to have GPU available when DALI is just imported,2020-01-03,Merged,1601,52,16,sh ,3
Add docs for arithmetic expressions,2020-01-02,Merged,1600,112,7,rst ,3
Formatting fix.,2020-01-02,Merged,1597,2,2,,1
"Add bitwise operators: &, |, ^",2019-12-19,Merged,1594,352,25,cc cu ,10
Mock imports when building docs where possible,2019-12-20,Merged,1593,27,7,,2
Use different stream base for different videos.,2020-01-02,Merged,1592,45,18,cc h ,6
Load libnvcuvid before we test if cuvidReconfigureDecoder symbol exists,2019-12-23,Merged,1591,25,23,cc ,4
"Add interdoc link to define_graph, fix note",2019-12-19,Merged,1590,5,4,,1
Split Expression Factory into separate translation units,2019-12-19,Merged,1587,"1,140",97,cc cu ,14
Bump protobuf version in docs,2019-12-19,Merged,1586,1,1,,1
Remove old PythonFunction implementation,2019-12-20,Merged,1585,360,208,h ,2
Resampling decoder,2019-12-19,Merged,1582,873,70,cc ,3
Docs cleanup,2019-12-17,Merged,1578,186,179,,21
MFCC CPU operator,2020-01-07,Merged,1577,652,15,cc h ,3
[WIP] MFCC CPU operator,2019-12-13,Closed,1576,821,1,h cc ,3
Fix a race condition in GetGPUAllocator,2019-12-17,Merged,1575,68,72,,1
Resample in AudioDecoder,2019-12-20,Closed,1574,357,19,h ,2
"Bump up protobuf and libturbo-jpeg version in aarch64-linux and qnx build, fix libsnd dependency",2019-12-17,Merged,1573,60,35,aarch64-qnx deps rst ,5
Fix ToContiguousXXX for >2 inputs.,2019-12-16,Merged,1572,14,4,cc ,2
Update PR template,2019-12-17,Merged,1571,15,8,,0
Use prebuild cupy in tests,2019-12-16,Merged,1570,4,2,py ,2
