Fixed some failing tests,2019-12-07,Merged,3019,2,0,,1
Fixed PHP code syntax,2019-12-07,Merged,3018,3,8,php ,2
Fixed an issue with default menu items,2019-12-06,Merged,3016,2,1,,1
Update messages.lt.xlf,2019-12-06,Merged,3015,1,1,,1
Fix an issue when no default menu is set in config,2019-12-06,Merged,3011,2,0,,1
Fix compatibility with Symfony 4.4 & 5.0,2019-12-06,Merged,3010,8,3,,3
Add `property` to PRE_UPDATE and POST_UPDATE events,2019-12-06,Merged,3006,2,2,,1
Use ManagerRegistry interface from doctrine,2019-12-06,Merged,2999,4,4,,2
Fix php74 accessarray offset,2019-11-15,Merged,2998,307,256,json rst dist php ,14
[WIP] CI fix,2019-11-12,Closed,2994,30,135,,10
Add unit tests for Authorization checker,2019-12-06,Merged,2992,91,0,,1
Fix compat with Symfony 5.0,2019-11-08,Merged,2988,2,2,php ,2
Row_attr option.,2019-11-03,Closed,2985,1,1,,1
"Tweaked the ""confirm action"" feature of batch actions",2019-11-01,Merged,2979,66,21,php xlf twig yml ,15
Updated file path to Symfony 4,2019-10-28,Closed,2976,1,1,,1
Updated file location for Symfony 4,2019-10-28,Closed,2974,2,2,,1
[Cleanup] Removing some useless docblock,2019-10-23,Merged,2972,4,31,,9
Allow Symfony 5,2019-10-23,Merged,2970,225,194,json dist php ,9
Tweaked an exception message,2019-10-19,Merged,2966,3,3,yml ,2
Update EasyAdminBundle.cs.xlf,2019-10-18,Merged,2965,1,1,,1
Added the docs for EasyAdmin 3,2019-10-19,Closed,2963,"2,364","61,875",,0
form theme,2019-10-18,Merged,2962,6,4,,1
add missing translation for continue,2019-10-16,Merged,2960,16,0,,2
"Tweaked the ""confirm action"" feature of batch actions",2019-10-14,Merged,2959,53,22,xlf twig yml ,13
Updated JavaScript dependencies,2019-10-11,Merged,2957,922,816,css js ttf eot woff2 woff ,23
Custom Entity loading on associations,2019-10-15,Merged,2956,1,1,,1
Updated Danish translations,2019-10-08,Merged,2952,108,4,,1
Update EasyAdminBundle.cs.xlf,2019-09-30,Merged,2948,1,1,,1
Update translations for security,2019-09-30,Merged,2947,6,0,,1
Fixed some failing tests because of recent Doctrine changes,2019-09-30,Merged,2946,55,15,,9
Missing list with item_permission,2019-09-30,Closed,2945,1,1,,1
Fixed an undefined property in some edge cases,2019-09-26,Merged,2944,2,2,,1
Added modal confirmation box for batch actions #2913,2019-10-13,Merged,2943,100,5,xlf twig yml ,7
json pretty print,2019-09-19,Merged,2939,10,10,,2
Make EasyAdmin 1.x incompatible with Symfony 5.x,2019-09-19,Merged,2937,3,0,,1
Fixed the Treebuilder deprecation in 1.x branch,2019-09-17,Merged,2936,12,2,,1
Added a command to allow migrating from EasyAdmin 2 to EasyAdmin 3,2019-09-19,Merged,2935,110,0,xml ,2
Generate RTL styles automatically,2019-09-16,Merged,2932,187,43,js json css ,12
Updated the Twig dependency,2019-09-14,Merged,2930,2,2,php ,2
Fix: Check for the existence of a called action method,2019-09-12,Merged,2928,6,0,,1
Make list.html.twig work with older versions of Twig,2019-09-14,Closed,2927,1,1,,1
Add form_theme_only config option,2019-09-21,Merged,2926,37,5,php twig ,6
Add and use alias for property_accessor in EasyAdminTwigExtension,2019-10-14,Closed,2925,2,1,,1
Fixed a regression in the createOrmPaginator method,2019-09-10,Merged,2924,20,5,,1
Allow to use other kinds of FontAwesome icons,2019-09-14,Merged,2923,16,1,css ,2
Update EasyAdminBundle.gl.xlf,2019-09-07,Merged,2919,7,3,,1
Update ViewConfigPass.php,2019-09-07,Merged,2915,2,2,,1
Fix deprecation for using if tag on for tag,2019-09-07,Merged,2910,3,3,,1
Brought back bootstrap breakpoints to the theme,2019-09-07,Merged,2909,1,5,css ,2
enhancement getSubscribedServices(),2019-09-07,Merged,2908,2,2,,1
Fix: Typo in Arabic,2019-09-07,Merged,2898,11,11,,1
Fix: typo,2019-09-07,Merged,2897,5,5,rst yml ,5
Filter translation fix,2019-09-07,Merged,2894,91,2,,22
Make DateTimeFilterType compat with \DateTimeImmutable instances,2019-09-07,Merged,2893,1,1,,1
Minor design tweaks for the file upload type,2019-08-10,Merged,2890,12,7,css ,2
Scroll to the first error,2019-09-21,Closed,2888,6,0,,1
add block for design js assets,2019-09-07,Merged,2887,6,3,,1
[FileUploadType] Renaming duplicated files,2019-08-10,Merged,2885,31,11,rst php ,5
Supporting multiple tab groups in form validation (fixes #2882),2019-08-10,Merged,2884,4,4,,2
Supporting Doctrine Lifecycle Events in batch delete action (fixes #2881),2019-08-10,Merged,2883,9,9,,1
Fixing bootstrap import (js) and old webpack config (fixes #2875),2019-08-10,Merged,2880,341,543,json css map ,9
Fixed a wrong CSS style,2019-08-02,Merged,2879,3,4,css map js ,4
Fixing inconsistent styles for fields with errors (introduced by me in #2870),2019-08-02,Merged,2877,14,29,css map js ,4
Simplified some interface elements and translations,2019-08-01,Merged,2876,3,119,twig ,30
Including TrixEditor styles into the editor preview,2019-07-31,Merged,2874,1,1,,1
[UX] Implementing visual feedback for invalid form fields (fixes #2867),2019-07-29,Merged,2870,74,11,css map js twig ,6
"Support for ""required"" tag attribute in EasyAdminAutocompleteType",2019-07-29,Merged,2869,1,0,,1
Minor redesign for the form collections,2019-07-29,Merged,2868,23,34,css map js twig ,5
[UX] Show the first nav tab item with errors,2019-07-26,Merged,2865,20,4,,2
Verify validity for select and textarea inputs,2019-07-27,Merged,2864,19,6,twig ,5
Fix CSS of the fileupload widget,2019-07-27,Merged,2863,5,7,php css map ,4
portuguese translations for the filter component,2019-07-26,Merged,2861,90,0,,1
Added docs for the new file upload type,2019-07-26,Merged,2860,78,3,php ,2
add select all value in batch action,2019-09-07,Closed,2859,36,1,twig ,2
Missed pull request -> delete,2019-07-22,Closed,2858,0,0,,0
Show the file name in the Bootstrap custom file input,2019-07-23,Merged,2857,37,3,css map twig ,4
Updated the PHP code syntax rules to match Symfony ones,2019-07-20,Merged,2855,582,582,php ,5
Fixed a bug related to entities with id = 0,2019-07-20,Merged,2854,1,1,,1
add translation domain to trans filter,2019-07-19,Merged,2853,3,3,,1
