Add option to subscribe to lazy queues.,2020-01-08,Merged,993,80,1,,4
merge from master,2019-09-25,Merged,982,113,92,cs ,17
Fix  #978,2019-09-26,Merged,979,14,1,,2
Feature/update gitversion,2019-09-25,Merged,977,28,22,,20
Bump dependencies,2019-09-23,Merged,973,106,95,cs ,15
Added arguments to ExchangeDeclare and QueueDeclare methods,2019-07-17,Closed,970,53,32,,2
Dispose consumer cancellation for RPC response queue,2019-07-15,Merged,969,32,11,,1
Additional .NET 4.6 target for dispatcher deadlock,2019-07-11,Merged,967,10,10,cs ,3
Using same ExchangeDeclareStrategy for publish and subscribe,2019-07-17,Merged,962,80,81,,14
Make EasyNetQ exceptions really serializable,2019-06-04,Merged,953,25,0,,2
Code cleanup,2019-06-02,Merged,950,292,332,,20
Spell check,2019-06-02,Merged,949,11,11,txt ,5
Make HandleConsumerCancelled virtual,2019-06-02,Merged,948,1,1,,1
Convert events to structs,2019-09-23,Closed,936,31,31,,14
Move code from Sprache to EasyNetQ.Sprache namespace and internalise it.,2019-05-02,Merged,935,285,282,,3
Queue and exchange declaration rework,2019-04-10,Merged,931,323,308,,7
Queue and Exchange hold parameters of their declaration,2019-04-07,Closed,930,185,175,,6
Move caching of declared exchanges to AsyncCache,2019-03-25,Merged,925,90,39,,4
Rework exchange declaration,2019-03-29,Merged,924,337,169,,5
Update EasyNetQ.Scheduler with EnableLegacyConventions setting,2019-03-21,Merged,923,56,6,config ,10
added comments on AwaitableDisposable,2019-03-19,Merged,922,27,1,,1
Rework queue declaration. LazyQueue is introduced.,2019-03-19,Merged,921,821,502,,3
fix extension methods that were missing the this keyword,2019-03-18,Merged,919,2,2,,1
Moved extensions methods under the same namespace as IBus,2019-03-18,Merged,918,12,8,,4
Simplify usage of ConcurrentDictionary,2019-03-17,Merged,917,159,161,,3
"Clean up unused packages.config and app.config, fix warnings and conv…",2019-03-16,Merged,916,32,414,config ,25
Replace AddOrUpdate with GetOrAdd,2019-03-16,Merged,915,4,7,,1
Rewrite SendReceive with async API,2019-03-15,Merged,914,33,31,,3
Bump LangVersion to latest,2019-03-14,Merged,913,22,94,config ,27
"Revert ""Created ConsumerCancelled event on ConsumerCancellation class…",2019-03-13,Merged,912,8,40,,5
Add EditorConfig file,2019-03-12,Merged,911,16,0,,1
Remove newtonsoft hack from rpc,2019-02-19,Merged,903,76,75,,14
Make GetSupersededType work with any message version hierarchy,2019-01-27,Merged,902,46,3,,2
Ensure the order of superseded types in MessageVersionStack.GetSupersededType,2019-01-26,Closed,901,1,0,,1
Guarantee that MessageVersionStack.GetSupersededType returns the direct parent type,2019-01-25,Closed,900,2,1,,1
Fix MessageVersionStack to work with more than 2 versions,2019-01-25,Merged,899,20,1,,3
Legacy RPC conventions,2019-01-18,Merged,896,160,37,,7
Newtonsoft.Json separation,2019-01-12,Closed,893,209,10,cs sln ,24
Fix #883,2019-01-05,Merged,888,1,1,,1
Scheduler.Mongo: Removed hardcoded connection to rabbit,2019-03-14,Closed,886,2,3,,1
Removed hardcoded connection to rabbit,2018-12-21,Merged,885,1,2,,1
Updated LibLog to version 5.0.3 and reduced NetStandard2-dependencies,2018-11-21,Merged,877,5,"2,500",,1
LibLog - Fixed NLog + Log4net callsite. Added support for NLog structured logging,2018-11-20,Merged,876,78,57,,1
Created ConsumerCancelled event on ConsumerCancellation,2018-12-06,Merged,875,40,8,,5
Created ConsumerCancelled event on ConsumerCancellation class,2018-11-07,Closed,874,40,8,,5
Delete sync Wait,2018-11-05,Merged,873,45,63,,3
Fix #871,2018-11-11,Merged,872,13,8,,3
