Fix german translation for 'remember me',2018-08-14,Closed,3404,2,2,,1
improve database queries,2018-07-21,Merged,3375,560,713,config cs ,19
Modified isConnectMode check,2018-09-12,Closed,3374,1,1,,0
Beta,2018-07-17,Merged,3366,"2,713,529","119,088",config targets cs ,7
3.5,2018-07-17,Merged,3365,148,148,config cs ,20
fix device naming,2018-07-16,Merged,3363,456,390,config cs ,17
update sqlite packages,2018-07-15,Merged,3361,34,18,config nupkg dll ,46
add debug logging to images endpoint,2018-07-15,Merged,3360,201,194,config cs ,18
prevent collection grouping on search requests,2018-07-13,Merged,3359,354,387,config ,16
fix empty seasons in dlna,2018-07-12,Merged,3358,124,121,config cs ,20
Dev,2018-07-11,Merged,3357,"2,265",510,config cs ,18
Bugfix: Incorrect use of DateTime.ToUniversalTime() results in incorrect dates returned by metadata providers,2019-01-12,Closed,3355,56,13,,11
fix playAllFromHere with large lists,2018-07-10,Merged,3354,"1,970",127,config cs json ,23
fix placeholder query,2018-07-09,Merged,3353,98,53,css html js ,8
Dev,2018-07-08,Merged,3352,482,737,config cs json ,21
Dev,2018-07-06,Merged,3351,888,897,config cs ,21
Dev,2018-07-05,Merged,3347,"105,917","3,500",config cs ,14
Dev,2018-06-29,Merged,3345,773,704,config cs xml ,22
update nuget,2018-06-27,Merged,3344,85,85,config ,22
update live tv queries,2018-06-27,Merged,3343,242,174,,4
Dev,2018-06-25,Merged,3341,489,325,css js ,8
Dev,2018-06-24,Merged,3338,374,666,config cs ,16
Dev,2018-06-23,Merged,3335,269,140,config cs ,23
rework storage of extras,2018-06-21,Merged,3332,"2,674","4,746",config cs ,15
Dev,2018-06-18,Merged,3330,160,119,js ,10
rework width/height properties,2018-06-15,Merged,3328,380,326,config cs ,21
consolidate chapter objects,2018-06-14,Merged,3322,567,715,config cs ,19
3.4.1.14,2018-06-10,Merged,3316,554,627,config cs ,10
Dev,2018-06-08,Merged,3315,492,604,config cs ,19
add missing files,2018-06-07,Merged,3313,"149,284",0,dll ,114
Dev,2018-06-07,Merged,3312,"2,361,620",290,config cs xml ,18
Dev,2018-06-04,Merged,3311,773,795,config cs ,10
update nuget,2018-05-30,Merged,3304,"28,503","19,324",config nupkg ,12
Dev,2018-05-30,Merged,3303,"21,970",205,config cs ,23
Dev,2018-05-27,Merged,3296,565,"51,973",config targets cs ,27
update live stream management,2018-05-24,Merged,3287,273,327,csproj ,4
Dev,2018-05-23,Merged,3285,485,616,csproj ,6
fix epg search + image generation,2018-05-18,Merged,3278,387,326,,7
Dev,2018-05-15,Merged,3274,"2,807","2,519",,5
update boxset queries,2018-05-07,Merged,3265,63,46,css ,8
update boxset visibility,2018-05-06,Merged,3264,271,121,,10
Dev,2018-05-05,Merged,3263,196,108,cs ,6
add dedicated activity page,2018-05-04,Merged,3258,585,374,,5
update HttpConnection,2018-05-02,Merged,3257,9,1,,1
Beta,2018-05-02,Merged,3256,"15,088","13,637",Docker/LICENSE md sh cs ,8
3.4,2018-05-02,Merged,3255,"1,302","1,590",,22
fix build,2018-04-29,Merged,3253,5,5,,1
move opensubtitles to preinstalled plugin,2018-04-29,Merged,3252,178,233,js json ,7
update image refresh,2018-04-28,Merged,3251,786,118,json ,8
update library options,2018-04-28,Merged,3250,663,542,,1
update library options,2018-04-26,Merged,3248,229,144,json ,10
live tv recording fixes,2018-04-24,Merged,3244,68,191,csproj html ,13
move subdb to plugin,2018-04-23,Merged,3243,221,276,,9
update translations,2018-04-22,Merged,3242,"1,472","2,286",,18
update title on video osd,2018-04-19,Merged,3240,551,279,json csproj ,10
update xml parser,2018-04-17,Merged,3239,1,1,,1
Dev,2018-04-17,Merged,3238,832,"1,099",csproj ,8
Dev,2018-04-15,Merged,3237,730,"1,222",csproj ,14
remove links to installer,2018-04-13,Merged,3236,0,16,csproj ,3
Dev,2018-04-13,Merged,3235,370,884,Docker/LICENSE md sh ,3
Dev,2018-04-09,Merged,3231,549,244,csproj ,9
Dev,2018-04-07,Merged,3228,798,"1,240",csproj ,12
Addressed performance issue when dealing with large EPGs.,2018-05-01,Closed,3227,84,23,csproj ,5
Dev,2018-04-02,Merged,3224,"1,108","1,323",xml ,17
nvenc to respect hardware encoding.,2018-04-04,Merged,3219,34,2,,1
Nvenc patch to respect hardware encoding settings,2018-03-30,Closed,3218,33,2,,1
adopt linux log rotation,2018-03-29,Merged,3215,137,119,csproj ,10
Dev,2018-03-27,Merged,3213,234,256,,6
support wmc episode naming conventions,2018-03-26,Merged,3211,287,405,csproj ,12
Dev,2018-03-25,Merged,3210,783,756,js css ,6
Dev,2018-03-22,Merged,3208,929,532,json ,10
Dev,2018-03-18,Merged,3206,961,764,csproj config ,21
Fix for Intel Quicksync to respect h.264 encoding settings,2018-03-18,Merged,3203,13,2,,1
Fix for Intel Quicksync to respect h.264 encoding settings,2018-03-16,Closed,3202,48,14,cs js ,5
Dev,2018-03-13,Merged,3201,232,146,,9
Dev,2018-03-10,Merged,3198,"2,897",144,cs ,4
support relative paths in playlists,2018-03-08,Merged,3197,235,490,,11
Dev,2018-03-06,Merged,3194,540,190,csproj ,12
Fix for Intel Quicksync to respect h.264 encoding settings,2018-03-15,Closed,3193,13,2,,1
Dev,2018-03-04,Merged,3189,303,101,txt ,13
binary reader for finding file types of images,2018-03-18,Closed,3187,39,20,,2
Dev,2018-03-02,Merged,3186,573,121,,12
+ workaround for tvheadend channel icons,2018-03-02,Merged,3185,9,0,,1
add wake methods,2018-03-01,Merged,3184,12,2,,2
support shuffle on photo albums,2018-03-01,Merged,3183,354,333,,19
Dev,2018-02-27,Merged,3180,57,17,ttf css js ,11
move metadata reader settings to per-library,2018-02-25,Merged,3177,160,52,csproj ttf ,10
move metadata saver settings to per library,2018-02-25,Merged,3174,639,"1,632",csproj ,9
Beta,2018-02-23,Merged,3172,"6,252","6,617",,3
Dev,2018-02-23,Merged,3171,8,48,js html ,6
fix music transcoding not respecting requested bitrate,2018-02-22,Merged,3170,142,110,xml ,26
Dev,2018-02-20,Merged,3169,465,718,,8
Dev,2018-02-18,Merged,3168,310,426,xml ,16
Dev,2018-02-16,Merged,3164,109,90,,13
Dev,2018-02-15,Merged,3162,449,522,csproj json ,7
Dev,2018-02-13,Merged,3160,432,914,,2
Dev,2018-02-09,Merged,3158,"1,066",212,css ,6
Dev,2018-02-06,Merged,3157,408,979,csproj ,4
Dev,2018-02-04,Merged,3155,273,164,,6
Dev,2018-02-02,Merged,3152,408,350,json ,18
Dev,2018-02-02,Merged,3151,106,66,js ,18
Dev,2018-02-01,Merged,3149,557,718,,3
Dev,2018-01-30,Merged,3148,567,114,csproj ,12
3.2.70.5,2018-01-28,Merged,3143,1,1,dll ,5
Dev,2018-01-28,Merged,3142,"1,025","1,560",,4
Dev,2018-01-24,Merged,3140,615,425,,10
Dev,2018-01-20,Merged,3136,472,361,xml ,6
3.2.70.1,2018-01-17,Merged,3130,1,1,,1
Beta,2018-01-17,Merged,3129,245,229,cs html js ,10
Dev,2018-01-17,Merged,3128,245,229,cs html js ,10
Update CONTRIBUTORS.md,2018-01-15,Merged,3126,2,2,,0
Beta,2018-01-14,Merged,3125,1,1,,1
fix task,2018-01-14,Merged,3124,1,1,,1
Beta,2018-01-14,Merged,3123,"5,298","5,136",,15
Dev,2018-01-14,Merged,3122,"5,184","5,101",css js ,10
Dev,2018-01-12,Merged,3121,120,41,js ,14
Beta,2018-01-11,Merged,3118,"8,864","11,760",cs ,2
Dev,2018-01-11,Merged,3117,"4,984","4,958",,15
Dev,2018-01-09,Merged,3114,37,"1,039",csproj ,6
Dev,2018-01-08,Merged,3113,107,54,dll ,11
3.2.60.10,2018-01-07,Merged,3112,3,3,,3
Dev,2018-01-05,Merged,3111,282,282,xml json ,31
Dev,2018-01-03,Merged,3109,12,10,js json ,9
fix task,2018-01-01,Merged,3105,1,1,,1
3.2.60.7,2018-01-01,Merged,3104,101,94,,3
fix task,2017-12-31,Merged,3102,1,1,,1
Dev,2017-12-31,Merged,3101,"1,854","1,920",,1
Adding Error Logging,2018-05-02,Closed,3099,10,1,,1
3.2.60.5,2017-12-28,Merged,3098,56,45,,5
Dev,2017-12-28,Merged,3097,87,506,cs ,3
Dev,2017-12-26,Merged,3094,"1,146","1,654",,8
Dev,2017-12-23,Merged,3093,30,155,csproj js ,8
update solution,2017-12-21,Merged,3092,0,2,,1
Dev,2017-12-21,Merged,3091,263,"1,136",js ,7
Beta,2017-12-20,Merged,3089,711,"2,348",csproj ,13
Dev,2017-12-20,Merged,3088,244,"1,426",json cs csproj ,11
Dev,2017-12-19,Merged,3085,484,939,csproj ,13
Beta,2017-12-18,Merged,3084,0,690,txt psm1 ps1 ,5
remove unused files,2017-12-18,Merged,3083,0,690,txt psm1 ps1 ,5
Beta,2017-12-18,Merged,3082,"1,971","25,542",cs xml ,7
remove unused nuget libs,2017-12-18,Merged,3081,0,260,nupkg dll xml ps1 ,11
Dev,2017-12-18,Merged,3080,106,"19,171",csproj ,10
Dev,2017-12-17,Merged,3078,154,146,csproj txt ,5
Dev,2017-12-16,Merged,3077,154,399,csproj ,13
Dev,2017-12-15,Merged,3074,54,40,css ,6
Dev,2017-12-14,Merged,3073,216,287,xml csproj ,12
Dev,2017-12-11,Merged,3066,271,480,csproj ,13
Dev,2017-12-10,Merged,3065,240,172,cs ,8
remove live tv probe,2017-12-08,Merged,3063,163,84,,9
Dev,2017-12-07,Merged,3061,189,"4,463",csproj cs config js ,13
Dev,2017-12-06,Merged,3059,531,147,css js ,7
Enable deinterlacing for transcoding with vaapi,2017-12-06,Merged,3058,6,0,cs ,2
Enable deinterlacing for transcoding with vaapi.,2017-12-05,Closed,3057,0,0,,0
master,2017-12-05,Closed,3056,0,0,,0
Beta,2017-12-05,Merged,3055,"3,768","2,326",,6
Beta,2017-12-05,Closed,3054,0,0,,0
Dev,2017-12-05,Merged,3053,217,209,css js ,7
Dev,2017-12-03,Merged,3051,"1,050",366,,8
Dev,2017-12-01,Merged,3048,200,104,,10
Dev,2017-11-29,Merged,3047,"1,607","1,229",csproj json ,7
Dev,2017-11-27,Merged,3045,412,449,,14
Dev,2017-11-26,Merged,3039,328,131,,11
reduce dlna chatter,2017-11-23,Merged,3037,230,165,,4
Dev,2017-11-21,Merged,3034,265,214,csproj ttf ,16
Beta,2017-11-20,Merged,3032,"4,086","4,068",csproj ,6
3.2.40.0,2017-11-20,Merged,3031,42,13,,2
3.2.36.15,2017-11-20,Merged,3028,731,717,css js ,4
Fix skip of install vcredist 2015 if 2017 is installed,2018-07-14,Closed,3027,16,0,,1
Dev,2017-11-19,Merged,3025,1,2,cs ,2
Dev,2017-11-19,Merged,3023,702,893,config cs css ,10
Dev,2017-11-17,Merged,3022,121,103,,11
3.2.36.11,2017-11-16,Merged,3021,249,88,,3
Dev,2017-11-15,Merged,3020,197,94,css js html ,8
Dev,2017-11-14,Merged,3016,187,119,cs js ,11
3.2.36.8,2017-11-12,Merged,3012,48,34,css js ,7
3.2.36.7,2017-11-10,Merged,3011,41,22,js ,9
update play media source feature,2017-11-09,Merged,3009,94,105,json js mp3 ,10
Dev,2017-11-08,Merged,3008,289,76,,5
3.2.36.4,2017-11-07,Merged,3007,529,324,xml css json ,7
Dev,2017-11-06,Merged,3005,611,546,js css ,11
support track selection before playback,2017-11-05,Merged,3004,400,695,csproj xml ,6
Dev,2017-11-03,Merged,3001,106,499,cs json ,7
Beta,2017-11-02,Merged,2998,"2,069","1,893",cs config json ,11
Dev,2017-11-02,Merged,2997,682,672,js css ,4
3.2.35.2,2017-11-01,Merged,2995,1,1,,1
Dev,2017-11-01,Merged,2994,734,"1,127",,11
Dev,2017-10-30,Merged,2989,443,47,config nupkg dll xml ,29
Dev,2017-10-30,Merged,2988,326,163,json css ,11
master,2017-11-01,Closed,2987,1,1,,1
Beta,2017-10-29,Merged,2986,397,205,,13
revise unknown audio stream handling,2017-10-29,Merged,2985,99,52,js html css ,9
Dev,2017-10-28,Merged,2982,254,76,js ,6
Dev,2017-10-27,Merged,2979,52,85,dll ,14
master,2017-10-24,Closed,2975,4,0,,1
Beta,2017-10-24,Merged,2974,"8,896","20,653",,6
reset PrePaddingSeconds on recording retry,2017-10-24,Merged,2973,1,0,dll ,5
Dev,2017-10-23,Merged,2972,283,199,,5
Dev,2017-10-23,Merged,2971,85,28,,7
Dev,2017-10-22,Merged,2970,58,3,,13
Dev,2017-10-22,Merged,2969,2,2,,2
Dev,2017-10-22,Merged,2968,167,88,,17
Dev,2017-10-21,Merged,2966,938,274,csproj json ,7
Dev,2017-10-20,Merged,2965,883,"5,308",,6
Dev,2017-10-19,Merged,2963,254,"4,580",json ,7
