Conscistent font-weight on object name,2020-01-12,Merged,1366,1,1,,1
Improve Overall JSDoc and GDJS typing,2020-01-12,Merged,1361,685,200,,3
"Refactor upload, removing dependency on AWS S3",2020-01-10,Merged,1359,"3,403","2,706",json ,3
Fix helpPagePath layer effects,2020-01-06,Merged,1352,1,1,,1
Option (and actions) to adapt game resolution at runtime,2020-01-02,Merged,1348,908,414,h js ,8
Pixi-filters pt2,2019-12-29,Merged,1341,515,14,,5
Bump handlebars from 4.1.2 to 4.5.3 in /newIDE/app,2019-12-26,Closed,1335,34,19,lock ,2
Refactor/sentences,2019-12-27,Merged,1334,"1,457","1,658",,1
Littles fix & improvement,2019-12-23,Merged,1330,123,56,,6
Add effect,2019-12-26,Merged,1329,343,2,png ,11
Add update for effects + colors and resources for effect parameters,2019-12-21,Merged,1327,597,167,h js ,12
add pixi filters WIP,2019-12-26,Merged,1325,490,0,,5
Fix installation of Emscripten SDK,2019-12-16,Merged,1322,5,6,md ,2
Add support for adding effects in extensions,2019-12-17,Merged,1321,"1,132",465,cpp h ,7
Rename objects to instances,2019-12-15,Merged,1320,4,4,js ,2
Fix description shape painter,2019-12-10,Merged,1315,1,1,,1
Fix pixel perfect on Panel Sprite 9-patch,2019-12-12,Merged,1314,454,272,,0
Fix outline color for lineV2,2019-12-05,Merged,1313,1,1,,1
New textEditorDialog,2019-12-10,Merged,1310,274,1,,3
CommentEvent change style,2019-12-10,Merged,1309,82,53,css ,5
Add reset button on resourceSelector,2019-12-05,Merged,1308,62,30,,2
GDJS/Extensions changes watcher for the IDE,2019-12-02,Merged,1307,349,50,js ,22
Improve comment,2019-12-04,Closed,1306,478,187,css ,2
add reactjs debug tools,2019-12-08,Merged,1305,63,5,js gitignore zip ,7
Fix/points after animation or frame change,2019-11-29,Merged,1302,"1,992",12,,1
Fix menu loading,2019-11-28,Merged,1301,2,0,,1
"Remember debuger state, so we dont have to open it every time",2019-11-25,Merged,1296,9,0,,1
"Rework text field, some buttons and some layouts",2019-12-07,Merged,1293,"1,809","1,132",,1
update piskel version,2019-11-25,Merged,1289,5,1,md ,1
"Exports on the web-app, Google Drive and installable web-app",2019-11-14,Merged,1287,"6,432","2,922",cpp dist gitignore js ,7
Clamp in mathematical tool,2019-11-10,Merged,1283,81,52,js h ,7
Bump eslint-utils from 1.3.1 to 1.4.3 in /newIDE/app,2019-11-07,Closed,1275,79,33,lock ,2
Bump mixin-deep from 1.3.1 to 1.3.2 in /newIDE/app,2019-11-07,Closed,1274,3,3,,1
Bump lodash from 4.17.4 to 4.17.13 in /newIDE/app,2019-11-07,Closed,1273,74,40,lock ,3
Bump axios from 0.16.2 to 0.18.1 in /newIDE/app,2019-10-28,Merged,1272,123,39,,0
Bump lodash.template from 4.4.0 to 4.5.0 in /newIDE/app,2019-11-07,Closed,1271,9,9,,1
Bump lodash-es from 4.17.11 to 4.17.15 in /newIDE/app,2019-11-07,Closed,1270,3,3,,1
Keep selection when panning & fix various details,2019-10-29,Merged,1269,8,6,js png ,6
Detail what type of variable in description,2019-10-26,Merged,1268,23,23,js ,7
"Add ""Scene just resumed"" condition (next try)",2019-10-21,Merged,1262,34,0,js ,4
"Add a ""Scene just resumed"" condition",2019-10-21,Closed,1261,55,60,,1
Avoid open non-GD5 files,2019-10-23,Merged,1260,40,1,,2
Comment and Group are added on top of selection,2019-10-22,Merged,1259,11,1,,1
More advanced shapes,2019-10-25,Merged,1258,365,53,js png ,16
Google Drive storage for loading/saving projects on web-app,2019-10-19,Merged,1257,"2,679",791,js ,6
Add new shapes on Shape Painter,2019-10-19,Merged,1256,177,9,js png ,10
Extract events into new group,2019-10-13,Merged,1254,39,0,,1
Various adaptations for smaller screens,2019-10-07,Merged,1251,"1,246",484,,2
Use center point as flip center,2019-10-26,Merged,1249,"1,923",450,,8
BBText object,2019-12-09,Merged,1247,"2,271",82,md ,3
Drag'n'drop updates and various touch/small screens improvements,2019-10-03,Merged,1245,"6,663","5,807",inl idl ,5
Add helpPagePath Video object,2019-10-01,Merged,1244,13,6,cpp md ,4
Embed yarn editor,2019-09-26,Merged,1236,"9,042",177,,1
Add contition to check for WebGL on target device,2019-09-22,Merged,1230,44,1,js ,5
Upgrade to material-ui v4,2019-09-17,Merged,1226,"6,533","13,632",,2
Add automatic update of events/groups when renaming/deleting a group,2019-09-11,Merged,1225,718,273,h ,3
improve and fix isEnded for Video object,2019-09-08,Merged,1223,1,1,,1
Disable _invalidTexture assignment,2019-10-19,Closed,1220,1,1,,1
Fix video object for exports,2019-08-29,Merged,1216,8,5,,1
Improve context menu in manager,2019-08-23,Merged,1208,59,0,,1
Add continuous deployment to a AWS S3 bucket,2019-08-23,Merged,1207,39,2,md ,1
Add more layer effects,2019-08-27,Merged,1206,288,8,js ,6
add objecttools argument types,2019-08-21,Merged,1205,22,11,,1
Improve context menu in project manager,2019-08-23,Closed,1204,58,0,,1
Avoid empty and special name in project manager,2019-08-21,Merged,1203,28,0,,1
Update material-ui imports,2019-09-03,Closed,1201,"2,047","1,098",,12
Fix grammar,2019-08-16,Merged,1193,5,5,,0
Add editor for adding effects to layers,2019-08-14,Merged,1190,662,118,js ,6
Fix onclick on new button add sprite,2019-08-13,Merged,1188,1,1,,1
Various improvements,2019-08-13,Merged,1187,367,150,h idl js ,15
Embed yarn editor in GD,2019-09-24,Merged,1185,"9,854",177,,1
Fix typo,2019-08-04,Merged,1184,1,1,,0
Fix #1147,2019-08-04,Merged,1183,180,36,,1
Add hardcoded miterLimit=3 to remove spikes from text outlines,2019-08-04,Merged,1180,3,0,,1
Fix web online export,2019-08-03,Merged,1179,3,1,,1
add centerView button in IDE,2019-08-03,Merged,1178,15,0,,3
Fix improper landing on jumpthru when jumping from behind in PlatformerObject behavior,2019-07-28,Merged,1171,112,7,js ,3
"Fix ""onOwnerRemovedFromScene"" not always called and custom behaviors ""onCreated""",2019-07-28,Merged,1169,301,80,,23
Fix Travis CI tests (need to use xvfb),2019-07-28,Merged,1168,8,1,,1
Fix Travis CI builds,2019-07-27,Merged,1167,0,4,,1
Save as,2019-07-30,Merged,1162,133,44,,4
New action/condition editor (to be activated in preferences for now),2019-07-29,Merged,1160,"1,870",320,json ,8
Run Babel and Prettify on tweenruntimebehavior.js for backwards compatibility,2019-07-27,Merged,1151,97,86,,0
Run Babel on tweenruntimebehavior.js for backwards compatibility,2019-07-11,Closed,1150,42,0,idl txt js ,4
Add documentation link,2019-07-09,Merged,1146,2,2,,1
Allow copy/pasting of actions and conditions & add paste button on hover,2019-07-05,Merged,1144,344,104,,6
fix piskel gitignore not honored on linux,2019-07-04,Merged,1143,2,2,,1
Add icons in ObjectSelector,2019-07-04,Merged,1142,200,121,,9
[WIP] Integrate SkeletonObject into GD5,2019-09-19,Merged,1138,306,53,h js ,8
Add zoom to ImagePreview and fix Physics2 behavior vertices edition,2019-07-01,Merged,1136,336,197,,3
Add support for json resource,2019-06-30,Merged,1134,299,65,h js idl ,11
Lock base layer,2019-06-30,Merged,1133,1,1,,1
Add documentation links,2019-07-05,Merged,1131,25,9,,3
Add mouse wheel support,2019-07-02,Merged,1130,99,0,h js ,9
Add Global Groups in IDE,2019-06-28,Merged,1129,36,0,,2
Fix various CSS,2019-06-25,Merged,1124,33,1,js ,3
Update CommonConversionsExtension.cpp,2019-06-22,Merged,1122,1,1,,1
Upgrade a bunch of dependencies,2019-06-22,Merged,1119,"19,156","19,919",js ,2
Add links to documentation,2019-06-20,Merged,1118,4,4,,4
Add opacity/tint to Panelsprite,2019-06-24,Merged,1114,139,2,js ,4
Dialogue tree extension - WIP,2019-08-04,Merged,1112,"1,462",0,json png ,11
Add opacity/tint to Tiled Sprite,2019-06-15,Merged,1110,124,0,js ,4
Fixed broken images for Shopify,2019-06-15,Merged,1106,4,4,,1
Merge from upstream,2019-06-13,Closed,1103,0,0,,0
Add properties to custom behaviors,2019-06-16,Merged,1100,"2,378",826,cpp ,8
Textobject advanced features,2019-06-16,Merged,1096,"1,391",8,svg ,10
Add TextObject scale functions,2019-06-09,Merged,1092,288,26,js ,4
Improver parameter fields and add inline errors for some,2019-06-08,Merged,1091,881,727,h js ,11
add easier to remember command to update extensions,2019-06-27,Merged,1089,4,2,,2
Fix SerializerElement broken when using attributes with children,2019-06-06,Merged,1088,133,17,h ,4
Fixed a minor grammar mistake under License,2019-06-06,Closed,1086,1,1,,0
Fix typo in Readme,2019-06-05,Merged,1085,2,2,,0
Fix broken images for Sensors category in numerical expressions,2019-06-04,Merged,1083,20,10,js ,4
Update CircleCI configuration to build GDevelop.js too,2019-05-30,Merged,1071,31,9,,1
Fix for Node.js 10 and add builds of electron-app on CircleCI,2019-05-30,Merged,1070,429,"1,467",,1
Fix width images for patch note,2019-05-29,Merged,1069,8,0,,2
Copy/cut/paste Behavior (JS part),2019-05-28,Merged,1066,82,8,,1
Add support for adding tags to objects and filter by tags,2019-05-27,Merged,1065,511,41,h idl js ,7
Update JSExtension.js,2019-05-27,Merged,1063,1,1,,1
Make it easier to run electron,2019-05-21,Merged,1057,10,4,json ,2
Add warning for outside of project folder files,2019-05-22,Merged,1055,66,19,,7
Events based behaviors 🚀,2019-05-19,Merged,1049,"13,651","6,929",cpp h ,10
Add underscores to _PARAM1_ in FileSystem extension,2019-05-02,Merged,1046,2,2,,1
Fix performance issue in For Each generated code,2019-04-24,Merged,1037,147,67,h ,6
Integrate GDevelop.js (emscripten bindings of Core/Extensions to JS),2019-04-23,Merged,1035,"15,016",33,gitignore yml txt prettierrc cpp h ,7
Remove old IDE from GDevelop 5 codebase,2019-04-23,Merged,1034,88,"709,128",gitignore yml json entitlements sh ,8
Add support for saving projects as multiple files (Folder Project),2019-04-15,Merged,1026,763,52,,8
"Add ""Create instance from new object"" to the Instances editor context menu - visible when no instance selected",2019-04-22,Merged,1025,61,8,,2
Instances editor tooltips,2019-04-17,Merged,1023,44,1,,2
fix unzipper failing to extract external editor under windows - due to path not normalized,2019-04-10,Merged,1018,4,3,,1
Show resource name on thumbnail hover,2019-04-09,Merged,1017,1,0,,1
Autosave on run option,2019-04-14,Merged,1015,209,80,,5
Remove local pahts,2019-04-04,Merged,1006,3,3,,1
Update discord link channel,2019-04-02,Merged,1004,2,2,js ,1
Basic patch for #978,2019-04-02,Merged,1003,9,9,,1
Menu option to extract events into a function,2019-04-13,Merged,1002,"2,342",753,cpp h ,8
"Indicate when pasting object as global, indicate clipboard object's name in the paste command",2019-04-01,Merged,997,7,1,,1
Add filters conditions/actions in search bar for events,2019-04-01,Merged,996,37,21,,1
Add filters conditions/actions in search bar for events,2019-03-29,Closed,995,"2,329",466,cpp h js ,4
Fix corner case in context menu in the event sheet - #987 - disable command when not usable,2019-03-26,Merged,990,14,0,,1
Update to Pixi.js v4.8.6 (newIDE and GDJS game engine),2019-03-17,Merged,982,113,236,json ,23
[WIP] Tween extension - Reloaded,2019-04-03,Merged,980,"18,349",0,png js ,5
"Add button ""Open resources folder""",2019-03-10,Merged,968,17,0,,2
Button to open the events function editor from instruction editor,2019-03-07,Merged,960,354,133,,3
Allow both Center and Centre on expressions,2019-03-05,Merged,955,1,1,,1
Video extension,2019-04-17,Merged,951,"1,583",51,png ,4
Video extension,2019-03-02,Closed,948,"1,192",20,,1
Add support for resource field in PropertiesEditor,2019-02-23,Merged,943,268,114,,3
Update Howler to 2.11,2019-02-17,Merged,939,3,3,,0
Add variable/object thumbnail icons in the event sheet,2019-04-07,Merged,936,"23,014",804,png js ,5
[WIP] Video extension,2019-03-02,Closed,934,"2,206",455,cpp h js ,4
correct spelling,2019-02-05,Merged,926,3,3,,0
Use content size on preview window,2019-02-04,Merged,924,2,0,,1
Update runtimegame-pixi-renderer.js (fixing the mouse outside false click and arbitrary clicks),2019-02-04,Merged,923,0,7,,1
[WIP] Tween extension,2019-03-15,Closed,922,"45,904","2,140",h js ,9
Add confirmation save popup,2019-05-28,Closed,920,19,0,,2
Add support for translations in GDevelop 5 🌎,2019-02-16,Merged,919,"33,363","38,498",cpp h ,5
Update ColorPicker.js,2019-02-03,Merged,917,116,115,,1
Fix for issue #913,2019-02-03,Merged,916,69,32,css ,4
Colorpicker,2019-02-01,Closed,915,25,1,css ,3
"Skinning (basicly) the ""Link"" event for the DefaultTheme and the Darktheme",2019-02-01,Closed,914,23,0,,2
Add 'StringList' as new parameter type for extensions,2019-02-08,Merged,911,92,0,,2
"Show object variables in instance variables, make variables easier to get to and understand",2019-02-19,Merged,908,796,436,cpp js linguirc json ,13
Warn user when renaming resource,2019-01-23,Merged,899,6,0,,1
Fix issues noted in #895 - locate resource command breaking after a resource has been renamed,2019-01-22,Merged,898,3,3,,1
Display changelog when launching a new version for first time,2019-01-20,Merged,894,813,29,js ,8
Remember grid settings of layouts in Ide- when saving a project,2019-01-23,Merged,892,47,2,,4
Add WarningBox when renaming in Project Manager,2019-01-19,Merged,888,21,0,,1
Disable updater prompt by passing --disable-update-check in cmd,2019-01-19,Merged,887,17,7,,5
Add load/save functionality to the FileSystem extension,2019-01-24,Merged,884,"1,474",316,png ,4
Fix initial motors speed,2019-01-14,Merged,872,5,5,,1
Fix wheel joint definition text,2019-01-13,Merged,871,1,1,,1
Fix _PARAM0_ for FB instant game,2019-01-13,Merged,869,1,1,,1
Hide/mark old physics engine as retired,2019-01-11,Merged,865,233,63,js ,10
Add Body expressions to Physics2,2019-01-09,Merged,854,80,2,,1
Use AABB to check if cursor is on object,2019-01-06,Merged,852,7,4,,1
Prevent repeated and aligned vertices,2019-01-06,Merged,850,53,10,,2
Fix missing Physics2Behaviour Functions,2019-01-06,Merged,848,52,0,,1
Prevent undefined vertices on physics,2019-01-05,Merged,845,29,15,,1
Use constants to represents button in the game engine,2019-01-03,Merged,842,53,30,,6
Fix Middle click mouse,2019-01-03,Merged,841,4,2,,2
Fix initial opacity undefined on Text object,2019-01-03,Merged,840,1,0,,1
Add example for screenshot extension,2018-12-30,Merged,835,548,8,png wav ,7
Brighten up icons to better fit the dark theme,2018-12-30,Merged,834,8,8,png ,4
Screenshot extension:  Brighten up the icon colour,2018-12-30,Closed,833,334,3,png js ,8
[WIP] Add support for creating objects in JS extensions + example,2019-01-05,Merged,832,550,84,,3
Add dismissable alerts to warn/help the user,2018-12-27,Merged,831,239,47,,8
Add GetAngle/Get(X|Y)Velocity to top-down behavior,2018-12-27,Merged,830,843,"1,280",h js ,5
[WIP] Filesystem extension - special folders,2018-12-29,Merged,828,"1,057",0,png ,8
Fix platform engine 1-pixel offset bug,2018-12-26,Merged,827,"1,805",118,h ,3
Autoclose project manager,2018-12-26,Merged,826,7,1,,1
[WIP] Physics behavior editor,2019-01-05,Merged,825,"1,112",96,,4
Fix LShift key code,2018-12-24,Merged,823,1,1,,1
Resource manager choose file button,2018-12-26,Merged,822,162,106,,7
Fix JSON array parser separators,2018-12-23,Merged,819,1,1,,1
add colour hint to resources with missing files,2018-12-22,Merged,818,37,2,,5
Don't load ads if already loading/showing,2018-12-19,Merged,817,262,241,,0
"Animation preview - add fps input  to set animation playback speed, automatically convert to frame duration and back",2018-12-20,Merged,814,32,8,,2
add command to remove all missing resources - resourceManager issue #810,2018-12-17,Merged,812,70,15,,2
Add changeTimeBetweenFrames to animationPreview module - issue #809,2018-12-18,Merged,811,61,21,,2
Add actions to set sprite size in pixels,2018-12-17,Merged,808,34,0,,2
Screenshot extension,2018-12-27,Merged,806,334,3,png js ,8
PrettierCI master Sync,2018-12-15,Closed,802,"290,979","60,024",yml json ,2
fix issue #792,2018-12-11,Merged,795,13,9,js ,2
Don't update frame when time between frames is 0,2018-12-12,Closed,794,1,1,,1
