Update FR translation,2019-12-24,Merged,1100,6,6,,4
Bump excon from 0.65.0 to 0.71.0,2019-12-22,Closed,1097,1,1,,1
Bump rubyzip from 1.2.3 to 1.3.0,2019-12-22,Closed,1091,10,9,resolved lock plist swift ,5
Bump nokogiri from 1.10.3 to 1.10.4,2019-12-22,Merged,1090,1,1,,1
Improve translation for pt-BR language,2019-12-22,Closed,1089,9,9,,2
Fix secret helper,2019-11-17,Closed,1085,102,30,,3
Fix Pressure Plate(#1080),2019-09-04,Merged,1082,7,0,,1
Fix cards tracking for Spirit of the Dead,2019-09-04,Merged,1081,19,1,,3
Add support for tracking Uldum cards,2019-08-20,Merged,1076,19,1,,4
Update secret tests for Uldum,2019-08-07,Merged,1074,6,3,,1
Fix secret handling when minion dies,2019-07-14,Merged,1070,163,34,,7
"Fix secret helper causing lag(#972, #994)",2019-07-08,Merged,1069,18,13,,2
Rewrite secret tests,2019-07-01,Merged,1067,221,35,,1
Fix secret helper(#1065),2019-06-30,Merged,1066,10,7,,1
Fix Augmented Elekk bomb tracking(#1050),2019-06-30,Merged,1064,28,9,,4
trying to fix a crash,2019-04-12,Merged,1048,1,1,,1
Fix replay url domain,2019-03-15,Merged,1040,1,1,,1
remove hardcoded path,2019-03-09,Merged,1039,10,6,pbxproj plist ,3
update nokogiri as 1.8.4 had a security issue (https://nvd.nist.gov/v…,2019-03-11,Merged,1038,1,1,,1
copy kingfisher.framework in tests as well,2019-03-08,Merged,1037,3,1,plist ,2
bump version,2019-03-08,Merged,1036,5,13,pbxproj plist ,3
Bug Fix: Hero Cards gem not display,2019-03-03,Merged,1035,2,2,,1
Optimize the Chinese font displaying,2019-03-03,Merged,1034,17,7,ttf ,4
Optimize the Chinese (zh-Hans) translations,2019-03-03,Merged,1033,166,124,,9
put back support for card hover,2019-03-03,Merged,1031,76,72,Cartfile resolved pbxproj swift ,8
unbreak tests,2019-02-24,Merged,1030,1,1,,1
Upped xcode version in .travis.yml to 10.1,2019-02-24,Merged,1029,2,2,swift ,2
revert to using the mirror to get the opponent name,2019-02-24,Merged,1028,3,2,,2
Whizbang,2019-02-17,Merged,1026,86,13,resolved swift plist ,7
Make FloatingCard text readable for OSX dark mode,2019-01-02,Merged,1021,4,4,,1
Replace GRDB with FMDB,2018-10-23,Merged,1007,54,47,resolved pbxproj swift ,4
Implement collection uploading,2018-08-19,Merged,991,490,193,swift ,3
Try to fix up CI,2018-07-22,Merged,987,31,122,Cartfile resolved Dangerfile Gemfile lock pbxproj ,7
Implement OAuth login flow,2018-07-22,Merged,985,117,25,resolved pbxproj swift ,5
Update swiftlint deprecated rules,2018-05-25,Merged,970,1,1,,1
Use correct fastlane lane for CI,2018-05-12,Merged,969,1,1,,1
Fix Danger check for Info.plist,2018-05-12,Merged,968,2,2,,1
Adopt Swift 4.1 changes,2018-05-13,Merged,967,17,53,swift ,7
Update cardTier.json,2018-05-17,Closed,966,"6,089","10,994",,0
Add instruction for getting latest card data,2018-04-15,Merged,959,2,0,,0
Fix up cardClass parsing,2018-03-29,Merged,952,17,18,Dangerfile lock pbxproj swift fastlane/Scanfile ,7
[WIP] Create fastlane lane for CI,2018-03-28,Merged,951,204,7,yml lock fastlane/Fastfile ,4
Readme fixups,2018-02-16,Merged,929,99,127,pbxproj LICENSE Licenses/opencv markdown fastlane/Fastfile rb ,6
Remove web importers,2018-01-23,Merged,923,30,"1,225",swift ,7
more complete translation to zh-TW,2018-01-23,Closed,921,205,"64,802",resolved Dangerfile strings Gemfile ,9
Localizable strings added.,2018-01-13,Merged,920,893,0,strings ,7
General fixes,2018-01-05,Merged,918,405,255,swift ,3
Fixed secrettracker not disappearing properly,2018-01-05,Merged,917,3,17,,1
Improve translation for pt-BR language,2017-11-23,Merged,899,22,22,,1
"Check for ""*"" instead of ""^""",2017-10-31,Merged,890,1,1,,1
Typo,2017-08-12,Merged,865,1,1,,1
Update NewDeck.strings,2017-06-02,Merged,860,4,4,,1
Update TrackersPreferences.strings,2017-06-02,Merged,859,9,9,,1
Update PlayerTrackersPreferences.strings,2017-06-02,Merged,858,1,1,,1
Update OpponentTrackersPreferences.strings,2017-06-02,Merged,857,1,1,,1
Update GeneralPreferences.strings,2017-06-02,Merged,856,3,3,,1
Update Localizable.strings,2017-06-02,Merged,855,4,4,,1
PR to test Danger,2017-05-17,Closed,844,0,4,,1
"Bug Fix: In deck builder, legendaries are darkened after adding one copy to a non-arena deck",2017-05-01,Merged,817,1,1,,1
Improved translations for german language,2017-04-25,Closed,814,25,22,resolved pbxproj plist strings ,5
zh-hans translation,2017-04-17,Merged,802,171,171,,11
Fix #799: Exporting Issue with Golden cards,2017-04-12,Merged,800,1,1,,1
Memory leak fix,2017-04-11,Closed,796,"16,707","11,968",Cartfile resolved pbxproj xcscheme ,5
Adding Hero power to dmg counter,2017-05-02,Closed,776,78,8,pbxproj plist swift ,6
Fixing lint errors,2017-03-15,Merged,775,24,15,,4
Add Korean translation.,2017-02-23,Merged,754,"1,028",1,strings ,8
Reworked deck versioning system,2017-02-05,Merged,745,108,89,xib ,6
[FIX] Copy gameMode and opponentHero to fix stats.,2017-01-28,Merged,744,2,0,,1
[FIX] Removed default all rows highlight.,2017-01-28,Merged,743,1,1,,1
Fix hearthstonetopdecks.com importer,2017-01-21,Merged,738,2,2,,1
Fixed random tracking problem,2017-01-16,Merged,735,113,15,h swift m ,7
Translations & Grammar,2017-01-05,Merged,729,19,19,,5
Move the secret tracker so slightly. Picture attached,2017-01-05,Merged,727,1,1,,1
secrets tracer malfunction #694,2017-05-01,Closed,726,1,1,,1
Are you sure you want to close dialogue only has one button #683,2017-01-02,Merged,725,10,3,,1
Decks menu displays deleted decks and selecting it crashes HSTracker …,2017-01-02,Merged,724,2,0,,1
Remove dependency on current deck for uploading replays to HSReplay.net,2016-12-18,Merged,717,26,34,,1
Feature/simpler new deck class chooser,2016-12-18,Merged,716,78,109,pbxproj plist xib ,4
Swiftlint fixes,2016-12-10,Merged,708,58,110,swift ,16
Update licenses,2016-12-07,Merged,702,7,14,Licenses/opencv ,1
Topdeck chance,2016-11-23,Closed,682,171,17,swift plist xib ,12
Translations,2016-11-22,Merged,681,41,41,,11
Deckmanager bugfixes,2016-11-20,Merged,677,9,5,,2
Deckmanager pimp,2016-11-09,Merged,667,331,59,h xib swift ,6
Tracker health badge,2016-10-23,Merged,651,255,6,pbxproj swift json png ,17
Update TrackersPreferences.strings,2016-10-13,Closed,641,2,2,,1
Translations & Grammar,2016-10-13,Closed,640,29,29,,9
Tracker disable bug fix,2016-10-12,Merged,637,15,5,,2
Deck exporter fix,2016-10-01,Closed,623,53,5,,3
Deck exporter fix,2016-09-28,Closed,622,384,21,swift png xib ,8
Added graveyard,2016-09-26,Merged,621,331,16,swift png xib ,6
Update UpdatePreferences.strings,2016-09-26,Merged,620,4,4,,1
Update DeckManager.strings,2016-09-26,Merged,619,2,2,,1
Update MainMenu.strings,2016-09-26,Merged,618,2,2,,1
Update Localizable.strings,2016-09-26,Merged,617,6,6,,1
Update HSReplayPreferences.strings,2016-09-26,Merged,616,3,3,,1
Fullscreen overlay,2016-09-22,Merged,613,113,26,xib ,12
Dock menu for selecting deck,2016-09-21,Merged,610,41,17,,2
Fixed deckimporter testcases,2016-09-21,Merged,607,97,60,,2
Heartharena deck importer fix,2016-09-17,Merged,605,1,1,,1
Translations,2016-09-06,Merged,592,7,7,,3
"Add translations and update ""Mech"" translation for PT-BR",2016-09-06,Merged,591,5,5,,1
hearthstonetopdeck.com deck importer,2016-08-30,Merged,587,113,3,strings swift ,12
Update Localizable.strings,2016-08-07,Merged,574,19,18,,1
Update MainMenu.strings,2016-08-07,Merged,573,1,1,,1
Update Statistics.strings,2016-08-07,Merged,572,1,1,,1
Update LadderTab.strings,2016-08-07,Merged,571,7,7,,1
Update TrackersPreferences.strings,2016-08-07,Merged,570,1,1,,1
Update PlayerTrackersPreferences.strings,2016-08-07,Merged,569,1,1,,1
Update OpponentTrackersPreferences.strings,2016-08-07,Merged,568,1,2,,1
Update TrackOBotLogin.strings,2016-08-07,Merged,567,2,2,,1
Update GeneralPreferences.strings,2016-08-07,Merged,566,2,2,,1
Update Localizable.strings,2016-08-07,Closed,565,13,13,,1
updates pt-BR translation,2016-07-08,Merged,547,63,63,,11
updates pt-BR translation,2016-07-07,Merged,546,279,279,,6
Translations,2016-07-01,Merged,544,46,46,,8
Fixed the nib crash on 10.10,2016-06-29,Merged,540,2,2,,1
Better ladder data,2016-06-28,Merged,539,0,0,,1
Fix rank detection crash?,2016-06-28,Merged,538,123,54,cpp hpp mm ,5
Fix stats race condition,2016-06-28,Merged,537,40,21,swift ,5
Ladder climb prediction tab,2016-06-27,Merged,535,"1,646",370,pbxproj strings db swift ,6
Cleanup stats,2016-06-25,Merged,533,220,88,swift ,5
Update Localizable.strings,2016-07-07,Closed,531,66,66,,1
Import your arena deck,2016-06-22,Merged,527,130,2,swift strings ,12
Three improvements to rank detection,2016-06-21,Merged,524,25,10,swift cpp hpp ,6
Fixed code signing bug caused by opencv submodule,2016-06-21,Closed,523,2,0,,1
Check if images are corrupt on launch and redownload,2016-06-20,Merged,521,3,1,,1
"""Failed to load"" image when cards fail to load",2016-06-20,Merged,520,37,1,png swift ,3
Stats table confidence interval column,2016-06-20,Closed,519,269,43,swift ,2
Stats table sorts when headers are clicked,2016-06-20,Merged,517,55,22,,2
OpenCV-based rank detection,2016-06-20,Closed,516,"151,887",0,png json ,42
Update Localizable.strings,2016-06-15,Closed,509,15,15,,1
Update Statistics.strings,2016-06-15,Closed,508,5,5,,1
Update NewDeck.strings,2016-06-15,Closed,507,1,1,,1
Update DeckManager.strings,2016-06-15,Closed,506,6,6,,1
Update TrackersPreferences.strings,2016-06-15,Closed,505,3,3,,1
Update PlayerTrackersPreferences.strings,2016-06-15,Closed,504,6,6,,1
Update OpponentTrackersPreferences.strings,2016-06-15,Closed,503,3,3,,1
Update GeneralPreferences.strings,2016-06-15,Closed,502,1,1,,1
Fixes 498,2016-06-14,Merged,499,1,1,,1
Fix for bug 313,2016-06-21,Closed,497,8,0,,1
Use boarddamage's hearthstoneActive call,2016-06-13,Merged,496,1,1,,1
