fix typo in readme file,2019-12-20,Merged,1588,1,1,,0
Added null checks for expired failed jobs,2019-12-20,Merged,1585,130,75,,1
Add MapHangfireDashboard for ASP.NET Core endpoint routing,2019-12-03,Merged,1577,56,5,csproj ,4
add netcoreapp3.0 target for .Net Core 3 compatibility,2019-12-03,Merged,1575,16,3,cs ,2
Correct spelling of 'prerequisites',2019-10-31,Merged,1555,2,2,,0
Add HTML tags on Dashboard title,2019-10-21,Merged,1545,1,1,,1
Recurring Jobs page added start and stop button,2019-10-16,Closed,1537,508,192,cs resx cshtml ,5
Use schema from constant in tests,2019-10-10,Merged,1532,256,256,,2
Permit dashes in SchemaName,2019-10-10,Merged,1531,3,3,,1
Add GetInstallScript method,2019-10-10,Merged,1527,9,2,,1
minor changes in readme.md,2019-10-10,Merged,1526,1,1,,0
Supplementary Chinese Translation,2019-10-10,Merged,1523,14,30,,1
I found that the most resource hogger for our sql server is the sp_getapplock.,2019-09-11,Closed,1505,4,1,,2
_options.NonBlockingFetchSql added,2019-09-10,Closed,1504,2,2,,1
Return the BackgroundJobId when triggering a RecurringJob,2019-11-04,Closed,1489,6,3,,2
Enable Net461 for Hangfire.AspNetCore,2019-08-09,Merged,1488,21,7,ps1 cs csproj ,5
Expiration Time is Hardcode,2019-09-21,Closed,1486,7,5,,2
IsJobStateChanged Cancellation Fix,2019-08-07,Closed,1484,5,3,,1
Add support for dashes `-` in queue names,2019-07-22,Merged,1469,2,2,,1
dashboard localization support in pt-BR,2019-05-31,Merged,1443,520,0,,0
Added Cron.Never(),2019-05-23,Merged,1432,17,0,,2
Added Cron.Never(),2019-05-10,Closed,1431,17,0,,2
"Added Dutch language, and updated missing translation on server page",2019-05-11,Merged,1429,653,35,,1
fix minor bug in DefaultInstall.sql,2019-05-23,Merged,1424,2,2,,2
Fix Obsolete UseSerializationSettings comment,2019-04-10,Merged,1398,1,1,,1
Add verification to job expiration check interval,2019-03-26,Merged,1377,13,1,,1
Fix for catching DistributedLockTimeoutException based on resource name.,2019-03-13,Merged,1370,2,2,,2
Use serilog SourceContext naming convention,2019-02-25,Merged,1360,1,1,,1
Split serializing to internal and user scopes to isolate them,2019-02-26,Merged,1358,877,164,cshtml ,10
Implement IsBatchingAvailable check as a simple property,2019-02-21,Closed,1354,6,38,,4
Fix IsBatchingAvailable() check,2019-02-18,Closed,1353,41,21,,2
Fail Appveyor build when unit tests fail,2019-01-29,Closed,1338,2,1,cs ,2
Adding a check to prevent double-commit of the SqlServerTransactionJob instance.,2019-01-28,Closed,1335,56,11,,3
Optimize implementation of recurring jobs,2019-01-30,Merged,1334,854,349,,3
System.OutOfMemoryException at System.Type.GetType,2019-07-16,Closed,1332,1,1,,1
Batch support for AddToQueue method when default queue provider is used,2019-01-30,Merged,1331,42,8,,2
Optimize implementation of the DelayedJobScheduler class,2019-01-30,Merged,1330,96,29,,2
Fix to ensure Form values are properly returned,2019-01-17,Merged,1329,23,56,csproj ,3
Add connection factory overload for SqlServerStorage,2019-01-15,Merged,1325,77,2,,3
Support non assembly qualified name,2019-01-03,Closed,1319,15,1,,1
Replace Rickshaw with Chart.js,2019-01-30,Merged,1315,107,168,css js ,3
Migrate to the new project format,2018-12-05,Merged,1309,332,"3,187",yml sln txt json nuspec ,9
Provide MaxArgumentToRenderSize in Dashboard options,2019-01-17,Closed,1302,7,6,cshtml ,4
Allow `Type` to be passed down.,2018-10-04,Closed,1274,120,65,,1
Adding GetFirstByLowestScoreFromSet overload,2019-01-15,Merged,1251,96,8,,4
"Add Result property to StateData, fixes #1245",2018-08-09,Closed,1246,59,1,csproj ,3
Fix for #861 Dashboard background polling does not handle 401 responses,2019-07-18,Merged,1242,185,46,cshtml cs ,5
Allow modification of the dashboard title,2019-10-18,Merged,1231,27,2,cs csproj ,4
Update SqlServerObjectsInstaller.cs,2018-07-31,Merged,1230,0,24,,1
Replace wall clocks with monotonic ones when calculating local timeouts,2018-07-31,Merged,1226,7,5,,2
Change all static logger fields to be instance-based,2018-07-31,Merged,1225,57,59,,11
Fix `_currentLogProvider` field access to use volatile reads/writes,2018-07-31,Merged,1224,3,2,,1
Avoid resolving types and methods for logging in static ctors,2018-07-31,Merged,1223,53,48,,1
Update SqlServerObjectsInstaller.cs,2018-07-13,Merged,1222,2,1,,1
Fix error message typo - missing 't',2018-06-27,Merged,1210,1,1,,1
Avoid using the CancellationToken.WaitHandle property,2018-07-05,Merged,1209,203,61,ps1 cs csproj ,13
changed Less details to Fewer details,2018-06-25,Merged,1207,2,2,resx ,2
Prevent recurring jobs dashboard from throwing null exception.,2018-06-11,Merged,1203,26,5,,2
Move state change retries to the Worker class,2018-05-31,Merged,1193,196,107,,3
enable fast scheduler wakeup,2018-06-11,Closed,1158,14,6,,3
Release 1.6.18,2018-04-03,Merged,1156,57,2,nuspec cs ,6
Adding ability for a job to throw a Non-Retryable exception type,2019-11-21,Closed,1155,31,3,,1
Use reflection to get display name of a job,2018-04-03,Merged,1154,38,10,,1
Don't render arguments whose size is too big in dashboard,2018-04-03,Merged,1153,10,1,,1
Provide IntValue for all metrics,2018-03-30,Merged,1152,22,19,,3
Fix compatibility with Newtonsoft.Json 11 / netstandard2.0,2018-09-01,Merged,1151,152,11,csproj ,8
Let's try Pull Request #755 again...,2018-03-29,Closed,1150,"3,431",692,cs csproj ,10
Stop using app locks in transaction to prevent deadlocks,2018-08-01,Merged,1144,97,76,,1
Use custom lock in SqlConnection.SetRangeInHash to prevent deadlocks,2018-04-03,Merged,1139,22,3,,2
change log4net method,2018-03-07,Merged,1134,2,2,,1
"Add ""Remove"" method to RecurringJobManager",2018-03-05,Closed,1128,"2,561",700,yml nuspec cs css ,14
"Resolves #635 by adding a custom ""DashboardInfo"" attribute.",2018-03-07,Closed,1121,"2,539",700,md yml nuspec cs css ,14
Added server announcement to Heartbeat if the server is found not present,2018-03-07,Closed,1117,"2,520",706,yml nuspec cs css ,13
Add transactional memory abstractions,2019-02-20,Closed,1116,431,0,cs ,9
Add AddHangfire method overload to allow resolve connection string fr…,2019-02-21,Closed,1114,"2,524",724,yml nuspec cs css ,14
Add Dashboard UI Resource zh-TW,2018-03-08,Merged,1105,"2,987",700,yml nuspec cs css ,13
fix for log4net for dotnet standard,2018-03-07,Closed,1096,"2,474",701,yml nuspec cs css ,13
Fixing issue 1092 - arguments values are duplicated in SQL Server Job table,2018-03-07,Closed,1093,"2,473",701,yml nuspec cs css ,13
Update README.md to mention Razor Generator,2018-01-12,Merged,1087,3,0,,0
Deprecate `Cron.XXXInterval` methods,2018-03-10,Merged,1084,4,0,,1
Fix nuspec pointing to version of Newtonsoft.Json that does not exist,2017-12-25,Merged,1083,1,1,,1
Add common model for sync and async processing,2018-03-01,Merged,1082,"2,521",816,csproj ,5
Add on option to remove the storage connection string from the footer…,2018-01-12,Merged,1079,38,14,cs ,4
Testprojects warnings,2018-03-10,Merged,1058,"2,457",727,yml nuspec cs css ,12
Added extra quotes around assembly path,2018-03-07,Merged,1057,"2,425",687,yml nuspec ps1 cs css ,13
Added an extension method that returns a normalized method name,2018-03-10,Merged,1056,"2,507",686,yml nuspec cs css ,14
Add details to Build instructions,2018-03-10,Merged,1055,6,0,,0
[WIP] Implemented Manual Job (With tests),2017-11-01,Closed,1036,"1,791",466,,2
Prevent connection string from blowing mobile page layout,2017-11-08,Merged,1030,1,0,,1
Fix server start time tooltip position,2017-11-08,Merged,1029,3,13,cs ,2
Update rickshaw css to match js,2017-11-08,Merged,1018,1,1,,1
Fix number of recurring jobs per page,2017-09-23,Merged,1006,2,2,cs ,2
Add JobActivator.BeginScope with the full PerformContext,2017-11-08,Merged,995,7,2,,2
Add JobDisplayNameAttribute,2018-03-02,Merged,993,84,1,csproj ,4
Cancel the CancellationToken when the job is deleted from dashboard,2019-02-15,Merged,976,336,31,,10
Support async jobs returning ValueTask<T>,2018-03-02,Merged,974,66,14,json ,4
Adjusting deserialization of datetime to use RoundTripKind,2017-08-31,Merged,971,207,26,,2
Update Cron.cs,2017-08-18,Closed,956,18,0,,2
Added an overloaded AddHangfire method,2019-02-21,Closed,954,57,25,,1
more complete fix for issue #871 -,2017-09-02,Merged,948,41,8,,1
Add optional date bounds to recurring job,2018-03-08,Closed,939,"1,034",138,yml nuspec cs resx ,11
Read only view for dashboard,2017-07-10,Merged,934,"2,129","1,053",md cs cshtml ,5
Enable custom lock resources via DisableConcurrentExecutionAttribute,2017-07-10,Closed,933,12,2,,1
Support custom delays for automatic retries,2017-07-11,Merged,931,249,14,,2
Permissions for dashboard actions,2017-07-09,Closed,920,"2,190","1,080",md cs cshtml ,8
"Don't leak connection, when distributed lock can't be acquired",2017-06-07,Merged,914,9,1,,1
JobStorage has a prop to define job expiration timeout,2017-08-31,Merged,913,66,2,,5
JobStorage has a prop to define job expiration timeout,2017-06-05,Closed,912,41,7,,4
"Add callback method, to allow to open the database with an impersonat…",2017-06-07,Merged,907,11,4,,2
Change `AutomaticRetryAttribute` filter Order to 20,2017-06-07,Merged,903,1,0,,1
Change the order of the AutomaticRetryAttribute filter,2017-05-26,Closed,901,1,0,,1
Change order of the QueueAttribute state filter,2017-06-07,Merged,900,2,0,,1
Add migration for Hangfire.SqlServer 1.7.0,2018-03-01,Merged,898,"1,013",130,sql ,4
Reduce serialization size,2017-07-24,Merged,891,300,21,,11
AspNetCoreJobActivatorScope Resolve using ActivatorUtilities.GetServiceOrCreateInstance,2017-05-29,Merged,887,1,1,,1
Change calculation for AutomaticRetryAttribute.cs SecondsToDelay,2017-07-10,Closed,869,2,3,,1
fixed translation mistake HomePage_Title 式表盘 to 仪表盘,2017-05-29,Merged,868,2,2,,1
Dnx,2017-05-29,Closed,858,"9,355",958,csproj cs ,4
Use Cronos instead of NCrontab,2017-05-29,Merged,853,100,"1,699",ps1 txt cs ,3
Update lib log and keep structure in existing log messages,2017-07-11,Closed,850,"2,699","1,623",,2
Add Async Overloads of Jobs Creation's Methods,2017-03-17,Closed,837,211,122,nuspec cs js cshtml ,13
Move creating job scope from CoreBackgroundJobPerformer to Worker,2018-03-07,Closed,834,61,53,,6
Fix number of displayed Records in RecurringJobsPage,2017-03-13,Merged,832,1,1,,1
"Replace inline script, because it may violate the Content Security Policy",2017-03-13,Merged,831,18,28,cshtml cs ,3
Update LayoutPage.cshtml,2017-07-07,Closed,803,0,1,,1
Ncrontab advanced,2017-04-29,Closed,801,869,"1,525",txt cs ,2
Fix issue with configuration block not called on .NET Core + reuse services,2018-03-12,Merged,800,146,59,,7
Fix broken links in Readme file.,2017-05-29,Merged,792,3,3,,0
Catch DistributedLockTimeoutException in some background processes.,2017-09-02,Closed,789,119,25,,6
Catch DistributedLockTimeoutException in some background processes.,2017-01-10,Closed,788,114,44,,5
Catch DistributedLockTimeoutException in some background processes.,2017-01-10,Closed,787,114,44,,5
Updated readme,2017-01-09,Closed,786,2,0,,0
Run tests inside Mono environment again.,2017-05-29,Merged,777,25,43,yml ,2
Adding Job Skip functionality as one way to handle the concurrent job,2016-12-26,Closed,772,"1,564",39,cs resx cshtml ,11
Modify identity columns type to bigint in all tables.,2017-05-23,Closed,769,843,39,sql ,4
Fix Scheduled column title,2016-12-21,Merged,765,12,4,cs ,2
"Issue #762: Adding setup/teardown methods to background processes, co…",2016-12-21,Closed,763,156,14,,12
Use local time on Dashboard,2016-12-21,Closed,761,36,8,cs resx cshtml ,8
Adding Support for Skipping Job for Concurrent Execution,2016-12-26,Closed,759,"1,172",39,cs resx cshtml ,11
"Typo - ""Nexts jobs"" should be ""Next jobs""",2016-12-02,Merged,754,2,2,,1
Split serializer settings into core and arguments,2019-02-21,Closed,750,996,148,cshtml ,9
Add missing changes to JobDetailsPage.cshtml from JodDetailsPage1.generated.cs,2016-11-25,Merged,742,88,80,,1
Fixes error 500 in the dashboard,2016-11-24,Merged,741,1,1,,1
Add support an array of generic type as parameter type,2016-11-24,Merged,740,44,0,,2
Finally fixes line endings problem.,2016-11-24,Merged,739,"1,511","1,511",,1
Make Queue name accessible from RecurringJobDto,2016-11-24,Merged,737,7,1,,2
Split json serializer settings into core settings and arguments settings,2016-11-24,Closed,736,296,102,cs ,9
Validate BackgroundJobServerOptions properties,2016-11-21,Merged,733,336,9,csproj ,5
Rethrow JSON exception instead of returning a null value for argument,2016-11-16,Merged,731,31,1,,2
