Add Descent of Dragons set icon,2019-12-09,Merged,3982,1,1,,1
Set explicit AppUserModelID,2019-11-15,Merged,3978,13,0,csproj ,3
Fix HSReplay.net deck short id generation,2019-10-04,Merged,3966,55,3,cs ,3
Fix secret handling when a minion tries to attack hero but is removed from play,2019-10-08,Closed,3964,33,8,,2
Fix Pressure Plate,2019-10-08,Closed,3959,76,7,,6
Fix cards tracking for Spirit of the Dead,2019-09-07,Merged,3956,12,1,,3
Uldam set icon,2019-08-15,Merged,3951,2,2,,2
Fix overflowing set icons,2019-03-23,Merged,3881,14,11,,3
Add streamer language to BoardState GameStart,2019-03-04,Merged,3874,25,2,,2
Fixed handling of Hakkar's Corrupted Blood in common cases.,2019-03-15,Merged,3870,1,1,,1
Update Rumble Run Starter Decks,2019-02-04,Merged,3864,13,13,,1
Fix a issue HearthSim#3849,2019-01-19,Merged,3860,1,1,,1
Added Achievements log watcher to API,2019-01-19,Merged,3859,6,0,,2
Adding row to card overlay displaying the card's set,2019-01-21,Merged,3855,37,0,xaml ,5
Create log.config folder if it doesn't exist,2019-01-21,Merged,3852,14,6,,1
Troll set icon,2018-12-23,Merged,3842,2,2,,2
Fix a Augmented Elekk issue #3760,2018-12-23,Merged,3839,14,0,,2
Fix a Freezing Trap issue #3830,2018-12-09,Merged,3833,18,2,,2
Updating my fork,2018-12-02,Closed,3832,1,2,,0
Check for gold progress reset on overlay update,2018-11-29,Merged,3827,27,9,,2
Add Grand Archivist opponent spell tracking,2018-11-16,Merged,3818,12,0,,2
Updated solo adventure mage decks,2018-10-27,Merged,3809,4,4,,1
Fix Dungeon Run deck name,2018-10-09,Merged,3800,20,3,,3
Add editorconfig rule for no space after control flow keywords,2018-09-28,Merged,3795,1,0,,1
Fix incorrect secret handling,2018-09-28,Merged,3793,122,16,,6
Added Pogo-Hopper counter for Rogues,2018-09-09,Closed,3784,113,6,xaml csproj png ,12
Harden saving of config files,2018-09-01,Merged,3778,34,3,,1
Improve match info logging,2018-08-11,Merged,3766,1,1,,1
Fix Autodefense Matrix secret tracking,2018-08-11,Merged,3765,19,1,,2
Use minimal process access rights,2018-08-09,Closed,3756,76,2,cs ,3
Add missing set icons,2018-08-08,Merged,3755,2,2,,1
Fix Boomsday arena reward pack,2018-08-07,Merged,3750,1,1,,1
added Boomsday to HearthDbConverter,2018-08-07,Closed,3747,2,1,,1
Treat Fireside Brawls as GameMode.Brawl,2018-08-06,Merged,3746,4,0,,1
Fix attempt on checked secrets,2018-08-08,Closed,3741,8,5,,1
Add tooltips for Kalimos Invocation cards,2018-07-15,Merged,3721,39,1,,3
Fix initialization of auto archive arena run checkbox,2018-07-10,Merged,3719,2,1,,1
[Options] Only use ScrollViewer where needed,2018-06-24,Closed,3710,113,111,,2
Hearthstone not launching,2018-06-24,Merged,3709,5,1,,1
[Options/Tracker/Plugins] Redesign,2018-06-10,Merged,3700,64,64,cs ,2
add combobox for more date-on-deck options #3218,2018-06-02,Merged,3693,114,63,xaml ,10
HS Alerts (Flash & Popup),2018-05-28,Merged,3687,173,164,xaml ,6
Added tracking for several Monster Hunt cards,2018-05-22,Merged,3686,18,0,,1
make cards created by Shadow Reflection work correctly,2018-05-14,Merged,3681,4,0,,1
Refresh Overlay Player & Opponent's panel and combo box,2018-05-22,Merged,3677,42,10,xaml ,6
fixes #2974 - (stats) best deck in summary,2018-05-08,Merged,3676,10,10,,1
Avoid unnecessary rebuilds,2018-05-05,Merged,3670,2,2,,1
Add setting to allow closing to tray,2018-05-05,Merged,3668,38,1,xaml ,5
