Update thread pool properties,2019-09-03,Closed,1955,0,0,,0
V.1.5.11,2019-07-17,Closed,1954,123,49,java ,14
Updated metrics and updated thread pool metrics at runtime,2019-07-17,Closed,1948,41,19,,5
Re initialise thread pools settings,2019-05-14,Closed,1937,165,49,java ,11
Reinitialise thread pools,2019-04-04,Closed,1935,0,0,,0
Update Hystrix Status,2018-11-19,Merged,1904,16,2,md ,1
Enable publishing via travis,2018-11-16,Merged,1901,60,5,gradle sh ,5
Disable test task on travis since the tests are flaky,2018-11-16,Merged,1900,1,1,,1
Ignore flaky test,2018-11-10,Merged,1893,26,1,java ,9
Ignore flaky test,2018-11-10,Closed,1892,6,0,,3
Adding Diffblue Deeptest generated tests,2019-04-10,Closed,1866,203,0,,1
Fix the misspelling in README.md,2019-06-02,Closed,1865,1,1,,0
V1.5.x,2018-08-24,Closed,1843,13,10,,3
Fix hystrix.command.default.metrics.rollingPercentile.enabled=false not working,2018-12-11,Closed,1840,194,57,,4
Stabilize yet another test,2018-05-04,Merged,1797,6,2,,1
Stabilize another test,2018-04-24,Merged,1786,27,52,,1
Stabilize tests,2018-04-05,Merged,1785,68,32,java properties ,5
Create a simple interface for the Hystrix aspects to allow JDK proxying,2018-03-20,Closed,1775,40,5,,3
Fix race condition in HystrixSampleSseServlet for response writes,2018-04-26,Merged,1757,205,10,,2
deprecated and move hystrix-dashboard to Netflix-skunkworks,2018-01-10,Merged,1749,23,"3,659",java gradle ,6
Add fallbackDisabled metric,2017-10-14,Merged,1676,19,1,java ,4
Develop.hujian.0809,2017-08-11,Closed,1656,104,3,xml java ,10
Develop.hujian.0809,2017-08-09,Closed,1652,49,0,xml ,2
Fixed bug where an unsubscription of a command in half-open state leaves circuit  permanently open,2017-07-06,Merged,1621,56,1,,3
iss1600: Wrong hystrix event type for fallback missing,2017-07-03,Merged,1616,16,8,,2
Updated Gradle to version 4.0,2017-07-03,Merged,1615,49,47,properties gradlew bat ,4
Escape user entered input to avoid HTML injection. This fixes #1456,2017-06-14,Merged,1606,1,1,,1
Issue 1603,2017-07-03,Merged,1605,143,1,,2
Possibility to add custom root node for command and thread pool metrics,2017-06-11,Merged,1595,24,15,,4
Possibility to add custom root node for command and thread pool metrics,2017-05-29,Closed,1594,24,15,,4
throw IllegalStateException if request cache is not available when clearing,2017-05-31,Merged,1587,7,2,,1
Get CodaHale metrics working by starting up the stream consumers,2017-05-16,Merged,1586,31,24,,2
Fix incorrect return value in CodaHale metrics publisher of threadpool config,2017-05-16,Merged,1585,1,1,,1
Added Javanica support for setting allowMaximumSizeToDivergeFromCoreSize in an annotation,2017-05-16,Merged,1584,11,2,,2
Fix to permyriad calculation,2017-05-15,Merged,1576,1,1,,1
Demonstrate using a Completable in HystrixObservableCommand.construct(),2017-05-09,Merged,1574,52,6,,1
iss1545: don't get cause from HystrixBadRequestException if command t…,2017-05-09,Merged,1573,18,1,,2
1565: Set maximumSize using @HystrixCommand annotation,2017-05-09,Merged,1572,10,0,,2
Only create the HystrixContextRunnable for running the timeout fallback...,2017-05-08,Merged,1570,16,12,,2
Made circuit-opening happen in background,2017-05-08,Merged,1568,172,78,,3
Handle not wrapped exceptions same way as all other,2017-05-16,Merged,1567,69,32,,4
Add exception-handling to interactions with servlet writers,2017-05-03,Merged,1561,9,5,,1
bugfix/Fixing typo in fallback error message,2017-05-02,Merged,1556,1,1,,1
Software Engg,2017-05-03,Closed,1555,"30,658","5,606",md txt gradle properties clj java ,8
Fixed incorrect color of circuit status in dashboard,2017-04-27,Merged,1551,1,1,,1
Support multiple circuit status for Hystrix Dashboard,2017-04-26,Merged,1547,5,1,,1
Fixed a potential bug in metrics-event-stream-jaxrs,2017-04-19,Merged,1539,37,6,,6
Move markCommandExecution after markEvent SUCCESS.,2017-04-19,Merged,1535,2,2,,1
Move HealthCountsStream subscribe outside synchronized block,2017-04-07,Merged,1532,6,3,,1
assert the circuitBreakerForceClosed property,2017-04-07,Merged,1531,1,0,,1
Remove commons-collection from project,2017-04-07,Merged,1529,1,3,java ,2
Remove last dependency on commons-collection,2017-04-05,Closed,1528,1,2,,1
Update build.gradle,2017-04-07,Merged,1527,0,1,,1
iss1403: Support @HystrixCommand for rx.Single and rx.Completable sim…,2017-05-09,Merged,1524,207,8,java ,6
Fix typo in HystrixCommand.java,2017-03-24,Merged,1515,1,1,,1
Fixing https://github.com/Netflix/Hystrix/issues/1508,2017-03-24,Merged,1513,50,2,,3
Updating codahale metrics-core to 3.2.2,2017-03-24,Merged,1512,1,1,,1
README: fix typo,2017-03-24,Merged,1507,1,1,,0
Fixes #1478 : allow cleaner error propagation,2017-03-24,Merged,1503,36,1,,3
delete unuseful code in HystrixConcurrencyStrategy,2017-03-20,Merged,1502,1,2,,1
Upgrade servo to 0.10.1,2017-03-15,Merged,1498,1,1,,1
Upgrade hystrix-servo-metrics-publisher to 0.10.0,2017-03-15,Closed,1497,1,1,,1
hystrix-metrics-event-stream implementation using JAX-RS,2017-03-15,Merged,1495,"1,106",0,gradle java ,5
Added exporting of rollingMaxConcurrentExecutionCount value.,2017-03-01,Merged,1489,7,0,,1
Minor spelling fixes.,2017-03-01,Merged,1488,5,5,java ,1
iss1446: Ready for review,2017-03-01,Merged,1482,477,28,java ,5
iss1458: added sanity checker for the method that detects point cut t…,2017-03-01,Merged,1481,86,1,,2
Just added example usage,2017-02-10,Merged,1475,5,1,,0
Remove possible NPE,2017-02-07,Merged,1469,3,2,,1
2.0.x,2017-02-07,Closed,1462,"3,096","5,766",gradle java ,3
Add Javanica test for NotWrapped checked exception,2017-01-06,Merged,1453,33,3,,1
Single method which ensures core less than equal to maximum,2016-12-21,Merged,1449,229,54,,7
Remove dependency of hystrix-serialization on jackson-cbor by depreca…,2016-12-20,Merged,1448,14,225,java ,6
Allow dynamic update to allow maximum size diverge from core size,2016-12-20,Merged,1447,67,38,,4
Early unsubscribe hook test,2016-12-15,Merged,1445,82,1,,4
Optimize server thread exit,2016-12-14,Merged,1444,5,11,,1
Hystrix dashboard switch jetty to gretty,2016-12-14,Merged,1443,6,5,gradle ,1
Fix #1430 by detecting case when client connect/disconnects before me…,2016-12-14,Merged,1442,9,0,,1
Use Gretty for running hystrix-examples-webapp,2016-12-14,Merged,1441,5,4,gradle ,1
Publish the value of the maximumSize property,2016-12-21,Closed,1439,21,0,,3
Properly handle default values for allowMaximumSizeToDivergeFromCoreSize,2016-12-20,Merged,1435,10,11,,3
Write to error log actual dynamicMaxPoolSize from properties if maxPo…,2016-11-21,Merged,1423,6,5,,1
"When user has not opted in to letting core/maximum threadpools diverge, ensure dynamic updates to coreSize apply to both",2016-11-10,Merged,1419,6,0,,1
Fix a little spell mistake in comments.,2016-11-08,Merged,1415,1,1,,1
Allow exceptions without HystrixRuntimeException wrapper,2016-12-19,Merged,1414,214,14,,10
Javanica/Support raiseHystrixExceptions for Observables,2016-12-06,Merged,1412,53,10,java ,2
Removed bad import that snuck in,2016-11-01,Merged,1411,0,1,,1
Fix typo in collapser options keyword name (from shared-fn to shard-fn),2016-10-31,Merged,1408,1,1,,1
Clear the percentile snapshot whenever all buckets get cleared,2016-10-27,Merged,1407,3,0,,1
Added unit test that demonstrates calling .retry() on an Observable produced by Hystrix does not result in deadlock,2016-10-27,Merged,1406,38,0,,1
Fix comment in HystrixThreadPoolProperties,2016-10-26,Merged,1405,1,1,,1
#1390 HystrixPlugins.getInstance() returns private instance,2016-10-25,Closed,1401,37,37,,1
Add property to control maximum thread pool size,2016-10-20,Merged,1399,94,36,,8
Add option to raise HystrixRuntimeException,2016-10-24,Merged,1397,211,9,,7
"If command is unsubscribed before any work starts, just return Observable.never()",2016-10-19,Merged,1396,79,0,,3
"iss:1387: Performance improvement in EnvUtils. Read ""weavingMode"" system property only one time.",2016-10-19,Merged,1393,9,3,,1
iss1344: send fallback exception to client instead of primary command,2016-10-19,Merged,1389,202,12,,6
Bump JMH gradle plugin to the latest version(0.3.1),2016-10-16,Merged,1385,1,1,,1
Bump JMH to the latest version(1.15),2016-10-14,Merged,1382,1,1,,1
Add jmh test when circuit opened,2016-10-12,Merged,1380,39,9,,1
Cleaner error propagation in hystrix core.,2016-12-05,Closed,1379,6,0,,1
Remove outdated comments regarding thread keep alive.,2016-10-07,Merged,1376,2,2,,2
Remove cancelled work from the threadpool queue,2016-10-06,Merged,1375,35,6,,2
Add threadPool maximumSize configuration,2016-10-05,Merged,1371,273,79,,6
Upgrade jmh to 1.14.1,2016-09-28,Merged,1368,1,1,,1
Upgrade to Gradle 3.1 / Nebula 3.4.0,2016-09-27,Merged,1365,35,60,properties ,16
Fix backwards incompatibility for appengine,2016-09-26,Merged,1364,67,46,,3
Filter out all thread pool objects from thread pool metric streams which have not executed a command,2016-09-26,Merged,1363,47,35,,2
jmh test is more accurate when measuring the first command construction,2016-09-23,Merged,1360,1,1,,1
Update PlatformSpecific to only detect App Engine Standard Environment,2016-09-21,Merged,1356,12,7,,4
Upgrade to RxJava 1.2.0,2016-09-19,Merged,1353,1,1,,1
Remove object-pooling from CachedValuesHistogram,2016-09-16,Merged,1351,2,22,,1
iss1328: fix,2016-09-01,Merged,1341,599,35,java ,2
Made the user-defined fallback calculation more general,2016-08-31,Merged,1340,44,25,,3
Hystrix Dashboard Eureka integration improvements,2016-09-08,Merged,1336,97,47,html ,2
Update readme to address jdk7+,2016-08-19,Closed,1324,1,1,,0
Remove all ReactiveSocket modules - this should allow a build by JDK6/7,2016-08-18,Merged,1323,0,"1,443",java ,5
Javanica: basic Observable Collapser support,2016-09-07,Merged,1320,111,44,java properties ,7
Update nebula.netflixoss Gradle plugin from 3.2.3 to 3.3.0,2016-08-04,Merged,1310,1,1,,1
Update HdrHistogram from 2.1.7 to 2.1.9,2016-08-04,Merged,1309,1,1,,1
Update jmh from 1.11.2 -> 1.13,2016-08-05,Merged,1308,1,1,,1
Update RxJava from 1.1.5 to 1.1.8,2016-08-04,Merged,1307,1,1,,1
