MTLS Update,2020-01-05,Merged,3962,308,"1,512",sh xml csproj cs p12 targets ,7
Bump FluentAssertions from 5.9.0 to 5.10.0,2020-01-03,Merged,3959,1,1,,1
Bump McMaster.Extensions.CommandLineUtils from 2.4.4 to 2.5.0,2020-01-02,Merged,3953,1,1,,1
ensure correct project packed during build,2019-12-23,Merged,3941,10,10,,5
Added MS fix for SameSite Cookies to host,2019-12-23,Merged,3940,78,0,,2
Update PKCE and Consent default settings on Client,2019-12-27,Merged,3939,25,8,,11
Bump SimpleExec from 6.1.0 to 6.2.0,2019-12-23,Merged,3938,1,1,,1
Fix user code param name in DeviceController,2019-12-24,Merged,3935,48,6,,6
Fixes inconsistency in example code,2019-12-21,Closed,3931,1,1,,1
IdentityErrorCode added to IdentityServer4.Constants,2019-12-20,Closed,3926,26,0,,1
Session Cookies need to be LAX,2019-12-17,Closed,3914,3,3,,2
Remove outdated project from Community Docs,2019-12-16,Merged,3910,0,5,,1
Small spelling fix,2019-12-12,Merged,3903,1,1,,1
use asynchronous EF methods,2019-12-12,Merged,3895,119,167,,3
V4: Multiple signing keys,2019-12-27,Merged,3892,363,64,,16
Add option to prevent automatic lower-casing of Issuer url #3600,2019-12-20,Merged,3891,35,1,cs ,4
Cleanup SignInAsync extension methods,2019-12-21,Merged,3888,39,247,,6
V4: Make client claims serialization friendly,2019-12-27,Merged,3887,107,7,json ,7
Bump Bullseye from 3.0.0 to 3.1.0,2019-12-09,Merged,3886,1,1,,1
make TokenCleanupInterval more realistic,2019-12-05,Merged,3875,1,1,,1
Update crypto.rst,2019-12-03,Merged,3871,1,1,,1
Replaces my name with my company name,2019-12-02,Merged,3870,1,1,,0
Workaround for native redirect problem,2019-11-29,Merged,3863,359,6,cs csproj ,6
Bump Microsoft.SourceLink.GitHub from 1.0.0-beta2-19554-01 to 1.0.0,2019-11-27,Merged,3861,1,1,,1
Updated Jwt.io link to jwt.ms link,2019-11-26,Merged,3855,1,1,,1
"Revert ""Blazor Sample Added""",2019-11-21,Merged,3848,0,331,razor csproj cshtml cs json ,13
Added invalid target token request error,2019-11-25,Merged,3842,7,1,,2
Add remarks about custom implementation of IResourceOwnerPasswordValidator for the corresponding flow.,2019-11-28,Closed,3840,10,0,,2
Bump EntityFrameworkVersion from 3.0.0 to 3.0.1,2019-11-28,Closed,3835,1,1,,1
Bump ExtensionsVersion from 3.0.0 to 3.0.1,2019-11-28,Closed,3834,1,1,,1
Cache the CheckSessionResult Script string,2019-12-20,Merged,3823,31,1,,2
Bump McMaster.Extensions.CommandLineUtils from 2.4.0 to 2.4.4,2019-11-12,Merged,3812,1,1,,1
Bump Serilog.AspNetCore from 3.1.0 to 3.2.0,2019-11-12,Merged,3811,3,3,,3
Updated EF Quickstart,2019-11-12,Merged,3809,"64,232",184,,3
Bump Newtonsoft.Json from 12.0.1 to 12.0.3,2019-12-10,Closed,3807,1,1,,1
Bump Microsoft.NET.Test.Sdk from 16.3.0 to 16.4.0,2019-11-07,Merged,3800,1,1,,1
Bump IdentityModel from 4.0.0 to 4.1.0,2019-11-06,Closed,3798,1,1,,1
"Docs: Install the current ""v2"" version of the IdentityServer templates (#3795)",2019-11-05,Merged,3796,2,2,,2
Some backslashes needed quoting,2019-11-05,Merged,3794,1,1,,1
Bump McMaster.Extensions.CommandLineUtils from 2.4.0 to 2.4.3,2019-11-12,Closed,3790,1,1,,1
Bump Microsoft.SourceLink.GitHub from 1.0.0-beta2-19367-01 to 1.0.0-beta2-19554-01,2019-11-04,Merged,3789,1,1,,1
Blazor Sample Added,2019-11-21,Merged,3786,331,0,razor csproj cshtml cs json ,13
fix typo 'font-channel' in grant_types.rst,2019-10-24,Merged,3767,1,1,,1
Docs: Update 6_javascript_client.rst,2019-10-24,Merged,3764,1,1,,1
Docs: Update 3_aspnetcore_and_apis.rst,2019-10-24,Merged,3763,2,2,,1
Bring back /resources audience for legacy token validation scenarios,2019-10-23,Merged,3760,20,0,cs ,3
Adding the nuget package dependency,2019-10-24,Merged,3759,6,1,,1
generate and return session_state for error authorization responses that are prompt=none,2019-12-10,Merged,3756,"28,461",328,,1
Bump Microsoft.IdentityModel.Protocols.OpenIdConnect from 5.5.0 to 5.6.0,2019-11-28,Closed,3755,1,1,,1
Update nuget package project urls,2019-10-18,Merged,3748,4,4,,4
Bump Serilog.Sinks.File from 4.0.0 to 4.1.0,2019-10-22,Merged,3747,3,3,,3
Update Quickstarts 1-3 for ASP.NET Core 3,2019-10-22,Merged,3746,"60,395","73,826",,3
Update 1_client_credentials.rst,2019-10-17,Closed,3744,9,4,,1
Bump Serilog.AspNetCore from 2.1.1 to 3.1.0,2019-10-15,Merged,3737,3,3,,3
Bump Serilog from 2.8.0 to 2.9.0,2019-10-14,Merged,3731,3,3,,3
trim and align top-level build scripts,2019-10-14,Merged,3730,36,121,sh ,2
EF Core 3.0 Performance Fix,2019-10-18,Merged,3727,106,29,,2
small text change in grant types,2019-10-13,Closed,3724,1,1,,1
Add more comments to 'claims' parameter of GrantValidationResult constructor.,2019-11-03,Closed,3713,4,2,,1
Change HttpRequest/Response extension method namespace,2019-10-23,Merged,3704,13,4,,11
Replace GetApis() with GetApiResources(),2019-10-07,Merged,3703,3,3,,1
Update grant type guidance,2019-10-07,Merged,3702,63,81,,1
Provide details on claims parameter.,2019-10-07,Merged,3701,4,2,,1
Removed obsolete code,2019-12-27,Merged,3692,22,127,,8
update Bullseye and SimpleExec to RC1,2019-09-30,Merged,3688,7,7,targets ,6
Updated identityserver.com commercial support,2019-09-28,Merged,3683,2,2,,1
Removed recommendation to use implicit/hybrid Grant Types,2019-10-09,Closed,3675,1,1,,1
EF Async,2019-12-11,Closed,3674,110,127,,3
Bump McMaster.Extensions.CommandLineUtils from 2.4.0 to 2.4.2,2019-09-25,Closed,3667,1,1,,1
Check user active/passive from IPassiveable first on ProfileService,2019-12-10,Closed,3657,24,0,cs ,3
Bump Microsoft.NET.Test.Sdk from 16.2.0 to 16.3.0,2019-09-20,Merged,3650,1,1,,1
Honour EnableDeviceAuthorizationEndpoint in IsEndpointEnabled,2019-10-22,Merged,3645,138,1,,2
Bump McMaster.Extensions.CommandLineUtils from 2.4.0 to 2.4.1,2019-09-25,Closed,3641,1,1,,1
Bump McMaster.Extensions.CommandLineUtils from 2.3.4 to 2.4.0,2019-09-16,Merged,3635,1,1,,1
use just .NET Core 3.0 SDK for CI,2019-09-15,Merged,3631,5,15,csproj targets ,6
move entirely to netcoreapp3.0,2019-09-14,Closed,3630,56,66,csproj ,42
Pointing to the maintained migration scripts,2019-09-13,Merged,3629,1,1,,1
Sample support access token refresh failure,2019-09-09,Merged,3617,2,1,,1
Bump FluentAssertions from 5.7.0 to 5.9.0,2019-09-09,Merged,3616,1,1,,1
Bump McMaster.Extensions.CommandLineUtils from 2.3.3 to 2.3.4,2019-09-09,Merged,3615,1,1,,1
Bump Newtonsoft.Json from 12.0.1 to 12.0.2,2019-09-09,Closed,3614,1,1,,1
Switch to ASP.NET Core 3,2019-09-08,Merged,3609,"3,041","2,062",ps1 rst json jpg snk sln targets csproj ,22
key management samples,2019-09-07,Merged,3606,790,1,cs csproj json sln ,11
Microsoft.AspNetCore.Authentication.Abstractions nuget package deleted,2019-09-07,Merged,3602,2,3,,2
Fixed Typo,2019-09-05,Merged,3595,2,2,,1
Clarify the purpose of claimTypes parameter of IdentityResource constructor,2019-09-06,Closed,3591,2,2,,1
Clarify the purpose of claimTypes parameter of ApiResource constructor.,2019-09-06,Closed,3588,2,2,,1
identify the builds for each solution in the logs,2019-09-07,Merged,3586,32,27,csproj targets ,11
Re-factor logic to turn Secrets into SecurityKeys,2019-09-01,Merged,3584,47,87,,3
Updated tests for EF Core 3,2019-09-05,Merged,3582,197,26,,8
Bump Serilog.AspNetCore from 2.1.1 to 3.0.0,2019-08-28,Closed,3570,3,3,,3
EF Tests,2019-08-27,Merged,3565,4,1,,1
Emit Integer64 for Epoch Time,2019-08-27,Merged,3563,7,7,,6
Added test for validation keys with different algorithms,2019-08-26,Merged,3562,25,0,,1
Support specific signing algorithms per validation key,2019-08-26,Merged,3561,81,52,,9
Removed scheme checking in cors origin validation.,2019-12-06,Closed,3559,31,35,,4
Update specs.rst,2019-08-22,Merged,3556,1,1,,1
Update specs.rst,2019-08-22,Closed,3555,1,1,,1
Update 6_aspnet_identity.rst,2019-08-27,Closed,3545,1,1,,1
Fix typo in ConsentGrantedEvent xml document,2019-08-27,Merged,3540,2,2,,1
Bump AutoMapper from 8.1.1 to 9.0.0,2019-09-07,Closed,3538,1,1,,1
Ecdsa curve handling,2019-08-24,Merged,3534,161,7,csproj ,7
Update readme.md,2019-08-09,Merged,3525,1,1,,0
move logging before removal so the PromptMode is included in the logging,2019-08-27,Merged,3523,3,3,,1
Move HTTP context accessor access to a later point in JwtRequestValidator,2019-08-06,Merged,3517,19,3,,1
Update to IdentityModel v4,2019-08-05,Merged,3514,6,6,cs ,4
Set typ header for access tokens,2019-08-06,Merged,3513,183,122,,8
Add support for additional signing algorithms,2019-08-05,Merged,3511,412,119,cs ,4
Update request_object.rst,2019-08-02,Merged,3509,8,1,,1
Update add_apis.rst,2019-08-02,Merged,3508,26,2,,1
Introduce option to omit ~/resources in JWT access tokens,2019-08-05,Closed,3503,78,13,cs ,6
Update Quickstart Overview,2019-07-30,Closed,3498,5,3,,1
Fix log exception while user authentication failed,2019-07-30,Merged,3494,1,1,,1
Merge pull request #1 from IdentityServer/master,2019-07-30,Closed,3493,0,0,,0
fix JS for automatic signout redirect,2019-07-30,Merged,3491,1,1,,1
ensure SDK version for MinVer is installed,2019-07-28,Merged,3490,12,0,,1
test MinVer in isolation in CI,2019-07-28,Closed,3489,18,145,ps1 sh ,3
Update Startup.cs,2019-07-29,Closed,3488,1,1,,1
Update 1_client_credentials.rst,2019-07-27,Merged,3486,1,1,,1
CORS validation handling normalized URIs,2019-07-30,Merged,3478,7,7,,2
Update 8_aspnet_identity.rst,2019-08-27,Merged,3476,1,1,,1
Since ClientId was introduced on the base class (for impersonation) -…,2019-07-24,Merged,3471,0,8,,1
