Fix word repetition in local.md,2020-01-12,Merged,1827,1,1,,0
Fix the format string,2019-12-28,Merged,1818,1,1,,1
Fix bugs (ping/dispose_method/position) in webp coder,2019-12-21,Merged,1810,73,20,,1
"Make integer types consistent -- on 32-bit MagickOffsetType is still 64-bits wide, but ssize_t isn't",2019-11-24,Merged,1788,1,1,,1
Rewrite conditional to avoid the possibility of integer overflow,2019-11-17,Merged,1782,1,1,,1
Attempt to fix types in webp decoder to protect against overflow,2019-11-04,Merged,1773,2,2,,1
Add OSS-Fuzz fuzzing badge,2019-10-15,Closed,1728,1,1,,0
fixed a syntax error,2019-09-30,Merged,1709,1,1,,1
Animated WebP encoding/decoding,2019-09-30,Closed,1708,406,187,,0
Don't link the fuzzing engine while compiling encoder_list,2019-09-29,Merged,1707,5,3,,3
Don't build libheif's go code for the fuzzers -- it doesn't play well…,2019-09-29,Merged,1706,1,1,,1
Update the way the fuzzing engine is linked for changes in oss-fuzz,2019-09-29,Merged,1705,1,1,,1
Added support for DWAA/B EXR compression methods,2019-08-08,Merged,1661,23,1,c ,4
Attempt to fix oss-fuzz build by linking libz after libraw,2019-08-06,Merged,1658,1,1,,1
"set default colorspace, fixes #1655",2019-08-03,Merged,1656,1,1,,1
Use specific version of MagickCore in MagickWand.pc (closes #1637),2019-07-16,Merged,1638,1,1,,1
fix line through z-index issue,2019-07-09,Merged,1630,6,8,,1
"fix font decorate position, thickness issue",2019-06-29,Merged,1619,33,20,,1
"Add log format special char %i (thread-id) to ""human readable"" mode",2019-05-31,Merged,1583,6,0,,1
Correct spelling and remove needless character,2019-05-30,Merged,1582,3,3,ac ,2
Implementation of a TIM2 coder,2019-07-13,Merged,1571,794,1,com am ,5
Fix rubber banding artifacts in the XSelectWindow function. #1460,2019-04-29,Merged,1563,2,0,,1
Added MagickLevelizeImage to MagickWand C-API,2019-04-15,Merged,1545,50,0,h ,2
initialise ghostscript instances with NULL,2019-04-06,Closed,1538,2,2,,2
Fix: check file fopen_utf8(),2019-04-06,Merged,1536,3,2,,1
Honour SOURCE_DATE_EPOCH,2019-04-15,Closed,1496,117,37,h ,11
fit the coding style around. (bmp),2019-02-13,Merged,1480,17,18,,1
"change from WEBP_DECODER_ABI_VERSION to WEBP_ENCODER_ABI_VERSION, because we need encoder feature switch.",2019-02-10,Merged,1476,9,9,,1
support to read BMP embeded ICC profile.,2019-02-09,Merged,1474,48,2,,1
supporting to ICC profile embeded BMP writing.,2019-02-03,Closed,1467,32,3,,1
add exif and xmp metadata support to heic encoder,2019-01-19,Merged,1456,167,0,,1
Typo and broken link,2019-01-12,Merged,1447,4,4,,0
Fix wrong heic width and height when heic:preserve-orientation=true,2019-01-08,Closed,1441,11,14,,1
ignore_transformations when `heic:preserve-orientation=true`,2019-01-03,Merged,1436,15,66,,1
Fix associated alpha handling,2018-12-17,Merged,1424,1,1,,1
