Add Nested Types support to Swagger Generator,2019-11-04,Merged,1488,169,21,,3
tests: Remove workaround for SR-11012,2019-09-17,Merged,1486,3,11,,1
fix: Correctly register Codable routes with trailing `:id`,2019-09-06,Merged,1485,242,118,,3
fix: Correctly register Codable routes with trailing `:id`,2019-09-06,Merged,1484,242,118,,3
Move to public the `SwaggerDocument` object of the router.,2019-09-17,Merged,1483,44,5,,3
feat: Ability to limit request size and connection count,2019-10-09,Merged,1481,441,54,,7
chore: Generate API docs for Kitura 2.8,2019-08-13,Merged,1479,"1,878",126,,4
add ios availability,2019-08-01,Merged,1475,3,3,,1
ci: Enable xcode11 build,2019-07-17,Merged,1474,4,5,,1
Cherry-pick of Swift 5.1 support (#1466) for Kitura 2.7,2019-07-08,Merged,1472,34,13,swift ,7
Remove BluePic from Kitura landing page,2019-07-04,Merged,1471,3,3,,1
"ci: Update Travis for 2.6 branch, replace dev with 5.0.1",2019-07-02,Merged,1469,3,3,,1
A convenience API to create and add cookies.,2019-08-02,Merged,1468,212,36,swift ,3
Swift 5.1 support,2019-06-26,Merged,1466,34,13,swift ,7
Add a StaticFileServer option to fallback to the index page,2019-08-01,Merged,1464,107,4,,3
feat: Define a Kitura.logTo() function for logging via swift-log,2019-06-06,Merged,1460,57,10,,5
Add option to only listen on one address,2019-06-04,Merged,1453,42,34,,7
docs: Clarify that Date encoding must precede route registration for Swagger,2019-05-20,Merged,1451,"2,718","2,382",swift html ,6
Ensure StaticFileServer tests pass when edited dependency,2019-05-14,Merged,1449,30,5,,1
ci: Update to Swift 5.0.1,2019-04-29,Merged,1446,5,5,yml ,2
"Revert ""Use KituraNIO 1 on Swift 4 (#1442)""",2019-04-18,Merged,1443,3,27,,3
Use KituraNIO 1 on Swift 4,2019-04-17,Merged,1442,27,3,,3
Update/add font content types,2019-04-16,Merged,1441,1,1,,0
Add the NIO switch to the 4.x.x Package.swift files,2019-04-12,Closed,1440,27,3,,3
Require TypeDecoder 1.3 on Swift 4.0 and 4.1,2019-04-04,Merged,1439,2,2,,2
Update to Swift 5,2019-04-04,Merged,1436,75,38,yml swift ,9
Enable all tests on Linux,2019-04-26,Merged,1435,91,106,,24
Support Unix domain sockets,2019-04-04,Merged,1434,311,45,swift ,6
Enable Kitura to exit with a non-zero exit code,2019-05-20,Merged,1430,110,2,,2
Maintain CI testing for 14.04,2019-04-01,Merged,1429,3,3,,1
tests: Remove force-unwraps,2019-03-21,Merged,1426,8,4,,1
ci: Update to Swift 4.2.3,2019-03-19,Merged,1424,4,4,yml ,2
add ios availability,2019-03-27,Closed,1421,5,3,,1
Bug fixes for SwaggerGenerator,2019-03-18,Merged,1420,458,47,,3
[2.6] fix: Remove hashvalue for swift >= 4.2 (#1400),2019-03-01,Merged,1410,15,6,,1
Use ephemeral ports for FastCGI testing,2019-02-11,Merged,1406,1,2,,1
Fix crash when empty MediaType is passed in request (#1404),2019-02-11,Merged,1405,6,1,,2
Fix crash when empty MediaType is passed in request,2019-02-11,Merged,1404,6,1,,2
Update to Swift 4.2.2 and official Docker images,2019-02-14,Merged,1403,15,13,yml ,2
perf: Remove NSString from Accepts and cookies,2019-03-06,Merged,1402,51,12,,2
perf: Avoid NSString functions in query params,2019-02-13,Merged,1401,51,17,,2
fix: Remove hashvalue for swift >= 4.2,2019-02-19,Merged,1400,15,6,,1
backport: install libressl when building with Kitura-NIO(macOS),2019-02-04,Closed,1399,1,1,,1
Use ephemeral ports for FastCGI testing,2019-01-31,Merged,1396,1,2,,1
Use UTF8View to create Data,2019-02-05,Merged,1395,12,28,,4
Avoid copy in RouterResponse.send(str),2019-01-29,Merged,1394,6,7,,1
Consistent ordering for OpenAPI document elements,2019-01-25,Merged,1393,20,5,,1
macos: install libressl when building with Kitura-NIO,2019-01-21,Merged,1391,1,1,,1
[DO NOT MERGE] Default to Kitura-NIO for networking,2019-04-04,Closed,1390,17,17,swift ,5
Log error in StaticFIleServer init if passed a non-directory path,2019-01-22,Merged,1389,18,1,,1
Update API documentation for Kitura 2.6,2019-01-07,Merged,1383,"1,568","1,502",,4
tests: Use ephemeral ports in Kitura tests,2019-01-10,Merged,1382,28,17,yml swift ,4
Maintain the URL query when static file server redirects,2019-05-23,Merged,1381,43,7,,4
fix: Support TLS in OpenAPI specification (#1378),2018-12-14,Merged,1380,13,19,,3
Fix: Add locking for Kitura servers (#1377),2018-12-14,Merged,1379,9,0,,1
fix: Support TLS in OpenAPI specification,2018-12-14,Merged,1378,13,19,,3
Fix: Add locking for Kitura servers,2018-12-13,Merged,1377,9,0,,1
Remove dictionary mapping in tests,2018-12-10,Merged,1376,8,14,,2
Build against Swift 5,2019-01-11,Merged,1374,32,47,swift ,7
Handle optional query parameters correctly with typesafe middlewares,2018-11-29,Merged,1373,465,2,,1
Use an optimal way to get the UTF8 length,2018-11-28,Merged,1369,1,1,,1
Cache URLParser objects for reuse,2018-12-05,Closed,1358,4,1,,1
Update to Swift 4.2.1,2018-11-13,Merged,1357,1,2,yml ,2
fix: StaticFileServer request path extraction (#1353),2018-11-06,Merged,1355,39,1,html ,3
Add Ubuntu 18.04 and OpenSSL 1.1 to Travis,2018-11-07,Merged,1354,12,13,sh ,2
[Fix] StaticFileServer request path extraction,2018-11-05,Merged,1353,39,1,html ,3
Feat: Make request/response decoder/encoder public,2018-11-21,Closed,1351,59,5,,3
Made TypeSafeMiddleware initialize first in codable routes,2018-12-18,Merged,1350,266,252,,0
Test: CustomCoder test compares dates instead of Strings,2018-11-15,Merged,1349,18,4,,1
fix: Correct swagger generation for routes returning an id,2019-02-14,Merged,1347,220,94,,0
Document standard Kitura responses in generated swagger,2019-02-13,Merged,1346,72,30,,2
FileResourceServer must be explicitly enabled when initializing Router,2018-10-15,Merged,1344,21,9,,2
Don't enable FileResourceServer if handlers exist on the router.,2018-10-03,Closed,1343,16,10,,2
Update to full Swift 4.2 mode,2018-09-28,Merged,1340,126,11,yml swift ,5
Improve logging for SwaggerGenerator,2018-10-11,Merged,1339,110,82,,1
Support Swift 4.2,2018-09-27,Merged,1338,6,6,swift ,2
Support array response types in generated swagger,2018-09-18,Merged,1335,381,248,,5
Handle optional query parameters correctly with typesafe middlewares,2018-09-19,Merged,1334,465,2,,1
Fix: Implemented Conditional GET using etags,2018-12-13,Merged,1333,9,4,,2
fix: Ensure input types are modelled by SwaggerGenerator,2018-09-12,Merged,1331,32,13,,1
Docs: Add docs for Top level classes,2018-09-17,Merged,1330,272,190,,2
updated router and routerRequest docs,2018-09-11,Merged,1327,928,610,,4
Update API documentation,2018-08-31,Merged,1326,"3,904",272,html ,10
Allow users to switch to using the NIO port of KituraNet,2018-08-30,Merged,1324,59,10,swift sh ,4
Quieten noisy debug message in Swagger generator,2018-08-16,Merged,1323,1,1,,1
Swagger generation code tidyup,2018-08-16,Merged,1322,181,176,,1
Support for query parameters in generated swagger,2018-08-16,Merged,1321,765,152,,3
Refactor swagger generation tests,2018-08-16,Merged,1320,427,514,,0
perf: only call addCookies() if there are cookies,2018-08-15,Merged,1319,4,1,,1
[kitura-nio]Allow pfx files on Darwin,2018-08-13,Merged,1318,12,7,yml swift ,4
Improve type handling for id params in generated swagger,2018-08-14,Merged,1316,308,126,,0
Changed redirect test to local redirect,2018-08-07,Merged,1315,13,4,,1
Content type,2018-08-24,Merged,1314,270,0,,3
Add optional String function to allow passing nil Strings,2018-08-08,Merged,1313,72,0,,2
Codable parameter inconsistency changes,2018-10-17,Merged,1310,112,22,,3
feat: Add Content-Type to custom encoder/decoder,2018-08-30,Merged,1309,577,112,,4
[WIP]Allow users to opt for KituraNIO,2018-08-19,Closed,1308,194,7,,22
Update Kitura landing page,2018-07-23,Merged,1305,230,356,svg html ico ,9
Query params support for swagger,2018-08-28,Closed,1304,"1,363",650,,1
Fix a false failure with IPv6,2018-07-03,Merged,1303,1,1,,1
Fix broken link on the docs badge,2018-06-26,Merged,1300,1,1,,0
update: Swift 4.1.2 as default and newer Swift 4.2 Travis builds,2018-06-25,Merged,1299,6,6,yml ,2
feat: Public TypeAliases,2018-08-28,Closed,1297,132,0,,3
Update the SSL/TLS doc link,2018-06-05,Merged,1296,1,1,,1
Add Xcode 10 beta to CI,2018-08-16,Merged,1295,2,2,,1
id type now set to string or integer,2018-08-28,Closed,1294,308,126,,0
Swagger: don't report HTTPS support,2018-06-05,Merged,1293,2,3,,2
fix: added escaping to result closure,2018-06-01,Merged,1292,30,30,,1
Swagger: register type-safe middleware routes,2018-06-01,Merged,1291,39,0,,1
Swagger: handle models with only optional properties,2018-05-31,Merged,1290,55,16,,3
Swagger: improve TypeDecoder failure handling,2018-05-31,Merged,1289,39,25,,1
Update Swift 4.2 snapshot,2018-05-30,Merged,1288,2,2,,1
Remove unnecessary function parameters,2018-05-30,Merged,1287,22,130,,3
Update Jazzy documentation,2018-06-01,Merged,1286,"9,832","2,117",,2
Allow Codable success responses with no data,2018-05-30,Merged,1285,79,11,,2
feat: Add optional QueryParams in closure for  get and delete,2018-05-30,Merged,1284,190,2,,2
fix: remove trailing Whitespace,2018-05-30,Merged,1283,168,187,,0
Update KituraContracts to 1.0.0,2018-05-30,Merged,1282,1,1,,1
