Try to fix some issues in backend (Part 2),2020-01-13,Merged,6718,7,14,,6
Try to fix somes issues in backend,2020-01-13,Merged,6717,21,16,,6
Render errors with upload attachments and avatars with J! methods,2020-01-13,Merged,6716,51,86,js ,8
Under uploadmain.js put the ajax request outside of foreach,2020-01-13,Merged,6714,17,0,,1
"When deleting an attachment, you have the error message body empty",2020-01-13,Merged,6713,22,6,js ,5
Do nothing if svgname is empty #6697,2020-01-06,Merged,6712,6,1,,1
Remove call of HTMLHelper::_('behavior.tooltip') which doesn't exist,2020-01-05,Merged,6709,0,25,,25
[K5.1] Attachment reference is not being deleted on remove all #5716,2020-01-05,Merged,6708,6,2,,1
Put karma minus and plus into widgets,2020-01-03,Merged,6705,92,40,,5
Language strings for ranks title aren't present in frontend,2020-01-03,Merged,6704,14,1,php ,2
Missing load some php files for updating in previous kunena 6.0 alpha,2020-01-03,Merged,6703,15,0,,1
Misssing loading php file in update process to update ranks title,2020-01-03,Merged,6701,8,3,php ,2
Fatal error on backend on kunena quickicon plugin,2020-01-03,Merged,6700,17,45,,1
Make ranks title translatable,2020-01-03,Merged,6699,333,105,ini ,3
Remove useless method to check avatar size in Kunena upload,2020-01-02,Merged,6698,17,33,,2
Use namescaped class of JToolbarHelper,2019-12-31,Merged,6691,280,258,,13
When working on Kunena GIT clone let xdebug showing instead tmpl error,2019-12-31,Merged,6690,1,1,,1
[K5.1] Log shows not all actions #6010,2019-12-31,Merged,6689,14,2,,1
Create a function to have code at on place to remove attachment BBCode,2019-12-31,Merged,6688,37,14,,4
[K5.1] Attachment reference is not being deleted #5716 (Part 2),2019-12-31,Merged,6687,28,5,js ,4
Trashbin: Purge or restore topics is not possible #6678,2019-12-30,Merged,6685,6,6,,2
Replacing JHTML by namescaped class,2019-12-30,Merged,6684,6,5,md ,3
Issue in controllers/topic.php with last merge changes from K5.1,2019-12-30,Merged,6683,0,2,,1
[K5.1] Attachment reference is not being deleted #5716,2019-12-30,Merged,6682,21,1,js ,3
[K5.1] Set dev,2019-12-30,Merged,6681,1,1,,1
[K5.1] Allow to install on J!3.10 and remove J!4.0,2019-12-30,Merged,6680,3,5,php ,2
"The button ""Insert all"" creates a single thumbnail #6653",2019-12-29,Merged,6679,1,1,,1
"registered user uses button ""Insert all"" then the thumbs present #6653",2019-12-29,Merged,6677,6,1,,1
Syntax error when delete permanently #6674,2019-12-29,Merged,6676,2,5,,1
Uninstall Kunena: Class 'UsersHelper' not found #6673,2019-12-28,Merged,6675,1,0,,1
Replace remaining usage of Joomla.JText,2019-12-28,Merged,6672,71,71,,2
Error by edit messages with private attachments #6653 (Part 3),2019-12-28,Merged,6671,28,22,php js ,4
Replace remaining usage of JText and replace some of Joomla.JText,2019-12-28,Merged,6670,82,80,php ,5
Error by edit messages with private attachments #6653 (Part 2),2019-12-28,Merged,6669,29,14,js ,6
