Possibility to use another row columns (attributes) in rules,2019-12-13,Closed,2487,6,4,,2
Add Events Import BeforeRead and AfterRead,2019-11-06,Closed,2443,338,27,php ,8
Add Events Import BeforeRead and AfterRead,2019-11-05,Closed,2442,338,24,php ,8
Patch 1,2019-11-04,Closed,2439,"1,700",21,,1
Add brand new logo to the project,2019-10-31,Merged,2435,20,14,png ,1
Do not error when trying to delete nonexistent temp file,2019-11-01,Merged,2434,4,0,,1
Make export object public,2019-10-24,Merged,2422,1,1,,1
Support for Laravel 6 job middleware,2019-10-24,Merged,2420,40,0,,4
Events BeforeImport AfterImport getDelegate(),2019-10-25,Closed,2417,2,2,,2
Limit WithProgressBar output to one per batch,2019-10-24,Merged,2414,11,8,,1
Review the BeforeImport Behaviour + buildSheetImports function review.,2019-10-20,Closed,2411,130,3,,3
Change File Type Detector,2019-10-25,Closed,2404,92,4,,1
Refactor chunked queued exports from queries,2019-10-24,Merged,2402,27,169,php ,4
import file with calculated value from an external file that doesn't exist don't crash,2019-10-10,Merged,2396,40,1,gitignore xls ,4
Update ignored files in .gitattributes,2019-10-10,Merged,2395,1,2,,1
Added `FromGenerator` support,2019-10-11,Merged,2394,65,0,,3
Move beforeImport call up,2019-10-25,Closed,2389,2,2,,1
Cleanup file creation to prevent wrong asserts,2019-10-10,Merged,2378,44,8,,2
[2.1.x] Enabling Laravel 6,2019-09-18,Closed,2374,16,13,php ,4
Add support for WithValidation with OnEachRow,2019-12-24,Merged,2371,80,16,,2
Make installable on Laravel 6,2019-09-04,Merged,2353,1,1,,1
Fix formatting of README,2019-09-04,Merged,2350,1,1,,0
Header slug count,2019-09-16,Closed,2343,8,2,,1
Update composer.json,2019-08-30,Closed,2340,1,2,,1
Change local temporary file readStream method to fix issus with s3,2019-08-21,Closed,2325,1,1,,1
Assert filepath by regex,2019-07-16,Merged,2279,82,4,,3
Bugfix/remove support for import line ending,2019-06-21,Merged,2261,3,4,,1
Ensure that opis always has the same security provider,2019-06-19,Merged,2257,18,1,php ,3
4,2019-06-18,Closed,2256,763,764,php ,34
Add original file extension to temporary filename,2019-06-19,Merged,2224,49,7,gitignore csv ,5
fix spacing,2019-05-29,Merged,2213,4,4,,1
Feat queue view export,2019-06-19,Merged,2203,216,3,,5
Fix blank sheets from queue export (#1795),2019-05-08,Closed,2179,1,1,,1
Update PHP documentation of Excel facade to match the Maatwebsite\Excel\Excel class methods,2019-04-27,Merged,2178,3,3,,1
"Only open file in read-mode, because it's only going to be read.",2019-04-25,Merged,2175,2,2,,1
Make download headers customizable,2019-04-17,Merged,2162,33,6,,5
Fix storeExcel withHeading macro option,2019-04-15,Merged,2148,26,1,,2
Add setting for cell caching + implemented a batch caching,2019-03-07,Merged,2084,939,81,,3
Closure RowValidation,2019-02-23,Closed,2074,"3,524",427,yml json php ,5
Shared disk,2019-02-25,Closed,2073,"1,064",717,,3
Change address,2019-02-22,Merged,2067,3,3,,0
Change address,2019-02-22,Merged,2066,2,2,,0
Change address,2019-02-22,Merged,2065,3,3,,0
Add support for remote temp file location for queued chunk reading,2019-02-22,Merged,2063,382,148,,5
Allow passing of options to disk,2019-02-20,Merged,2060,20,14,,4
Handle array of array returned from map function for queued exports,2019-02-14,Merged,2038,121,2,,3
Import events with chunk reading,2019-04-25,Closed,2027,299,1,,8
Check if row is array of array then add data accordingly. My case is …,2019-02-14,Closed,2026,7,1,,1
Updated support for version 3.0 on readme,2019-01-30,Merged,2023,1,1,,0
Skips on failure,2019-01-30,Merged,2014,357,42,,6
Serialized quey eager loads,2019-01-25,Merged,2013,208,9,gitignore xlsx ,11
This should fix #1904 - do not try to execute chunkRead job if spreadsh…,2019-01-25,Merged,2010,6,0,,1
Add support for fake file to accept an UploadedFile object;,2019-01-25,Merged,2008,16,8,,1
add exception for cases where a file extension is provided which is n…,2019-01-21,Closed,2005,52,1,,3
Link to docs on com domain 21,2019-02-14,Closed,1950,"2,424","2,129",php ,2
LE-21 Change laravel-excel.maatwebsite.nl to laravel-excel.maatwebsit…,2019-02-14,Closed,1949,13,13,yml ,1
LE-21 Change laravel-excel.maatwebsite.nl to laravel-excel.maatwebsit…,2019-02-14,Closed,1948,15,15,yml ,1
Don't alter the fetchMode,2019-01-21,Merged,1925,0,6,,1
Fix heading not being exported when using  queue,2019-01-25,Closed,1922,5,2,,1
allow type to be null,2019-01-25,Merged,1909,10,2,,2
Made conditional sheets import possible,2019-01-30,Closed,1892,22,21,,12
Fixed formulas calculation when reading files and using toArray or to…,2018-11-12,Merged,1884,7,4,,1
Fix typo in ImportMakeCommand.php,2018-11-07,Merged,1877,2,2,,1
TmpFile must have ext for tsv or more.,2019-01-30,Closed,1874,9,3,,1
Add export disable formula pre-calculation support (fix #1803),2018-11-01,Merged,1866,10,0,,2
"Add ""afterImport"" event to events.",2018-11-01,Merged,1855,82,3,,5
Make database transaction optional,2018-10-22,Closed,1846,104,16,,3
set ValueBinder in ReadChunk as needed,2018-10-14,Merged,1831,10,4,,2
Add WithValidation Concern,2018-11-01,Merged,1830,827,67,,8
Start the progress bar from $startRow,2018-10-12,Closed,1829,1,0,,1
Specify versions for Illuminate/Support,2018-10-03,Merged,1815,1,1,,1
Fixed typo,2018-10-03,Merged,1814,1,1,,0
Update README.md,2018-10-03,Merged,1813,2,2,,0
Update README.md,2018-09-20,Merged,1798,1,1,,0
added ExtractHeadings concern,2018-09-26,Merged,1797,99,5,gitignore xlsx ,8
Fix for export class path,2018-09-08,Merged,1784,1,1,,0
Allow Laravel 5.7.x releases,2018-09-04,Merged,1780,4,4,,1
Fix: NonEnglish garbled,2018-08-29,Merged,1774,7,1,,1
use setDefaultValueBinder,2018-09-11,Merged,1755,11,1,,1
WithCustomValueBinder  and MapsCsvSettings,2018-08-07,Merged,1750,172,48,,6
Develop,2018-08-06,Closed,1749,797,46,php ,1
update phpdoc block to avoid phpstan error,2018-08-05,Merged,1732,1,1,,1
Update sheet-properties.md (#1),2018-07-10,Merged,1719,6,4,,0
Handle array of array returned from map function. This is usefull for…,2018-07-05,Merged,1711,5,1,,1
Modify doc export macroable example text for better understanding,2018-06-26,Merged,1702,10,4,,0
Update extending.md,2018-06-07,Merged,1692,1,1,,0
New concern with count,2018-06-12,Merged,1682,243,8,json md php ,10
change database testing to sqlite,2018-05-25,Closed,1670,4,12,php ,2
Added Auto size documentation,2018-05-24,Merged,1660,15,0,,0
2.1,2018-05-09,Merged,1656,29,9,,2
Improve doc examples adding namespaces,2018-05-03,Merged,1648,82,1,,0
Set filename for the demo,2018-04-23,Merged,1632,1,1,,0
Update installation.md,2018-04-07,Merged,1604,2,2,,0
Add WithStrictNullComparisons Concern,2018-04-05,Merged,1600,82,5,php ,4
Added missing bracket close to documentation,2018-04-04,Merged,1599,2,2,,0
Adding withHeadings to DownloadCollection and StoreCollection,2018-04-03,Merged,1593,146,6,,4
Fix csv.use_bom option doesn't take effect,2018-03-29,Merged,1592,1,0,,1
[WIP] Fix Multiple Sheet Exports With Views,2018-04-03,Merged,1590,204,1,,4
Edited documentation file extending.md,2018-03-27,Closed,1587,2,2,,0
Edited documentation and Github templates for typos and grammar.,2018-03-23,Merged,1578,59,51,,0
Laravel 5.5,2018-03-18,Merged,1572,33,34,md json php ,3
Small updates to installation.md,2018-03-16,Merged,1568,3,3,,0
Link on Contributing page,2018-03-14,Merged,1564,3,3,,0
Documentation improvements for 3.0,2018-03-14,Merged,1563,19,19,,0
fix type hinting,2018-03-09,Merged,1558,1,1,,1
modified assertions to allow for a user supplied callback,2018-03-09,Merged,1557,192,44,,4
Added ability to fake excel,2018-03-08,Merged,1555,84,6,,6
ChunkedReadJob memory leak issue fix,2018-03-05,Merged,1545,1,1,,1
Fixed typehint of object to generic,2018-02-27,Merged,1542,8,8,,3
Using namespace to identify class inside facade,2018-02-08,Closed,1520,2,2,,1
Update composer.json,2018-02-17,Closed,1517,1,1,,1
phpexcel is deprecated Issue #1509,2018-02-17,Closed,1510,"1,313","1,196",,1
change de phpexcel a phpspreadsheet,2018-01-30,Closed,1507,575,583,php ,4
adding header not on first line,2018-01-30,Merged,1502,26,1,,2
Simplify returns,2018-01-30,Merged,1491,3,6,,2
fix for bug where count is used without variable being countable: #1465,2018-01-10,Merged,1469,1,1,,1
Fix for bug where count is used without variable being countable: #1465,2018-01-10,Merged,1468,1,1,,1
bugfix/ioc-container-bindings,2017-12-19,Merged,1462,4,2,,1
Support for file streams,2017-12-19,Merged,1461,1,1,,1
trim & lower before md5() will be better,2017-12-15,Merged,1458,5,1,,2
Refactoring tests,2017-12-08,Merged,1454,49,49,,12
remove duplicate style when merge cell,2018-02-25,Closed,1453,1,12,,1
Test against PHP 7.2,2017-12-08,Merged,1448,1,0,,1
Adds array to return type,2017-12-08,Merged,1445,1,1,,1
Issue when version of laravel are less than 5.2,2018-02-05,Closed,1439,16,9,,1
none,2017-11-13,Closed,1428,9,1,,1
Changes to Document L5.5 Auto-Discovery,2017-11-15,Merged,1419,4,2,,0
Updated to Mockery 1,2017-11-15,Merged,1418,1,1,,1
Update phpoffice/phpexcel deps to upper version,2017-10-20,Merged,1390,1,1,,1
Make sheet() function accept any callable not just functions,2017-10-10,Merged,1388,1,1,,1
Fixed the typo for the return-type of `ignoreEmpty` method in the ann…,2017-09-30,Merged,1380,1,1,,1
Add export macro to collection,2017-09-19,Merged,1351,11,0,,1
Fix $sheet->with(['foo' => 'bar']) not passing data to view,2017-09-19,Merged,1344,20,0,,3
Fix frequently error due to value starting with equal sign,2017-08-31,Closed,1318,7,1,,1
Update installation.md,2017-08-16,Merged,1314,2,2,,0
Update config.md,2017-08-16,Merged,1313,1,1,,0
typo,2017-08-16,Merged,1310,1,1,,1
Adding ext-zip to requirements,2017-07-26,Merged,1290,1,0,,1
Adding orchestral/testbench 3.2/3.3/3.4/3.5 versions,2017-07-26,Merged,1289,1,1,,1
$cell->setUrl($url);,2017-07-26,Merged,1288,31,16,,1
Add delimiter as 4th parameter for chunk method,2018-02-25,Closed,1284,10,2,,1
