Folders,2019-12-03,Closed,1853,23,9,xml java ,3
Folders,2019-12-03,Closed,1852,23,9,xml java ,3
Apps in the drawer,2019-12-03,Closed,1851,23,9,xml java ,3
New Crowdin translations,2019-12-04,Closed,1843,"1,346",185,,6
Make links reach proper destinations on README,2019-12-02,Merged,1835,4,2,,0
Till copy-pasted https:// twice,2019-12-02,Merged,1834,1,1,,1
Fix alignment of app drawer folders when multiline app names enabled,2019-12-02,Merged,1833,18,6,java ,2
New Crowdin translations,2019-11-30,Closed,1831,"12,496","17,239",xml ,39
New Crowdin translations,2019-11-26,Closed,1815,374,198,,4
Fix weather icon issue of Oneplus weather provider,2019-10-14,Closed,1778,3,2,,1
Fix weather icon issue of Oneplus weather provider,2019-10-14,Closed,1777,3,2,,1
Update README regarding building,2019-10-09,Merged,1771,5,2,,0
Replace undo snackbar with a better one,2019-10-09,Merged,1770,413,321,kt java ,11
Update smartspace style,2019-10-09,Merged,1769,42,59,kt ,5
Allow restoring backups from external apps using intents.,2019-10-06,Closed,1766,698,6,md ,3
New Crowdin translations,2019-11-12,Closed,1735,"1,016",254,,3
AbstractStateChangeTouchController: Do NULL check in updateProgress(),2019-09-06,Closed,1728,3,1,,1
Add option to hide the clock from the status bar when in the home screen,2019-07-26,Closed,1676,278,29,kt java ,9
"launcher3, lawnchair, quickstep: add immersive desktop option to hide status bar on desktop",2019-07-23,Closed,1667,15,0,xml ,4
Weather.com smartspace provider,2019-07-22,Closed,1661,719,115,gradle kt ,8
New Crowdin translations,2019-09-06,Closed,1649,430,304,,10
New Crowdin translations,2019-07-12,Closed,1644,"1,059",149,,3
New Crowdin translations,2019-07-09,Closed,1641,138,41,,3
Add Yahoo as a web search provider,2019-07-09,Closed,1639,58,1,xml ,4
New Crowdin translations,2019-07-09,Closed,1634,"4,946",445,,1
Use topjohnwu's libsu instead of libsuperuser,2019-07-09,Closed,1624,11,12,kt ,2
[WIP] Librechair features merge #1,2019-07-26,Closed,1620,1,0,,1
Raise icon size limits to 200%,2019-07-03,Closed,1616,4,4,,2
Update librootjava to 1.3.0,2019-07-03,Closed,1615,1,1,,1
Add gesture action that opens recents using the accessibility service,2019-11-17,Closed,1605,115,7,kt java ,10
Add support for Firefox Focus and Firefox Preview (Fenix),2019-07-05,Closed,1587,4,1,,1
New Crowdin translations,2019-07-05,Closed,1585,"4,084",394,,1
New Crowdin translations,2019-06-11,Closed,1574,989,239,,5
Mkp,2019-05-25,Closed,1566,"4,629","8,324",mk xml ,4
New Crowdin translations,2019-05-31,Closed,1555,"2,946",934,,3
Add support for Fennec F-Droid as search provider,2019-05-13,Closed,1550,1,0,,1
Extend Firefox search provider to work with fennec_fdroid,2019-05-13,Closed,1529,2,1,,1
New Crowdin translations,2019-05-13,Closed,1522,"2,791",864,,2
New Crowdin translations,2019-04-20,Closed,1520,"3,574",341,,1
New Crowdin translations,2019-04-20,Closed,1512,"7,258",994,,4
New Crowdin translations,2019-04-18,Closed,1509,"2,986",431,,3
Minor improvements to README.md,2019-05-13,Closed,1502,8,4,yml ,1
New Crowdin translations,2019-04-17,Closed,1499,"8,636",2,xml ,4
Added Simplified Chinese translation,2019-04-14,Closed,1496,259,5,,2
Add Edge search to Lawnchair,2019-04-17,Closed,1490,72,1,kt ,4
SystemShortcut: Add uninstall option,2019-07-06,Closed,1488,41,1,,2
Fix multiline labels not truncating when >2 lines,2019-04-17,Closed,1483,1,0,,1
update as of 4-8-19,2019-04-08,Closed,1476,"112,673","90,038",md gitignore mk ,4
Fix multiline labels in folders,2019-04-08,Closed,1465,3,1,,1
Fix section sorting issue on some devices with Simplified Chinese locale,2018-11-18,Merged,1395,3,1,,1
Typo: Unescaped ',2018-10-14,Merged,1384,2,2,,2
fix possessive typo,2018-07-31,Merged,1331,1,1,,0
New Crowdin translations,2018-07-21,Merged,1318,535,116,,2
add new strings.xml pt-rBR,2018-07-20,Closed,1314,413,499,,0
New Crowdin translations,2018-07-19,Merged,1311,517,258,,5
TAP TAP to lock your device!!,2018-07-19,Merged,1310,308,7,java kt ,15
some changeswq,2018-07-08,Closed,1298,4,4,,0
Revert edge glow effect and restore damped overscroll,2018-10-09,Merged,1288,109,415,,2
Add shortcut blacklist,2018-06-29,Merged,1287,240,19,kt xml ,13
Fix fc bug in #1266 when tapping on date widget,2018-06-28,Merged,1286,14,3,xml ,2
Remove changelog,2018-06-28,Merged,1285,6,63,java xml ,6
Add link to Donut Donation to README.md,2018-06-28,Merged,1278,1,1,,0
Fixes #1266: Launcher Crashes on Date Click,2018-06-28,Closed,1274,14,2,xml ,2
Fixed Issue #1266,2018-06-28,Closed,1267,17,2,xml ,2
Feedly Api,2018-06-12,Closed,1263,"80,006","53,034",gitignore mk xml ,4
Fix #1259,2018-06-13,Merged,1260,26,1,,2
Removed drag_handle from deep_shortcut layout,2018-06-28,Closed,1258,0,1,,1
New Crowdin translations,2018-06-09,Merged,1256,12,0,,1
New Crowdin translations,2018-06-09,Merged,1255,"1,268",638,,6
New Crowdin translations,2018-06-06,Merged,1249,738,439,,6
Fix bottom padding when two rows dock is enabled,2018-05-22,Merged,1246,1,1,,1
Adaptive folder preview,2018-05-18,Merged,1244,85,32,,2
Fix backup ui to be consistent with the rest of settings,2018-05-13,Merged,1240,6,0,,1
Support Oreo's new shortcut pinning API,2018-05-18,Merged,1239,561,36,java ,6
ptBR update,2018-05-13,Closed,1234,575,470,,0
"Always assume that an app could be on the sd card, fixes  #507",2018-06-07,Merged,1232,2,1,,1
fix icon space in dock part -2,2018-05-13,Closed,1229,1,1,,1
fix icon space in dock part -1,2018-05-13,Closed,1228,1,1,,1
Adding permission improves by asking with little intro,2018-05-22,Closed,1219,312,57,xml java ,5
New about ui,2018-05-08,Merged,1214,"2,517",108,java xml ,5
Improve UI of searchBar,2018-04-11,Merged,1207,5,0,,1
New Crowdin translations,2018-03-29,Merged,1196,862,2,,3
Settings menu enhancements,2018-04-04,Merged,1194,256,210,,3
Bring dock arrow to bottom when hidden dock (Fix #1182),2018-03-28,Merged,1193,2,2,xml ,2
Add legacy backup support,2018-03-28,Merged,1192,92,22,kt xml ,6
Use Pixel Launcher animation speeds,2018-03-29,Merged,1189,8,8,,1
Fix crashes reported in the Google Play Console,2018-03-26,Merged,1188,43,24,java xml ,6
Don't override custom icons on abort (Fix #1185),2018-03-26,Merged,1187,9,4,,2
PopupContainer used the wrong inflater (Fix #1178),2018-03-26,Merged,1186,1,1,,1
Apply hidden apps filter on item select,2018-03-26,Closed,1179,16,504,png ,43
New Crowdin translations,2018-03-24,Merged,1177,166,259,,4
Allow using system fonts for icon labels,2018-03-24,Merged,1176,22,0,kt xml ,9
Categorize desktop preferences,2018-03-24,Merged,1175,135,119,,3
"Bye Winter, hello Spring!",2018-03-24,Merged,1174,0,484,kt ,9
Allow selective icons for Calendar (Fix #1133),2018-03-23,Merged,1173,5,1,,2
Fix Popup related bugs,2018-03-24,Merged,1172,84,75,,3
Weather improvements [WIP],2018-03-24,Merged,1171,65,29,kt ,6
Backport backup ui from v2,2018-03-24,Merged,1170,"1,750",4,xml java kt ,5
New Crowdin translations,2018-03-15,Merged,1168,97,57,,13
Fix up strings,2018-03-15,Merged,1167,9,7,,2
New Crowdin translations,2018-03-12,Merged,1165,15,13,,2
Allow resizing any widget,2018-03-26,Merged,1162,6,23,,2
Properly handle storage permission on 8.1+,2018-03-01,Merged,1159,50,2,kt xml ,7
New Crowdin translations,2018-03-01,Merged,1158,111,62,,14
F-Droid build flavor (WIP),2018-06-28,Closed,1157,54,25,kt java xml ,9
Prepare Drone CI to deploy to Telegram,2018-02-25,Merged,1155,6,1,,1
Prepare and fix changelog for Drone CI,2018-02-25,Merged,1154,19,16,gradle ,3
Update README.md,2018-02-23,Merged,1151,4,1,,0
Utils improvement,2018-02-24,Merged,1150,12,20,gradle properties ,3
Properly handle storage permission on 8.1+,2018-02-25,Merged,1145,46,2,kt xml ,7
New Crowdin translations,2018-02-06,Merged,1139,299,294,,4
Small annoying bugfixes,2018-02-06,Merged,1137,10,1,xml ,3
"Fix ""Lawnfeed outdated"" popup in #1104",2018-01-21,Merged,1124,48,46,kt ,4
Add possibility to configure dock opacity,2018-02-04,Merged,1120,32,0,kt xml ,7
Double tap to sleep and wake,2018-01-18,Closed,1118,"13,548","24,774",LICENSE md gradle java kt ,10
New Crowdin translations,2018-01-03,Merged,1107,867,6,,7
New Crowdin translations,2017-12-27,Merged,1090,421,651,,4
Update blacklisted packages,2017-12-22,Merged,1089,7,4,,1
New Crowdin translations,2017-12-22,Merged,1088,582,214,,6
Answering the call of duty,2017-12-15,Closed,1033,570,161,,5
New Crowdin translations,2017-12-15,Merged,1032,119,75,,4
New Crowdin translations,2017-12-15,Merged,1031,276,65,,3
New Crowdin translations,2017-12-14,Merged,1004,201,47,,11
New Crowdin translations,2017-12-11,Closed,1003,"11,606","23,994",,1
#MoarSnow,2017-12-08,Merged,992,148,66,gradle java kt xml ,19
Add back two Lawnfeed strings which are still called from code,2017-12-07,Merged,989,3,0,,1
New Crowdin translations,2017-12-07,Merged,988,"11,538","23,975",,1
Snow,2017-12-06,Merged,984,405,1,kt ,10
Revert Lawnfeed popup gesture,2017-12-05,Merged,981,13,95,kt xml ,8
New Crowdin translations,2017-12-04,Merged,979,139,49,,9
merge,2017-11-30,Merged,973,"1,553",659,xml java png ,10
Backport 8.1 Fastscroller [WIP],2017-12-06,Closed,972,588,"1,047",,1
Detect pirate app store,2017-11-22,Closed,964,1,0,,1
Prevent updater request flood by reducing checks to every 6h,2017-11-21,Merged,960,79,2,,1
Try to fix Pill widget when Google Now page disabled (WIP),2018-03-23,Merged,959,169,27,java kt ,14
"Revert ""Exit overview mode when clicking on actions""",2017-11-21,Merged,958,0,3,,1
Utilities: Cleanup,2017-11-21,Merged,956,50,40,xml ,2
Utilities: Improve how we detect package state,2017-11-21,Merged,955,4,10,,1
Lawnchair: Support 18:9 displays,2017-11-21,Merged,953,4,0,,1
Utilities: Drop com.android.protips,2017-11-21,Merged,952,1,2,,1
Don't connect Lawnfeed if the version is incompatible (Hotfix),2017-11-21,Merged,950,43,3,kt xml ,6
Exit overview mode when clicking on actions,2017-11-21,Merged,946,3,0,,1
Exit overview mode when clicking on actions,2017-11-20,Closed,943,3,0,,1
New Crowdin translations,2017-11-27,Merged,941,688,365,,3
Fixed issue #740 and #736,2017-11-19,Merged,936,3,2,,2
Less smiles,2017-11-18,Merged,935,1,0,,1
Code Quality + Performance improvements,2017-11-17,Merged,931,367,869,kt ,24
Make application search more user friendly,2017-11-18,Merged,930,17,22,,2
Fix Lawnchair FCs as much as possible,2017-11-17,Merged,929,27,18,kt ,5
Find a better way to restart Lawnchair,2017-11-17,Closed,928,26,5,kt ,4
New Crowdin translations,2017-11-17,Merged,926,309,76,,10
Lawnfeed updater,2017-11-19,Merged,925,624,3,xml java kt ,7
Don't show up Lawnchair in app search results,2017-11-16,Merged,924,4,0,,1
Update app icon for Lawnfeed,2017-11-16,Merged,923,0,0,,16
Add Lawnfeed popup for left swipe gesture,2017-11-16,Merged,922,97,4,kt xml ,7
Fix app hide for edit app dialog,2017-11-15,Merged,921,4,11,,2
drawable: update clock second hand drawable,2017-11-10,Merged,910,0,0,,5
strings: 'Change icon shape' -> 'Icon shape',2017-11-10,Merged,909,1,1,,1
New Crowdin translations,2017-11-09,Merged,907,204,193,,3
Remove fucking piracy check,2017-11-09,Closed,905,0,55,kt xml ,3
dynamic status bar gradient #fixderps,2017-11-21,Closed,904,57,24,kt xml ,10
Let's give freedom to everyone!,2017-11-05,Merged,902,55,35,kt xml ,4
#MakeLawnchairGreatAgain,2017-11-05,Closed,901,2,27,,1
Improved app-hiding,2017-11-11,Merged,899,339,11,java kt ,13
