Add ability to sort value on a graph,2019-12-13,Closed,1024,24,5,cs ,2
Fix #696: Dragging outside chart should stop the drag,2019-08-01,Closed,978,5,0,,1
Fix #696: Dragging outside chart should stop the drag,2019-08-01,Closed,977,1,0,,1
Fixed bug fill and stroke of RowPointView in StackedRowSeries.cs,2018-09-06,Merged,848,6,0,,2
Update README.md,2018-07-06,Merged,824,6,6,,0
652 financial coloring rules broken,2017-10-28,Merged,653,36,28,,2
648 axissection label not cleared,2017-10-28,Merged,649,3,2,,1
Added ability to group stack series graphs.,2017-10-28,Merged,595,683,229,csproj ,7
updated assembly verison,2017-06-20,Merged,583,8,8,,4
updated core portable,2017-06-20,Merged,582,10,5,,2
097 release,2017-06-20,Merged,581,"1,729",183,csproj ,7
Update MapResolver.cs,2017-06-19,Merged,579,1,7,,1
Fixed typo in error message,2017-06-15,Merged,578,2,2,,2
Changed one line in xaml file so basic line example works,2017-10-28,Closed,557,4,4,,1
Fix int overflow for large x values (e.g. DateTime.Ticks) #534,2017-06-11,Merged,541,48,38,,6
Develop,2017-04-25,Merged,533,81,72,csproj snk cake ,16
Implemented DisableAnimations property to Gauge,2017-04-23,Merged,529,35,1,,2
Develop,2017-04-17,Merged,526,"2,648",426,,49
Fix broken headings in Markdown files,2017-04-16,Merged,525,2,2,,0
"typo fix: PointForeround -> PointForeground, other fixes",2017-04-23,Closed,522,79,79,xaml resx csproj ,27
Develop,2017-04-08,Merged,519,"1,604",303,csproj ,11
Typo fix: PointForeround to PointForeground,2017-04-03,Merged,512,7,7,,1
remove non-existent project,2017-03-13,Merged,496,0,4,,1
complement to #471,2017-03-13,Merged,495,26,26,,26
fixes #471 for all the series...,2017-03-12,Merged,494,47,47,,25
updated assembly version,2017-03-12,Merged,493,8,8,,4
0.9.5 Release,2017-03-12,Merged,492,352,337,,2
0.9.4 Release,2017-03-09,Merged,487,"1,216",300,,12
Fixed NullPointerException in case DrawsHeatRange = false,2017-02-28,Merged,477,3,0,,1
Fixed calculation of the color interpolation in WpfView/GeoMap.cs,2017-02-28,Merged,472,1,1,,1
Zooming example update,2017-02-15,Merged,462,32,30,cs ,8
0.9.3 release,2017-02-13,Merged,458,734,138,,11
092 release,2017-02-06,Merged,456,307,228,,10
Some love to PieChart,2017-02-05,Merged,455,818,337,csproj ,9
091 release,2017-02-04,Merged,453,122,341,nuspec sln md csproj ,11
"Smarter zoom, more control over panning, and fixes",2017-02-02,Merged,450,"1,522",718,csproj nuspec ,7
Updated gauge examples for web site,2017-01-17,Merged,442,200,515,cs csproj ,7
0.9 release,2017-01-17,Merged,441,"1,798",308,csproj ,8
A Flexible default tooltip,2017-01-11,Merged,439,315,140,csproj xaml ,7
Rusanov vladimir master,2017-01-11,Merged,436,28,0,,2
Fixing a couple of visual issues,2017-01-11,Merged,435,448,195,,3
"Clearing old axes before setting new ones, #432",2017-01-11,Merged,433,13,0,,1
fix exceptions.,2017-01-08,Closed,430,48,15,,2
Develop,2017-01-01,Merged,428,92,107,cs csproj sln cake ,10
081 release,2016-12-22,Merged,424,90,86,,11
Fixing reported issues,2016-12-22,Merged,423,82,40,,12
"fixe case when from, to and value are 0",2016-12-21,Merged,421,5,0,,1
Added Sydney longitude and latitude co-ords,2016-12-21,Closed,419,1,0,,1
Fixing multiple issues,2016-12-20,Merged,417,218,118,,16
Add DataHover event based on DataClick event.,2016-12-20,Merged,416,73,0,,6
