Parsing & displaying the log entry's context,2020-01-09,Merged,319,119,18,,4
Adding PHP 7.4 support,2019-12-01,Merged,317,27,17,php ,5
Parse and display context in log viewer,2020-01-09,Closed,313,55,2,,2
Completing the `hu` translation with google translate :),2019-10-25,Merged,310,1,1,,1
Add Malay Translation,2019-10-24,Merged,309,22,1,php ,3
Minor updates,2019-10-22,Merged,308,9,5,php ,3
Allow for case insensitive search query,2019-10-22,Merged,307,48,2,,2
Fix LogViewer's version,2019-10-19,Merged,304,1,1,,1
Escape query input to prevent XSS,2019-10-15,Merged,302,4,4,,2
fixing service provider error when running phpunit,2019-10-05,Closed,300,3,2,php ,2
Defer properly the services + cleaning,2019-10-03,Merged,299,19,26,php ,5
Fixing the deferred provider,2019-10-03,Merged,298,38,55,,5
Defer the service provider,2019-10-02,Merged,296,6,4,,2
Updating the package,2019-10-02,Merged,295,61,265,json php ,6
"Updating Controller, views and utilities classes",2019-09-25,Merged,294,92,86,,16
Fixing last changes,2019-09-14,Merged,293,2,2,,1
Update LogViewerController@search to be able to match multiple words in query,2019-09-14,Merged,292,26,2,,2
"[4.2] Fixing the log checker, compact() error and other stuff",2019-09-12,Merged,289,24,25,yml json dist php ,7
[4.3] Fixing the log checker and compact() error,2019-09-12,Merged,288,69,49,yml json php ,7
[4.4] Fixing the log checker,2019-09-12,Merged,287,16,14,yml json php ,6
[4.5] Fixing the log checker,2019-09-12,Merged,286,15,13,json php ,5
[4.6] Fixing the log checker,2019-09-12,Merged,285,16,15,json php ,5
[4.7] Fixing the log checker,2019-09-12,Merged,284,15,14,json php ,5
[5.0] Fixing the log checker,2019-09-12,Merged,283,11,11,php ,3
Adding Laravel 6.0 support,2019-09-04,Merged,280,51,56,md json php ,9
Very basic usage,2019-07-04,Merged,276,3,0,,0
Added Ukrainian Translation,2019-06-19,Merged,275,47,1,php ,3
README fix for PHP 7.3 installations,2019-04-25,Merged,274,1,1,,0
"Revert ""parsing all files instead of only predefined filenames""",2019-04-18,Merged,273,48,652,dist ,8
Feature/parse all files,2019-04-18,Merged,272,652,48,dist ,8
parsing all files instead of only predefined filenames,2019-04-18,Merged,271,652,48,dist ,8
Using the file name pattern from the filesystem (configurable),2019-04-13,Merged,270,2,2,,1
Feature/all files,2019-04-13,Closed,269,24,20,,7
Update LogViewerController.php,2019-03-26,Merged,266,1,1,,1
bugfix determine the level of the log record,2019-03-28,Merged,262,1,1,,1
Add version instruction to composer command,2019-02-28,Merged,260,2,1,,0
Update to support laravel 5.8,2019-02-27,Merged,259,66,83,json php ,15
Clear all logs using the `log-viewer:clear` command,2018-12-04,Merged,251,186,7,php ,12
Update README.md,2018-10-28,Merged,249,1,1,,0
Adding the results count for the search form,2018-10-24,Merged,248,2,2,,2
Translate the whole log viewer,2019-02-28,Closed,247,300,105,,14
[4.4] Fixing the compact issue with missing variables,2018-10-16,Merged,245,58,39,,3
[4.5] Fixing the compact issue with missing variables,2018-10-16,Merged,244,71,46,php ,5
Fixing the compact issue with missing variables,2018-10-16,Merged,243,70,44,,4
Fix bugs created in #153,2018-10-16,Closed,242,5,5,,3
Create yo 404s,2018-09-24,Closed,237,1,0,404s ,1
Adding Laravel 5.7 Support,2018-09-04,Merged,231,16,24,dist php ,5
Fixing the Log Levels translations,2018-07-19,Merged,223,4,12,,3
Fix small typo in LogChecker,2018-05-23,Merged,213,1,1,,1
updated readme with new log-viewer:clear command,2018-05-08,Merged,210,5,0,,0
Feature clear all logs command,2018-04-26,Merged,207,158,5,php ,8
ENV config for Laravel 5.5 and below,2018-04-19,Merged,205,6,0,,0
Added Romanian Translation,2018-04-14,Merged,204,1,1,,1
[Fix #198] Fixing the pagination Base URL,2018-03-05,Merged,199,10,20,json php ,3
Add type key,2018-02-24,Closed,196,1,0,,1
Quick fix for the new `logging` config file,2018-02-08,Merged,190,9,23,dist php ,4
Updating the package to support Laravel 5.6,2018-02-08,Merged,189,"1,991","1,141",md json php dist ,8
Updating Travis CI and Scrutinizer config files,2018-02-07,Merged,188,3,4,,2
Fixed typo in requirements check message,2018-01-04,Merged,184,1,1,,1
Add except level of configuration support,2017-11-22,Closed,182,13,1,,2
Adding Twitter Bootstrap V4 Support,2018-02-08,Merged,173,"1,099",376,,6
Updating the tests,2017-09-20,Merged,172,63,70,json php ,4
"""Themed"" view templates, including Bootstrap 4",2017-09-25,Merged,170,728,1,,16
Updating the package for Laravel 5.5,2017-08-31,Merged,166,110,25,md json php ,6
Translate all,2017-08-06,Merged,158,723,109,,11
Missing translation,2017-08-06,Merged,157,709,99,,11
GLOB_BRACE fix for Alpine Linux,2017-07-27,Closed,156,1,1,,1
Create CODE_OF_CONDUCT.md,2017-07-15,Merged,155,59,12,md ,1
[5.4] Merge lastest features to master,2017-08-31,Merged,154,60,10,,3
Prettify the last feature,2017-07-08,Merged,153,60,46,,3
[Front] Add search support (only the entry's header),2017-07-08,Merged,152,46,10,,2
support locale setting by env file,2017-06-13,Closed,148,8,3,,2
[L5.5] Support Auto-Discovery,2017-06-11,Merged,147,5,0,,1
Fix undefined constant GLOB_BRACE on Alpine Linux,2017-06-05,Merged,146,5,0,,1
Add Japanese translations,2017-06-04,Merged,145,28,7,php ,4
Updating the package,2017-05-29,Merged,144,498,375,yml md json php dist ,9
Add localization for Indonesia,2017-05-28,Merged,143,21,1,,3
Make stack trace more readable,2017-05-18,Merged,141,63,4,,7
Fix pt-BR translation,2017-05-10,Merged,140,1,1,,1
Update general.php,2017-04-23,Merged,138,1,1,,1
logviewer's middleware can now be controlled using .env file,2017-04-07,Merged,133,14,3,php ,1
Complete pl translation,2017-03-20,Merged,132,1,1,,1
Updating the LogViewer package,2017-02-09,Merged,129,107,135,php ,12
Cleaning the package for Laravel 5.4 projects,2017-01-31,Merged,128,99,92,php ,17
Update lang/es/general.php,2017-01-31,Merged,127,1,1,,1
[4.3] Fixing the dependencies for dev env (testing),2017-01-27,Merged,126,2,2,json ,2
Adding Laravel 5.4 Support,2017-01-27,Merged,125,22,15,md json php ,5
Updating service providers,2016-12-19,Merged,118,48,68,php ,6
Translate logviewer::general.empty-logs to zh-TW,2016-11-27,Merged,116,1,1,,1
Fixing the tests on PHP 7.0,2016-12-07,Closed,115,1,1,,1
Patch the log entry stack,2016-11-23,Merged,114,17,1,,3
