Restart game,2020-01-02,Closed,1353,"2,376","1,293",c h ,5
rosilina: save errdisp info before doing anything else,2019-11-05,Merged,1332,11,5,,1
Add ability to offset ntp by any amount of minutes,2019-11-05,Merged,1320,6,3,,1
rosalina/errdisp: Correct uninitialized variable usage in ERRF_HandleCommands,2019-11-05,Merged,1308,1,1,,1
sm/notifications: Prevent potential null pointer dereference in ReceiveNotification,2019-11-05,Merged,1307,1,1,,1
rosalina/gdb/server: Prevent potential null dereference case,2019-11-05,Merged,1306,1,1,,1
Fix off-by-one error with extra cheat page,2019-08-12,Merged,1305,6,6,,1
add wifi connection forcing to rosalina,2019-11-05,Merged,1298,119,1,c ,3
loader: Fix boolean logic error,2019-07-08,Merged,1287,1,1,,1
Improved Font Code on the Luma Configuration Menu,2019-07-28,Closed,1286,"3,115",155,,1
Merge 10.0.1,2019-07-06,Closed,1285,"2,728",202,gitignore Makefile arm11/Makefile arm9/Makefile c h bat py k11_extension/Makefile ,12
Always show IP address on rosalina menu,2019-07-05,Closed,1282,4,2,,1
RAM data in real time,2019-07-01,Closed,1278,"2,716",96,k11_extension/Makefile h ,7
Properly create BLX instruction,2019-06-29,Merged,1266,9,3,,1
Use bitflags,2019-06-28,Merged,1264,2,2,,1
Add NTP_IP dynamic changes via -D or #define,2019-06-03,Merged,1261,6,2,,1
CTRPF-AR Codes,2019-06-02,Merged,1259,875,146,,0
"-Werror turns warnings into errors, and doesn't compile",2019-04-29,Closed,1251,1,1,,1
Remove cheat file buffer and use buffered reading,2019-04-23,Merged,1246,124,57,,1
IFile: Fix reading past the end of file,2019-04-23,Merged,1245,1,1,,1
Improve cheat execution parameters and handle CRLF properly,2019-04-23,Merged,1243,17,35,,1
Updates to credits and consistency fix,2019-04-04,Closed,1234,4,2,,2
Updated credits and options menu consistency,2019-03-24,Closed,1233,4,2,,2
removing -flto flag,2018-12-13,Closed,1209,2,2,k11_extension/Makefile ,2
Taking advantage of GitHubs new issue templates.,2019-06-28,Merged,1194,5,0,,0
Update README.md,2019-02-02,Closed,1190,1,1,,0
Added Patch to Process9 11.8 to the new AMPXI function,2018-09-20,Merged,1142,26,0,h ,3
added possible implementation of update blocking and built-in regionfree,2018-08-30,Closed,1132,39,0,,4
Fixed cheat functionality,2018-08-09,Merged,1117,9,11,c ,3
Fixed cheat functionality,2018-08-07,Merged,1116,3,1,,1
"socAccept: Fix an omitted comment, which masked a condition",2018-07-05,Merged,1100,1,1,,1
Remove AUR package from prebuilds.,2018-05-28,Merged,1088,1,1,,0
Fix GPU_PSC1_CNT address,2018-05-20,Merged,1086,1,1,,1
Removed links to compiled armips and makerom,2018-05-22,Merged,1084,1,1,,0
Implemented Kasai07's features and improved stability.,2018-05-04,Closed,1077,"9,482","8,262",h exceptions/arm9/Makefile ld s c ,10
Fix KProcessHandleTable__ToKThread on latest fw,2018-04-26,Merged,1069,2,1,,1
Implement blue light filters,2019-02-21,Merged,1065,827,6,h rsf c ,10
update copyright date,2018-04-05,Closed,1059,1,1,,1
minor rewording,2018-04-05,Closed,1056,4,4,,1
Update links to the Plailect's Guide,2018-04-05,Merged,1054,2,2,,0
Implement #940,2018-03-03,Merged,1043,18,7,,1
InputRedirection: fix freeze and improve stability,2018-04-15,Closed,1013,157,70,c ,6
Rosalina: fix freeze when attempting to open Rosalina before the syst…,2018-01-19,Merged,1012,13,4,,1
sock_util: remove unneeded check,2018-01-19,Merged,1011,20,23,,1
InputRedirection: check service existence instead of using OpenProcessByName,2018-01-19,Merged,1010,10,10,,1
gdb: new getmemregions command,2018-01-19,Merged,1009,80,0,c ,2
svcControlService: fix error code on timeout,2018-01-19,Closed,1007,1,1,,1
Gateshark cheats support,2018-03-20,Merged,1000,"1,350",1,h c ,5
Update MCU::HWC functions with latest changes from ctrulib,2018-01-01,Merged,995,3,3,,2
Implement #989: Add configurable splash duration,2017-12-29,Merged,991,15,2,c ,5
"fix mistake, processes viewed were attached even if debugger was off",2017-12-18,Merged,972,3,0,,1
Fixes issue #680,2018-02-07,Closed,971,24,1,c ,3
Screencap improvements and old forks,2017-12-18,Closed,964,"1,407",95,h ,2
Screencap changes,2017-12-15,Closed,963,144,132,c ,10
Brightness like ntr,2017-12-14,Closed,962,318,1,c ,4
Switch to APT_ResetHardwareAsync() for reboot (Closes #831),2017-11-24,Merged,945,5,3,,2
Custom mapping only available in Unsafe Mode to avoid a Precise Exter…,2017-11-26,Closed,943,60,32,c ,4
Fix the impossibility to set a second watchpoint,2017-11-22,Merged,942,1,1,,1
Synchronize hw watchpoint on all cores,2017-11-22,Closed,939,282,6,c ,4
screenshots use timestamps as name,2017-12-19,Merged,937,42,20,,1
Several ramviewer improvements,2017-12-17,Merged,916,194,30,,1
Added Chainloader,2017-11-01,Closed,913,234,2,h ,6
Support by luma from the bootonce,2017-10-28,Closed,912,"1,481",180,Makefile py c h stackdump ,19
ChainLoader,2017-10-16,Closed,900,"1,266",32,h c ,10
Update README.md,2017-10-02,Merged,878,3,3,,0
Add ram viewer/editor,2017-10-24,Merged,877,332,1,,1
Add install CIA and Explorer,2017-09-25,Closed,871,948,9,h c ,9
Fix RGB5_A1 conversion,2017-09-23,Merged,869,3,3,,1
Update ISSUE_TEMPLATE.md,2017-09-21,Merged,866,7,5,,0
"Add support for loading homebrew under a title, for backwards compatbility",2017-09-17,Closed,857,318,44,sysmodules/loader/Makefile c h ,6
Exceptions: save the crash dump only if the user press A,2017-08-16,Closed,793,30,2,h ,3
"Exceptions: display more infos on screen (status, far, access type)",2017-08-15,Merged,792,27,0,,1
Don't fix already transformed $DEVKITARM variable,2017-08-15,Merged,790,3,2,,1
Cleared up LEd and combined them both,2017-08-15,Closed,788,1,1,,1
exception_parser.py: display the fault status source,2017-08-15,Merged,787,11,0,,1
Added Change Menu Keys ZL and ZR for New 3ds and,2017-08-15,Closed,786,4,4,,1
Watchpoints: fix read DSCR to enable MonitorMode,2017-08-14,Merged,783,1,1,,1
Revert 9273a88d and make it not freeze the GPU/LCD hardware.,2017-08-13,Merged,781,8,3,,2
Add a warning when nwm isn't running,2017-08-11,Merged,775,40,3,,1
Fix input redirection title index in the menu,2017-08-06,Merged,763,2,2,,1
Cleaned up and rearranged the Rosalina menu,2017-07-24,Merged,744,209,131,c ,6
merge branches,2017-07-07,Closed,709,20,398,md c ,2
LED toggle switch in Rosalina's misc menu + updated README,2017-07-05,Merged,704,95,6,h c ,5
Add wireless toggling in rosalina,2017-07-04,Merged,700,37,1,c ,3
ALT8.1,2017-07-04,Closed,698,"16,803","3,227",c h ,6
Support NFC in homebrew.,2017-06-29,Closed,683,3,1,,1
Add a patch to disable DSP firmware signature check,2017-06-26,Merged,662,18,0,,1
Display B9S version in config menu,2017-06-14,Closed,611,14,6,h ,3
Fix #593,2017-06-12,Merged,595,1,0,,1
Update issue template,2017-06-11,Merged,594,0,1,,0
Add config option to disable exception vectors.,2017-06-08,Merged,561,53,3,h ,6
Reference release notes in README.md,2017-06-06,Merged,519,1,1,,0
Fixed the default button combo for rosalina menu,2017-06-05,Closed,511,1,1,,0
fix typo in readme,2017-06-05,Merged,510,1,1,,0
Update csvc.s,2017-06-05,Closed,488,1,1,,1
