Update zh-TW.json,2019-11-30,Merged,1713,13,13,,1
Minor improvements for Russian translation,2019-11-30,Merged,1704,81,79,,0
Update CHANGELOG.md,2019-11-30,Merged,1703,1,1,,0
Edison beijing chat,2019-11-30,Closed,1701,"98,233","29,254",gitignore json md js png app/build/resources/linux/debian/lintian-overrides app/build/resources/linux/debian/postrm in icns plist ico gif html reg ,26
Update zh-TW.json,2019-11-18,Closed,1692,5,5,,1
Add instagram signature link,2019-10-21,Merged,1662,29,0,tsx ,2
Add a proper address book with CardDAV + Google People support,2019-10-12,Merged,1655,"5,104","1,611",md js ts less tsx ,7
Various fixes in the german translation,2019-10-08,Merged,1651,17,17,,1
Slight improvements to FR translation,2019-10-08,Merged,1649,5,5,,1
Update ta.json,2019-09-23,Merged,1631,4,4,,1
translate a word mandarin,2019-09-23,Merged,1622,2,1,,1
Add snooze date shorthand expander,2019-09-23,Merged,1621,44,1,,1
Fixed placeholder typo in german translation,2019-09-23,Merged,1619,2,2,,1
pt-BR.json,2019-09-23,Merged,1618,8,2,,1
Corrected half of Slovenian translations,2019-09-23,Merged,1614,97,97,,0
Fixed unread tray icon always showing when windows is blurred (#1017),2019-09-23,Closed,1578,4,3,,1
"Added the leading 'www' to the social links in the sidebar, now curso…",2019-09-23,Merged,1559,13,11,less ,2
add frame and remove toolbar from calendar preview,2019-09-23,Merged,1545,2,2,,1
Add preferences option 'show detailed message header by default',2019-09-23,Merged,1525,10,2,ts ,2
Allow cancel upgrade prompt,2019-09-23,Merged,1519,33,21,tsx less ,3
"Upgrade to Slate 0.45.1 for better composer perf and ""setStart on Range"" error fix",2019-06-11,Merged,1518,"1,577","1,410",ts less ,8
Add DISABLE_WAYLAND to snapcraft.yaml,2019-06-10,Merged,1517,2,0,,1
Added confirmation dialog before resetting accounts and settings,2019-05-26,Merged,1486,20,11,,1
Updated nl localization,2019-05-26,Merged,1482,230,230,,0
Update the icon for Windows,2019-09-23,Merged,1468,0,0,,1
Czech translation improved,2019-05-26,Merged,1459,2,2,,1
Update ja.json,2019-03-29,Merged,1431,3,3,,1
Improving russian translation,2019-03-29,Merged,1430,3,3,,1
Add hotkey F5 for sync,2019-03-29,Merged,1429,2,0,,1
Add icon to notifications,2019-03-13,Merged,1405,400,27,ts ,2
"Replace Babel with TypeScript compiler, switch entire app to TypeScript",2019-03-04,Merged,1404,"91,326","95,852",eslintrc md js json ,10
Replace small tray icons with larger ones and replace the new items icon,2019-03-04,Merged,1386,0,0,,3
"Replace ""new item"" tray icon and make the other ones larger",2019-02-26,Closed,1385,845,868,,3
Fix message erroneously saying mailsync *could* be found,2019-02-23,Merged,1374,89,89,,9
Improve German Translation,2019-03-04,Merged,1373,122,122,,0
Improved french translation,2019-02-23,Merged,1360,223,223,,0
Update it.json with a better Italian translation,2019-02-07,Merged,1352,259,259,,0
Fix a typo in README,2019-02-07,Merged,1342,1,1,,0
Update ja.json,2019-02-07,Merged,1340,15,15,,1
fix(french) first iteration of french improvement,2019-01-22,Merged,1305,75,75,,0
Update pt-BR.json,2019-01-02,Merged,1296,63,63,,0
Update lang pt_BR,2019-01-02,Closed,1295,63,67,,1
Patch to add pt_BR.json,2018-12-29,Merged,1286,901,0,,0
Add pt_BR - intl.es6,2018-12-28,Merged,1285,1,0,,1
Improving russian translation,2018-12-03,Merged,1251,274,274,,0
update ja.json,2018-12-03,Merged,1246,89,89,,0
Fix account name,2018-12-03,Merged,1243,1,1,,0
Update weird translation in fr.json,2018-11-20,Merged,1230,1,1,,1
Update ja.json,2018-11-20,Merged,1216,100,100,,0
Fixed unread tray icon always showing when windows is blurred (#1017),2019-03-16,Closed,1206,4,3,,1
Update zh.TW.json,2018-11-03,Merged,1204,149,149,,0
Korean translation pull request,2018-11-03,Merged,1203,219,219,,0
Update fr.json,2018-11-03,Merged,1198,4,4,,1
Korean language commit,2018-10-31,Closed,1192,219,219,,0
Improvements to german translation v2,2018-10-28,Merged,1188,3,3,,1
Remove unsupported desktop categories,2018-10-28,Merged,1185,1,1,,1
[Hack] Fix for #1153,2018-10-26,Closed,1176,1,1,,1
PL localization update,2018-10-26,Merged,1175,5,4,,1
Updates to Chinese(Simplified) translation (zh-CN),2018-10-25,Merged,1172,791,83,,0
French translation changed (Date),2018-10-25,Merged,1170,2,2,,1
Improvements to german translation v1,2018-10-25,Merged,1168,162,162,,0
Fix some french translations,2018-10-25,Merged,1165,25,25,,1
Fix french translation,2018-10-25,Merged,1164,2,2,,1
Polish localization review,2018-10-25,Merged,1155,354,354,,0
Changes in pl,2018-10-28,Closed,1152,21,21,,1
Small updates to es localizations,2018-10-25,Merged,1149,17,17,,1
Updates Linux icon location to pixmaps dir used by all major distros,2018-10-16,Merged,1135,2,1,,1
Add Linux appdata files,2018-10-25,Merged,1126,70,1,js app/script/mkdeb app/script/mkrpm ,6
Better Linux Icons,2018-10-16,Merged,1098,0,0,,6
Merge pull request #1 from Foundry376/master,2018-10-16,Closed,1087,0,0,,0
Update GettingStarted.html,2018-10-16,Merged,1050,1,1,,1
Add padding to darkside theme search bar,2018-10-16,Merged,1048,5,0,,1
Update CHANGELOG.md,2018-10-16,Merged,981,1,1,,0
Fix auto-hiding of menu bar,2018-07-08,Merged,938,3,2,,1
Ignore mailto protocol links for link-tracking,2018-06-13,Closed,883,9,0,,2
Update attachment-store.es6,2018-05-22,Merged,854,2,2,,1
Add info for updating an existing Nylas theme,2018-02-26,Merged,700,2,0,,0
ability to hide visible windows if any when click on system tray,2018-05-22,Merged,698,23,1,,2
Set links as not clickable inside composer,2018-02-27,Closed,696,99,89,,1
Allow two points character inside urls for links,2018-02-26,Merged,695,1,1,,1
Allow two points character inside urls for links,2018-02-16,Closed,694,91,91,es6 ,2
issue/669,2018-02-09,Merged,673,1,1,,1
Added alt attribute,2018-02-09,Merged,668,1,1,,1
Totally overhauled composer based on Slate,2018-01-11,Merged,524,"4,579","12,289",es6 jsx json ,6
Don't compact the display name for thread list participants,2019-09-23,Closed,515,1,4,,1
Remove nslog,2018-01-11,Merged,512,0,7,js ,2
"New settings for ""auto hiding"" menubar or hiding completely with hamburger menu #271, #114, #142",2018-01-01,Merged,498,278,108,less json es6 png ,14
[Signature] Twitter profile image support and better handling of Tiwtter handle.,2017-12-30,Merged,493,26,8,jsx ,3
Made onboarding button color white,2017-12-30,Closed,474,4,0,,1
