Adding property status to MessageType protocol,2019-09-30,Closed,1187,106,107,swift-version md Cartfile private resolved un~ pbxproj xcscheme lock Example/Podfile~ swift podspec ,17
Fixed broken link in README,2019-10-03,Merged,1182,1,1,,0
Added documentation on creating custom cells,2019-12-22,Merged,1167,82,0,,0
Added delegate method for image tap action,2019-08-18,Closed,1165,43,18,swift ,3
Typo,2019-08-09,Closed,1160,1,1,,0
docs(CustomCells): Creating custom cells 📱,2019-08-20,Closed,1159,131,0,,0
Update QuickStart.md,2019-10-29,Closed,1141,1,1,,0
Fixes support for custom inputAccessoryView,2019-08-05,Closed,1140,18,7,swift ,3
Update README,2019-07-13,Merged,1138,1,0,,0
Fix implementation of sizeThatFits and improve implementation of intrinsicContentSize in MessageLabel,2019-08-05,Closed,1137,77,8,pbxproj swift ,3
Fix text clipping caused by MessageSizeCalculator when textInsets are zero in MessageLabel,2019-08-05,Closed,1136,5,1,swift ,1
Update README.md,2019-07-06,Merged,1127,1,0,,0
Set the proper notification to invalidate layout.,2019-07-09,Merged,1126,6,2,swift ,1
Fix orientation notification,2019-07-03,Closed,1125,86,108,swift-version md Cartfile private resolved un~ pbxproj xcscheme lock Example/Podfile~ swift podspec ,20
Label padding,2019-06-30,Closed,1120,215,132,swift-version md Cartfile private resolved un~ pbxproj xcscheme lock Example/Podfile~ swift podspec ,20
Add individual padding attributes for the cell and message labels,2019-07-01,Closed,1118,133,27,swift podspec md ,6
Added missing property assignments in layoutCellTopLabel,2019-07-08,Merged,1117,5,0,swift ,1
Add missing cellTopLabelAlignment to MessageSizeCalculator,2019-07-08,Merged,1113,5,0,swift ,1
Fixes scrollToBottom method to properly handle calls made early in the view lifecycle,2019-07-08,Merged,1110,3,2,swift ,1
Add support for audio seeking in AudioMessageCell,2019-08-05,Closed,1102,133,20,md swift ,14
Fix: Content offset wrong after dismissing modal view controller,2019-12-22,Closed,1101,2,0,,1
Fix a typo in CHANGELOG.md,2019-06-18,Merged,1099,1,1,,0
Make messageLabelInsets(for message: MessageType) open so it can be overriden,2019-07-08,Closed,1098,3,1,swift ,1
Support overriding multiple paragraph styles in MessageLabel,2019-08-05,Closed,1097,27,15,swift ,1
Lazily initialize the MessageInputBar on MessagesViewController,2019-06-13,Merged,1092,6,1,swift ,1
Add support for styling NSLinkAttribute with existing urlAttributes in MessageLabel,2019-07-01,Merged,1091,7,0,swift ,1
Support for tapping NSTextAttachments in MessageLabel,2019-08-05,Closed,1090,24,1,swift ,3
Add loading indicator to AudioMessageCell,2019-06-13,Merged,1084,18,4,lock swift ,2
Pass back MessageLabel reference in MessageLabelDelegate methods,2019-08-05,Closed,1082,126,81,swift ,2
Link README from quick start,2019-07-10,Merged,1073,12,18,,0
Update README.md,2019-05-12,Merged,1069,1,0,,0
added support for index in didTapAvatar,2019-04-23,Closed,1058,8,2,,4
3.0.0 Version Release,2019-04-30,Merged,1040,"3,428","1,226",md Cartfile resolved un~ pbxproj xcscheme Example/Podfile ,22
Update to Swift 5,2019-06-29,Merged,1039,88,109,swift-version md Cartfile private resolved un~ pbxproj xcscheme lock Example/Podfile~ swift podspec ,19
Typing Indicator Support,2019-04-05,Merged,1038,753,83,swift podspec~ ,21
fix #1020 the inputbar overlaps the last message,2019-04-05,Merged,1035,1,1,,1
Revive carthage compatibility,2019-03-31,Merged,1027,38,32,resolved swift ,14
Coredata integration with MessageKit,2019-04-01,Closed,1024,918,7,pbxproj Example/Podfile lock swift ,4
3.0.0 Version Release [WIP],2019-04-05,Closed,1022,"2,964","1,191",md Cartfile resolved un~ pbxproj xcscheme Example/Podfile lock Example/Podfile~ swift ,19
Add support for share contact message,2019-04-05,Merged,1013,374,24,md pbxproj lock swift ,13
Update documentation for `MessageSizeCalculator.messageContainerSize(at:)',2019-03-24,Closed,1010,8,1,,1
Fix url in changelog (ver 1.0.0),2019-03-24,Merged,1009,1,1,,0
Fix documentation error within MessagesDataSource.swift,2019-03-24,Merged,1004,1,1,,1
Added Formacar in used apps.,2019-03-24,Merged,1002,1,0,,0
