MultiTarget conformance to AccessTokenAuthorizable,2020-01-02,Merged,1979,34,1,swift ,3
Improved access token plugin,2019-12-09,Merged,1969,53,44,swift ,4
"Add `mapString`, `mapDecodable` funtion take multiple key paths parameter",2019-11-25,Closed,1965,248,8,,6
Update URL+Moya.swift,2019-11-25,Merged,1957,3,2,,1
Fixing Data race conditions caught by TSAN,2019-12-09,Merged,1952,45,39,md xcscheme swift ,10
Update URL+Moya Change,2019-12-09,Closed,1950,3,2,,1
Alamofire 5.0.0-rc.3,2019-10-27,Merged,1944,9,6,resolved md podspec swift ,5
Update Readme for version 14.0.0-beta.4,2019-10-05,Merged,1934,14,14,,0
Remove Combine.,2019-10-05,Merged,1933,13,625,swift podspec pbxproj ,5
Add Combine folder to source_files in Podspec,2019-10-03,Merged,1930,1,1,,1
Skip building testing libraries for SPM users.,2019-09-27,Merged,1923,115,50,resolved swift yml ,4
Fix stubbed requests that didn't persist plugin changes.,2019-09-20,Merged,1921,63,14,swift ,5
Weak-link Combine.,2019-09-20,Merged,1920,27,0,pbxproj sh ,2
NetworkLoggerPlugin curl fixes.,2019-09-12,Merged,1916,93,18,swift ,6
Link Combine weakly,2019-09-20,Closed,1915,26,0,xcconfig pbxproj ,2
Alamofire 5.0.0-rc.2,2019-09-09,Merged,1912,9,8,resolved md podspec swift ,5
Remove OHHTTPStubs to fix SPM support for Xcode,2019-09-06,Merged,1910,2,11,swift ,2
Update to Alamofire 5.0.0-rc.1,2019-09-06,Merged,1909,11,10,resolved md podspec swift ,8
Update to Alamofire 5.0.0-rc.1,2019-09-06,Closed,1908,"1,535",593,Cartfile private resolved md swift podspec ,10
NetworkLoggerPlugin formatter,2019-09-06,Merged,1906,140,87,md ,3
Combine support!,2019-09-06,Merged,1904,624,55,md swift pbxproj Rakefile ,6
Update Readme_CN.md,2019-08-20,Merged,1897,1,1,,0
[WIP] SPM testing! (+ some other minor updates),2019-09-02,Merged,1896,169,74,pbxproj swift ,22
Adding more customization to NetworkLoggerPlugin.,2019-09-02,Merged,1894,201,143,swift ,5
Use CACHE_VERSION environment variable for CircleCI caches,2019-08-03,Merged,1891,26,26,lock ,2
Update Testing.md,2019-08-02,Merged,1890,1,1,,0
Fix a typo,2019-07-31,Merged,1886,1,1,,0
"Add ""bug?"" to the list of exemptLabels for Stale bot",2019-07-09,Merged,1881,1,0,,1
Fixed NetworkLoggerPlugin behavior with errors.,2019-08-05,Merged,1880,41,15,swift ,2
Add missing session headers to Request/NetworkLoggerPlugin.,2019-08-01,Merged,1878,100,31,pbxproj swift ,8
Danger swift,2019-07-11,Merged,1873,149,208,Dangerfile swift Gemfile ,5
Add target type in output of network logger plugin,2019-06-04,Merged,1866,23,17,swift ,3
"Update Releasing.md with few additional steps to ""After release"" paragraph.",2019-05-30,Merged,1862,7,2,,0
Drop Result,2019-05-15,Merged,1858,9,42,resolved md podspec pbxproj swift ,16
Updated Chinese docs per MoyaBot recommendation.,2019-05-09,Merged,1856,2,2,,0
Updated DispatchQueue.global with latest Swift syntax.,2019-05-09,Merged,1855,2,2,,0
[OHHTTPStubs] Update to version 8,2019-05-02,Merged,1850,2,2,resolved ,2
ReactiveSwift 6.0,2019-05-02,Merged,1849,7,6,resolved md podspec swift ,5
Update develop to master,2019-05-01,Merged,1848,44,40,md lock podspec swift ,4
Updating development with master,2019-05-01,Closed,1847,44,40,md lock podspec swift ,4
RXSwift 5,2019-05-02,Merged,1846,23,23,resolved podspec swift ,7
Use compatible version requirements in installation guides.,2019-05-01,Merged,1845,8,8,,0
Remove alamoRequest.cancel() from stubbing closure,2019-05-01,Merged,1841,4,8,md swift ,2
[WIP] Drop Result dependency,2019-05-14,Closed,1839,12,24,resolved podspec swift ,13
Update Gemfile.lock,2019-04-10,Merged,1838,22,19,,1
Update Readme for Moya 13,2019-04-10,Merged,1837,10,10,,0
[Release] Moya 13,2019-04-10,Merged,1835,432,150,Cartfile private resolved md swift podspec pbxproj Rakefile ,11
[README] Document support & installation via Accio,2019-04-09,Merged,1834,5,0,,0
Add bundle install command as a requirement for release,2019-03-31,Merged,1831,1,0,,0
Prepare docs for Moya 13,2019-03-31,Merged,1830,19,12,,0
Swift 5!,2019-03-31,Merged,1829,37,44,private resolved md swift podspec pbxproj Rakefile ,10
Remove deprecations hanging since Moya 11,2019-03-31,Merged,1828,3,10,swift ,1
Fix Xcode 10.2 warnings,2019-03-30,Merged,1826,26,23,pbxproj swift ,10
Development,2019-03-28,Closed,1824,347,69,resolved md podspec swift ,12
Bump ReactiveSwift to 5.0 and Result to 4.1,2019-03-19,Merged,1817,30,25,resolved podspec swift ,6
Fix progress object with invalid Content-Length headers.,2019-03-10,Merged,1815,98,6,swift ,2
Fix proselint on Dangerfile,2019-03-05,Merged,1812,2,2,,1
Alamofire 5!,2019-08-01,Merged,1810,284,144,Cartfile resolved md podspec pbxproj swift ,7
"Use new Alamofire append(_ fileURL, …) function with optional parameters",2019-12-09,Merged,1805,1,9,,1
Update Moya version in Readme.md from 11 to 12,2019-02-13,Merged,1804,1,1,,0
Replace #if os() with #if canImport,2019-02-13,Merged,1803,23,26,,5
Make a restriction for CocoaPods version ~> 1.6,2019-02-12,Merged,1800,2,2,Gemfile ,2
