ExceptionLayoutRenderer - Improve Format-token parsing error message,2020-01-06,Merged,3750,4,6,,1
AsyncTaskTarget - Skip AsyncWrapper since already having internal queue,2020-01-06,Merged,3748,102,5,,2
AutoFlushWrapper - Set AutoFlush=false for AsyncTaskTarget by default,2020-01-06,Merged,3747,37,1,,2
Renamed folder StringBuilderPools to ObjectPools,2020-01-01,Merged,3745,0,0,,18
JsonLayout - EscapeForwardSlash should be nullable,2020-01-01,Merged,3743,72,15,,4
TraceTarget - Introduced EnableTraceFail=false to avoid Environment.FailFast,2020-01-01,Merged,3742,72,5,,2
LogFactory.Setup - SetupInternalLogger,2019-12-23,Merged,3740,307,3,,5
NetworkTarget - Copy into buffer to avoid Encoding doing String.ToCharArray,2019-12-22,Merged,3739,42,34,,2
Added Layout.CreateFromMethod to allow custom layoutrenders using Config API,2019-12-22,Merged,3737,204,14,,6
Drop old Sonar and Open cover integration,2019-12-27,Merged,3736,5,64,ps1 ,3
WebServiceTarget - Skip delegate capture for beginGetRequest + getRequestStream,2019-12-13,Merged,3735,31,31,,2
FileTarget - Write time details to InternalLogger when file is older than MaxArchiveDays,2019-12-13,Merged,3734,16,7,,5
FileTarget - enable test ArchiveAboveSizeWithArchiveNumberingModeDate_maxfiles_o,2019-12-11,Merged,3733,1,1,,1
DatabaseTarget - DbType enum parsing should not be case-sensitive,2019-12-22,Merged,3732,20,118,,5
LogLevel - Recognize LogLevel names that matches Format.FullName,2019-12-08,Merged,3730,21,1,,3
Enable Source Link,2019-12-08,Merged,3728,5,1,,1
Bump System.ServiceModel.Security from 4.4.0 to 4.7.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3725,3,3,,2
Bump Microsoft.Data.Sqlite from 3.0.1 to 3.1.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3724,1,1,,1
Bump System.ServiceModel.Duplex from 4.0.1 to 4.7.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3723,2,2,,1
Bump System.ServiceModel.Primitives from 4.4.0 to 4.7.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3722,3,3,,2
Bump System.Reflection.TypeExtensions from 4.1.0 to 4.7.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3721,2,2,,1
Bump System.Security.Principal.Windows from 4.0.0 to 4.7.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3720,2,2,,1
Bump System.Data.SqlClient from 4.7.0 to 4.8.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3719,1,1,,1
Bump System.ServiceModel.NetTcp from 4.4.0 to 4.7.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3718,3,3,,2
FileTarget - Added support for MaxArchiveDays,2019-12-06,Merged,3714,216,156,,6
Level LayoutRenderer Format extended with FullName,2019-11-28,Merged,3713,42,2,,3
Bump Microsoft.Owin.Hosting from 4.0.1 to 4.1.0 in /tests/NLog.UnitTests,2019-12-06,Closed,3708,1,1,,1
LongDateLayoutRenderer - Implement IRawValue-interface,2019-11-27,Merged,3706,40,8,,2
JsonSerializer - Write DateTime directly to StringBuilder instead of allocating string,2019-11-27,Merged,3705,1,1,,1
EventLogTarget - Improve diagnostics logging when using dynamic source,2019-11-27,Merged,3704,233,282,,1
ExceptionLayoutRenderer - Added Format option called HResult (Fix NetCore),2019-11-27,Merged,3700,6,6,,2
#2796  Made Url a layout,2019-11-25,Closed,3699,50,3,,2
JsonSerializer - Write DateTime directly to StringBuilder instead of allocating string,2019-11-21,Merged,3694,146,15,,3
Bump Microsoft.Data.Sqlite from 2.2.6 to 3.0.1 in /tests/NLog.UnitTests,2019-11-20,Merged,3693,1,1,,1
XmlLayout - Removed unnecessary double conversion to string,2019-11-27,Merged,3692,1,1,,1
FileTarget - ConcurrentWrites should use FileStream.Length in archive-check,2019-11-27,Merged,3691,107,321,,10
LoggingConfiguration - Moved CheckUnusedTargets to InitializeAll,2019-11-18,Merged,3689,25,10,,4
LogFactory.Setup to allow fluent configuration of LogFactory options,2019-12-22,Merged,3686,720,1,,7
LogBuilder - Removed Caller-properties since they are available with ${callsite},2019-11-16,Merged,3685,3,112,,4
${message} renders Exception.GetType + Exception.Message when single exception parameter,2019-11-16,Merged,3684,89,0,,3
ObjectGraphScanner - Avoid holding list.SyncRoot lock while scanning,2019-11-16,Merged,3683,2,2,,1
Bump Microsoft.NET.Test.Sdk from 16.2.0 to 16.4.0 in /tests/NLog.UnitTests,2019-11-08,Closed,3677,1,1,,1
Fix setter ConfigurationItemFactory.Default,2019-11-16,Merged,3676,1,1,,1
DI Support ctor injection & added NLogResolveException,2019-11-07,Merged,3672,307,52,,8
Decouple LogEventInfo from other classes (WIP),2019-11-06,Closed,3669,277,130,,12
Update CHANGELOG.md,2019-11-05,Merged,3668,1,1,,0
Tryout DI ctor injection (WIP),2019-11-06,Closed,3667,"1,766","1,745",,2
Refactor resolve & register for DI,2019-11-07,Merged,3666,96,82,,16
Port 4.6.8 to dev,2019-11-10,Merged,3665,"2,720",659,ps1 DotSettings cs ,7
Version 4.6.8,2019-11-04,Merged,3664,1,1,,1
FileTarget - Extra logging when FileName Layout returns empty filename,2019-11-04,Merged,3662,1,0,,1
ObjectHandleSerializer - GetObjectData should have SerializationFormatter=true,2019-11-04,Merged,3660,7,5,,2
Version 4.6.8 changelog,2019-11-04,Merged,3657,63,15,csproj ,1
ObjectPathRendererWrapper - Refactoring to reduce code complexity,2019-11-04,Merged,3654,6,61,,2
Fixes NullReferenceException in SimpleLayout PreCalculate after TryGetRawValue,2019-11-04,Merged,3653,60,28,,2
Bump System.Data.SQLite.Core from 1.0.111 to 1.0.112 in /tests/NLog.UnitTests,2019-10-28,Merged,3652,1,1,,1
ConcurrentRequestQueue - DequeueBatch should handle that input list is non-empty,2019-10-28,Merged,3651,26,2,,2
Single file publish with ${basedir:fixTempDir=true} and prioritize process-dir for auto-loading exe.nlog,2019-10-28,Merged,3649,129,13,,7
${substring}: length should not be mandatory,2019-10-25,Merged,3647,0,1,,1
More robust GetCurrentClassLogger when we get lambda_method,2019-10-25,Merged,3642,21,4,,2
${CallSite} - Handle MoveNext More robust,2019-10-25,Merged,3641,198,33,,3
Add null and recursive tests for ValueFormatter,2019-10-25,Merged,3640,49,9,,1
ApplicationEnvironment subfolder for process- and appdomain renderers,2019-11-04,Merged,3638,0,0,,26
"TargetWithLayout changed default layout to have withexception=true, changed WithException to use | as exception separator as default",2019-11-07,Merged,3637,38,44,,17
AsyncTargetWrapper - Eject writers on close incase timer thread is blocked,2019-10-25,Merged,3636,70,0,,4
Console target thread safe and support for batch writing,2019-10-25,Merged,3635,185,50,,6
Fixes bug in ExceptionLayoutRenderer where separator is excluded,2019-10-25,Merged,3631,64,9,,2
#3181 TimeSource ToString() tests,2019-10-14,Merged,3623,25,0,,1
ConcurrentRequestQueue - Consumer should always pulse waiting producers,2019-10-14,Merged,3622,20,37,,2
Faster reflection of NLog configuration items by skipping Type.IsDefined,2019-10-14,Merged,3618,95,49,,3
LogFactory.ServiceRepository for better dependency injection support,2019-11-04,Merged,3616,643,103,,4
TypeDescriptor.GetConverter can throw after linker tree shake on Mono,2019-10-11,Merged,3613,27,18,,1
${Exception} - Added Format options: HResult and Properties,2019-10-11,Merged,3611,117,6,,3
FileTarget - Improve handling of relative path in ArchiveFileName,2019-10-07,Merged,3609,19,9,,4
Bump System.Security.Principal.Windows from 4.0.0 to 4.6.0 in /tests/NLog.UnitTests,2019-10-14,Closed,3603,2,2,,1
Bump System.ServiceModel.Duplex from 4.0.1 to 4.6.0 in /tests/NLog.UnitTests,2019-10-14,Closed,3602,2,2,,1
