Test PR,2020-01-13,Closed,5549,1,1,,0
Exception data as strings instead of type and datetime,2020-01-08,Merged,5548,21,4,,2
Update Particular.Packaging in release-7.2,2019-12-17,Merged,5547,8,6,csproj ,8
Update Particular.Packaging in release-7.1,2019-12-17,Merged,5546,9,7,csproj ,9
Update Particular.Packaging in master,2019-12-17,Merged,5545,9,7,csproj ,8
Add test for TransportInfrastructure in settings,2019-12-13,Merged,5542,47,0,,1
Include assembly file version in startup diagnostics,2019-12-11,Merged,5541,8,11,,2
Remove mention of obsoleted AsA_Publisher role,2019-12-02,Merged,5539,2,2,,1
Fix return value description for DeduplicateMessage,2019-11-28,Merged,5535,1,1,,1
Remove duplicate assignment,2019-11-22,Merged,5533,0,1,,1
Add host creator to make endpoint creator more clean,2019-11-22,Merged,5532,164,161,,6
Split larger components with partials,2019-11-22,Merged,5531,612,557,,2
Don't use PipelineSettings after PipelineComponent.Initialize,2019-11-22,Merged,5530,5,10,,3
Move installer to the host,2019-11-22,Merged,5529,112,135,,7
Allow behavior registration via PipelineComponent,2019-11-22,Closed,5528,23,12,,3
Move hosting initialisation out of the endpoint creator,2019-11-21,Merged,5527,36,11,,6
Adjust RoutingComponent,2019-11-21,Merged,5526,121,97,,8
Receive settings fixes,2019-11-21,Merged,5525,7,3,,2
Split component class into partial classes,2019-11-22,Closed,5524,242,219,,1
Pass queue bindings via transport seam,2019-11-21,Merged,5523,40,34,,6
Do not register behaviors that are not needed for read only endpoint,2019-11-22,Merged,5521,20,18,,1
Only add diagnostics if it's not a read-only endpoint,2019-11-21,Merged,5520,2,2,,1
Convert ReceiveComponent to be used with multi-staged model,2019-11-20,Merged,5519,359,231,,7
Remove transport component,2019-11-21,Merged,5518,221,289,,5
Align hosting to new phased config model,2019-11-19,Merged,5516,182,143,,7
Register terminators when using migration-mode on send-only endpoints,2019-11-20,Merged,5515,55,0,,2
Create RootContext outside of PipelineComponent,2019-11-19,Merged,5514,36,51,,7
New phased approach to component init,2019-11-19,Merged,5513,115,96,,7
[WIP] Initialize ReceiveComponent before FeatureConfigurationContext,2019-11-19,Closed,5512,9,9,,1
Create receive pipeline in component,2019-11-19,Merged,5511,11,14,,4
Use recoverability notifications for acceptance tests,2019-11-18,Merged,5510,66,83,,8
Make container part of hosting,2019-11-18,Merged,5508,111,180,,5
