Release v13.2.1,2020-01-13,Merged,2620,334,257,csproj nuspec cs liquid ,17
Add template for Client method annotations,2020-01-11,Merged,2616,6,0,,3
Bump Microsoft.AspNetCore.All to 2.2.8,2020-01-09,Merged,2611,1,1,,1
Add partial methods to allow changes prior to deserialization,2020-01-11,Merged,2607,49,8,liquid ,5
missed .data property i.e the ArrayBuffer,2020-01-07,Merged,2606,2,2,,1
Using culture invariant versions of ToUpper and ToLower while generating operation names,2019-12-26,Merged,2594,4,4,,2
Release v13.2.0,2019-12-18,Merged,2588,887,215,bat json csproj nuspec targets cs html js liquid ,25
Restoring special-case handling of text/plain (`IsPlainText`) responses.,2019-12-18,Merged,2587,10,0,,1
.Net core 3.1,2019-12-16,Merged,2567,510,7,cs csproj nuspec props exe md js json ,17
Fix Swagger UI empty Path #2510 (#2517),2019-12-16,Merged,2561,1,1,,1
Nswag.AspNet.Owin PKCE support (SwaggerUi3) & Updated SwaggerUI js files …,2019-12-03,Merged,2546,4,3,js ,3
Release v13.1.6,2019-11-22,Merged,2543,353,276,md json csproj cs nuspec ,13
allow angular http request to send withCredentials,2019-11-21,Merged,2538,76,7,liquid csproj xaml ,7
Release v13.1.5,2019-11-13,Merged,2523,26,26,nuspec targets json cs ,25
Release v13.1.4,2019-11-13,Merged,2520,"1,721","1,401",csproj nuspec targets html js css cs props ,30
Fix Swagger UI empty Path #2510,2019-12-03,Merged,2517,4,2,,2
ParameterDateFormat support,2019-11-12,Merged,2507,138,19,liquid nswag json xaml ,17
Use string.Empty rather than null as the default response text when throwing exceptions,2019-11-04,Merged,2505,1,1,,1
Update NSwag.ApiDescription.Client.targets,2019-11-04,Merged,2504,2,2,,1
Add Default Parameters For C# Controllers,2019-11-12,Merged,2484,2,2,,1
NSwag.AspNetCore support PKCE,2019-11-04,Merged,2480,42,22,html js css ,8
Use 3.0 GA packages from Microsoft,2019-10-17,Merged,2457,13,15,csproj props targets json ,5
Release v13.1.3,2019-10-10,Merged,2454,"1,018",578,yml json csproj nuspec cs ,25
Add BasePath override config option for C# Controller,2019-10-08,Merged,2439,104,1,cs xaml ,6
Release v13.1.2,2019-09-27,Merged,2433,100,88,csproj nuspec cs ,28
Release v13.1.1,2019-09-27,Merged,2430,149,117,json csproj nuspec cs ,27
Release v13.1.0,2019-09-26,Merged,2427,614,280,bat json csproj nuspec cs ,21
Fixed inverted logic in nswag new,2019-09-15,Merged,2406,2,2,,1
Use OpenApiTagAttribute of class to set tags for those methods where such attribute is not set explicitly,2019-10-08,Merged,2381,232,1,cs sln ,5
Return FileResult type for binary response if an AspNetCore controller is generated,2020-01-13,Merged,2376,15,0,,1
Release v13.0.6,2019-08-22,Merged,2369,463,282,csproj nuspec js css cs ,19
