Pass variables.platformStyle instead of variables,2019-12-15,Closed,3022,3,1,,1
fix(types): make name of Icon optional,2019-12-05,Closed,3015,1,1,,1
Fixed typo at NativeBase.Thumbnail definition,2019-12-03,Merged,3008,1,1,,1
Allow specifying icon type in icon ActionSheet,2019-12-03,Merged,3005,7,1,js ,2
Add testID to Picker.ios,2019-12-03,Merged,3003,1,0,,1
fix(types): add first and last props for CardItem,2019-12-03,Merged,2999,2,0,,1
Ay lmao2,2019-11-14,Closed,2998,76,52,,1
fix(item): Foating label with initial value,2019-12-03,Merged,2997,5,1,,1
Fixes travisCI,2019-11-12,Merged,2992,116,114,yml js map ,6
fix(): Check if scrollView exists before calling scrollTo in Tabs,2019-11-11,Merged,2982,8,6,,0
docs |   RN : 0.60 supports auto-linking,2019-11-11,Merged,2981,1,0,,0
Added underlayColor props to ListItem,2019-11-11,Merged,2979,1,0,,1
"Fixed SafeAreaView application on Header, Footer and Content components",2019-11-11,Merged,2972,58,210,js map ,3
Added onScroll propTypes to Tabs in TS,2019-11-12,Merged,2943,1,0,,1
Fix crashing issue on Tabs when scrollView ref is not defined,2019-11-11,Closed,2935,8,6,,0
Adding actionSheet iconTypes.,2019-09-17,Closed,2930,2,0,,1
added missing fullstops and colons,2019-09-10,Merged,2920,19,19,,0
fix(): initialPage not working on Android #2705,2019-09-10,Merged,2902,7,0,,1
replace bgColor `null` with `transparent`,2019-08-21,Merged,2886,1,1,,1
chore(): Update react-native-keyboard-aware-scroll-view dependency #2879,2019-08-19,Merged,2884,1,1,,1
fix(): Icons issue after 2.13.5 #2880,2019-08-19,Merged,2883,7,6,,1
chore(): replace manual calculation with SafeAreaView,2019-08-16,Merged,2877,31,98,,1
Fix #2856,2019-08-16,Merged,2873,16,9,,1
fix(): Fix floatingLabel with placeholder issue,2019-08-16,Merged,2872,37,7,,1
Add renderEmpty to index.d.ts,2019-08-16,Merged,2869,2,0,,1
Upgrade theme & react-native-easy-grid,2019-08-16,Merged,2868,14,14,map ,2
Fix #2844 - IOS,2019-08-16,Merged,2867,35,3,,1
Correction of contributing.md file,2019-08-09,Merged,2861,7,1,,0
edit readme,2019-08-09,Closed,2860,44,42,,0
fix security issues / vulnerabilities reported by npm audit,2019-08-12,Merged,2850,"2,051","1,561",,1
Feature parameter floatBack,2019-08-12,Merged,2848,5,4,,2
Fix #2821,2019-08-01,Merged,2838,1,1,,1
Fix #2831,2019-08-01,Merged,2836,4,3,,1
scrollWithoutAnimation should be optional,2019-07-31,Merged,2829,1,1,,1
Fixes #2825,2019-07-31,Merged,2827,9,1,js ,2
Fixes #2825,2019-07-29,Merged,2826,4,2,,1
Replace componentWillUpdate(),2019-07-29,Merged,2816,4,4,,1
fix(): Tab textStyle fixed,2019-07-26,Merged,2813,11,8,,1
Remove prettier,2019-07-26,Merged,2811,0,2,,1
Fixes Icon,2019-07-23,Merged,2804,6,4,,1
Refactor Header.js & fix Issue #2798,2019-07-23,Merged,2803,46,28,,1
Refactor Header.js & fix Issue #2798,2019-07-23,Closed,2802,46,28,,1
Fixes textStyle for Tab(heading),2019-07-23,Merged,2801,3,3,,1
fix(): fixes willUpdate warnings,2019-07-23,Merged,2800,8,11,js ,8
Replace bgColor null with transparent,2019-07-23,Merged,2799,3,10,,1
fix(): removes listView,2019-07-22,Merged,2797,21,226,map ,3
Fixes crashing of prop floatingLabel in Item,2019-07-22,Merged,2794,4,8,,1
Remove FontAwesome5Pro,2019-07-22,Merged,2793,0,5,,1
remove Content interface conflicts with KeyboardAwareScrollViewProps,2019-07-23,Merged,2791,0,4,,1
Fab cleanup,2019-07-22,Merged,2787,88,75,,2
Footer cleanup,2019-07-18,Merged,2782,14,23,,1
Add POSITION enum to ToastContainer,2019-07-18,Merged,2781,19,11,,1
Content cleanup,2019-07-17,Merged,2779,41,47,,1
Add PLATFORM to theme files,2019-07-17,Merged,2778,128,89,,6
Checkbox cleanup,2019-07-17,Merged,2777,13,12,,2
Upgrade lodash to ^4.17.14,2019-07-18,Merged,2774,49,17,,2
Remove ListView,2019-07-17,Merged,2772,5,9,,1
Refactor ActionSheet,2019-07-17,Merged,2771,92,35,,4
Cleaning up and Adding onAccordionOpen/onAccordionClose callbacks,2019-07-17,Merged,2770,97,54,,2
feat: Add Icon FontAwesome5Pro support,2019-07-17,Merged,2765,5,0,,1
Allow Icon to inherit color,2019-07-18,Merged,2762,1,1,,1
Adding TabBar disabled feature,2019-07-10,Merged,2760,28,15,,4
fix(): Fixes #2723,2019-07-10,Merged,2759,89,61,,6
Add missing Textarea type definitions,2019-07-10,Merged,2756,2,0,,1
Fix/picker ios icon,2019-07-09,Merged,2755,3,17,,1
DatePicker Cleanup,2019-07-09,Merged,2754,50,24,,4
Activating Open Collective,2019-07-08,Merged,2752,40,5,json ,1
fix(): eslint fixes,2019-07-08,Merged,2750,889,958,json js ,5
Removed rnpm,2019-07-07,Merged,2749,6,7,js ,2
chore(): updates contribution guidelines,2019-07-05,Merged,2746,98,111,,0
chore(): adds package.json scripts,2019-07-05,Merged,2745,"3,065","2,209",prettierrc ,2
Button fixes,2019-07-04,Merged,2744,327,317,js ,3
Button cleanup,2019-07-03,Merged,2740,18,15,,2
Updated Getting Started for newer version of Expo,2019-07-03,Merged,2738,39,10,,0
Fixes issues where height was not matching with number of items,2019-07-03,Merged,2730,2,3,,1
fix Types,2019-07-04,Merged,2729,4,0,,1
add onfocus event to textInput,2019-07-03,Closed,2722,3,1,,1
TS: add missing Radio types,2019-07-04,Merged,2712,2,0,,1
Fixed animation hangup / Using the native driver,2019-07-04,Merged,2706,66,46,map ,12
Updated Toast.show in index.d.ts,2019-04-25,Merged,2680,3,1,ts ,2
Add 'onDismiss' to ToastContainer,2019-04-23,Closed,2678,19,5,,1
color prop defined in Radio Interface,2019-07-04,Merged,2676,1,0,,1
Update index.d.ts,2019-04-15,Merged,2664,1,0,,1
[TS] Add `scrollWithoutAnimation` prop to Tabs,2019-04-15,Merged,2663,1,0,,1
Extends the Content type with KeyboardAwareProps,2019-04-24,Closed,2656,2,1,,1
Fix Content calculateLeft & calculateRight,2019-07-04,Merged,2654,6,6,,1
TS: Add KeyboardAwareScrollViewProps to Content interface,2019-04-15,Merged,2622,2,1,,1
fix package.json structure,2019-03-06,Merged,2621,1,1,,1
Fix uppercase prop warning on web,2019-04-30,Closed,2619,2,1,,1
Update development,2019-02-28,Merged,2613,"5,812","1,955",gitignore yml md ttf txt js ,9
[#2591] fix getRef for item inputs.,2019-02-21,Closed,2592,16,7,,1
Update CHANGELOG.md,2019-02-18,Merged,2588,21,10,,0
Clarify installation instructions and change CRNA to Expo,2019-02-18,Merged,2584,18,16,,0
patch low severity vulnerability caused by lodash,2019-02-21,Closed,2582,1,1,,1
Patch lodash vulnerability,2019-02-15,Closed,2580,2,7,lock ,2
Added Accordion Test Case,2019-02-15,Merged,2578,"3,010",0,,2
Fab bug fix,2019-02-18,Merged,2577,8,6,,0
Testcase,2019-02-15,Closed,2574,"6,131",182,,2
"Tabs width update-Fix #2249, #2558",2019-02-14,Merged,2572,184,183,js ,5
Theme-ListItem style(Issue 2513 fix),2019-02-11,Merged,2569,5,5,,1
"Revert ""Pass through iosBarStyle from Picker to Header""",2019-02-11,Merged,2568,2,3,,2
Theme-ListItem Thumbnail,2019-02-11,Closed,2564,1,1,,1
Fix react native style types refs #27421 #2123,2019-02-11,Merged,2562,67,63,,1
fix(Ationsheet): state height of items,2019-02-04,Closed,2554,2,2,,2
Actionsheet fix,2019-02-05,Merged,2553,5,5,,1
Item Event Handler,2019-02-04,Merged,2552,8,8,,0
Item event handler,2019-02-04,Closed,2551,6,6,,1
Actionsheet & Item fixes,2019-02-04,Closed,2547,119,117,,1
Item event handler,2019-02-01,Closed,2544,81,79,,1
added react-timer-mixin to dependencies,2019-01-31,Merged,2543,2,1,,1
ListItem having weird marginLeft as described on issue #1274,2019-02-12,Closed,2542,1,1,,1
Pass through iosBarStyle from Picker to Header,2019-02-11,Merged,2541,3,2,,2
ts: add prerenderingSiblingsNumber to Tabs,2019-02-12,Merged,2531,1,0,,1
Button hasText added to typescript.,2019-02-07,Merged,2526,4,0,,1
Add hide() function to Toast typing,2019-02-07,Merged,2521,5,0,,1
Allow iPhoneX feature flag to be modified from specified theme (instead of default),2019-02-08,Merged,2514,3,3,,3
Style prop does support nested arrays (fix #2419),2019-02-11,Merged,2511,8,2,,1
Make DatePicker use disabled prop (fix #2509),2019-02-08,Merged,2510,8,16,,1
Extend radio styles for checkmark behaviour,2019-02-12,Closed,2496,10,3,,4
[TS] Add `expanded` prop to Accordion and allow Accordion's item strong-typing,2018-12-19,Closed,2491,6,5,,1
add missing 'expanded' property to Accordion type definition,2018-12-19,Closed,2489,1,0,,1
Tabs rtl fix,2018-12-10,Closed,2479,137,6,map ,7
Tabs - RTL support,2018-12-04,Closed,2478,137,6,map ,7
Removed commented console log statements,2018-12-19,Merged,2476,0,2,,1
Fixed #1611 Added openLeftRow & openRightRow in Swipeable List,2018-12-19,Merged,2474,37,16,,1
Update index.d.ts,2018-12-19,Merged,2473,1,0,,1
Fix #1611 Added openRow in Swipeable List,2018-11-30,Closed,2472,138,5,map ,7
Fix #2466 adding testID types to all components for detox testing,2019-02-22,Closed,2467,57,53,,1
Fix #2461 Icon component outline missing broken on iOS,2018-12-19,Closed,2462,588,588,,0
Issue #2320: fixing circular dependencies,2018-12-04,Closed,2459,130,126,map ,3
Support for FontAwesome5 fixes GeekyAnts/NativeBase#2452,2018-12-19,Closed,2458,18,5,,3
"ci: test Node.js 6, 8, 10 and 11",2018-12-19,Merged,2445,4,4,,1
Fix Footer when height equals 0,2019-02-11,Closed,2423,202,27,snap ,3
Fix bug with floating labels.,2019-02-12,Closed,2421,7,4,,1
[Readme] Fix Expo broken link,2018-11-19,Closed,2414,1,1,,0
Update index.d.ts,2018-10-30,Merged,2400,1,0,,1
pass variables param to cardTheme,2018-12-19,Merged,2399,1,1,,1
Fixes #2320 and all eslint warnings,2018-12-19,Merged,2394,451,448,,3
Update index.d.ts,2018-12-19,Merged,2389,1,1,,1
Fix floatingLabel animation,2018-12-24,Merged,2387,5,5,,0
Allow ejected themes to modify isIphoneX setting.,2018-12-20,Closed,2383,9,9,,1
Add tabs property to Typescript definition,2018-12-19,Merged,2381,1,0,,1
Extend radio styles for checkmark behaviour,2018-12-19,Closed,2377,0,0,,0
Fix testID property duplicated in ListItem,2018-12-19,Merged,2367,4,4,map ,3
Added page attribute on Tabs component typings,2018-12-19,Closed,2362,1,0,,1
Fix tick transparency in Checkbox component. Precompile Checkbox.,2018-10-24,Closed,2345,3,2,map ,3
fix android drawer overlay,2018-12-19,Merged,2335,1,1,,1
Add radio property to Typescript definition,2018-12-19,Merged,2333,1,0,,1
Add picker property to Item,2018-12-19,Closed,2332,1,0,,1
fixed transparent in CardItem,2019-02-12,Closed,2318,4,0,,1
added tabButtonStyle prop to DefaultTabBar and ScrollableTabBar,2019-02-13,Closed,2307,14,6,,2
enhancement/add support for iPhoneXR,2018-12-20,Closed,2283,3,3,,3
Chore(Types): Update types for RN v0.56,2018-09-23,Closed,2267,33,33,,1
add small padding to ListItem,2019-02-11,Closed,2260,3,0,,1
Fixes #2213,2019-02-13,Closed,2254,3,3,,1
"Revert ""Removed Drawer from NativeBase""",2018-08-28,Merged,2243,86,2,json js ,5
Picker modal anim,2019-02-12,Closed,2212,11,14,,1
Updated type definitions,2019-02-12,Merged,2210,"7,298",217,js ,5
missing import `prop-types` package,2018-08-28,Merged,2175,1,0,,1
