Various ExprTk updates.,2019-12-25,Closed,1768,75,96,,0
ExprTk updates,2018-05-08,Merged,1767,301,297,,0
Natron its blocked,2018-04-17,Closed,1763,"15,656","5,759",yml pro cpp md rst py ,8
V3.0 Its disappeared?,2018-04-02,Closed,1751,"15,143","5,704",yml pro md rst py ,7
A few humble requests for some minor (but very useful) enhancements.,2018-03-25,Closed,1736,"11,937","3,054",yml pro md rst py ,6
Minor typo/spelling/grammar corrections,2018-02-21,Merged,1731,3,3,,1
Fixed list indentation in README,2017-10-07,Merged,1681,12,12,,0
General improvements and fixes,2017-08-26,Merged,1663,707,364,,0
Update tutorials.rst,2017-08-09,Closed,1646,1,0,,1
Tutorial-AlternativeMatteExtraction,2017-07-28,Closed,1645,70,0,jpg ,14
fix bug: QFont Natron::KnobGuiString::makeFontFromState() const error…,2017-07-14,Closed,1633,3,2,,1
typo on 'Dipaly',2017-06-04,Merged,1620,2,2,,1
Delete loadProjectSplashscreen.png,2017-05-24,Closed,1616,0,0,,1
Fixed problem related to case-sensitivity of locally defined variables,2017-05-19,Merged,1615,"1,275",952,,0
Fixed a bug related improperly passing through parse_symtab call,2017-05-15,Merged,1614,3,10,,1
Minor updates and fixes,2017-04-24,Merged,1605,14,6,txt ,1
Added compile-time check for vector indexing when using constant values,2017-04-12,Merged,1601,107,87,,0
Updated multi-sub expression operator to return final sub-expression …,2017-04-09,Merged,1598,301,104,,0
Added return statement enable/disable via parser settings,2017-04-08,Closed,1596,42,9,,1
Fix a crash on save. Clean up some scrambled knob setup code.,2017-03-02,Merged,1583,5,6,,1
Fix autosave file not being removed when discarded: #1398,2016-11-13,Merged,1470,2,0,,1
Add auto refresh info page #1430,2016-11-13,Merged,1469,2,1,,1
Possible update to FAQ file.,2016-09-16,Merged,1431,8,4,,1
waffle.io Badge,2016-09-08,Merged,1426,1,0,,0
Shared ptr cleanup,2016-07-05,Merged,1392,"10,730","9,678",h ,4
Markdown v2,2016-06-15,Merged,1341,"16,368",457,,13
Fix a few window hints (proposed solution for #1316),2016-05-20,Merged,1318,6,6,,5
Qt5/PySide2 support,2016-05-02,Merged,1304,138,41,h ,21
Initial Documentation support,2016-04-18,Merged,1294,"11,106",203,rst js png css html py ,9
Buildscripts,2016-04-05,Merged,1280,"1,037",804,,4
Linux (turbo-jpeg & plugins git hash),2016-02-26,Merged,1194,84,54,h sh ,10
Linux SDK changes,2016-01-21,Merged,1163,37,12,repo spec desktop xml ,9
Help menu,2015-12-15,Merged,1082,93,1,cpp ,6
Linux changes,2015-12-07,Merged,1076,200,26,,1
updated the SDK path for Rc3,2016-03-14,Closed,1019,4,2,,0
Linux: RC3 server changes,2015-11-12,Merged,1011,272,233,,3
Updated INSTALL INSTRUCTIONS,2015-11-04,Merged,1002,176,81,,0
Linux: build fixes/changes,2015-09-29,Merged,924,56,221,sh ,5
"Linux: build/deploy ""everything""",2015-09-28,Merged,923,335,67,sh ,4
fix minor typo in shortcuts,2015-09-12,Merged,895,1,1,,1
Dope sheet : some little fixes,2015-09-07,Closed,886,418,413,,1
"fixed typo in contrib, disabled openfx-opencv on Linux",2015-09-03,Merged,879,44,46,sh ,4
Linux tools changes/fixes,2015-09-02,Merged,877,189,17,sh ,5
Add missing I in PKGCONFIG,2015-08-30,Merged,873,2,2,,2
"Revert ""Updated the source path of soft symbolic link.""",2015-08-21,Merged,863,1,1,,0
"tools/linux: added missing file, disabled update in cron",2015-08-21,Merged,858,23,2,pri ,2
Added Linux build tools,2015-08-20,Merged,856,"2,939",0,md sh ,2
Gui: update fontconfig cache,2015-08-20,Merged,855,5,0,,1
Updated the source path of soft symbolic link.,2015-08-20,Merged,847,1,1,,0
Corrected syntax for boost hyperlink,2015-07-20,Merged,758,1,1,,0
Dopesheet : various fixes,2015-07-12,Merged,750,147,45,h ,2
Dope sheet : fix some things and complete code documentation,2015-07-03,Merged,727,179,125,h ,4
First version of the dope sheet editor,2015-07-02,Merged,717,"8,619",684,cpp ,6
First version of the dope sheet editor,2015-07-01,Closed,681,"8,623",686,cpp ,6
Fix disk cache setup,2015-04-06,Merged,593,1,1,,1
Fix Cache::swap(),2015-04-06,Merged,592,1,1,,1
FreeBSD build fixes,2015-03-22,Merged,571,6,5,cpp ,3
Update TuttleOFX installation instructions for OSX,2015-03-02,Merged,528,8,1,,0
Fix typo,2014-12-17,Merged,357,1,1,,0
Correct Install Instructions,2014-12-02,Merged,339,2,2,,0
Fix getNRunningThreads(),2014-12-02,Closed,338,1,1,,1
NodeGraph: Added menu action 'Delete',2014-09-06,Merged,201,5,0,,1
Build fix,2014-09-03,Merged,193,1,1,,1
FreeBSD build fix and wheel support in ComboBox,2014-09-02,Merged,191,30,2,cpp ,3
Travis: prepare OS X build,2014-08-23,Merged,182,158,42,yml sh cfg ,5
Avoid 'Too many open files' on Unix,2014-08-15,Merged,172,14,11,,1
Add support for FreeBSD.,2014-08-12,Merged,166,127,6,h md pri ,5
Added new splashscreen and linux icon.,2014-08-12,Merged,165,1,1,cpp ,3
Update INSTALL_LINUX.md,2014-08-02,Merged,138,16,0,,0
Wrap strings with tr(),2014-07-09,Merged,104,533,533,,11
Add a Bitdeli Badge to README,2014-02-18,Closed,13,4,0,,0
Qt4 compatibility,2013-07-22,Merged,1,217,120,cpp h ,21
