Minor app service related changes,2020-01-10,Merged,7803,14,16,config ,4
Use Json.Encode to avoid js injection,2020-01-09,Merged,7801,2,2,,1
Functional test script update to wait for the service to start up after the deployment,2020-01-09,Merged,7799,55,0,,1
HTTP to HTTPS redirect differences between App and Cloud services,2020-01-09,Merged,7798,29,5,,1
Merge branch 'dev' to master,2020-01-07,Merged,7797,110,10,resx ,9
[Token Scanning] Fix typo in emails,2019-12-30,Merged,7793,7,7,,2
[Gravatar Proxy] Add missing unit test,2019-12-26,Merged,7789,5,1,,1
Upgrade telemetry,2020-01-07,Merged,7788,593,477,csproj cs ,12
Fix two package type related bugs,2019-12-19,Merged,7782,98,2,resx ,6
[ReleasePrep][2019.12.17] RI dev to master,2019-12-17,Merged,7777,860,115,css less csproj ,19
"Revert ""No longer depend on Obsolete AppInsights APIs""",2019-12-17,Merged,7776,213,294,cs ,11
WIP: Remove semver2 warning,2019-12-18,Closed,7772,0,76,resx cshtml ,8
[Token Scanning-Phase 1] Robust UI,2020-01-09,Closed,7771,10,3,,2
Build extensions targets file for build pipelines,2020-01-09,Merged,7770,1,0,,1
Add support for a Usabilla feedback button on every page,2019-12-13,Merged,7768,164,4,css less cshtml json png svg csproj js config ,17
[Token scanning-Phase 1] Email should cc to Gallery Owner.,2019-12-12,Merged,7767,8,6,csproj ,4
Merge branch 'dev' to master,2019-12-11,Merged,7765,765,102,css less json ,20
Merge branch 'master' into dev,2019-12-10,Merged,7761,16,20,cs ,8
[MSA] Redirect to home page for enabling 2FA,2019-12-10,Merged,7758,44,4,,5
[Hotfix] Revert to ServerCommon 2.58.0,2019-12-10,Merged,7750,16,20,cs ,8
Merge branch 'master' into dev,2019-12-06,Merged,7746,16,19,,7
No longer depend on Obsolete AppInsights APIs,2019-12-11,Merged,7745,294,213,cs ,11
[Token scanning-Phase 1-5] Email,2019-12-12,Merged,7742,455,83,csproj ,4
[Hotfix] Align NuGet.Jobs and ServerCommon dependencies to 2.60.0,2019-12-05,Merged,7731,16,19,,7
"Only check ""is indexed"" for a day",2019-12-05,Merged,7729,107,27,,2
Fix null reference exception when GitHub usage is not yet initialized,2019-12-04,Merged,7727,18,1,,2
[MSA] Encourage users to enable 2FA,2019-12-06,Merged,7725,522,45,css less json ,16
Removed unused TrustedHttpsCertificates since it is no longer used,2019-12-03,Merged,7724,0,2,,1
Merge branch 'dev' into master,2019-12-03,Merged,7722,"1,439","1,762",css less csproj ,18
Rename PackageVulnerability's ReferenceUrl to AdvisoryUrl and make it required,2019-12-11,Merged,7721,239,28,csproj resx ,14
"Adding the ""USNC-Preview"" ""region"" for functional tests",2019-12-03,Merged,7719,1,1,,1
[Token scanning-Phase 1-4] Audit at Gallery,2019-12-04,Merged,7715,76,27,cshtml ,13
Deployment label log enrichment,2019-11-27,Merged,7713,29,14,csproj cshtml ,11
Link to 'evaluate packages' documentation,2019-11-22,Merged,7712,5,0,,1
Use ef6.exe instead of migrate.exe,2019-11-21,Merged,7711,42,28,,3
Dropped the `DiagnosticMonitorTraceListener` usage.,2019-11-22,Merged,7709,0,18,,1
Removed the perf logging for the external search calls,2019-11-20,Merged,7708,0,325,csproj ,12
[Token scanning-Phase 1-3] API keys profile page,2019-11-19,Merged,7700,61,3,less cshtml js ,5
Merge dev into master for deployment,2019-11-15,Merged,7698,"1,168",208,cs json ,21
Point api/v2/curated-feeds to main V2 feed,2019-11-18,Merged,7697,25,"1,116",,8
Allow to specify KeyVault cert store and location.,2019-11-15,Merged,7693,17,1,,1
Allow admins to see users' MFA setting on profile page,2019-11-12,Merged,7692,5,1,cshtml ,2
Newly pushed packages that are vulnerable should be marked vulnerable on upload/push (to DEV),2019-11-12,Merged,7691,326,11,resx csproj ,11
Make server-side OData cache configurable,2019-11-13,Merged,7690,769,101,csproj json ,14
Ingest first patched version of security vulnerabilities from the GitHub API,2019-11-15,Merged,7686,278,32,cs resx ,16
Newly pushed packages that are vulnerable should be marked vulnerable on upload/push,2019-11-11,Merged,7679,326,11,resx csproj ,11
Manage Package page forms should link back to the Manage page,2019-11-06,Merged,7678,116,74,cshtml ,5
"[Token scanning-Phase 1-2] Select, revoke and block.",2019-11-16,Merged,7676,"1,261",256,csproj resx ,11
Update minClientVersion to 5.3.0,2019-11-05,Merged,7675,22,2,,2
Fix nuspec for GitHubVulnerabilities2Db,2019-11-04,Merged,7673,1,1,,1
[ReleasePrep][2019.11.04]RI of dev into master,2019-11-05,Merged,7672,"4,418",56,ps1 config cs ,10
GitHubVulnerabilities2Db should sign third-party assemblies,2019-11-04,Merged,7671,1,0,,1
Add storage abstractions for list and snapshots,2019-11-04,Merged,7670,170,1,cs ,9
Removes the height differences when switching to the organization page,2019-11-04,Merged,7667,1,1,,1
RI dev-merge to master,2019-10-31,Merged,7666,36,4,,7
[Gravatar] Proxy the en.gravatar.com subdomain,2019-11-01,Merged,7664,91,7,json ,6
Add GitHubVulnerabilities2Db Job,2019-10-31,Merged,7663,"2,404",1,ps1 config cs ,10
Add PackageVulnerabilityService,2019-10-31,Merged,7661,747,21,cs ,6
Add vulnerabilities entities,2019-10-31,Merged,7660,393,2,csproj ,10
Add odata.org to Microsoft domains,2019-10-25,Merged,7647,5,0,,2
[MSA] Audit the external credential for attempted login in Gallery,2019-10-29,Merged,7645,31,4,,5
[Token scanning-Phase 1-1] Admin page to verify the token,2019-11-04,Merged,7644,589,21,cshtml csproj ,8
[ReleasePrep][2019.10.22]RI dev into master,2019-10-23,Merged,7643,493,681,config cs ,19
Add better messaging when SxS page is disabled,2019-10-21,Merged,7639,254,221,,2
Update Jobs Packages,2019-10-21,Merged,7636,3,3,,3
[Gravatar Proxy] Add functional test,2019-10-18,Merged,7635,50,1,csproj ,4
Update Microsoft.Extensions packages,2019-10-18,Merged,7634,122,355,config ,12
Merge branch 'dev' into master,2019-10-14,Merged,7627,83,51,less cs cshtml ,13
Merge branch 'master' into dev,2019-10-14,Merged,7626,1,1,,1
Add nuget.org and nugettest.org to the HTTP URL rewrite list,2019-10-11,Merged,7624,29,13,,3
Add configuration support for heartbeat interval to NuGetGallery,2019-10-15,Merged,7622,62,49,cs config ,12
[DB Migration] Use new EF6.3 and remove the fix.,2019-10-17,Merged,7619,20,70,cs ,14
[HOTFIX] Add missing period,2019-10-10,Merged,7618,1,1,,1
[DB Migration] Use new EF6.3 and remove the fix.,2019-10-11,Closed,7615,33,137,cs ,12
Display SHA-256 instead of SHA-1 for user certificates,2019-10-10,Merged,7614,54,38,less cs cshtml ,13
Merge branch 'dev' into master,2019-10-09,Merged,7613,267,177,ps1 props targets csproj cs ,17
Merge branch 'master' into dev,2019-10-09,Merged,7612,50,3,,2
[Gravatar Proxy] Address legal and privacy concerns,2019-10-09,Merged,7611,164,26,cshtml ,4
Fix for iconUrl deprecation message appearing for packages without any icon,2019-10-08,Merged,7608,23,1,,2
[Hotfix] Fix AAD login issues for some tenants.,2019-10-06,Merged,7606,50,3,,2
Merge master into dev,2019-10-03,Merged,7604,141,17,cs ,6
Handle RequestTelemetry.Url == null (AI intermediate requests),2019-10-03,Merged,7603,31,9,,2
Replacing enum StorageType with static class of constants by the same…,2019-10-04,Merged,7602,8,8,,4
Re-align AppInsights with dev branch,2019-10-02,Merged,7600,122,53,config cs ,8
Fix AppInsights request telemetry,2019-10-02,Merged,7599,46,7,,2
"Revert ""Upgrade to AppInsights v2.10 (#7499)""",2019-10-02,Merged,7596,46,76,cs config ,7
[HOTFIX] Show pending organization members,2019-09-30,Merged,7591,64,1,,2
[SDL] Validate HTTPS certificates in functional tests,2019-09-27,Merged,7587,0,61,csproj ,8
[ReleasePrep][2019.09.26]RI of dev into master,2019-09-27,Merged,7584,"2,123",419,css less csproj cshtml json ,16
[ReleasePrep][2019.09.26]FI of master into dev,2019-09-26,Merged,7583,0,0,,0
Batch sign the binaries,2019-09-30,Merged,7581,72,81,ps1 props targets csproj ,12
Warn owners when ReadMe contains images that would be rewritten,2019-09-26,Merged,7580,116,57,csproj js cshtml ,13
Feature flag to enable icons from flat container only,2019-09-26,Merged,7577,76,36,,4
[SDL] Proxy gravatar images,2019-09-27,Merged,7572,988,101,cshtml json ,11
Do not throw if trying to list an unlisted package that is marked latest,2019-09-17,Merged,7566,1,46,,2
[MSA] Use EmailClaim instead of preferred_username during auth/register,2019-09-17,Merged,7565,9,8,,2
DEV Secure database access on AutocompleteDatabasePackage*Query classes.,2019-09-16,Merged,7564,654,109,csproj ,11
Enable sending mails to users.,2019-09-18,Merged,7563,1,2,,1
"Revert ""Secure database access on AutocompleteDatabasePackage*Query classes.""",2019-09-16,Merged,7562,109,654,csproj ,14
Rewrite http images to https.,2019-09-19,Merged,7561,87,9,,4
IconUrl deprecation message.,2019-09-24,Merged,7556,90,7,cs resx ,6
Secure database access on AutocompleteDatabasePackage*Query classes.,2019-09-16,Merged,7554,654,109,csproj ,11
Render dotnet-new-install for template packages,2019-09-20,Merged,7548,17,1,cshtml ,3
[ReleasePrep][2019.09.11]FI of master into dev,2019-09-11,Merged,7546,43,37,cs cshtml ,13
Hotfix: Stats index page should not use integers to store download counts,2019-09-11,Merged,7545,37,37,cshtml ,12
Build&Sign config for GalleryTools,2019-09-12,Merged,7541,39,4,targets nuspec csproj cs ,5
"Mitigate ""Internal Server Error"" on package uploads",2019-09-11,Merged,7540,47,7,,2
Minor icon fixes,2019-09-10,Merged,7539,5,5,resx cshtml ,4
[ReleasePrep][2019.09.10]RI of dev into master,2019-09-13,Merged,7538,"1,715",465,targets csproj cs css less nuspec ,13
[SDL] Gallery.Core uses the SHA512 for copy checks.,2019-09-10,Merged,7530,150,29,,3
"Fix codeowners bug, misstyped (miscopied) alias for @cristinamanum",2019-09-09,Closed,7527,1,1,,1
Update CODEOWNERS file,2019-09-09,Merged,7526,1,1,,1
Add codeowners for the NuGetGallery repo to get reviews requested automatically,2019-09-09,Merged,7523,6,0,,1
Add organization membership and transform actions use POST,2019-09-09,Merged,7522,826,83,csproj ,6
Fix timezone issues,2019-09-09,Merged,7521,6,3,,1
Update to latest ServerCommon to react to method rename,2019-09-09,Merged,7520,26,26,cs ,8
Make the readme show more link not jump to the top of the page,2019-09-06,Merged,7519,2,1,,1
Merge branch 'master' into dev,2019-09-06,Merged,7517,0,1,,1
"[Hotfix] Revert ""Click on ""show more"" should not scroll page to top (#7420)""",2019-09-06,Merged,7516,0,1,,1
Make package ownership accept / reject require POST,2019-09-08,Merged,7515,272,31,less cs cshtml ,9
Use AppInsights instead of System.Diagnostics.Tracing in DiagnosticsService,2019-09-10,Merged,7513,135,155,,6
Add site admin check for tenant,2019-09-06,Merged,7511,116,3,resx config ,8
Add abbr tags to hidden column headers in display package version history table,2019-09-10,Merged,7510,2,2,,1
[ReleasePrep] RI dev to master,2019-09-05,Merged,7508,"1,347",449,cs csproj cshtml ,17
[ReleasePrep] master to dev FI,2019-09-05,Merged,7507,2,0,,0
Order by created ascending by default in FindPackagesById(),2019-09-05,Merged,7505,235,8,,5
[SDL] Use HttpClient instead of HttpWebRequest,2019-09-06,Merged,7504,93,120,,8
Add token expiration of 14 days,2019-09-06,Closed,7502,729,107,csproj resx ,11
Fix #6622 via CSS (multiline on verify page),2019-09-20,Merged,7501,11,0,less ,2
Upgrade to AppInsights v2.10,2019-09-26,Merged,7499,76,46,cs config ,7
Make the cancel ownership request endpoint just redirect to Manage Owners,2019-08-30,Merged,7498,105,111,js cshtml ,9
Use POST for admin actions,2019-08-30,Merged,7497,122,58,cs ,10
Make log off operation only accept POST,2019-08-29,Merged,7493,57,48,cs csproj js ,8
Change commit SHA to point to updated ServerCommon build scripts,2019-08-28,Merged,7491,1,1,,1
Add tracing to CSRF test and exclude non-actions,2019-08-29,Merged,7488,104,55,cs csproj js ,9
Documenation for #7475 - SQL 2016 prerequisite,2019-08-27,Merged,7484,2,0,,0
Add message to self service delete.,2019-08-27,Merged,7480,13,0,resx ,3
