Add Ukrainian language,2020-01-06,Closed,3207,"23,593","25,385",gitmodules gradle ,3
Downgraded Ubuntu version on travis to hopefully fix #3144.,2019-12-25,Merged,3198,2,1,properties ,2
Switched to Gradle 5 on Minecraft 1.7.10,2019-12-31,Merged,3197,52,49,properties ,2
Update ru_RU.lang,2019-12-19,Merged,3185,6,0,,1
Use rawequal for comparison in pcallTimeoutCheck,2019-11-21,Merged,3178,1,1,,1
Test,2019-11-17,Closed,3177,181,3,gradle properties scala java ,9
Added Ordis (Warframe),2019-08-23,Merged,3147,1,0,,1
automatically adjust resolution to fit entire screen,2019-07-28,Closed,3132,37,0,,1
"add SimpleLogic support, close #3023",2019-07-26,Merged,3130,105,2,properties java lang scala ,8
"Fixed ""Dev jar"" link in read-me",2019-06-04,Merged,3101,2,2,,0
More HTTP request methods #1938,2019-06-15,Merged,3100,11,13,scala ,2
"fixes issue ""problem with enchanted instruments"" #3050",2019-05-29,Closed,3099,2,4,,1
"fixes issue ""itemDamageRate Do not Work"" #3041",2019-06-15,Merged,3098,10,10,,1
Explicit type conversion for hash map (#3080),2019-06-12,Merged,3083,7,4,,1
AE2 Cells don't have extra information they should,2019-06-04,Merged,3082,9,0,,1
call uptime instead of using cached time,2019-02-28,Merged,3059,9,9,,1
Update build.gradle,2019-06-15,Closed,3049,1,1,,1
Update robot.names,2019-06-15,Merged,3039,1,0,,1
Add \v escape sequenz,2019-02-02,Merged,3024,3,1,,1
Fixed some container names being unlocalized on 1.11+,2019-02-05,Merged,3022,3,3,,3
Update robot.names,2019-02-02,Merged,3016,4,3,,1
Update robot.names,2018-12-31,Closed,3015,3,2,,1
Make it possible to use an analyzer as a tablet upgrade for reading component IDs.,2019-06-15,Merged,3009,110,0,,4
Add env.lua,2018-12-17,Closed,3001,5,0,,1
Add .man extension to all Manpages,2018-12-17,Closed,3000,0,0,,47
Fix not honoring event handler timeouts and cursor issues in OpenOS,2019-02-07,Closed,2993,61,12,,3
Fixed T1 wireless cards receiving wired messages,2019-02-02,Merged,2992,3,0,,1
"Add ""leashHolder"" as a name",2018-11-05,Merged,2978,1,1,,1
Gave brief idea on computer programming,2018-10-27,Closed,2969,2,1,,0
Changed log level of some messages to reduce console spam,2018-10-07,Merged,2956,19,19,,4
Fix transferItem checking the wrong side (updated),2018-09-17,Merged,2946,2,2,,1
Fix transferItem checking the wrong side,2018-09-16,Closed,2945,2,2,,1
Add new symbols for the Ukranian language,2018-09-14,Closed,2943,0,0,,0
thaumcraft compatibility improvement,2019-06-30,Closed,2942,30,1,,1
Improved chunkloader upgrade,2018-10-31,Closed,2933,480,82,scala ,7
Adding Cut/Uncut operations to OpenOS editor,2018-10-31,Merged,2927,42,4,,1
Changed log level of some messages to reduce console spam,2018-09-01,Merged,2920,19,19,,4
Add lua 5.2 native library for Solaris i386,2018-08-07,Closed,2916,15,1,scala ,2
