Moved the hard-coded shroud palette to the C&C folder,2020-01-12,Merged,17579,2,1,,1
Restore red lines for harvester targets.,2020-01-12,Merged,17576,2,2,,2
Fix the Build function in gdi04b,2020-01-12,Merged,17569,5,1,,1
Fix Texture.GetData under GLES.,2020-01-12,Merged,17566,25,3,,2
Make chat labels configurable in mod.yaml,2020-01-09,Closed,17563,179,127,lua ,15
Fix cargo initialisation,2020-01-12,Merged,17561,28,17,,1
Register mod metadata in both the active and legacy user support dirs.,2020-01-12,Merged,17557,90,68,,2
Restore MODIFIER_OVERRIDES handling of unmodified attack move hotkey.,2020-01-12,Merged,17552,8,14,,1
Use system chat line for audio muted/unmuted notifications,2020-01-04,Merged,17550,2,2,,1
Update the year numbers in all license headers to 2020,2020-01-05,Merged,17544,"1,494","1,494",,50
"Documented ""mpspawn""",2020-01-02,Closed,17543,14,5,,3
Bypass fingerprint validation for skirmish/mission servers.,2020-01-01,Merged,17542,36,22,,4
Moved the AssetBrowserFileEndingsFilter to IGlobalModData,2020-01-13,Merged,17539,33,6,yaml ,8
Don't hard-code the transparent background color,2020-01-05,Merged,17538,10,4,,2
Remove a leftover geoip reference from the linux packaging script,2019-12-31,Merged,17535,1,1,,1
Remove dublicate function,2019-12-31,Merged,17533,0,4,,1
Remove automatic GeoIP download from the build scripts.,2019-12-31,Merged,17530,5,42,ps1 nsi sh ,5
Split fixed-wing attack and strafe attack types.,2020-01-12,Merged,17524,151,24,yaml ,6
TakeCover fixes,2019-12-30,Merged,17522,47,8,,3
Fixed a crash when hardware cursor is null,2020-01-05,Merged,17519,1,1,,1
Overhaul cursor loading,2020-01-04,Merged,17517,45,43,,1
Filter invalid actor IDs when restoring selection save data.,2019-12-28,Merged,17512,2,2,,1
Render editor cursor previews as part of the world,2020-01-12,Merged,17509,348,180,,5
Pass DamageTypes in Explodes,2019-12-28,Merged,17505,1,1,,1
Fix naming in editor,2020-01-11,Merged,17496,5,0,,1
Prepare RA chrome for fractional DPI/UI scaling,2020-01-12,Merged,17495,413,423,yaml ,6
Prepare TD and content installer chrome for fractional DPI/UI scaling,2020-01-12,Merged,17494,215,222,,1
Overhaul chrome.yaml and panel rendering,2019-12-28,Merged,17489,"2,736","3,899",,4
Fix an indentation style issue in TransformsIntoAircraft,2019-12-28,Merged,17485,2,1,,1
Add a hotkey to cycle harvesters,2020-01-02,Merged,17482,71,2,yaml ,4
Remove a nowadays unnecessary loop safeguard,2019-12-23,Merged,17480,1,2,,1
Move voice playing for orders into a helper function,2019-12-23,Merged,17479,19,11,,1
Move unit order resolving into a helper function,2019-12-23,Merged,17478,8,4,,1
Make the command bar directly check if a GuardOrderGenerator is active,2020-01-12,Merged,17475,1,2,,1
Remove ISync from RallyPoint,2019-12-15,Merged,17473,1,1,,1
Fix ModContent cursor.,2019-12-15,Merged,17471,7,7,png shp yaml ,6
Improve discoverability of dummy sound device,2019-12-29,Merged,17470,145,113,yaml ,4
Fix shader compile errors with nvidia drivers,2019-12-27,Merged,17468,2,2,,1
Fix duplicated/distorted SequencePlaceBuildingPreview annotations.,2019-12-28,Merged,17467,0,3,,1
Fix WithTextDecoration rendering with RequiresSelection: false,2019-12-28,Merged,17465,3,7,,1
Fix bots using player actor powers after defeat,2019-12-30,Merged,17463,11,2,,1
Fix crash in RallyPointIndicator.,2020-01-11,Merged,17462,32,22,,1
Fix for mod credits overriding engine credits,2019-12-23,Merged,17460,6,7,cs ,2
