Fix picking-up of screen change/resize,2019-12-06,Merged,628,15,8,,1
Expands the list of keys that are do not work in a steplist,2019-11-27,Merged,626,11,11,,1
Separate apps + installers,2019-11-27,Merged,625,"29,699","14,862",sln licenseheader aip ail ,45
Separate apps + installers,2019-11-25,Closed,624,"15,881","2,885",gitignore aip ail ,6
Fixes bug with transparency,2019-11-25,Merged,622,284,142,,5
Add missing resource,2019-11-22,Merged,621,7,6,resx ,2
"Adds plugins, additional style options, and bug fixes to dynamic keys",2019-11-22,Merged,620,275,130,,4
Refactoring and bug fixing,2019-11-19,Merged,619,271,185,,3
Refactor of DynamicKeyboard to remove goto,2019-11-15,Merged,617,78,57,,1
Key state and looping files for review,2019-11-14,Merged,616,"1,558",164,csproj ,8
Adam roden master,2019-11-11,Closed,615,"1,452",134,csproj ,8
WIP DynamicKeyboards,2019-11-07,Closed,614,"3,727","1,534",cs xaml ,9
Improvements to WindowManipulationService,2019-11-01,Merged,612,164,214,,2
Hungarian,2019-11-01,Merged,611,"328,934","19,318",cs ,3
WindowManipulation improvements,2019-10-31,Closed,610,0,0,,0
Dynamic Changes for Review Only,2019-10-30,Closed,609,"1,290",281,cs xaml ,9
Adds new new features to dynamic keyboards and patches navigation bet…,2019-10-28,Closed,606,"1,049",188,cs xaml ,7
Enable color overrides on xml keyboards,2019-10-10,Merged,604,64,28,xaml ,8
Dynamic keyboard color overrides and scratchpad control,2019-10-09,Closed,603,363,67,cs xaml ,12
Patches size and position changes related to dynamic keyboards,2019-10-03,Merged,601,416,367,,5
Additional modifications for dynamic keyboard size and positioning.,2019-10-03,Closed,600,201,163,,7
Updade Alpha1.xaml Portuguese,2019-09-30,Closed,597,15,19,,1
Dynamic Keyboard Enhancements,2019-09-30,Merged,596,499,63,csproj ,7
Magnifier Modifications,2019-09-21,Merged,594,113,51,resx settings ,6
Magnifier Center on Cursor,2019-09-11,Closed,593,"1,592","1,261",resx ,3
Add link to contributing page in README,2019-09-06,Merged,587,4,0,,0
Make sure changes in resolution are picked up.,2019-09-06,Merged,586,4,0,,1
Symbol orientation fix for #581,2019-09-09,Merged,585,55,33,cs xaml ,4
Add build dependency for plugins,2019-08-28,Merged,582,3,0,,1
Update Resources.resx,2019-08-14,Merged,580,3,3,,1
Update Resources.resx,2019-08-13,Closed,579,7,7,,1
Update Resources.resx,2019-08-12,Closed,578,11,11,,1
Update Resources.ja-JP.resx,2019-08-14,Merged,577,3,3,,1
Finnish,2019-07-26,Merged,576,"97,427",289,,1
added hebrew locale,2019-07-26,Merged,575,"103,397",203,cs csproj resx ,8
Finnish,2019-07-21,Merged,573,16,10,,1
Finnish language support,2019-07-18,Merged,572,"97,291",444,,1
Rename directory,2019-07-18,Merged,571,20,20,yml md csproj ,3
Farsi,2019-06-18,Merged,570,"110,088",170,,0
Log the user's settings.,2019-06-03,Merged,567,28,0,,1
Allows saving of special characters for key string value settings,2019-02-27,Merged,543,1,1,,1
Georgian,2019-02-13,Closed,539,"90,674","3,847",cs csproj ,7
Implement simplified keyboards (blocks) in Georgian,2019-02-13,Merged,538,"2,786",71,csproj xaml ,8
Georgian,2019-02-08,Merged,537,"87,945",128,cs csproj ,6
Update ConversationAlpha1.xaml,2019-01-30,Merged,535,1,1,,1
Update Alpha1.xaml,2019-01-21,Merged,534,1,1,,1
