Fix workspace interpreter on first load,2020-01-14,Merged,5969,19,11,,2
Django option fix,2020-01-13,Merged,5967,1,1,,1
Delay launching web browser for debugging web projects,2020-01-09,Merged,5960,12,4,cs ,2
Bug Fix for Unexpected Error while loading Python project,2020-01-08,Merged,5958,3,4,,1
Fix the VS16 file association for .py .pyw .pyi,2020-01-09,Merged,5957,7,1,swr ,2
LEGO: Pull request from lego/hb_839_20200107204029837 to master,2020-01-07,Merged,5950,1,1,,1
LEGO: Pull request from lego/hb_839_20200107144056523 to master,2020-01-07,Merged,5949,2,2,,1
[WIP] Updating VS to use PTVSD 5.*,2020-01-08,Merged,5948,498,475,resx csproj ,6
Set the msbuild global platform variable to the active configuration platform,2020-01-07,Merged,5947,2,4,,1
LEGO: Pull request from lego/hb_839_20200106024038164 to master,2020-01-06,Merged,5946,3,3,,1
Add LiveShare support,2020-01-10,Merged,5943,"1,066",507,csproj cs ,7
Fix some ReplWindowSendUITests,2019-12-16,Merged,5940,45,180,cs ,5
Handle reset repl + changing repl environment,2019-12-16,Merged,5938,93,617,,8
changing “Visit the distributer window” to a link instead of a button,2019-12-13,Merged,5936,33,20,cs ,2
LiveShare fix,2019-12-11,Merged,5933,55,13,,1
Fix REPL completion exception,2019-12-10,Merged,5932,4,3,,1
Allow use of 2 different language servers,2019-12-06,Merged,5929,563,249,resx csproj ,5
LSC: Interactive window completions use incorrect expression to calcu…,2019-12-04,Merged,5918,615,9,,1
Prevent crash when creating environment script directory,2019-11-26,Merged,5916,7,0,,1
Fix crash on unrecognized/unsupported python versions,2019-11-26,Merged,5914,8,1,,2
Package manager fixes,2019-11-26,Merged,5913,399,23,py cs ,3
Fix ConvertPathToModuleName implementation for BuildTasks.Core.,2019-11-25,Merged,5912,10,69,cs ,3
LSC: ArgumentOutOfRange exception while formatting document  Fix #5879,2019-12-13,Merged,5909,93,83,,5
Fix for format document sometimes deleting lines of code.,2019-11-22,Merged,5906,58,14,,2
LEGO: Pull request from lego/hb_839_20191120144040106 to master,2019-11-20,Merged,5904,4,1,,1
LEGO: Pull request from lego/hb_839_20191120024044577 to master,2019-11-20,Merged,5902,5,2,,1
Remove failing UI tests,2019-11-20,Merged,5901,705,680,,2
Fixing UI tests,2019-11-19,Merged,5900,14,6,,2
LEGO: Pull request from lego/hb_839_20191119204121867 to master,2019-11-20,Merged,5898,42,36,,0
LEGO: Pull request from lego/hb_839_20191119144057457 to master,2019-11-19,Merged,5897,28,10,,5
LEGO: Pull request from lego/hb_839_20191119084025937 to master,2019-11-19,Merged,5896,6,3,,1
LEGO: Pull request from lego/hb_839_20191119024041540 to master,2019-11-19,Merged,5895,10,4,,2
LEGO: Pull request from lego/hb_839_20191118204020541 to master,2019-11-19,Merged,5890,5,2,,1
Fix debug interactive window bug,2019-11-14,Merged,5883,33,8,,2
Fix invalid path bug,2019-11-12,Merged,5871,5,0,,1
Change accelerator key from 'p' to 'u' for launch profiling menu item,2019-11-12,Merged,5870,1,1,,1
"fix button alignment, 2 items were slightly to the right",2019-11-26,Closed,5867,2,2,,1
Accessibility fix: Hide unused textblocks in Environments Window,2019-11-12,Merged,5866,7,0,,1
Native debugger fix,2019-11-06,Merged,5859,1,0,,1
Native debugger fix,2019-11-05,Merged,5858,1,0,,1
LEGO: Pull request from lego/hb_839_20191105084026229 to master,2019-11-11,Merged,5856,1,1,,1
Flow master to 16.4 branch,2019-10-25,Merged,5848,"140,832","56,178",csproj resx txt nonadmin pyd dll py ,71
LEGO: Pull request from lego/hb_839_20191023024048285 to master,2019-10-23,Merged,5837,6,0,,2
Editorconfig and codebase cleanup,2019-11-12,Merged,5836,197,0,,1
LEGO: Pull request from lego/hb_839_20191022204023337 to master,2019-10-22,Merged,5834,145,28,,5
LEGO: Pull request from lego/hb_839_20191022144054316 to master,2019-10-22,Merged,5833,144,6,,6
LEGO: Pull request from lego/hb_839_20191021204034866 to master,2019-10-22,Merged,5832,31,22,,1
LEGO: Pull request from lego/hb_839_20191018204037752 to master,2019-10-23,Merged,5831,48,0,,2
LEGO: Pull request from lego/hb_839_20191018144048726 to master,2019-10-18,Merged,5830,24,0,,1
LEGO: Pull request from lego/hb_839_20191017204028743 to master,2019-10-17,Merged,5828,3,21,,1
LEGO: Pull request from lego/hb_839_20191017024054845 to master,2019-10-17,Merged,5825,40,298,,6
LEGO: Pull request from lego/hb_839_20191016204031800 to master,2019-10-17,Merged,5824,37,88,,1
Issue 5291 native debugger 10 10,2019-10-18,Merged,5823,165,209,GlassTestGroup GlassTestProps GlassTestRoot regdef cmd regroot ,18
LEGO: Pull request from lego/hb_839_20191015204033106 to master,2019-10-15,Merged,5819,6,24,,2
LEGO: Pull request from lego/hb_839_20191014024048408 to master,2019-10-14,Merged,5817,43,79,,1
LEGO: Pull request from lego/hb_839_20191013024050409 to master,2019-10-14,Merged,5816,8,41,,3
LEGO: Pull request from lego/hb_839_20191011204038195 to master,2019-10-11,Merged,5815,47,83,,1
Fix new test failures,2019-10-14,Merged,5812,3,2,,2
LEGO: Pull request from lego/hb_839_20191009144048824 to master,2019-10-09,Merged,5807,10,112,,0
Update miniconda to 4.7.10,2019-10-09,Merged,5805,"138,772","53,817",txt nonadmin pyd dll py ,67
Python not supported info bar,2019-10-17,Merged,5802,189,6,resx csproj ,10
LEGO: Pull request from lego/hb_839_20191005000812202 to master,2019-10-05,Merged,5798,3,3,,1
Package manager stops working after closing project Fix #5795,2019-10-07,Merged,5797,0,4,,2
LEGO: Pull request from lego/hb_839_20191004204047474 to master,2019-10-04,Merged,5796,28,334,,0
Info bar fix for cross thread call warning,2019-10-07,Merged,5794,17,7,,5
Fix for an exception related to the collection changing while we are …,2019-10-07,Merged,5791,188,33,csproj ,6
LEGO: Pull request from lego/hb_839_20191003084027156 to master,2019-10-03,Merged,5790,2,2,,1
LEGO: Pull request from lego/hb_839_20191003024043138 to master,2019-10-03,Merged,5789,9,111,,0
"Revert ""Python Projects losing Search Paths on reload fix #5768 (#5781)""",2019-10-02,Merged,5786,4,4,,2
LEGO: Pull request from lego/hb_839_20191002144042538 to master,2019-10-02,Merged,5783,14,116,,0
LEGO: Pull request from lego/hb_839_20191002084018046 to master,2019-10-02,Merged,5782,6,3,,1
Python Projects losing Search Paths on reload,2019-10-02,Merged,5781,4,4,,2
Trying a different form of wild char.,2019-10-02,Merged,5780,1,1,,1
First attempt to exclude Miniconda failed. Trying now with wild chars.,2019-10-01,Merged,5779,1,1,,1
Exclude Miniconda from scan.,2019-10-01,Merged,5778,1,0,,1
Add Sonar properties file.,2019-10-01,Merged,5777,3,0,,1
LEGO: Pull request from lego/hb_839_20191001144041669 to master,2019-10-01,Merged,5774,9,111,,0
Adding back caching packagemanagers so that test frameworks will run …,2019-10-01,Merged,5773,20,30,,2
Assigning priorities to tests,2019-10-03,Merged,5772,900,857,csproj sln ,9
Minor namespace and license header cleanup.,2019-09-30,Merged,5771,21,24,,8
Update Microsoft.VisualStudio.Text.Internal to 16.4 version.,2019-09-30,Merged,5770,1,1,dll ,2
Bschnurr/fix/setup docs,2019-09-30,Merged,5769,2,2,,1
TestExplorer displays extra child nodes for pytest parameter sets con…,2019-09-28,Merged,5767,32,6,py ,3
Unittest test discovery misses tests in folder after adding __init__.…,2019-09-26,Merged,5762,89,66,,1
LEGO: Pull request from lego/hb_839_20190925204036505 to 16.3,2019-09-25,Merged,5761,2,2,,1
Bschnurr/refactor/test discovery,2019-09-26,Merged,5760,120,225,csproj ,9
Moving everying exception /Pytest /UnitTest and /PythonFiles into a /…,2019-09-25,Merged,5759,16,16,csproj ,15
removing model folder,2019-09-25,Merged,5758,1,1,csproj ,2
trying to simplify ExecutorService by removing CodeCoverage logic.,2019-09-25,Merged,5757,185,136,csproj ,5
fix TestExplorer displays wrong duration with pytest,2019-09-25,Merged,5756,45,2,,2
[wip] Bschnurr/add/discovery refactor,2019-09-24,Closed,5750,69,102,resx ,5
"Removing ""Test container source not found"" warning",2019-09-24,Merged,5749,196,98,resx csproj ,7
replacing testcontainer version number with cached timeStamp,2019-09-19,Merged,5748,41,44,,2
LEGO: Pull request from lego/hb_839_20190917144047262 to 16.3,2019-09-17,Merged,5735,23,20,,4
Adding a new UI test for testing pytest.ini in a submodule folder,2019-09-17,Merged,5732,46,0,ini py ,3
Adding UI tests for debbugging Test Explorer tests.,2019-09-24,Merged,5731,119,12,,4
Cleanup Services\ExecutorService.cs of pytest specific code,2019-09-16,Merged,5724,172,74,csproj ,5
Fixed TestLinkedWithProjectHome,2020-01-14,Closed,5723,10,4,csproj ,2
Fix issue with executing the activate_this script,2019-09-12,Merged,5722,3,1,,1
Unable to cancel a running pytest Fix #5542,2019-09-12,Merged,5721,33,4,,3
Fixing broken UI tests for Text ExplorerTests,2019-09-12,Merged,5720,47,17,py ,6
Fix for FieSystemWatcher not sending an event when saving edits in Vi…,2019-09-12,Merged,5717,20,7,,3
LEGO: Pull request from lego/hb_839_20190910024045721 to 16.3,2019-09-11,Merged,5716,9,111,,0
Fix the start debugging command caption,2019-09-09,Merged,5713,11,14,,1
LEGO: Pull request from lego/hb_839_20190908024039708 to 16.3,2019-09-09,Merged,5711,30,150,,1
Fix the start debugging command caption,2019-09-09,Merged,5710,11,14,,1
Allow selecting language version 3.8 in the add/edit environment UI,2019-09-06,Merged,5709,4,2,,2
Add support for profiling on Python 3.8.,2019-09-06,Merged,5708,162,21,cpp h ,6
LEGO: Pull request from lego/hb_839_20190906204037221 to 16.3,2019-09-06,Merged,5706,35,155,,1
Revert update of Newtonsoft.Json,2019-09-05,Merged,5703,1,1,,1
Update references to Newtonsoft.Json.,2019-09-05,Closed,5702,7,7,,7
Bschnurr/cherrypick telemetry16.3,2019-09-05,Merged,5701,71,27,,8
add env activate before test discovery and execution,2019-09-10,Merged,5699,86,145,cs ,7
Update LinkedFileTests.cs,2019-09-06,Closed,5696,3,1,,1
fix testdiscoverysession telemetry,2019-08-30,Merged,5691,71,27,,8
LEGO: Pull request from lego/hb_839_20190829204030350 to 16.3,2019-08-29,Merged,5686,2,2,,1
LEGO: Pull request from lego/hb_839_20190829084408144 to 16.3,2019-08-29,Merged,5672,27,18,,9
Update BasicProjectTests.cs,2019-08-29,Merged,5671,1,1,,1
Update nuget packages and test dependencies,2019-09-03,Merged,5665,234,95,py dll cs csproj ,8
Add unit test for EnumerateUserFiles,2019-09-03,Merged,5664,143,6,,6
Fix running unit test in non-activated conda environment,2019-09-04,Closed,5662,141,157,cs ,9
LEGO: Pull request from lego/hb_839_20190827144037697 to master,2019-08-27,Merged,5661,7,4,,2
LEGO: Pull request from lego/hb_839_20190827084031521 to master,2019-08-27,Merged,5659,2,2,,1
