Add support for Stripe v6,2019-11-03,Closed,808,1,1,,1
Missing comma,2019-07-09,Merged,807,1,1,,0
Add Quickpay gateway,2019-02-11,Merged,795,1,0,,0
doc(symfony): add guide to show how encrypt Gateway configurations in database,2019-03-06,Merged,794,155,1,,0
doc(symfony): improve documentation for Gateway configuration in backend,2019-02-01,Merged,793,101,6,,0
fix PayPal express checkout status action,2018-12-18,Merged,786,18,18,,2
Extend throwable on exception interface,2019-01-05,Closed,785,1,1,,1
Allow configure image and title for stripe checkout modal,2018-11-01,Closed,781,62,0,php ,5
Moved to psr-4,2018-10-30,Merged,779,1,1,,1
Update .travis.yml,2018-10-30,Merged,778,3,1,,1
Use stable payum/core 1.5,2018-10-30,Merged,777,15,15,,15
Mark tagged services as public in documentation,2018-09-20,Merged,775,4,0,,0
#760 Fix verifying URI,2018-07-25,Closed,773,1,1,,1
"Fix deprecation comments, use proper phpdoc #771",2018-07-25,Merged,772,13,13,,10
"Improved spelling, punctuation and readability",2018-07-03,Closed,768,8,8,,0
"Improved spelling, punctuation and readability",2018-07-03,Closed,767,4,4,,0
add community gateway for PAYONE to docs,2018-06-11,Merged,763,1,0,,0
adds conflict with league/uri-components: <1.7.1,2018-03-28,Merged,752,3,0,,1
Add support for Subject authorization,2018-03-28,Merged,751,5,0,,1
Fix service definition,2018-02-14,Merged,739,1,0,,0
[Paypal Express Checkout nvp] Introduce the TransactionSearch paypal api endpoint,2018-02-07,Merged,735,287,0,,5
Add service alternative to register the gateway,2018-01-23,Merged,733,9,1,,0
[stripe] add create subscription action.,2018-01-03,Merged,731,89,0,,3
use rawurldecode in HttpRequestVerifier,2018-01-04,Merged,730,81,3,,5
"Drop PHP5, Symfony 2. Add Symfony 4. Upgrade phpunit",2017-12-22,Merged,726,990,785,md json php ,19
Master is 1.5 now,2017-12-22,Merged,725,47,47,,17
[payex] upd test wsdl link,2017-12-22,Merged,724,10,6,,3
use league/uri 5,2017-12-22,Merged,723,15,25,json php ,7
Change community gateway for Braintree,2017-12-06,Merged,720,1,1,,0
allow league/uri 5,2017-12-14,Closed,718,1,1,,1
+ custom payment page how-to for symfony,2017-12-04,Merged,717,116,0,,0
Update get-it-started.md,2017-11-06,Merged,708,4,0,,0
Create overview,2017-12-22,Closed,702,27,0,,1
Remove `suggests`,2017-10-22,Merged,701,0,9,,1
Get the sample code running,2017-12-22,Closed,697,38,5,,0
Some docs improvements,2017-10-20,Merged,695,15,18,,0
Removed unused use referencing Sonata Admin Bundle,2017-10-23,Merged,690,0,1,,1
Added refund and payout actions to offline gateway,2017-09-27,Merged,689,566,2,,7
Fix broken links to omnipay gateways,2017-09-22,Merged,687,2,2,,0
Update supported-gateways.md,2017-09-20,Merged,686,2,0,,0
Missing variables,2017-09-11,Merged,681,4,0,,0
integrate omnipay-v3-bridge,2017-09-01,Merged,680,24,0,php ,1
Make Payum compatible with OmnipayBridge 2.0,2017-09-01,Closed,679,17,24,json php ,3
"[Sofort] Fix status action and cover with tests, make docs correction",2017-08-06,Merged,672,201,5,php ,2
Checkout: Automatically choose language,2017-07-17,Merged,668,2,1,,1
Check that the gateway factory exists,2017-07-17,Merged,667,1,1,,1
Minor gramatical changes,2017-06-21,Merged,665,5,5,,0
Fix PayPal express checkout NVP Cancel action support scope,2017-06-21,Merged,664,109,107,,6
Add new Uniteller gateway for ^1.4 version,2017-05-16,Merged,658,2,1,,0
Update instant-payment-notification.md,2017-03-29,Merged,648,1,1,,0
[be2bill] Add support of 3dSecure,2017-12-22,Merged,647,18,1,,3
Upgrade 3rd party libs requirments,2017-03-28,Merged,646,9,9,,4
Update examples.md,2017-03-28,Merged,645,5,5,,0
[sofort] Add ability to disable notifications.,2017-03-27,Merged,644,279,2,php dist ,5
Get rid of GatewayAwareAction class usages. Use interface+trait,2017-03-27,Merged,643,990,589,,17
"[stripe] by providing the amount, stripe will validate CVC code",2017-06-09,Closed,642,1,1,,1
[security] Add ability to crypt data stored to database,2017-03-24,Merged,641,719,6,php ,7
Fix broken repo url,2017-03-22,Merged,640,1,1,,0
Fix broken link.,2017-03-22,Merged,639,1,1,,0
[klarna][checkout] Fix default uris options are not set correctly to c…,2017-03-22,Merged,638,2,2,,1
Fixed scripts links,2017-03-22,Merged,637,5,5,,0
"Fix config include, when create a capture url",2017-03-22,Merged,636,1,1,,0
[Core] Create encrypting gateway configuration storage,2017-03-23,Closed,635,449,0,,1
[Hotfix] catchReply on gateway execute method,2017-02-10,Closed,626,12,4,,2
Feature/3dsecure be2bill,2017-03-28,Closed,625,19,1,,2
code style fixes,2017-02-06,Merged,623,158,193,,34
[docs]  Typo fixes and cleanup,2017-02-03,Merged,622,380,140,,0
[docs] Put all docs in one place.,2017-02-02,Merged,621,"3,645",369,,0
Fix comments starting with # are deprecated,2017-01-30,Merged,619,7,7,,1
Add id property to PaymentToken Doctrine Entity,2017-03-22,Closed,618,8,0,,0
Twig 2.x - compatibility,2017-01-30,Merged,617,1,1,,1
Mark reversed payments failed,2016-12-29,Merged,611,20,0,,2
Add STATUS_REVERSED,2016-12-29,Closed,610,74,0,,5
Update CaptureAction.php,2016-12-28,Merged,608,1,0,,1
Small typo-fix in Readme.md,2016-12-15,Merged,604,1,1,,0
Doctrine storage example invalid path,2016-12-09,Merged,603,1,1,,0
Restructure the project documentation,2017-02-02,Closed,602,0,0,,0
php 5.3,2016-10-31,Closed,598,"1,882",560,php ,11
Fix Stripe's CreateCustomerExtension and ConvertPaymentAction,2017-12-22,Closed,596,186,11,,7
Add Stripe Refund Support,2016-10-18,Closed,595,194,0,,3
Fix stripe CreateCustomer extension,2016-10-21,Closed,594,5,0,,2
Remove guzzle.client from the gateway factory config,2016-10-04,Merged,593,0,2,,1
Update AuthorizeAction.php,2016-10-01,Merged,592,2,1,,1
Merchant,2016-09-28,Closed,589,6,0,,2
MerchantESolutions,2016-09-28,Closed,588,3,0,,1
Fix typo,2016-09-20,Merged,587,1,1,,0
Paypal prohosted,2016-09-16,Merged,584,"2,314",3,php md ,7
[stripe] error not detected in some cases.,2016-09-15,Merged,583,29,3,,2
[stripe] add an action to get a credit card token from payment details.,2016-09-15,Merged,582,93,2,md ,3
Paypal do void,2016-09-15,Merged,581,548,1,,7
[security] Add createCancelToken method,2016-09-14,Merged,580,143,0,,3
Adds DoVoid PayPal express NVP method as the gateway's Cancel action.,2016-09-15,Merged,579,699,1,,6
[skeleton] Remove deprecated features from skeleton.,2016-09-12,Merged,578,37,29,,7
Require payum/core 1.3 as minimum version.,2016-09-12,Merged,577,26,26,,13
"Added some fixes, changed some of the english",2016-09-12,Merged,574,6,6,,0
add perfectmoney gateway,2016-09-12,Merged,573,1,0,,0
Remove duplicates from supported-gateways.md,2016-07-26,Merged,563,0,2,,0
Made ApiAwareTrait interface tolerant,2016-07-13,Merged,560,22,2,,2
Fix EntityManager connection closed issue.,2016-07-25,Closed,558,240,14,,4
[paypal][masspay] Fix bugs.,2016-06-09,Merged,550,15,9,php md ,3
some typos,2016-06-08,Merged,547,2,2,,0
Added missing comma to example,2016-06-02,Merged,546,2,2,,0
[twig] Postpone twig configuration and paths injection.,2016-05-31,Merged,545,28,19,,2
Add property to class GetHttpRequest,2016-05-31,Closed,544,6,0,,1
Fix stripe auto open,2016-05-24,Merged,543,1,1,,1
Fixed default client creation issue for CurlAdapter,2016-06-01,Merged,542,85,18,php ,3
Feature/paypal adaptive payments,2017-12-22,Closed,541,732,0,,7
[registry] Improve DynamicRegistry,2016-05-04,Merged,538,379,44,,6
1.2 to master,2016-04-29,Merged,537,23,1,php ,2
[RFC] [Paypal] Add Pro Hosted Solution,2016-09-16,Merged,536,"2,268",0,,6
Keep already created gateway instances,2016-04-20,Merged,530,59,3,,2
[doc] how to contribute from sub repository.,2016-04-19,Merged,527,38,0,,0
[paypal][rest] return the api context in the config closure,2016-04-17,Merged,526,1,1,,1
[action] Add authorize payment action.,2016-04-15,Merged,525,312,0,,3
fixed usage of PENDINGREASON (paymentinfo instead of paymentrequest),2016-04-11,Merged,523,4,4,,3
Add EventDispatcherExtension doc,2016-04-11,Merged,522,56,0,,0
Feature/paypal permissions token auth for expresscheckout,2017-12-22,Closed,521,933,42,json php ,6
[paypal][rest] Fixes and cleanup,2016-03-30,Merged,520,61,61,,8
Support for payments with OTP Hungary,2016-03-29,Merged,516,1,0,,0
[payout] Added Payout model and a generic action for it.,2016-03-28,Merged,515,981,242,php ,7
Payout foundation.,2016-03-25,Merged,512,197,39,php ,5
[paypal] Masspay,2016-03-29,Merged,511,"1,821",219,dist php ,13
Replace deprecated League\Url with League\Uri + My additions,2016-03-25,Merged,510,177,65,php ,4
[POC][stripe] this check does not allow us to use directly posted credit c…,2016-04-30,Closed,509,0,0,,0
[stripe] this check does not allow us to use directly posted credit card.,2016-03-25,Merged,508,36,11,,2
[Symfony Bridge] Action for Symfony Templating Component,2016-03-25,Merged,507,126,0,php ,3
Replace deprecated League\Url with League\Uri,2016-03-25,Merged,506,62,49,php ,8
Using Httplug instead of Guzzle6,2016-03-25,Merged,505,310,178,md json php ,8
[stripe] Subscription billing.,2016-03-24,Merged,504,657,41,md ,6
[bridge][symfony] add obtain credit card action builder.,2016-03-18,Merged,501,99,0,,2
Added parenthesis for method getTokenFactory,2016-03-17,Merged,500,1,1,,0
[WIP] Add BankAccount,2016-03-29,Merged,497,267,5,,6
[DOC] small doc fixes,2016-03-10,Merged,496,2,2,,0
Allow Symfony 3 request stack,2016-03-09,Merged,495,59,13,,2
[skeleton] [doc] Fix missing semicolon,2016-03-08,Merged,494,1,1,,0
[stripe] charge stored card,2016-03-16,Merged,493,903,85,,9
[spl] add get method to array object. with default option.,2016-03-04,Merged,492,11,0,,1
[security] add ensure sensitive method. add __debugInfo to SensitiveValue obj.,2016-03-01,Merged,490,133,130,,5
Fixes incomplete annotations of magic methods,2016-03-01,Merged,489,2,2,,2
Update done-script.md,2016-02-25,Merged,483,3,3,,0
Update get-it-started.md,2016-02-23,Merged,480,5,5,,0
Add sofort gateway,2016-02-19,Merged,478,"1,466",13,json php yml ,18
Sofort2,2016-02-18,Closed,477,"1,320",0,dist php yml ,10
Add a Gitter chat badge to README.md,2016-02-17,Merged,476,2,0,,0
[symfony] add some builders,2016-02-12,Merged,473,241,0,,6
[twig] register payums template loader with required paths,2016-02-12,Merged,471,71,8,,5
[builder] Allow create a gateway without explicit factory set. The core one is used.,2016-02-09,Merged,469,26,11,,2
[bridge] add ContainerAwareCoreGatewayFactory.,2016-02-09,Merged,468,292,12,php ,8
Fixed paypal status does not detect cancelled payments,2016-02-04,Merged,463,24,6,,2
Updates stripe api to 3.6,2016-01-22,Merged,461,22,11,json php ,5
Bump Stripe API to version 2.1.3,2016-01-19,Closed,460,1,1,,1
Bump Stripe API to version 2.1.3 [WIP],2016-01-20,Closed,459,1,1,,1
Add symfony 3.0 support,2016-01-20,Merged,458,188,217,json php ,9
Add canceled status to offline payment,2016-01-14,Merged,456,25,0,,3
"[builder] Add abiliry to pass gateway factory factory, as callable",2015-12-23,Merged,453,78,8,md ,2
[creditcard] pass token so that actionUrl is set.,2015-12-18,Merged,449,6,2,,2
Fixing a bug with replacing existing get params when settinv cancel u…,2015-12-17,Merged,448,75,1,,3
Add Sofort gateway,2016-02-18,Closed,447,"2,197",114,json dist php ,12
