It Was Supported Source Code,2020-01-06,Closed,3271,2,0,,1
changed the execution sequence of the getCurrentWindow() function,2020-01-06,Closed,3268,1,1,,1
Add comment to make what setDuration for effect is in more obvious,2019-12-29,Closed,3256,2,0,,1
Living: Remove Action not present in vanilla,2019-12-21,Closed,3253,1,4,,1
Remove usages of empty(),2019-12-19,Merged,3251,60,44,,19
Test,2019-12-17,Closed,3248,2,24,,0
PlayerAuthInputPacket: Fix assigning variable in static context,2019-12-17,Closed,3247,1,1,,1
add GameRules const,2019-12-15,Closed,3240,60,0,,1
add GameRules const,2019-12-14,Closed,3239,60,0,,1
add GameRules const,2019-12-14,Closed,3238,65,0,,3
Bump protocol version to 389,2019-12-10,Closed,3220,3,3,,1
Fix water in blocks like chest or stairs,2019-12-25,Closed,3217,21,4,,2
Update license headers to pmmp.io domain,2019-12-03,Closed,3198,966,966,,43
FIx possible grammar error,2019-11-22,Closed,3194,1,1,,0
bump phpstan to level 2 to see what catches fire,2019-12-01,Closed,3193,1,1,,1
!spam,2019-11-14,Closed,3190,"46,607",461,php ,7
[4.0.0] Moved SetTitlePacket usage to NetworkSession,2019-11-09,Merged,3186,31,7,,2
[4.0.0] Moved some stuff to network namespace,2019-11-09,Closed,3185,160,76,,7
!spam,2019-11-07,Closed,3184,"46,644",477,php ,6
Update to 1.13,2019-12-06,Merged,3183,"1,975",293,,6
!spam,2019-11-06,Closed,3181,"46,174",464,php ,8
Plugin::getLogger() interface no longer depends on PluginLogger,2019-10-24,Merged,3160,4,4,,2
Updated BossEventPacket comments,2019-10-20,Merged,3155,2,2,,1
Isolate TransferServerCommand from not operators,2019-10-20,Closed,3154,4,0,,1
Added encode/decode for some packets,2019-10-14,Merged,3145,131,4,,4
Slow Falling Effect,2019-10-03,Closed,3134,2,0,,1
EventPacket: Added some missing constants,2019-10-02,Merged,3132,5,0,,1
Fixed decoding form responses with double commas inside quotes,2019-10-01,Merged,3131,22,8,,1
!spam,2019-09-24,Closed,3126,"21,975","1,612",md build/preprocessor php ,3
!spam,2019-09-20,Closed,3124,33,4,,4
Improve bucket API,2019-10-04,Merged,3123,7,0,,1
InstantEnchantParticle: add Color into constructor,2019-09-23,Merged,3118,8,1,,1
!spam,2019-09-08,Closed,3117,1,1,,1
Add doc for unknown field of CommandParameter,2019-09-18,Merged,3115,4,4,,2
Cauldron added for Pocketmine.,2019-08-27,Closed,3109,43,0,,1
!spam,2019-08-22,Closed,3103,1,94,,1
added missing setText method for Sign block,2019-08-17,Closed,3100,9,2,,1
Scoreboard added,2019-08-14,Closed,3097,240,0,,4
Fix grammatical error in support.yml,2019-08-13,Merged,3095,1,1,,1
Link to StackOverflow in README,2019-09-23,Merged,3084,2,1,,0
Experimental/partial chunk saves,2019-08-07,Merged,3078,81,50,,6
remove name change case when looking for an offline player,2019-10-04,Closed,3073,0,1,,1
Load Doxygen Mathjax from https to prevent unsafe scripts error,2019-07-26,Merged,3058,1,1,,1
Item: fix for setCustomName,2019-07-19,Merged,3049,1,1,,1
Add test for item's display properties' persistence after deserialization,2019-07-19,Merged,3047,15,0,,1
"doxygen: sort more things, for our sanity",2019-07-19,Merged,3045,2,2,,1
doxygen: set HIDE_IN_BODY_DOCS = yes,2019-07-19,Merged,3044,1,1,,1
Avoid useless loop into plugin description,2019-07-18,Closed,3042,1,3,,1
Fix loadbefore sometimes not working,2019-07-17,Merged,3040,1,1,,1
Implement saving and loading nametag property 'alwaysVisible',2019-09-16,Closed,3039,9,1,,1
"MetadataProperties: id, data => static runtime id",2019-07-19,Closed,3007,1,1,,1
Fixed decoding entries in SetScorePacket,2019-07-09,Closed,3000,1,0,,1
Fixed BlockPlaceEvent firing when the block can't be placed.,2019-07-19,Closed,2998,37,13,,3
Destroy EffectManager,2019-07-06,Merged,2993,1,0,,1
Make DragonEgg::teleport public,2019-07-03,Merged,2992,1,1,,1
Feature/constants animate boat,2019-07-03,Closed,2991,2,0,,1
Fix Entity::isNameTagAlwaysVisible() was returning the wrong value,2019-07-02,Merged,2990,1,1,,1
Created math-related methods which return Vector3 instances from Position objects,2019-07-03,Closed,2989,44,0,,1
!spam,2019-06-24,Closed,2983,1,0,,0
!spam,2019-06-24,Closed,2982,1,0,,0
Implemented ChestPairEvent,2019-09-16,Closed,2980,85,2,,2
"Add Level->getTimeOfDay(), closes #2908",2019-06-22,Merged,2979,11,2,,2
Fixed setDisplayName() method,2019-06-21,Closed,2978,5,2,,2
ChunkSerializer: added deserialize method,2019-06-19,Closed,2970,53,1,,1
Write PID into lock file,2019-06-13,Closed,2962,10,2,,1
!spam,2019-06-04,Closed,2953,"30,064","26,642",gitmodules yml json ,4
"Randomize the order of plugins retrieved from disk, fixes #2945",2019-05-31,Merged,2948,6,5,,1
Removed PluginLoader (resolves #2834),2019-07-31,Closed,2946,581,522,lock php ,5
!spam,2019-05-20,Closed,2929,"13,874",295,md zip php ,7
Fix for Server::hasOfflinePlayerData,2019-05-12,Merged,2919,1,0,,1
DefaultPermissions: Fix typo in whitelist permissions description,2019-05-12,Merged,2918,2,2,,1
TimeCommand: Fix commands.time.query message,2019-05-12,Merged,2917,1,1,,1
First shot renaming Level -> World,2019-05-07,Merged,2907,"1,648","1,629",php ,2
Changed ignoreCancelled opt-in to handleCancelled opt-in,2019-05-27,Merged,2906,17,18,,3
Implement a locking variable to circumvent a infinite regression,2019-05-03,Merged,2901,8,0,,1
Implement anvil destorying torches whilst falling down,2019-07-19,Closed,2900,180,11,,6
Rename add(Sub)Title to send(Sub)Title. Fixes #2896,2019-05-01,Closed,2899,3,3,,1
