Updated Copyright,2019-12-11,Merged,535,1,1,,1
Whitespace changes for consistency,2019-11-04,Merged,534,53,57,src-11/makefile ,2
Bundle wal2json,2019-11-14,Merged,532,80,7,src-10/makefile src-11/makefile src-12/makefile ,3
fix typos (e.g. the the) in update.md,2019-07-25,Merged,518,4,4,,0
Mojave AppleScript Permissions check,2018-12-11,Closed,486,33,5,swift ,2
Darkmode Compatibility for macOS 10.14 Mojave,2019-02-14,Merged,485,2,2,swift ,2
Add TablePlus to list of Mac GUI Tools,2018-11-01,Closed,477,1,0,,0
Update _config.yml,2018-10-29,Merged,476,2,2,,1
Add dbForge Studio for PostgreSQL to GUI part,2018-09-07,Closed,465,"2,498","1,007",pbxproj swift ,4
trimmed whitespace,2018-08-03,Closed,457,285,296,,4
Mix & Match: Add note about updating path,2019-04-18,Closed,456,3,1,,0
"Fix typo in ""Stale postmaster.pid"" error message",2017-12-06,Merged,423,1,1,,1
Make Spotlight find Postgres,2018-05-10,Merged,421,2,0,,1
Fix capitalization in default.html,2017-11-06,Merged,419,1,1,,1
Add Metabase to the list of Postgres Mac GUI Apps,2017-10-31,Merged,416,2,0,,0
Fix typo in README,2017-10-19,Merged,414,1,1,,0
updated caps,2017-05-15,Merged,392,2,2,,0
Change status icon,2017-05-10,Merged,385,23,60,json png ,8
Update gui-tools.md,2017-02-01,Merged,376,1,0,,0
Update gui-tools.md,2017-01-31,Merged,375,1,0,,0
Handle missing /etc/paths.d dir in install instructions,2017-01-02,Merged,371,1,1,,0
Add an example for how to update your path,2017-01-31,Closed,370,6,1,,0
Minor spelling updates,2016-12-17,Merged,363,8,8,,0
Fix double 'Stop' button,2016-12-12,Merged,362,13,1,xib ,2
Fix dark mode (and compile error),2016-11-07,Merged,351,3,1,,2
Add DBGlass to More appliactions section,2016-11-07,Merged,344,2,0,,0
Update documentations links,2016-09-29,Merged,342,2,2,,0
Bump version numbers to 9.4.3,2015-06-16,Closed,269,4,4,md src/makefile ,2
Update README.md PostgreSQL Version and doc link,2015-05-23,Merged,263,1,1,,0
Fix status bar icon for non-dark mode in Yosemite.,2015-04-28,Merged,258,39,8,,1
Update README with corresponding current versions,2015-02-17,Merged,253,2,2,,0
Postgres 8.3 support branch,2017-01-31,Closed,250,42,68,m md src/makefile ,3
Add a reload option to the menu so config file changes can be easily loaded,2014-11-21,Closed,230,77,13,h m xib ,6
Bump to 9.3.4,2014-03-25,Merged,178,5,5,src/makefile ,2
Port from env and isRunning on first startup,2013-12-12,Closed,161,3,9,,1
Report startup status correctly,2013-12-07,Merged,160,3,7,,1
Make port number a configureable item,2013-12-07,Merged,158,30,21,h ,3
Changes for release 9.2.4.3,2013-08-25,Closed,121,675,323,,0
This bundles libtiff.,2013-08-27,Closed,115,53,0,,1
Fix problems building jasper and gdal,2013-06-01,Closed,110,405,67,,0
Updating README.md to match PostgreSQL build version.,2013-05-05,Merged,108,1,1,,0
updated gdal to 1.10.0,2013-05-01,Closed,106,1,1,,1
Postgres.app now comes pre-packaged with libxml2.,2013-05-01,Closed,105,60,5,,1
Updated Postgres.app to latest version,2013-05-01,Merged,103,30,30,md ,1
The Most Ghetto fix for UUID-OSSP support imaginable,2013-05-01,Closed,85,72,4,md ,1
Retina icon for status bar,2013-05-01,Merged,72,28,0,png ,3
Retina Icons,2012-10-25,Closed,69,9,3,png ,3
Fix problems with dylib linking,2013-05-01,Closed,65,7,3,,1
Fixes #44: problems with shp2pgsql,2012-09-11,Merged,49,1,1,,1
Add menu item to open psql binary,2012-09-11,Merged,46,62,9,m xib ,3
Specify Postgres version in build settings,2012-09-11,Closed,34,3,1,,1
Enable strict aliasing,2012-05-28,Closed,12,6,0,,1
Don't duplicate postgres binaries,2012-04-28,Merged,11,0,8,,1
Add highlighted icon to menu item,2012-04-25,Merged,8,13,0,m png ,3
Remove @mattt's code signing identity,2012-05-08,Merged,6,4,8,,1
Added xcuserdata and .DS_Store to gitignore,2012-05-08,Merged,5,2,0,,1
Build 0006,2012-04-24,Merged,2,1,1,,0
