Avoid variable names that conflict with automatic variables part 2,2020-01-13,Merged,11559,24,22,,1
Remove UTF-8 BOM from text files,2020-01-11,Merged,11546,130,130,admx wxs json csproj resx xaml settings config ps1xml ,62
Generate the correct reference assembly for `Microsoft.PowerShell.ConsoleHost` NuGet package,2020-01-13,Merged,11545,35,9,psm1 csproj ,3
Update pester syntax to v4,2020-01-11,Merged,11544,981,981,,8
Update Debian Install Script To Support Debian 10,2020-01-12,Merged,11540,1,1,,1
Various RC test fixes,2020-01-09,Merged,11528,16,11,,5
Configure the issue label bot,2020-01-08,Merged,11527,4,0,,1
Update building of MSIX for RC to use 100 range revision,2020-01-09,Merged,11526,8,2,,1
Update the breaking change definition,2020-01-09,Merged,11516,1,1,,0
Adding PowerShell Editor Services and PSScriptAnalyzer  to tracked modules,2020-01-07,Merged,11514,2,0,,1
Remove RequireLicenseAcceptance default value,2020-01-07,Merged,11512,2,1,ps1 ,2
DSC test fixes for alpine,2020-01-08,Merged,11508,47,0,,1
Fix broken link in debugging `README.md`,2020-01-06,Merged,11503,1,1,,0
Bump `Microsoft.PowerShell.Archive` from `1.2.3.0` to `1.2.4.0`,2020-01-07,Merged,11502,1,1,,1
Fix SSH remoting test to work on all platforms,2020-01-07,Merged,11500,13,1,,1
Normalize line endings before comparing string in tests,2020-01-08,Merged,11499,23,5,,3
Run pwsh correctly in tests,2020-01-05,Merged,11486,61,56,,17
Add script to rebuild component refs,2020-01-04,Merged,11485,475,299,,0
Build test artifacts for Alpine,2020-01-07,Merged,11483,2,0,,1
Adding System Frontier to the PowerShell Core adopters list ADOPTERS.md,2020-01-05,Merged,11480,6,0,md ,1
Fix symbolic links on Debian 10 packages,2020-01-08,Merged,11474,3,2,,2
Correct startup error messages,2020-01-08,Merged,11473,6,3,,1
improve readability with new keyword loop,2020-01-01,Closed,11464,"6,816","5,162",spelling md wxs psm1 json cs csproj ,20
Skip null data (fix NRE) in output data received handler,2020-01-10,Merged,11448,12,27,,1
Add ssh parameter sets for JobName,2020-01-07,Merged,11444,2,0,,1
Allow error 504 (Gateway Timeout) in markdown-link tests,2020-01-06,Merged,11439,4,2,,1
Include url in the markdown-links test error message,2020-01-03,Merged,11438,2,2,,1
Fix NRE in ConsiceView,2020-01-14,Merged,11435,19,16,,1
Removed unused code from ProcessConnectionByTCPPort(),2019-12-29,Closed,11433,0,1,,1
don't needlessly pass `-l <username>` or `-p <port>` to ssh,2020-01-08,Closed,11431,480,862,md wxs psm1 cs csproj ,10
Increased TCP test timeout from 1 second to 3,2019-12-24,Closed,11430,1,1,,1
Bump PackageManagement from 1.4.5 to 1.4.6 in /src/Modules,2019-12-24,Merged,11427,1,1,,1
Bump PowerShellGet from 2.2.2 to 2.2.3 in /src/Modules,2019-12-24,Merged,11426,1,1,,1
Ignore headers with null values in web cmdlets,2020-01-07,Merged,11424,24,2,ps1 ,2
Use CIM cmdlets instead of WMI cmdlets in tests,2020-01-03,Merged,11423,28,24,,2
Allow a blank/empty ContentType to be passed to Invoke-WebRequest for compatibility with PS6 and earlier,2020-01-06,Merged,11421,34,11,ps1 ,2
Re-balance CI tests,2020-01-05,Merged,11420,16,15,,8
[WIP] Fix HelpInfoUris for ThreadJob and PSDesiredStateConfiguration,2019-12-21,Closed,11417,1,1,,1
Bump ThreadJob from 2.0.2 to 2.0.3 in /src/Modules,2019-12-25,Merged,11416,1,1,,1
Don't format exceptions that aren't ErrorRecords,2019-12-21,Merged,11415,12,2,ps1 ,2
Bump PSDesiredStateConfiguration from 2.0.4 to 2.0.5 in /src/Modules,2019-12-20,Closed,11407,1,1,,1
Fix race condition exception on recent change to OutOfProc transport,2019-12-20,Merged,11406,38,12,,1
Mark `InitialSessionState.ImportPSSnapIn` as Obsolete,2019-12-20,Merged,11399,1,0,,1
Use PositionMessage for the line context information for ConciseView,2019-12-19,Merged,11398,10,5,,1
Avoid variable names that conflict with automatic variables,2019-12-20,Merged,11392,60,60,ps1 ,6
Add trailing line number to filename for ConciseView,2019-12-18,Merged,11391,8,2,ps1 ,2
Fix symlinks to libs on Deb10,2019-12-28,Merged,11390,9,3,,1
Update HelpInfoUri for all modules in PowerShell 7.0,2019-12-20,Merged,11389,19,18,psd1 cs ,13
Re-add check for Invoke-Command job dispose.,2019-12-20,Merged,11388,100,4,ps1 ,2
Make null member access tests as string to avoid parsing errors,2019-12-21,Merged,11385,80,14,json ,4
Remove unnecessary newline in ConciseView,2019-12-18,Merged,11383,4,1,,1
Bump NJsonSchema from 10.0.28 to 10.1.2,2019-12-17,Merged,11382,1,1,,1
Move Set-StrictMode to outer scriptblock for ErrorView,2019-12-17,Merged,11381,20,1,ps1 ,2
Fix key exchange hang for outofproc transports,2019-12-18,Merged,11380,87,9,,1
Bump NJsonSchema from 10.0.28 to 10.1.1,2019-12-17,Closed,11378,1,1,,1
Update the NextReleaseTag to be v7.0.0-preview.7,2019-12-17,Merged,11372,1,1,,1
Fix test failing when UnixStat feature is disabled,2019-12-20,Merged,11370,5,2,,2
Remove advertisement of Get-Error experimental feature from module manifest,2019-12-18,Merged,11369,0,8,,2
Update hosting tests to use the SDK version from the build property,2019-12-18,Merged,11368,1,1,,1
Comment out the NullConditionalOperator tests for now to avoid parsing errors when the feature is disabled,2019-12-17,Closed,11367,12,0,,3
Update metadata.json to point next-release-tag to v7.1.0-preview.1,2019-12-17,Closed,11364,2,2,json ,2
"Update ChangeLog, README.md and metadata.json for 7.0.0-rc.1 release",2019-12-16,Merged,11363,71,20,json ,1
Bump NJsonSchema from 10.0.28 to 10.1.0,2019-12-17,Closed,11362,1,1,,1
Merge the v7.0.0-rc.1 release branch back to master,2019-12-16,Closed,11361,71,20,json ,1
Add retry to Enter-PSHostProcess test,2019-12-20,Merged,11360,17,1,,1
Update error message if Update-Help fails for the current UICulture,2019-12-20,Merged,11356,4,2,,1
"Revert ""Update formatter to not write newlines if content is empty (#11193)""",2019-12-17,Merged,11342,8,82,ps1 ,3
Update links in README.md and metadata.json for rc.1 release,2019-12-13,Closed,11341,17,17,json ,1
Test-Connection: Fallback to hop IP Address on -Traceroute without -ResolveDestination,2019-12-19,Merged,11335,35,27,ps1 ,2
Added setting to disable implicit WinPS module loading,2020-01-03,Merged,11332,130,13,resx ps1 ,5
Bump Microsoft.Management.Infrastructure from 2.0.0-preview.2 to 2.0.0,2019-12-11,Closed,11327,1,1,,1
Bump PowerShellGet from 2.2.1 to 2.2.2 in /src/Modules,2019-12-11,Closed,11326,1,1,,1
Bump PSReadLine from 2.0.0-beta6 to 2.0.0-rc1 in /src/Modules,2019-12-11,Closed,11325,1,1,,1
Bump Microsoft.Management.Infrastructure from 1.0.0 to 2.0.0 in /tools/packaging/projects/reference/System.Management.Automation,2019-12-11,Closed,11324,1,1,,1
Update dependencies from PowerShell Gallery and NuGet,2019-12-11,Merged,11323,5,5,,3
Fix Typo in Get-ComputerInfo cmdlet description,2019-12-11,Merged,11321,1,1,,1
Fix Nuget package signing for Coordinated Package build,2019-12-10,Merged,11316,1,0,,1
Fix for issue on raspbian for setting date of file changes in UnixStat Experimental Feature,2019-12-12,Merged,11313,30,3,,1
Improvements in breakpoint APIs for remote scenarios,2019-12-13,Merged,11312,898,288,,3
Add AzFunctions to ADOPTERS.md,2019-12-11,Merged,11311,4,0,md ,1
Bump Microsoft.ApplicationInsights from 2.11.0 to 2.12.0,2019-12-10,Merged,11305,1,1,,1
Change comment and element text to meet MS standards,2019-12-10,Merged,11304,5,5,,3
Make approved features non-experimental,2019-12-10,Merged,11303,107,457,,9
Fix apartment thread state check on non-Windows platforms.,2019-12-10,Merged,11301,11,0,,1
