Update lookupNpcs.lua,2020-01-11,Merged,1697,20,20,,1
Update lookupNpcs.lua,2020-01-10,Closed,1696,4,4,,1
Update config.lua,2020-01-07,Merged,1690,5,5,,1
Update config.lua,2020-01-07,Merged,1689,5,5,,1
Fix bug with Questie and Coordinates addons,2020-01-05,Merged,1685,8,0,,1
Update config.lua,2020-01-04,Merged,1678,2,0,,1
Update config.lua,2020-01-04,Merged,1677,2,0,,1
Update lookupZones.lua,2020-01-04,Merged,1672,3,3,,1
Update lookupZones.lua,2020-01-04,Merged,1671,2,2,,1
Thick Yeti Fur does not drop from Ice Thistle Matriarch/Patriarch,2020-01-04,Merged,1670,3,0,,1
Update for #1667,2020-01-04,Merged,1669,3,0,,1
Update config.lua,2019-12-28,Merged,1662,1,1,,1
Update config.lua,2019-12-28,Merged,1661,1,1,,1
Add some translation text for Korean.,2019-12-28,Merged,1657,17,17,,1
Update config.lua,2019-12-23,Closed,1656,17,17,,1
Update config.lua,2019-12-18,Merged,1651,2,2,,1
Update config.lua,2019-12-18,Merged,1650,2,2,,1
Update config.lua,2019-12-18,Closed,1649,2,2,,1
Update config.lua,2019-12-18,Closed,1648,2,2,,1
Update config.lua,2019-12-18,Merged,1644,1,1,,1
Update config.lua,2019-12-18,Merged,1643,1,1,,1
"[db] Update sources of ""Murloc Eye""",2019-12-12,Merged,1630,3,0,,1
Update QuestieItemFixes.lua,2019-12-12,Merged,1629,3,0,,1
Update config.lua,2019-12-11,Merged,1620,4,4,,1
Update config.lua,2019-12-11,Merged,1619,4,4,,1
Update QuestieQuestFixes.lua,2019-12-15,Merged,1616,69,0,,1
Update QuestieQuestFixes.lua,2019-12-09,Closed,1615,71,0,,1
Update config.lua,2019-11-29,Merged,1600,32,32,,1
[quest] Neeka Bloodscar,2019-11-26,Merged,1595,3,0,,1
Update config.lua,2019-11-20,Merged,1567,6,7,,1
Update config.lua,2019-11-19,Closed,1555,6,7,,1
Iron217,2019-11-17,Merged,1552,65,13,,12
Update config.lua,2019-11-16,Closed,1551,5,0,,1
Iron217 patch 1 1,2019-11-16,Closed,1550,3,2,,2
Update QuestieOptionsAdvanced.lua,2019-11-16,Closed,1549,2,2,,1
Update config.lua,2019-11-16,Closed,1548,1,0,,1
Update config.lua,2019-11-16,Closed,1547,1,0,,1
Update QuestieOptionsAdvanced.lua,2019-11-16,Closed,1546,2,2,,1
Update config.lua,2019-11-16,Merged,1543,162,162,,0
[#1540] Solve the problem that other addons could not find Questie minimap icon,2019-11-14,Merged,1539,3,3,,1
Fixes tracking of repeatable quests,2019-11-20,Merged,1538,5,3,,2
Update config.lua,2019-11-11,Merged,1528,12,12,,1
Fix tracking color on map tooltip,2019-11-07,Merged,1502,7,5,,1
update config.lua & lookupZones.lua (zhCN),2019-11-05,Merged,1489,92,9,xml ,3
update config.lua & lookupZones.lua (zhCN),2019-11-05,Closed,1488,434,351,,0
update for zhCN config translation,2019-11-05,Merged,1486,344,344,,0
Incomplete quest objectives becomes yellow,2019-11-07,Merged,1479,78,37,,15
Incomplete objectives becomes yellow,2019-11-02,Closed,1478,23,13,,1
Change position of Map button when continent dropdown is hidden,2019-11-04,Merged,1473,9,0,,1
"Issue #1379 Fix -- Added missing ""startedBy"" NPC for quest 467",2019-10-28,Merged,1455,9,6,,1
"#1453 Added ""Talismans of Merit"" quests",2019-10-29,Merged,1454,72,0,,1
"Added Shaman ""Quest Into the Great Ossuary""",2019-11-04,Merged,1452,11,0,,1
Issue 1432 - Added quest 7670 to solve issue,2019-10-29,Merged,1447,14,1,,1
Update map markers for quest Kim'jael's Equipment,2019-10-28,Merged,1446,3,1,,1
"Issue 1427 - Added dependencies for ""The Binding"" quest #1440",2019-10-29,Merged,1444,6,0,,1
Issue 1434 - Added in missing spawn locations for Keepsake of Remembrance,2019-10-28,Merged,1443,3,0,,1
Issue #1406 Fix -- Added feature allowing repeatable quests to be toggled on or off.,2019-11-08,Merged,1442,417,383,,8
Issue 1439 - Added more spawns for Aged Kodos,2019-10-27,Merged,1441,3,0,,1
"Issue 1427 - Added dependencies for ""The Binding"" quest",2019-10-27,Closed,1440,2,2,,1
Issue #1396 Fix - added vials for quest 3568 to itemDB via item fixes,2019-10-25,Merged,1428,4,0,,1
Tooltips Update: Fixed data segmenting issue in comms code,2019-10-29,Closed,1422,6,6,,1
Issue #1396 Fix - Added objective markers for the Seeping Corruption quest items,2019-10-25,Closed,1421,4,0,,1
Update config.lua (french),2019-10-28,Merged,1420,338,299,,0
Issue #1413 Fix - Objective Markers for quest Kim'jael's Equipment updated!,2019-10-27,Closed,1414,1,1,,1
Update koKR locale,2019-10-28,Merged,1403,231,49,,1
"Feature request #1357, Make zone selector dropdown list alphabetical",2019-10-29,Closed,1383,16,2,,1
"Feature request #1357, Make zone selector dropdown list alphabetical",2019-10-21,Closed,1382,0,0,,0
Update config.lua (french),2019-10-25,Closed,1378,28,3,,1
Patch 3,2019-10-20,Closed,1372,2,2,,1
Patch 2,2019-10-20,Closed,1371,1,1,,1
Patch 1,2019-10-20,Closed,1370,1,1,,1
Update config.lua,2019-10-20,Merged,1369,2,2,,1
Update Korean DB and Fix,2019-11-04,Closed,1331,"21,953","30,487",,4
Improvements to HUD integration,2019-10-13,Merged,1308,33,8,,3
Added localization for Korean,2019-10-12,Merged,1284,"30,526",103,xml ,2
"Issue #1250, Exclusivity Issue with [They Call Him Sterling Jim]",2019-10-12,Closed,1271,2,2,,1
Update PTBR and Fix,2019-10-12,Merged,1263,289,139,,0
Update Config.lua,2019-10-28,Closed,1262,8,0,,1
Update config.lua (french),2019-10-09,Merged,1260,203,203,,0
DBM HudMap Integration,2019-10-05,Merged,1225,442,0,,4
Questie dev xp,2019-11-04,Closed,1212,"4,166",3,,1
Questie dev xp,2019-10-02,Closed,1211,"4,167",2,,1
Update config.lua,2019-09-30,Merged,1185,7,3,,1
Bungle in the Jungle / March of the Silithid pre req,2019-10-12,Closed,1157,3,0,,1
"Issue #1133, variable named ""error"" scoping incorrectly",2019-09-28,Closed,1150,1,1,,1
"mark quest ""[90] Seasoned Wolf Kobabs""  as a cooking quest",2019-09-24,Merged,1123,3,0,,1
"mark quest ""[90] Seasoned Wolf Kabobs"" as a cooking quest",2019-09-24,Closed,1121,1,1,,1
"the icons in the names of plates are not shown, and the mission information when hovering over the target is not displayed, so changes for the esMX language are added",2019-10-28,Merged,1107,"12,534",0,xml ,2
Fixed quest log not closing on escape press.,2019-09-22,Merged,1106,1,1,,1
Update QuesteProfessions.lua,2019-09-19,Merged,1059,12,0,,1
Added localization for Germany for the seach 'Quest per Zone',2019-09-24,Merged,1052,76,0,,1
Update config.lua,2019-10-28,Closed,1031,1,0,,1
Add professions logic,2019-09-17,Merged,1029,147,121,toc ,6
Tracker improvements & fixes,2019-10-28,Closed,1009,125,121,,2
Update zhTW/zhCN,2019-09-16,Merged,996,30,5,,2
Update config.lua,2019-09-16,Merged,992,4,2,,1
Update config.lua,2019-09-15,Merged,989,3,0,,1
Add locals and title case global functions,2019-09-21,Closed,986,"1,821","1,732",,9
Update config.lua,2019-09-14,Merged,960,7,0,,1
Update config.lua,2019-09-14,Closed,949,339,427,,3
Fix some of phrasing issues,2019-09-12,Merged,947,36,35,,1
hideUnexploredMapIcons option,2019-10-15,Merged,930,59,9,,6
Update lookup data (again),2019-09-17,Merged,927,"52,034","47,704",,1
Fix description in comment,2019-09-11,Merged,926,2,2,,1
Update locales.,2019-09-11,Merged,923,102,4,,3
Add Burning Blade members to drop gems to fix #751,2019-09-11,Merged,918,1,0,,1
Fix config.lua,2019-09-10,Merged,914,3,3,,1
Fix Update config.lua,2019-09-10,Closed,913,3,3,,1
Update config.lua,2019-09-10,Merged,911,254,254,,0
Update config.lua,2019-09-10,Merged,910,72,46,,1
Update.lua,2019-09-10,Merged,902,2,0,,1
Switch All./Horde corrections of Soothing Turtle Bisque #890,2019-09-09,Merged,897,2,2,,1
Update.Lua,2019-09-08,Merged,879,1,1,,1
different objective color for different quests,2019-09-09,Merged,866,60,6,,5
Fix off-by-one issue level filter.,2019-09-07,Merged,864,1,1,,1
Fix off-by-one issue level filter.,2019-09-07,Closed,863,"1,238","1,238",,0
Update lookup data + ptBR,2019-09-07,Merged,851,"12,347",767,,0
add new key + fix keys + some translations,2019-09-15,Merged,848,4,3,,1
Update.lua,2019-09-05,Merged,829,4,2,,1
Remove 'Small Crag Boars' for dropping 'Crag Boar Rip' to fix #624,2019-09-05,Merged,827,2,1,,1
Add spawn locations for Khan Dez'hepah,2019-09-06,Merged,821,1,0,,1
Add missing item to fix #798,2019-09-06,Merged,820,2,0,,1
Changed some mistranslations in ruRU locale package,2019-09-04,Merged,811,11,12,,1
[WIP] Add possible fix for #653,2019-11-12,Closed,808,20,0,,1
more translation stuff for german,2019-09-04,Merged,801,81,81,,0
Complete Spanish translation,2019-09-05,Merged,800,197,117,,0
Fix #699,2019-09-04,Merged,788,4,1,,1
Add missing breadcrumb quests to fix #703,2019-09-04,Merged,787,2,0,,1
Fix #779,2019-09-04,Closed,780,1,0,,1
Update german translation,2019-09-04,Merged,776,15,15,,1
Fix #712 (again),2019-09-04,Merged,773,4,1,,1
Update zhTW/zhCN,2019-09-03,Merged,763,85,92,,2
Update config.lua,2019-09-03,Merged,748,106,84,,0
Update quest data with latest Wowhead state,2019-09-03,Merged,747,"2,444","2,444",,0
Fix #712,2019-09-03,Closed,738,4,0,,1
