Update README.md,2019-11-12,Merged,574,5,3,,0
Fix syntax highlighting for batch files,2019-11-12,Merged,572,1,1,,1
修复预览快捷方式问题,2019-10-20,Closed,556,8,5,,2
Image zoom tweaks,2019-10-09,Merged,553,6,10,,1
Add Video loop option,2019-10-09,Merged,552,55,5,cs ,2
.Url file display,2019-09-23,Merged,550,37,12,,4
Video window size fix,2019-09-23,Merged,549,9,9,,1
Add support for .aif audio files,2019-09-15,Merged,547,3,3,,1
Add support for .aif files,2019-09-14,Closed,546,1,1,,1
Updated differences url in README,2019-04-07,Merged,490,1,1,,0
Update Translations.config (zh-tw),2019-04-05,Merged,489,1,1,,1
[Microsoft Store Version] Add alias name.,2019-03-04,Closed,473,14,2,,2
Make QuickLook per monitor DPI aware,2018-11-07,Merged,408,22,4,config manifest ,3
Added Marathi and Hindi languages,2018-10-13,Merged,395,56,0,,2
Update Italian Translation,2018-10-01,Merged,382,2,0,,1
Update Translations.config,2018-10-01,Merged,381,25,0,,1
Add Korean translation,2018-09-29,Merged,380,25,0,,1
Turkish translation,2018-09-16,Merged,359,295,258,,1
Updated readme,2018-09-11,Merged,350,35,29,,0
Fix for german translation,2018-09-11,Merged,349,8,7,,1
Ukrainian translation.,2018-09-08,Merged,339,31,2,,2
Plugin installer,2018-09-01,Merged,335,298,"3,783",Common cs ,8
Nconvert,2018-08-28,Merged,328,"6,756",464,csproj ,6
Initial commit of Font Viewer Plugin,2018-10-24,Closed,313,522,0,xaml cs ,5
Added .epub support,2018-07-24,Merged,297,"3,381",0,,9
Optimization Chinese (Taiwan) Language Quality,2018-07-14,Merged,294,8,8,,1
Add Vietnamese translation,2018-06-25,Merged,268,24,0,,1
Few fixes for Polish translation,2018-06-24,Merged,265,3,3,,1
Add Polish translation,2018-06-23,Merged,264,24,0,,1
FIx GPL3 link,2018-05-25,Merged,245,1,1,,0
Fix typo,2018-04-03,Merged,218,3,3,,1
Improve German translations,2018-03-12,Merged,203,8,7,,1
Use correct registry key for installer,2018-03-12,Merged,200,2,2,,1
Load highlighting files from the Syntax directory,2018-02-24,Merged,193,176,134,csproj xaml ,5
Add Norwegian (bokmål) translation,2018-01-25,Merged,171,26,0,,2
Add Japanese language support,2018-01-25,Merged,164,23,0,,1
Replacing “Windows Store” in README.md,2017-12-25,Merged,156,2,2,,0
French translation,2017-12-05,Merged,147,29,3,,2
Catalan translation,2017-12-01,Merged,142,27,1,,2
Translate in German(de-DE),2017-11-29,Merged,141,26,0,,2
pt-BR localization,2017-11-05,Merged,111,23,0,,1
fixed #105,2017-10-30,Merged,108,3,3,,1
Added Italian Translation,2017-10-07,Merged,99,26,0,,2
Update Translations.config,2017-10-01,Merged,89,24,1,,1
Update Translations.config,2017-10-01,Merged,88,4,1,,1
Portuguese language translation,2017-08-19,Merged,71,26,0,,2
Redesigned UI according to the Fluent design system,2017-08-12,Merged,67,"2,226","2,083",csproj xaml ,13
Minor fix for zh-TW translation,2017-08-09,Merged,64,4,4,,1
Improve font family for zh-TW locale,2017-08-04,Merged,60,1,1,,1
TextViewer: Add Korean fonts used for Korean locale,2017-08-04,Merged,59,4,1,,1
Spanish (Spain) translation,2017-07-23,Merged,40,24,0,,2
Print inner exception information,2017-07-01,Closed,38,5,3,,1
"Replace ""&"", ""<"", "">"" to HTML entities in Markdown.",2017-07-01,Closed,35,3,0,,1
换个图标,2017-05-12,Closed,8,0,0,,2
