Update ReactiveSwift to 6.2.0.,2020-01-07,Merged,3696,14,13,Cartfile resolved Carthage/Checkouts/Nimble Carthage/Checkouts/Quick Carthage/Checkouts/ReactiveSwift swift podspec ,8
Work around an issue where NSButtonSpec test fails,2019-12-02,Closed,3694,6,0,,1
Add support for Swift Package Manager,2019-12-10,Merged,3693,184,38,md resolved swift podspec ,4
Preparation for Swift Package Manager,2019-11-20,Merged,3692,344,82,podspec pbxproj swift ,40
Update Readme for 10.1.0,2020-01-07,Merged,3691,6,6,,0
10.1.0 release,2019-09-26,Merged,3686,11,6,md podspec plist ,4
Feature/reactive swift 6 1 0,2019-09-04,Closed,3683,8,7,Cartfile resolved Carthage/Checkouts/Nimble Carthage/Checkouts/Quick Carthage/Checkouts/ReactiveSwift ,5
Remove result,2019-08-06,Closed,3678,255,378,Cartfile resolved Carthage/Checkouts/ReactiveSwift swift pbxproj xcworkspacedata ,23
Update dependencies for Xcode 11,2019-08-06,Merged,3677,10,9,Cartfile resolved Carthage/Checkouts/Nimble Carthage/Checkouts/Quick Carthage/Checkouts/ReactiveSwift swift ,6
Preliminary SwiftPM support for Apple platforms,2019-11-28,Closed,3676,430,73,resolved swift pbxproj ,38
Add a binding target for the barTintColor of UINavigationBar,2019-06-20,Merged,3675,9,0,,1
WatchKit additional reactive bindings,2019-05-15,Merged,3670,332,3,pbxproj swift ,15
Allow for observable enum values,2019-04-30,Merged,3667,101,2,,2
Update version in README to 9.0,2019-04-20,Merged,3666,2,2,,0
10.0 release,2019-04-27,Merged,3665,14,12,swift-version md podspec pbxproj swift ,6
Add Upgrade-Instructions,2019-04-19,Merged,3664,6,0,,0
Remove references of Result from README.,2019-04-12,Merged,3663,3,6,,0
Update to ReactiveSwift 6.0 and remove antitypical/Result,2019-04-17,Merged,3661,260,474,md Cartfile resolved Carthage/Checkouts/ReactiveSwift Carthage/Checkouts/Result swift podspec ,9
9.0.0,2019-03-28,Merged,3656,4,2,podspec ,2
[WIP] Removing Result in favor of Swift.Result,2019-04-11,Closed,3654,255,378,Cartfile resolved Carthage/Checkouts/ReactiveSwift swift pbxproj xcworkspacedata ,23
Adopt Swift 4.2,2019-03-26,Merged,3650,81,85,podspec pbxproj swift ,14
Update podspec to ReactiveSwift 5.0,2019-03-19,Merged,3648,3,3,podspec ,2
"Fix warnings for deprecated methods, and pick up latest Quick & Nimble dependencies",2019-03-16,Merged,3647,64,37,private resolved Carthage/Checkouts/Nimble Carthage/Checkouts/Quick pbxproj xcscheme swift ,16
Update ReactiveSwift to 5.0,2019-03-15,Merged,3646,6,5,Cartfile resolved Carthage/Checkouts/ReactiveSwift Carthage/Checkouts/Result ,4
Fix build configurations of ReactiveMapKit & tests.,2019-02-11,Merged,3642,61,65,,1
Add bindings for `NSView.alphaValue`,2018-11-27,Merged,3636,18,2,swift ,2
Add a little documentation for `NSView`'s bindings,2018-11-26,Merged,3635,1,0,,1
`NSView` bindings,2018-11-26,Merged,3634,54,8,pbxproj swift ,3
Update README.md,2018-11-01,Merged,3631,2,2,,0
Change to latest method name,2018-10-21,Merged,3629,1,1,,0
Split the ReactiveMapKit target up.,2018-10-14,Merged,3625,"1,211",213,md pbxproj xcscheme ,6
Change 'impl' to optional,2018-10-06,Closed,3623,5,1,,1
Add swift version to podspecs,2018-10-06,Merged,3622,3,0,podspec ,2
Support Swift 4.2 version.,2019-03-26,Closed,3620,100,25,,6
Convert to Swift 4.2.,2019-03-26,Closed,3618,81,81,private resolved Carthage/Checkouts/Nimble pbxproj swift ,14
[CI] Use Xcode 9.4 image,2018-09-10,Merged,3617,10,10,yml pbxproj xcscheme ,8
Binding targets for WKInterfaceLabel & WKInterfaceButton,2018-10-06,Merged,3616,76,0,podspec pbxproj swift ,4
SignalProducer.take(duringLifetimeOf object: AnyObject) memory issue,2018-10-06,Merged,3615,1,1,,1
Add public constructor for retrieves the lifetime of AnyObject.,2018-08-27,Merged,3614,125,70,pbxproj swift ,9
Upgrade to ReactiveSwift 4.0.,2018-07-23,Merged,3610,8,8,resolved Carthage/Checkouts/Nimble Carthage/Checkouts/Quick Carthage/Checkouts/ReactiveSwift podspec ,6
Conform `Observer` to `BindingTargetProvider`,2018-07-17,Closed,3609,96,19,pbxproj swift ,3
Update ReactiveCocoa.podspec [4.0.0-rc.2],2018-07-03,Merged,3607,1,1,,1
Fix Xcode 10 compilation issue on optional IMP,2018-09-08,Closed,3606,7,7,resolved Carthage/Checkouts/Nimble Carthage/Checkouts/ReactiveSwift swift ,5
MapKit is not available on watchOS,2018-06-12,Merged,3604,47,44,xcscheme podspec swift ,9
Xcode 10 support,2018-06-21,Merged,3601,5,5,resolved Carthage/Checkouts/Nimble Carthage/Checkouts/ReactiveSwift ,4
Fix for issue #3596.,2018-06-11,Merged,3600,39,0,,2
Pick up the nimble matchers from ReactiveSwift,2018-06-04,Merged,3599,50,33,,1
