Add pluck keyof type for prop #1530,2017-12-03,Closed,1533,14,14,,7
tiny chnage,2017-09-27,Closed,1510,1,1,,0
chore(docs): add warning to all docs files that this is Rx 4 and not 5,2017-07-18,Merged,1503,260,3,,0
Fix README formatting,2017-06-05,Closed,1478,1,1,,0
Update readme.md,2017-05-18,Closed,1469,1,1,,0
Update note about RxJS 5,2017-09-12,Closed,1467,1,1,,0
Fix readme.md,2017-08-10,Closed,1458,1,1,,0
"tiny grammar fix: ""throttles queries to* a service""",2017-04-27,Merged,1455,1,1,,0
fix link in behaviorsubject.md,2017-04-27,Merged,1452,1,1,,0
fixing readme.md,2017-04-01,Closed,1443,1,1,,0
"Now that RX.js 5 isn't in beta, update this readme",2017-10-13,Closed,1442,1,1,,0
Ignore ts directory to decrease npm package size,2018-03-30,Closed,1435,1,0,,1
Update distinctuntilchanged.md,2017-07-27,Closed,1421,1,1,,0
Fix doc/readme.md,2017-04-27,Merged,1402,2,2,,0
fix add the omitted param,2016-12-21,Merged,1391,2,2,,1
Update subject.md,2016-12-07,Merged,1385,1,1,,0
Test scheduler def,2016-12-06,Merged,1381,31,23,,2
Update Google javaScript style guide link,2016-12-06,Merged,1379,1,1,,0
Pass proper parameter to Array constructor,2016-11-27,Closed,1375,1,1,,1
Add typescript signatures for pluck with multiple arguments (part 2),2016-12-06,Merged,1372,6,0,,6
Fix typo in slice.md,2016-11-23,Merged,1371,1,1,,0
Update retrywhen.md,2016-11-23,Merged,1368,2,0,,0
Fix typo,2016-11-23,Merged,1367,1,1,,0
Update repeatwhen.md,2016-11-16,Merged,1363,2,2,,0
Fix typo (Diposable -> Disposable),2016-11-16,Merged,1362,76,76,ts ,21
Incorrect function name,2016-11-23,Merged,1361,1,1,,0
Add typescript signatures for pluck with multiple arguments,2016-11-23,Merged,1357,1,0,,1
Fix typo,2016-11-23,Merged,1352,1,1,,0
Add Ben Lesh ReactiveJS interview,2016-11-23,Merged,1351,1,0,,0
Fix typo,2016-11-23,Merged,1347,1,1,,0
Update README.md,2016-10-19,Merged,1340,1,1,,0
export VirtualTimeSchedulers' constructor,2016-10-19,Merged,1339,72,0,,3
fix: logic in random function,2016-10-19,Merged,1338,1,1,,1
Fixed broken link on throttle.md,2016-10-19,Merged,1337,1,1,,0
Docs: simplify `Observable.spawn()` example,2016-10-19,Merged,1332,7,13,,0
Fix typo,2016-10-19,Merged,1330,1,1,,0
Updates broken link in documentation:),2016-10-19,Merged,1325,1,1,,0
update README.md,2016-10-19,Merged,1324,2,2,,0
Update Observable.distinct TS definition,2016-11-23,Merged,1320,9,9,,7
Update throttle.md,2016-11-23,Merged,1316,1,0,,0
Keyboard Shortcuts example,2016-10-19,Merged,1315,259,0,html md ,4
"Add ""typings"" entry",2016-11-23,Merged,1305,1,0,,1
fix(doc): wrong variable name for source in fromPromise,2016-10-19,Merged,1301,1,1,,0
"Add v4/v5 notice, fixes #1262",2016-08-08,Merged,1300,2,0,,0
[docs] remove sales pitch copy from docs,2016-11-23,Merged,1299,1,1,,0
Typo fixed in what.md,2016-11-10,Closed,1294,1,1,,0
Fix typo,2016-11-23,Merged,1291,1,1,,0
Fix link for doWhile,2016-12-06,Merged,1287,1,1,,0
Fix type in doc/gettingstarted/promises.md,2016-12-06,Merged,1284,2,2,,0
Fixes #1274 - Add back code that was reverted by accident,2016-12-06,Merged,1283,6,0,,1
fixing es6 code,2016-12-06,Merged,1282,7,7,,0
Added tanok as another flux rxjs implementation,2016-12-06,Merged,1279,1,0,,0
Fix Documentation,2016-12-06,Merged,1273,2,2,,0
Fix spelling mistake,2016-12-02,Closed,1268,1,1,,0
Fix spelling mistake in docs,2016-12-02,Closed,1267,1,1,,0
fix build (fromEvent argument order fixed & grunt-saucelabs removed from package.json),2016-12-06,Merged,1254,67,60,map ,10
