Fix typo in Italian translation,2019-11-19,Merged,558,1,1,,1
Update Italian translations,2019-11-19,Merged,557,256,39,,0
Update StringResources.ru.xaml,2019-11-18,Merged,553,50,21,,1
Update StringResources.ru.xaml,2019-11-17,Merged,552,21,6,,1
Update StringResources.ru.xaml,2019-11-11,Merged,550,39,8,,1
Update StringResources.ru.xaml,2019-10-31,Merged,543,10,4,,1
New Turkish translations added.,2019-10-28,Merged,542,71,71,,1
Focus filename text box when Save panel opens,2019-11-15,Merged,541,33,5,,1
Update StringResources.pl.xaml,2019-10-16,Merged,535,236,25,,0
Update StringResources.ru.xaml,2019-10-13,Merged,534,7,7,,1
Update Korean translation,2019-10-09,Merged,532,119,20,,0
Update StringResources.ru.xaml,2019-10-09,Merged,531,157,15,,0
Fix time format string not to ignore trailing zeros,2019-11-12,Merged,530,4,4,,2
Update Korean language,2019-10-04,Merged,527,416,393,,0
Calculate precise frame delay to achieve target fps.,2019-10-07,Merged,526,9,1,,1
Change Import Video method to use ffmpeg instead.,2019-10-03,Closed,524,220,120,xaml ,4
Update Italian translations,2019-07-30,Merged,506,50,10,,1
Update Korean translation in settings,2019-07-09,Merged,499,195,196,,0
Update Korean translation in settings,2019-07-09,Closed,498,217,63,,0
Update Korean StringResource,2019-07-09,Merged,496,477,109,,0
update: ko_kr-translation-190612,2019-06-18,Merged,489,70,70,,0
Update Italian translations,2019-02-12,Merged,448,3,1,,1
"Defaults to ""Ctrl""",2019-04-25,Merged,437,18,2,,1
Update StringResources.nl.xaml,2019-01-19,Merged,436,6,4,,1
Updated italian localization,2019-01-06,Merged,415,181,16,,0
Update StringResources.nl.xaml,2019-01-06,Merged,414,3,3,,1
Update StringResources.nl.xaml,2018-12-20,Merged,412,169,106,,0
Update StringResources.nl.xaml,2018-12-19,Merged,409,3,3,,1
Complete French translation,2018-12-19,Merged,401,320,320,,0
French translation to 50%,2018-11-29,Merged,398,155,153,,0
Synchronization of translation lines,2018-11-11,Merged,395,441,215,md ,1
French translation,2018-10-30,Merged,394,87,53,,1
Bel. language,2018-10-17,Closed,386,"1,021",0,,0
"Add ""Scale Delay"" command",2018-10-30,Merged,375,128,24,cs ,8
Translations + fix,2018-07-21,Merged,358,131,56,,0
two project folder will create in snap mode,2019-11-04,Closed,355,6,3,,1
This is a way shorter way to ensure that the recorder window is onscreen,2019-02-14,Closed,348,13,36,,2
Stop countdown timer for new recorder UI,2018-06-30,Merged,346,6,0,,1
Fix status control position on multi-monitor system,2018-06-30,Merged,345,10,1,,1
