update README and demo app to Sync v6,2020-01-08,Merged,573,"3,981",111,iOSDemo/Cartfile resolved version plist dSYM/Contents/Resources/DWARF/Alamofire framework/Alamofire ,8
Checking that the context that is being rest for a disposable context is indeed a disposable context,2019-12-13,Merged,571,17,11,podspec ,2
"Fix warnings, update targets",2019-04-17,Merged,560,35,31,m podspec ,5
Xcode 10.2 & Swift 5,2019-04-16,Merged,559,70,72,pbxproj xcscheme swift ,11
add optional operations argument,2019-01-27,Merged,554,3,2,,1
Support for date format with milliseconds but no Z terminator,2019-01-16,Merged,553,17,0,swift ,2
[#453] - To-many ordered relationship crash,2019-01-28,Merged,552,176,20,swift json ,7
Misordering when doing a disjoint sync of many to many objects,2019-01-08,Merged,550,141,4,swift json xcdatamodel/contents ,7
Misordering when doing a disjoint sync of many to many objects,2019-01-07,Closed,549,138,5,swift json xcdatamodel/contents ,7
Deep mapping more than one level + Unit test,2018-11-13,Merged,544,138,25,swift json xcdatamodel/contents ,5
issue of duplicated object with the same id,2018-10-10,Closed,542,23,9,swift ,2
Update Carthage dependencies on iOSDemo,2018-10-06,Merged,541,254,31,dSYM/Contents/Resources/DWARF/Alamofire framework/Alamofire plist dSYM/Contents/Resources/DWARF/Networking h swiftdoc swiftmodule modulemap framework/Networking dSYM/Contents/Resources/DWARF/Sync framework/Sync ,26
Xcode 10,2018-10-06,Merged,539,42,42,pbxproj swift ,4
Added support for Swift 4.2 / Xcode 10 to iOSDemo,2018-10-06,Merged,538,52,126,version dSYM/Contents/Resources/DWARF/Alamofire framework/Alamofire h plist swiftdoc swiftmodule dSYM/Contents/Resources/DWARF/Networking framework/Networking dSYM/Contents/Resources/DWARF/Sync swift framework/Sync ,43
Add support for deciseconds,2018-09-17,Merged,536,24,1,swift ,2
Fix for date with centiseconds,2018-09-13,Merged,533,16,0,swift ,2
CocoaPods test,2018-08-24,Closed,529,"6,748",5,lock pbxproj md ,4
Rollback extended operations,2018-08-23,Merged,527,2,151,,3
