Create main.py,2019-12-25,Closed,1354,4,0,,1
Add example unit test and config for testing,2019-12-14,Merged,1343,249,2,yml txt rst py ini ,10
edit_message: allow force_document,2019-11-23,Merged,1335,6,1,,1
fix small typos,2019-11-10,Merged,1328,5,5,py ,5
Fix RSA unpacking bug,2019-11-05,Merged,1324,1,1,,1
Fix pin message not accepting Message objects,2019-11-04,Merged,1322,1,3,,1
Fix MessageButton.click() with weird strings,2019-11-01,Merged,1315,1,1,,1
Remove @ya from the valid usernames,2019-10-28,Merged,1306,1,1,,1
Use channels.GetFullChannel instead of messages.getPeerDialogs,2019-10-27,Merged,1305,4,4,,1
Ignore channel only permissions in megagroups (edit_admin),2019-10-11,Merged,1292,16,0,,2
Remove check for InputPeerSelf in edit_admin,2019-09-29,Merged,1285,1,4,,1
Fix kick_participant in channels,2019-09-28,Merged,1284,11,12,,1
Patch 2,2019-09-24,Closed,1280,4,3,,3
Add slowmode flood error,2019-09-24,Merged,1279,5,3,csv ,4
Remove debug code from production,2019-09-21,Merged,1276,0,1,,1
Update SCHEDULE_DATE_TOO_LATE and -503 description,2019-09-16,Merged,1266,3,2,,1
Add new errors to the list,2019-09-10,Merged,1265,11,5,,2
Add missing import,2019-08-25,Merged,1261,1,0,,1
Add async support to upload file prgoress callback,2019-08-19,Merged,1259,3,1,,1
Enable awaitable event builder func,2019-08-12,Closed,1255,23,16,,7
Create Nix package expressions,2019-07-30,Merged,1246,"1,503",8,nix ,6
Fix negative timestamp issue,2019-08-01,Merged,1241,27,12,,2
Enhanced flow,2019-07-21,Closed,1239,6,3,,1
Add login button,2019-07-17,Closed,1235,4,0,,1
/ Command and Welcome message in bot,2019-07-17,Closed,1233,19,19,,1
Add more description to rights related errors.,2019-07-10,Merged,1231,8,2,csv ,2
Small fix for callbackquery,2019-07-10,Merged,1230,1,1,,1
Improve Quart example,2019-08-01,Merged,1229,57,39,,1
Check exist flush method,2019-07-09,Merged,1227,4,1,,1
Create Н,2019-07-06,Closed,1223,1,0,,1
