Merge pull request #1 from JeffreySu/master,2020-01-10,Closed,2074,0,0,,0
Developer,2019-12-26,Merged,2068,817,6,csproj cs ,5
Developer,2019-12-25,Merged,2067,17,13,csproj ,1
小程序搜索 - 页面路径收录推送接口,2019-12-26,Merged,2065,480,0,,4
添加企业微信外部联系人事件,2019-12-26,Merged,2063,252,0,cs csproj ,6
新增企业外部联系人的回调事件,2019-12-19,Closed,2062,254,2,cs csproj ,7
Sample v4.104.2 优化异步加密模拟消息处理过程,2019-12-08,Merged,2056,2,2,csproj ,2
Developer,2019-12-08,Merged,2055,5,3,csproj ,1
MP 补充升级日志,2019-12-06,Merged,2053,6,4,cs ,3
Developer witelist access token,2019-12-06,Merged,2052,61,8,csproj ,7
自动回复规则缺少卡券枚举,2019-12-06,Merged,2051,5,0,,1
Developer,2019-12-03,Merged,2048,59,22,cs ,13
Developer,2019-12-02,Merged,2047,18,32,json ,2
Developer,2019-12-01,Merged,2046,17,16,config ,10
改动内容：重载SendTemplateMessageAsync方法，规范、简化入参。,2019-12-13,Closed,2045,59,0,,2
Developer,2019-11-26,Merged,2042,316,149,csproj cs ,4
MiniApp RedPack API,2019-11-26,Merged,2041,313,0,,2
Developer,2019-11-21,Merged,2038,183,148,css js ,6
新增“获取打卡数据”接口返回值新增经纬度信息,2019-11-19,Merged,2037,8,0,,1
Developer,2019-11-18,Merged,2036,37,36,config cs ,14
使用最新版本 CO2NET 及 NeuChar,2019-11-18,Merged,2035,36,35,config cs ,13
Developer,2019-11-18,Merged,2034,29,28,cs ,18
使用最新版本 CO2NET 及 NeuChar,2019-11-18,Merged,2033,36,35,config cs ,13
Developer,2019-11-17,Merged,2030,15,11,csproj ,3
Developer,2019-11-13,Merged,2028,4,1,,2
Update ISSUE_TEMPLATE.md,2019-11-06,Merged,2025,8,1,,0
Merge pull request #1 from JeffreySu/master,2019-11-06,Closed,2023,0,0,,0
Developer,2019-11-05,Merged,2022,7,3,csproj cs md ,3
WxOpen v3.7.102.1 修复订阅消息参数问题 感谢 @cqinwn https://weixin.senparc.com/QA…,2019-11-03,Merged,2020,7,2,csproj ,2
Open v4.7.102.1-preview2 修改 GetAuditStatus() 方法 auditid 参数类型（int -&gt…,2019-10-30,Merged,2019,10,4,cs ,2
Open v4.7.102.1 修改 TryUpdateAuthorizationInfo() 相关方法，避免可能发生的 null 对象错误,2019-10-30,Merged,2017,28,97,csproj ,2
Developer,2019-10-28,Merged,2014,21,2,csproj ,2
sample v4.6.8 add BaseController,2019-10-28,Merged,2013,19,13,csproj ,15
Sample v4.6.7,2019-10-20,Merged,2012,106,102,cshtml css ,4
Sample v4.6.6,2019-10-20,Merged,2011,3,2,csproj cshtml ,3
modify,2019-10-19,Merged,2010,1,1,,1
Sample v4.6.5,2019-10-19,Merged,2009,2,2,cshtml ,2
统一Sample中SenparbHub大小写,2019-10-18,Merged,2008,2,2,js ,2
Developer,2019-10-18,Merged,2007,186,97,csproj cshtml js wxml wxss ,12
Developer,2019-10-17,Merged,2006,3,3,,1
Developer,2019-10-16,Merged,2005,2,6,,0
Developer,2019-10-16,Merged,2004,148,311,csproj config ,9
Developer,2019-10-14,Merged,2001,4,4,csproj ,2
modify,2019-10-14,Merged,2000,2,2,,2
正式发布 x.102 版本 nuget,2019-10-14,Merged,1999,9,9,,9
Developer,2019-10-14,Merged,1998,444,97,cs ,9
更正版本号,2019-10-12,Merged,1996,2,2,,2
更新Sample,2019-10-12,Merged,1995,2,2,csproj ,2
Developer,2019-10-12,Merged,1994,864,110,csproj ,19
Update Contributors.md,2019-10-11,Merged,1993,27,6,,0
Developer,2019-10-11,Merged,1992,100,82,csproj ,18
小程序审核事件移动到Senparc.Weixin.WxOpen，第三方平台-扫码关注组件，小程序支付后获取unionid,2019-10-12,Merged,1991,759,27,,9
Developer,2019-10-08,Merged,1989,62,78,csproj png ,5
改造消息模拟器，使用异步方法，提高测试准确性,2019-10-07,Merged,1988,39,20,cs cshtml ,10
调整组测过程，避免可能出现的因为注册顺序问题导致的缓存异常,2019-10-07,Merged,1987,24,14,csproj ,7
preivew v7.7.8,2019-10-07,Merged,1986,43,10,cs ,6
Developer,2019-10-07,Merged,1985,22,20,cs ,11
Developer,2019-10-06,Merged,1984,3,2,csproj ,2
Developer,2019-10-06,Merged,1983,107,83,csproj cshtml ,11
Developer,2019-10-05,Merged,1982,14,14,,9
Developer,2019-10-05,Merged,1981,42,29,cs ,11
Developer,2019-10-05,Merged,1980,87,48,cs ,17
全面启用 MessageHandler 中间件，以及配套异步方法,2019-10-05,Merged,1979,"2,700","1,132",cs csproj ,9
测试通过。全面启用消息中间件（异步）。,2019-10-03,Merged,1977,177,111,,4
Developer message handler middleware,2019-10-03,Merged,1976,174,30,csproj ,14
Developer message handler middleware,2019-10-03,Merged,1975,226,92,,2
添加更多中间件单元测试，继续调试,2019-10-03,Merged,1974,349,212,,4
调试,2019-10-03,Merged,1973,3,0,,1
Developer message handler middleware,2019-10-03,Merged,1972,15,13,,2
Developer message handler middleware,2019-10-03,Merged,1971,2,1,,2
Developer message handler middleware,2019-10-02,Merged,1970,28,13,cs ,4
Sample v4.4.4,2019-10-02,Merged,1969,4,1,cs ,2
modify,2019-10-02,Merged,1968,1,3,cs ,2
Developer message handler middleware,2019-10-02,Merged,1967,46,10,,3
Sample v4.4.2,2019-10-02,Merged,1966,4,1,cs ,3
Sample 4.4.1,2019-10-02,Merged,1965,3,2,cs ,2
修改 IIS 同步请求设置,2019-10-02,Merged,1964,2,0,,1
优化异步消息中间件测试,2019-10-02,Merged,1963,19,30,,5
Developer message handler middleware,2019-10-02,Merged,1962,22,17,,1
Developer message handler middleware,2019-10-02,Merged,1961,459,183,csproj ,13
Developer message handler middleware,2019-10-02,Merged,1960,450,216,csproj ,14
Developer,2019-10-01,Merged,1959,320,107,cs csproj cshtml json png js ,15
Developer,2019-09-30,Merged,1957,15,11,cs json ,4
.net core 3.0 启用 Session,2019-09-30,Merged,1956,2,0,,1
调整编码,2019-09-30,Merged,1955,39,39,,1
WebSocket    v2.7.101 提供 .Net Core 3.0 独立版本,2019-09-30,Merged,1954,159,1,,2
升级 Cache 相关 的 .net core 3.0 独立项目,2019-09-30,Merged,1953,373,13,sln cshtml ,6
修改说明,2019-09-30,Merged,1952,11,8,sln ,1
Developer,2019-09-30,Merged,1951,"38,073","16,315",sln csproj cs xml cshtml ,12
开放平台-代码管理-加急审核,2019-09-27,Merged,1947,146,1,cs ,5
死锁等待问题,2019-09-27,Merged,1945,2,2,cs ,2
modify,2019-09-26,Merged,1944,1,1,,1
解决死锁问题,2019-09-26,Merged,1943,1,1,,1
Update readme.md,2019-09-25,Merged,1942,1,1,,0
Update readme.md,2019-09-25,Merged,1941,1,1,,0
Developer,2019-09-25,Merged,1940,431,160,csproj htm sln md cs ,23
Developer,2019-09-25,Merged,1938,515,282,sln md cs json gitignore txt config xml JPG css js mp3 png asax jpg cshtml ,296
完善.net core 3.0 Demo,2019-09-24,Merged,1935,428,27,csproj sln ,5
Developer,2019-09-24,Merged,1934,17,8,csproj ,4
Developer .net core 3.0,2019-09-24,Merged,1933,"40,216",33,csproj ,3
Developer .net core 3.0,2019-09-24,Merged,1932,"40,206",33,csproj ,3
Sample v3.9.5,2019-09-23,Merged,1928,3,3,json ,2
Developer test app,2019-09-23,Merged,1927,65,79,csproj json ,26
Developer,2019-09-22,Merged,1925,150,112,csproj config ,13
测试符号,2019-09-22,Merged,1924,1,1,,1
测试符号包发布,2019-09-21,Merged,1923,1,1,,1
测试符号加载,2019-09-21,Merged,1922,1,1,,1
发布符号测试,2019-09-20,Merged,1921,1,1,,1
提供带符号的 nuget 包（.snupkg),2019-09-20,Merged,1918,54,38,,12
Developer,2019-09-19,Merged,1917,32,233,cs ,15
商户的企业付款查询结果实体（GetTransferInfoResult）payment_time字段空值修复,2019-09-24,Merged,1915,1,0,,1
Developer,2019-09-17,Merged,1914,3,3,json ,2
Developer,2019-09-17,Merged,1913,"1,146",733,csproj json ,16
参数说明更改,2019-09-24,Merged,1911,5,5,,1
参数说明更改,2019-09-15,Closed,1910,5,5,,1
全面升级 CO2NET 版本，升级 Senparc.Weixin.dll vv6.4.14,2019-09-11,Merged,1908,31,22,,10
Update readme.md,2019-09-09,Merged,1907,12,8,,0
Developer,2019-09-06,Merged,1906,12,73,cs csproj ,3
TenPay v1.4.5 添加 GetTransferInfoResult.payment_time 属性 #1902 @JianChe…,2019-09-06,Merged,1905,11,1,cs ,3
Sample v3.8.9 提供更多MessageHandler异步方法演示,2019-09-04,Merged,1904,1,1,,1
Developer,2019-09-04,Merged,1903,55,53,csproj ,4
Developer,2019-08-30,Merged,1900,149,3,cs ,5
Developer,2019-08-29,Merged,1898,114,0,csproj ,2
Developer,2019-08-27,Merged,1897,4,4,,4
Developer,2019-08-27,Merged,1896,7,2,csproj ,2
"卡券WxCardApiTicketContainer【异步方法】获取可用Ticket,type传值的问题",2019-08-27,Merged,1895,1,1,,1
modify,2019-08-26,Merged,1894,0,0,,0
Developer,2019-08-26,Merged,1893,155,64,cs csproj config ,15
Developer,2019-08-25,Merged,1891,18,12,csproj ,13
更新 .net 4.5 Sample 的 nuget 引用,2019-08-25,Merged,1890,68,67,config cs ,18
Developer,2019-08-22,Merged,1888,90,40,cs config ,23
