Do not sync WPF templates on VS2017,2020-01-10,Merged,3504,13,0,,2
fix broken links in docs,2020-01-09,Merged,3503,1,1,,0
Add WPF to VSIX description,2020-01-09,Merged,3501,2,2,,1
Update telemetryData.md,2020-01-07,Merged,3499,68,68,,0
Issue3373 addwacktests + review tests,2019-12-20,Merged,3492,194,52,csproj ,18
Add more info to naming config docs,2019-12-19,Merged,3491,50,13,,0
Issue101 refactornaming,2019-12-17,Merged,3484,8,8,cs ,5
Correct supported version in README.md,2019-12-13,Merged,3482,1,1,,0
Update min target version in docs,2019-12-16,Merged,3481,1,1,,0
Issue3479 fixtemplatetests,2019-12-13,Merged,3480,3,4,,3
Fix UI tests,2019-12-12,Merged,3478,51,22,,6
Accessibility for WPF,2019-12-19,Merged,3477,85,48,xaml resx ,17
Add Ribbon team feedback,2019-12-16,Merged,3476,64,51,xaml json ,11
UWP Pre-req Win10 Fall Creators Update,2019-12-17,Merged,3475,4,0,,0
Markdown Documentation files missing in Dev branch,2020-01-09,Closed,3474,2,0,,0
Issue3373 addwpftemplatetests,2019-12-12,Merged,3473,261,421,txt ,5
fix ui tests,2019-12-05,Merged,3468,3,100,config ,6
Fix release build,2019-12-05,Merged,3465,2,0,,1
Issue3375 rightclick,2019-12-04,Merged,3458,514,122,cs vsct ,13
Update README.md,2019-12-04,Merged,3457,2,0,,0
Fix legacy tests,2019-12-04,Merged,3456,8,32,,2
Issue3374 addwpfnamingrules,2019-12-03,Merged,3453,287,93,cs resx ,22
RightPane over the MenuBar,2019-12-02,Merged,3451,386,150,cs xaml json ,14
Ignorable Namespaces,2019-11-27,Merged,3449,41,81,,15
Update getting-started-endusers.md,2019-11-25,Merged,3448,3,3,,0
Add GenInfo to MSIX App Manifest,2019-11-26,Merged,3447,38,2,json appxmanifest ,3
Update .NetCore on VS2017 error message,2019-11-27,Merged,3446,24,18,resx ,16
WPF Documentation,2019-11-28,Merged,3445,"4,073","3,402",cs resx ,5
Fix Synchronize-Files-Used-By-VisualBasic-Templates.ps1 script,2019-11-21,Merged,3444,5,9,xaml ,2
Update MahApps.Metro NuGet version,2019-11-19,Merged,3442,2,2,,2
Mark line await Task.CompletedTask; as optional context,2019-11-19,Merged,3439,4,0,,2
Report project related telemetry by platform,2019-11-18,Merged,3436,78,32,cs ,4
