Use full path for XcodeProj,2020-01-12,Merged,751,3,1,swift ,1
Update to SwiftCLI 6.0,2020-01-05,Merged,749,38,63,resolved swift ,6
#746 Add Organization Name in spec file,2020-01-06,Closed,747,12,2,,2
Don't add framework dependency's directory to FRAMEWORK_SEARCH_PATHS if it is implicit,2020-01-12,Merged,744,5,2,swift ,1
Replace projectReference.path as relativePath,2020-01-06,Merged,740,37,0,swift yml ,7
Add option to generate only plist files,2020-01-07,Merged,739,7,0,swift ,1
Adding two Xcodegen external examples,2019-12-02,Merged,734,2,1,,0
Add support for language and region settings for target schemes,2019-12-04,Merged,728,32,3,swift ,3
Fixed unnecessary dependencies related to SwiftPM,2019-11-27,Merged,726,6,10,swift pbxproj ,2
Fix TestAction when debugEnabled: false,2019-11-23,Merged,725,22,1,swift ,2
Add bundle dependency type,2019-12-12,Merged,723,677,12,swift ,3
Fix localized *.intentdefinition have to be added to build source phases,2019-11-19,Merged,720,70,15,swift ,2
Plist.path as Path,2019-11-24,Closed,719,13,10,swift ,4
Update to XcodeProj 7.4,2019-11-10,Merged,715,19,24,swift pbxproj ,5
Update to Swift 5.1,2019-11-10,Merged,714,192,261,md swift ,13
Add dump command,2019-11-10,Merged,710,147,47,swift ,7
Update to XcodeProj 7.3.0,2019-11-07,Merged,709,4,12,resolved swift ,2
Disable Xcode 10.3 CI builds,2019-11-06,Merged,707,1,1,,1
Fix crash on empty `${}` variable expansion,2019-11-06,Merged,706,2,2,,1
Fix header phase for static frameworks,2019-11-06,Merged,705,4,3,swift ,3
Improving variable expansion runtime,2019-11-06,Merged,704,110,55,swift ,9
Fixing link directive on dependencies,2019-10-31,Merged,703,6,5,swift ,1
Add missing onlyGenerateCoverageForSpecifiedTargets,2019-10-30,Merged,700,12,0,swift xcscheme ,11
Restructure test targets,2019-10-27,Merged,698,54,10,swift ,18
Fix macOS unit test target TEST_HOST,2019-10-24,Merged,696,274,1,swift plist ,3
Add Base to knownRegions even if one doesn't exist,2019-10-29,Merged,694,8,2,swift pbxproj ,4
[RFC] Fix crashlytics script,2019-10-22,Merged,690,1,1,,0
Don't generate CFBundleExecutable for targets of type bundle,2019-10-22,Merged,689,56,18,swift ,3
Support Static Frameworks for Carthage dependencies,2019-11-07,Merged,688,224,42,swift ,7
Force checking SwiftFormat before merging,2019-11-10,Closed,686,5,1,swift ,2
Add base localisation by default,2019-10-15,Merged,685,1,1,,1
Resolve auto-generated INFOPLIST_FILE,2019-10-23,Merged,683,18,2,swift ,2
[WIP] Spec generation,2019-12-04,Closed,682,384,4,,5
Resolving relative paths with custom project destination,2019-10-22,Merged,681,56,9,swift ,5
"Fix some resource files being placed to ""Recovered References"" group",2019-10-08,Merged,679,65,1,swift ,2
Select suitable configs for auto-generated schemes,2019-10-06,Merged,673,47,2,swift ,2
Scheme Templates,2019-10-08,Merged,672,245,61,swift ,6
Fix tests in case-sensitive file system,2019-10-06,Merged,670,73,72,pbxproj json plist storyboard swift yml ,13
Add .rcproject path to sources build phase,2019-10-02,Merged,669,3,1,swift ,1
Update SwiftCLI,2019-10-06,Merged,667,8,25,resolved swift ,4
Specify platform,2019-09-30,Merged,666,2,1,swift ,2
Fix macOS unit test setting preset,2019-09-29,Merged,665,4,1,yml ,1
Run github actions with multiple versions of xcode,2019-09-28,Merged,664,35,37,version pbxproj ,4
Create less diffs in pbxproj,2019-09-28,Merged,663,647,167,yml swift pbxproj ,14
Less Array() and more valueArray,2019-09-23,Merged,661,8,5,swift ,3
Performance Tuning,2019-09-22,Merged,658,6,2,swift ,1
Add `debugEnabled` option for run and test,2019-09-22,Merged,657,48,2,swift ,3
Add option to gather code coverage for specific targets,2019-10-27,Merged,656,80,21,swift ,4
Support External Target Reference,2019-10-27,Merged,655,550,43,swift ,8
Add language and region options for scheme,2019-09-14,Merged,654,35,4,swift xcscheme yml ,4
Expand template variable in Array of Any,2019-09-11,Merged,651,27,13,swift ,2
Allow dylib extension for SDK linkage,2019-09-11,Merged,650,14,2,swift pbxproj yml ,4
Add support for includes filter in target sources,2019-09-02,Merged,644,131,20,swift ,3
Release 2.7.0,2019-09-01,Merged,642,106,110,Makefile swift ,15
Remove CircleCI in favour of Github actions,2019-09-01,Merged,641,1,35,,2
Add recursive glob support,2019-09-01,Merged,636,533,8,swift ,2
Allow to link dylib into static library only when 'link' is true,2019-08-28,Merged,635,34,14,swift ,2
Added new faq about Crashlytics(#633),2019-08-27,Merged,634,17,0,,0
Ignore files with orig extension,2019-08-24,Merged,627,23,0,swift ,2
Add github actions,2019-08-15,Merged,626,48,0,,1
Support for Swift Packages,2019-09-27,Merged,624,"1,319",36,resolved swift ,6
auto generate project by using post-checkout hook,2019-08-22,Closed,622,155,59,,5
Add support for source groups,2019-11-20,Merged,621,172,27,swift ,3
Support Swift Packages,2019-08-13,Closed,617,91,0,,2
Add bundle dependency type and re-enable static library linking against frameworks,2019-12-03,Closed,616,879,20,swift pbxproj ,3
Added custom group support for target sources (#478),2019-10-13,Closed,611,127,22,swift ,3
Add support for custom groups in target sources,2019-07-22,Closed,607,311,14,swift ,3
Update to XcodeProj 7.0.0,2019-06-26,Merged,604,"1,625","1,602",md resolved swift ,21
Add additional spec for variable expension in combination with template attributes,2019-06-21,Merged,602,29,9,swift ,3
Added disableMainThreadChecker to TargetScheme and Run/Test Actions,2019-08-31,Merged,601,74,14,swift xcscheme yml ,10
Include unique file only once,2019-08-19,Merged,599,72,6,swift yml ,5
Don't bundle `.pch` files as resources,2019-06-10,Merged,597,6,1,swift ,1
Add environment variable expansion,2019-06-20,Merged,594,40,14,swift yml ,6
Add support for customizing attributes on a target source file,2019-06-14,Merged,583,45,3,swift ,3
